"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",5,4.23728813559322,1.19993139973901e-05,"945284, 947426, 945184, 945511, 946178",50,6,1571,26.1833333333333,0.00053982661069607,0.00053982661069607,0.0112839934581666
"2","KEGG_PATHWAY","eco00040:Pentose and glucuronate interconversions",4,3.38983050847458,0.0493129977435254,"945294, 946017, 947511, 945381",50,27,1571,4.65481481481481,0.897271716037389,0.679487466762045,37.8476262857634
"3","KEGG_PATHWAY","eco00030:Pentose phosphate pathway",3,2.54237288135593,0.239841058387101,"947937, 946362, 946066",50,30,1571,3.142,0.999995627816531,0.983648178939429,92.4144931427996
"4","KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",9,7.6271186440678,0.255984790997312,"947937, 946147, 947393, 945284, 949020, 948183, 945511, 946178, 946066",50,195,1571,1.45015384615385,0.999998335891639,0.964083384892458,93.8011410362062
"5","KEGG_PATHWAY","eco02010:ABC transporters",8,6.77966101694915,0.259559380015131,"946408, 948604, 946409, 947165, 945951, 948237, 949030, 949041",50,167,1571,1.5051497005988,0.999998660136334,0.93310215590442,94.0756344321728
"6","KEGG_PATHWAY","eco01100:Metabolic pathways",25,21.1864406779661,0.277275400606713,"948690, 946757, 947937, 945294, 949020, 944790, 945620, 944882, 947149, 947511, 945757, 947258, 946147, 945747, 945399, 947393, 947631, 948183, 945351, 946017, 945511, 946738, 946362, 945381, 946066",50,689,1571,1.14005805515239,0.999999549414027,0.912441910263418,95.2822745939395
"7","KEGG_PATHWAY","eco02040:Flagellar assembly",3,2.54237288135593,0.310401195280562,"945646, 945442, 945639",50,36,1571,2.61833333333333,0.999999945444002,0.908292242949649,96.9653635833791
"8","KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",11,9.32203389830508,0.446159603148422,"947937, 948690, 946147, 947393, 945284, 949020, 948183, 945620, 945511, 946178, 946066",50,296,1571,1.16763513513514,0.999999999997167,0.9639804284515,99.6138981360969
"9","KEGG_PATHWAY","eco03060:Protein export",2,1.69491525423729,0.454246245672199,"947720, 947040",50,19,1571,3.30736842105263,0.999999999998538,0.951584584884126,99.66377659859
"10","KEGG_PATHWAY","eco00790:Folate biosynthesis",2,1.69491525423729,0.454246245672199,"945399, 944790",50,19,1571,3.30736842105263,0.999999999998538,0.951584584884126,99.66377659859
"11","KEGG_PATHWAY","eco01200:Carbon metabolism",4,3.38983050847458,0.661463280156578,"947937, 946147, 946362, 946066",50,107,1571,1.17457943925234,1,0.992357665921249,99.9962307668512
"12","KEGG_PATHWAY","eco00500:Starch and sucrose metabolism",2,1.69491525423729,0.6634561314994,"945757, 945381",50,34,1571,1.84823529411765,1,0.988380952704733,99.9964343448323
"13","KEGG_PATHWAY","eco03010:Ribosome",3,2.54237288135593,0.71117076962323,"947817, 947819, 945152",50,78,1571,1.20846153846154,1,0.990506982394523,99.9991533846984
"14","KEGG_PATHWAY","eco00190:Oxidative phosphorylation",2,1.69491525423729,0.731867679019703,"946757, 946738",50,41,1571,1.53268292682927,1,0.98949953197681,99.9995792720079
"15","KEGG_PATHWAY","eco00630:Glyoxylate and dicarboxylate metabolism",2,1.69491525423729,0.731867679019703,"947393, 947631",50,41,1571,1.53268292682927,1,0.98949953197681,99.9995792720079
"16","KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",4,3.38983050847458,0.986019873533415,"947937, 946147, 946362, 946066",50,238,1571,0.528067226890756,1,0.999998905683817,100
"17","KEGG_PATHWAY","eco02020:Two-component system",2,1.69491525423729,0.992233090602996,"945442, 948237",50,146,1571,0.43041095890411,1,0.99999953146211,100
"18","KEGG_PATHWAY","eco00540:Lipopolysaccharide biosynthesis",1,0.847457627118644,1,"944882",50,30,1571,1.04733333333333,1,1,100
"19","KEGG_PATHWAY","eco00620:Pyruvate metabolism",1,0.847457627118644,1,"946147",50,51,1571,0.616078431372549,1,1,100
"20","KEGG_PATHWAY","eco02030:Bacterial chemotaxis",1,0.847457627118644,1,"949041",50,20,1571,1.571,1,1,100
"21","KEGG_PATHWAY","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",1,0.847457627118644,1,"945511",50,19,1571,1.65368421052632,1,1,100
"22","KEGG_PATHWAY","eco00053:Ascorbate and aldarate metabolism",1,0.847457627118644,1,"947258",50,14,1571,2.24428571428571,1,1,100
"23","KEGG_PATHWAY","eco00230:Purine metabolism",1,0.847457627118644,1,"947149",50,86,1571,0.365348837209302,1,1,100
"24","KEGG_PATHWAY","eco00290:Valine, leucine and isoleucine biosynthesis",1,0.847457627118644,1,"948183",50,16,1571,1.96375,1,1,100
"25","KEGG_PATHWAY","eco00770:Pantothenate and CoA biosynthesis",1,0.847457627118644,1,"948183",50,22,1571,1.42818181818182,1,1,100
"26","KEGG_PATHWAY","eco03070:Bacterial secretion system",1,0.847457627118644,1,"947720",50,29,1571,1.08344827586207,1,1,100
"27","KEGG_PATHWAY","eco00650:Butanoate metabolism",1,0.847457627118644,1,"948183",50,35,1571,0.897714285714286,1,1,100
"28","KEGG_PATHWAY","eco01501:beta-Lactam resistance",1,0.847457627118644,1,"945951",50,17,1571,1.84823529411765,1,1,100
"29","KEGG_PATHWAY","eco00260:Glycine, serine and threonine metabolism",1,0.847457627118644,1,"947393",50,36,1571,0.872777777777778,1,1,100
"30","KEGG_PATHWAY","eco00660:C5-Branched dibasic acid metabolism",1,0.847457627118644,1,"948183",50,10,1571,3.142,1,1,100
"31","KEGG_PATHWAY","eco00670:One carbon pool by folate",1,0.847457627118644,1,"944790",50,14,1571,2.24428571428571,1,1,100
"32","KEGG_PATHWAY","eco00550:Peptidoglycan biosynthesis",1,0.847457627118644,1,"947693",50,22,1571,1.42818181818182,1,1,100
"33","KEGG_PATHWAY","eco03410:Base excision repair",1,0.847457627118644,1,"947122",50,14,1571,2.24428571428571,1,1,100
"34","KEGG_PATHWAY","eco00240:Pyrimidine metabolism",1,0.847457627118644,1,"947149",50,63,1571,0.498730158730159,1,1,100
"35","KEGG_PATHWAY","eco00760:Nicotinate and nicotinamide metabolism",1,0.847457627118644,1,"945351",50,18,1571,1.74555555555556,1,1,100
"36","KEGG_PATHWAY","eco00561:Glycerolipid metabolism",1,0.847457627118644,1,"945747",50,12,1571,2.61833333333333,1,1,100
"37","KEGG_PATHWAY","eco03430:Mismatch repair",1,0.847457627118644,1,"947206",50,22,1571,1.42818181818182,1,1,100
"38","KEGG_PATHWAY","eco01230:Biosynthesis of amino acids",1,0.847457627118644,1,"948183",50,118,1571,0.266271186440678,1,1,100
"39","KEGG_PATHWAY","eco00564:Glycerophospholipid metabolism",1,0.847457627118644,1,"946725",50,29,1571,1.08344827586207,1,1,100
"40","KEGG_PATHWAY","eco01210:2-Oxocarboxylic acid metabolism",1,0.847457627118644,1,"948183",50,26,1571,1.20846153846154,1,1,100
"41","KEGG_PATHWAY","eco00900:Terpenoid backbone biosynthesis",1,0.847457627118644,1,"949020",50,13,1571,2.41692307692308,1,1,100
"42","KEGG_PATHWAY","eco03018:RNA degradation",1,0.847457627118644,1,"945425",50,16,1571,1.96375,1,1,100
"43","KEGG_PATHWAY","eco00740:Riboflavin metabolism",1,0.847457627118644,1,"945620",50,8,1571,3.9275,1,1,100
"44","KEGG_PATHWAY","eco04122:Sulfur relay system",1,0.847457627118644,1,"945399",50,18,1571,1.74555555555556,1,1,100
"45","KEGG_PATHWAY","eco00020:Citrate cycle (TCA cycle)",1,0.847457627118644,1,"946147",50,26,1571,1.20846153846154,1,1,100
