"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",4,2.46913580246914,0.00181253994511786,"947426, 945184, 945511, 946178",75,6,1571,13.9644444444444,0.0883721339089382,0.0883721339089382,1.73972488334381
"2","KEGG_PATHWAY","eco02020:Two-component system",12,7.40740740740741,0.0748473902206716,"945788, 945041, 946844, 948361, 945464, 945595, 945442, 946267, 945782, 946394, 945999, 947867",75,146,1571,1.72164383561644,0.981081691993168,0.862456159691422,52.8860646677908
"3","KEGG_PATHWAY","eco00564:Glycerophospholipid metabolism",4,2.46913580246914,0.153070115871731,"946713, 946735, 946725, 946733",75,29,1571,2.88919540229885,0.999790964367176,0.940651906187949,79.9553360548731
"4","KEGG_PATHWAY","eco00640:Propanoate metabolism",4,2.46913580246914,0.225766373202012,"945931, 947493, 944990, 947528",75,35,1571,2.39390476190476,0.99999784982642,0.961707089179707,91.5869817262777
"5","KEGG_PATHWAY","eco00627:Aminobenzoate degradation",2,1.23456790123457,0.287095226208747,"945041, 946206",75,7,1571,5.98476190476191,0.999999968039934,0.968310051510823,96.2135519863978
"6","KEGG_PATHWAY","eco00630:Glyoxylate and dicarboxylate metabolism",4,2.46913580246914,0.303773652470478,"2847718, 947393, 947631, 945827",75,41,1571,2.04357723577236,0.999999990444065,0.953934174035788,96.9885663753607
"7","KEGG_PATHWAY","eco00330:Arginine and proline metabolism",3,1.85185185185185,0.331156991601565,"946261, 946260, 946259",75,25,1571,2.5136,0.999999998765379,0.946622040530405,97.957358141139
"8","KEGG_PATHWAY","eco00030:Pentose phosphate pathway",3,1.85185185185185,0.417344897961449,"944830, 946362, 948902",75,30,1571,2.09466666666667,0.999999999998914,0.968047955309127,99.4622264654512
"9","KEGG_PATHWAY","eco00260:Glycine, serine and threonine metabolism",3,1.85185185185185,0.513055310152634,"947393, 947376, 945716",75,36,1571,1.74555555555556,1,0.983054622024678,99.905226108862
"10","KEGG_PATHWAY","eco00450:Selenocompound metabolism",2,1.23456790123457,0.561566691124227,"946185, 949079",75,17,1571,2.4643137254902,1,0.985082087346787,99.9656610388184
"11","KEGG_PATHWAY","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",2,1.23456790123457,0.602340867857283,"947263, 945511",75,19,1571,2.20491228070175,1,0.986094481733991,99.986643804059
"12","KEGG_PATHWAY","eco00790:Folate biosynthesis",2,1.23456790123457,0.602340867857283,"945041, 945397",75,19,1571,2.20491228070175,1,0.986094481733991,99.986643804059
"13","KEGG_PATHWAY","eco00520:Amino sugar and nucleotide sugar metabolism",3,1.85185185185185,0.636343612308156,"947837, 946574, 945651",75,45,1571,1.39644444444444,1,0.986418814320226,99.9943747484171
"14","KEGG_PATHWAY","eco02010:ABC transporters",8,4.93827160493827,0.688950659828168,"947966, 948819, 947165, 947148, 945250, 949039, 946838, 947538",75,167,1571,1.00343313373254,1,0.989759285241418,99.998759353909
"15","KEGG_PATHWAY","eco00910:Nitrogen metabolism",2,1.23456790123457,0.717710374471816,"945782, 945999",75,26,1571,1.61128205128205,1,0.990023916925389,99.9995146651317
"16","KEGG_PATHWAY","eco00240:Pyrimidine metabolism",3,1.85185185185185,0.809145881618311,"946663, 947149, 947155",75,63,1571,0.997460317460317,1,0.996415857881135,99.9999889964871
"17","KEGG_PATHWAY","eco00010:Glycolysis / Gluconeogenesis",2,1.23456790123457,0.85842746415792,"948104, 945651",75,40,1571,1.04733333333333,1,0.998033266124699,99.9999993882132
"18","KEGG_PATHWAY","eco02060:Phosphotransferase system (PTS)",2,1.23456790123457,0.877991854961495,"946879, 945651",75,43,1571,0.974263565891473,1,0.998183788283459,99.9999998548701
"19","KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",9,5.55555555555556,0.895489737127825,"948104, 2847718, 945041, 946206, 945580, 945197, 945782, 945999, 946362",75,238,1571,0.792100840336134,1,0.998336777581054,99.9999999675379
"20","KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",11,6.79012345679012,0.916645047838115,"948104, 2847718, 947393, 944830, 946574, 947263, 946713, 945511, 946178, 946735, 946733",75,296,1571,0.778423423423423,1,0.998730733777105,99.9999999963598
"21","KEGG_PATHWAY","eco00620:Pyruvate metabolism",2,1.23456790123457,0.918057190672602,"948104, 946132",75,51,1571,0.821437908496732,1,0.998303895269083,99.9999999969144
"22","KEGG_PATHWAY","eco00230:Purine metabolism",3,1.85185185185185,0.922916819281623,"947149, 947155, 948986",75,86,1571,0.730697674418605,1,0.998018920285882,99.999999998292
"23","KEGG_PATHWAY","eco01100:Metabolic pathways",26,16.0493827160494,0.972988751175317,"946261, 2847718, 946260, 946574, 947149, 948104, 944830, 947039, 945397, 945041, 946663, 947155, 946259, 948252, 945716, 945757, 947583, 946185, 947393, 947631, 947049, 947376, 945511, 946795, 946362, 948423",75,689,1571,0.790440251572327,1,0.999768774697361,99.9999999999999
"24","KEGG_PATHWAY","eco03010:Ribosome",2,1.23456790123457,0.978958166320739,"947577, 947817",75,78,1571,0.537094017094017,1,0.999808741775446,100
"25","KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",5,3.08641975308642,0.987779477004322,"2847718, 947393, 944830, 945511, 946178",75,195,1571,0.537094017094017,1,0.999913887577033,100
"26","KEGG_PATHWAY","eco03018:RNA degradation",1,0.617283950617284,1,"945425",75,16,1571,1.30916666666667,1,1,100
"27","KEGG_PATHWAY","eco00670:One carbon pool by folate",1,0.617283950617284,1,"945827",75,14,1571,1.49619047619048,1,1,100
"28","KEGG_PATHWAY","eco02040:Flagellar assembly",1,0.617283950617284,1,"945442",75,36,1571,0.581851851851852,1,1,100
"29","KEGG_PATHWAY","eco00562:Inositol phosphate metabolism",1,0.617283950617284,1,"946206",75,3,1571,6.98222222222222,1,1,100
"30","KEGG_PATHWAY","eco00061:Fatty acid biosynthesis",1,0.617283950617284,1,"946799",75,13,1571,1.61128205128205,1,1,100
"31","KEGG_PATHWAY","eco00500:Starch and sucrose metabolism",1,0.617283950617284,1,"945757",75,34,1571,0.616078431372549,1,1,100
"32","KEGG_PATHWAY","eco01200:Carbon metabolism",1,0.617283950617284,1,"946362",75,107,1571,0.195763239875389,1,1,100
"33","KEGG_PATHWAY","eco00760:Nicotinate and nicotinamide metabolism",1,0.617283950617284,1,"947049",75,18,1571,1.1637037037037,1,1,100
"34","KEGG_PATHWAY","eco00550:Peptidoglycan biosynthesis",1,0.617283950617284,1,"947152",75,22,1571,0.952121212121212,1,1,100
"35","KEGG_PATHWAY","eco01212:Fatty acid metabolism",1,0.617283950617284,1,"946799",75,21,1571,0.997460317460317,1,1,100
"36","KEGG_PATHWAY","eco02030:Bacterial chemotaxis",1,0.617283950617284,1,"946394",75,20,1571,1.04733333333333,1,1,100
"37","KEGG_PATHWAY","eco00561:Glycerolipid metabolism",1,0.617283950617284,1,"948423",75,12,1571,1.74555555555556,1,1,100
"38","KEGG_PATHWAY","eco04122:Sulfur relay system",1,0.617283950617284,1,"945397",75,18,1571,1.1637037037037,1,1,100
"39","KEGG_PATHWAY","eco00380:Tryptophan metabolism",1,0.617283950617284,1,"948221",75,9,1571,2.32740740740741,1,1,100
"40","KEGG_PATHWAY","eco00780:Biotin metabolism",1,0.617283950617284,1,"946799",75,14,1571,1.49619047619048,1,1,100
"41","KEGG_PATHWAY","eco00190:Oxidative phosphorylation",1,0.617283950617284,1,"948252",75,41,1571,0.51089430894309,1,1,100
"42","KEGG_PATHWAY","eco00360:Phenylalanine metabolism",1,0.617283950617284,1,"945197",75,30,1571,0.698222222222222,1,1,100
"43","KEGG_PATHWAY","eco00920:Sulfur metabolism",1,0.617283950617284,1,"945508",75,33,1571,0.634747474747475,1,1,100
"44","KEGG_PATHWAY","eco01220:Degradation of aromatic compounds",1,0.617283950617284,1,"945197",75,16,1571,1.30916666666667,1,1,100
"45","KEGG_PATHWAY","eco00633:Nitrotoluene degradation",1,0.617283950617284,1,"945580",75,7,1571,2.99238095238095,1,1,100
"46","KEGG_PATHWAY","eco00052:Galactose metabolism",1,0.617283950617284,1,"947583",75,35,1571,0.59847619047619,1,1,100
"47","KEGG_PATHWAY","eco00051:Fructose and mannose metabolism",1,0.617283950617284,1,"946574",75,40,1571,0.523666666666667,1,1,100
"48","KEGG_PATHWAY","eco00040:Pentose and glucuronate interconversions",1,0.617283950617284,1,"946795",75,27,1571,0.775802469135802,1,1,100
"49","KEGG_PATHWAY","eco00511:Other glycan degradation",1,0.617283950617284,1,"947583",75,3,1571,6.98222222222222,1,1,100
"50","KEGG_PATHWAY","eco00750:Vitamin B6 metabolism",1,0.617283950617284,1,"947039",75,9,1571,2.32740740740741,1,1,100
"51","KEGG_PATHWAY","eco00250:Alanine, aspartate and glutamate metabolism",1,0.617283950617284,1,"947049",75,30,1571,0.698222222222222,1,1,100
