"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eco00020:Citrate cycle (TCA cycle)",10,3.28947368421053,0.000271671517639964,"946147, 945312, 948642, 945314, 945402, 945300, 948666, 945307, 948667, 946826",144,26,1571,4.19604700854701,0.0209702583670902,0.0209702583670902,0.286995248575328
"2","KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",5,1.64473684210526,0.000855404718830606,"945284, 947426, 945184, 945511, 946178",144,6,1571,9.09143518518519,0.0645710841266134,0.0328242580206085,0.901132870415655
"3","KEGG_PATHWAY","eco00620:Pyruvate metabolism",13,4.27631578947368,0.0014299614835169,"948104, 946147, 948642, 948454, 946947, 947324, 948121, 946653, 948666, 946209, 948667, 946796, 946826",144,51,1571,2.78090958605664,0.105613095746322,0.0365219820788069,1.50226947377415
"4","KEGG_PATHWAY","eco01200:Carbon metabolism",18,5.92105263157895,0.0134428745017552,"945312, 948642, 949045, 945314, 946947, 945300, 948666, 948667, 946147, 946331, 945402, 947324, 945307, 946209, 948753, 946796, 946362, 946826",144,107,1571,1.83528037383178,0.652035821585667,0.231960361874865,13.3385048689051
"5","KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",27,8.88157894736842,0.0233455745024018,"948269, 948642, 945312, 949020, 945314, 948666, 948320, 948667, 945271, 945060, 945402, 948182, 946331, 948183, 945064, 945307, 946178, 945300, 946147, 947393, 945284, 947324, 945511, 948753, 945097, 946796, 946826",144,195,1571,1.51057692307692,0.841586590674983,0.308235313546066,22.1100402986284
"6","KEGG_PATHWAY","eco00900:Terpenoid backbone biosynthesis",5,1.64473684210526,0.0245397365145806,"948269, 945060, 949020, 945064, 947324",144,13,1571,4.19604700854701,0.856004989913016,0.276023326011506,23.1115561448646
"7","KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",37,12.1710526315789,0.0303457078681282,"948269, 948690, 945312, 948642, 949020, 945314, 945620, 948326, 948666, 948320, 949129, 948667, 945271, 948104, 945060, 945402, 946331, 948182, 948183, 945064, 945937, 945307, 946178, 945300, 946713, 946733, 946147, 947393, 945284, 947324, 945511, 946165, 948753, 947934, 945097, 946796, 946826",144,296,1571,1.36371527777778,0.909610062461486,0.290627582121066,27.8167492025795
"8","KEGG_PATHWAY","eco00650:Butanoate metabolism",8,2.63157894736842,0.0341507273709451,"948182, 945402, 948183, 948454, 945300, 947324, 948666, 948667",144,35,1571,2.49365079365079,0.933483429019514,0.287366504180446,30.7572790707982
"9","KEGG_PATHWAY","eco00640:Propanoate metabolism",8,2.63157894736842,0.0341507273709451,"945312, 945314, 945931, 947493, 948454, 947324, 947528, 946796",144,35,1571,2.49365079365079,0.933483429019514,0.287366504180446,30.7572790707982
"10","KEGG_PATHWAY","eco00660:C5-Branched dibasic acid metabolism",4,1.31578947368421,0.0550187280687554,"945312, 948182, 945314, 948183",144,10,1571,4.36388888888889,0.987893747693191,0.387648085357397,45.0419361795487
"11","KEGG_PATHWAY","eco00190:Oxidative phosphorylation",8,2.63157894736842,0.0722276658304618,"946757, 946746, 945341, 945402, 945300, 948666, 948667, 946738",144,41,1571,2.12872628726287,0.997113107620216,0.442759004494342,54.7517617389997
"12","KEGG_PATHWAY","eco01100:Metabolic pathways",72,23.6842105263158,0.0847405790963559,"946261, 948269, 948690, 945312, 947599, 945314, 949020, 944882, 948326, 948666, 948320, 949129, 948667, 945839, 945399, 945402, 948454, 948121, 948766, 945937, 945307, 948763, 945358, 944790, 947155, 946259, 947258, 947583, 948135, 946505, 945227, 945535, 947393, 947631, 946209, 946165, 947082, 948037, 946826, 948642, 946746, 945620, 947149, 945271, 948104, 945060, 948182, 946331, 948183, 945064, 946738, 948479, 946757, 945300, 946947, 945142, 945716, 944989, 946147, 945747, 947691, 945341, 947324, 947376, 945511, 948753, 946796, 945097, 946362, 946795, 945381, 948423",144,689,1571,1.14005805515239,0.998998967422928,0.466280004437824,60.8057698813019
"13","KEGG_PATHWAY","eco02010:ABC transporters",21,6.90789473684211,0.112864761734491,"948604, 948065, 948538, 947165, 945951, 946938, 949036, 948261, 947969, 948237, 949039, 948264, 948175, 945802, 946409, 947964, 948411, 948090, 949030, 945335, 949041",144,167,1571,1.37188123752495,0.999912258153539,0.540871874865174,71.8261252474283
"14","KEGG_PATHWAY","eco00564:Glycerophospholipid metabolism",5,1.64473684210526,0.267657102842082,"946713, 946165, 947934, 946725, 946733",144,29,1571,1.88098659003831,0.999999999971963,0.845728094880818,96.2933966386384
"15","KEGG_PATHWAY","eco02030:Bacterial chemotaxis",4,1.31578947368421,0.271803909068836,"948538, 948261, 946394, 949041",144,20,1571,2.18194444444444,0.999999999981996,0.829184811799624,96.5094821130588
"16","KEGG_PATHWAY","eco00561:Glycerolipid metabolism",3,0.986842105263158,0.299548117952817,"945747, 946165, 948423",144,12,1571,2.72743055555556,0.99999999999913,0.842975581431908,97.6855813886134
"17","KEGG_PATHWAY","eco00040:Pentose and glucuronate interconversions",4,1.31578947368421,0.451754595507878,"947599, 947082, 946795, 945381",144,27,1571,1.61625514403292,1,0.946604688423352,99.8266481384749
"18","KEGG_PATHWAY","eco00450:Selenocompound metabolism",3,0.986842105263158,0.467368013602445,"946135, 945937, 949079",144,17,1571,1.92524509803922,1,0.944437238230855,99.8722970899868
"19","KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",23,7.56578947368421,0.506655647561617,"945312, 948642, 949045, 945314, 946947, 945300, 945197, 948666, 948320, 948667, 946505, 945271, 948104, 946147, 945402, 947324, 946653, 945307, 946209, 948753, 946796, 946362, 946826",144,238,1571,1.05430088702148,1,0.953192293251865,99.9432190952117
"20","KEGG_PATHWAY","eco00240:Pyrimidine metabolism",7,2.30263157894737,0.51898298038586,"944989, 945535, 948729, 945556, 947149, 947155, 948763",144,63,1571,1.21219135802469,1,0.9504338739573,99.9565534577408
"21","KEGG_PATHWAY","eco00030:Pentose phosphate pathway",4,1.31578947368421,0.52393950960745,"945271, 948260, 948753, 946362",144,30,1571,1.45462962962963,1,0.944679977942266,99.9610620536312
"22","KEGG_PATHWAY","eco03060:Protein export",3,0.986842105263158,0.527795014005806,"947720, 948321, 947040",144,19,1571,1.72258771929825,1,0.938393317085206,99.964271336394
"23","KEGG_PATHWAY","eco00790:Folate biosynthesis",3,0.986842105263158,0.527795014005806,"945399, 947691, 944790",144,19,1571,1.72258771929825,1,0.938393317085206,99.964271336394
"24","KEGG_PATHWAY","eco00740:Riboflavin metabolism",2,0.657894736842105,0.534801345502855,"945620, 949129",144,8,1571,2.72743055555556,1,0.933682639638626,99.9694968697044
"25","KEGG_PATHWAY","eco03010:Ribosome",8,2.63157894736842,0.576795415410634,"947577, 947810, 947828, 947792, 949057, 947817, 947819, 945152",144,78,1571,1.11894586894587,1,0.945859953431775,99.988786978471
"26","KEGG_PATHWAY","eco00380:Tryptophan metabolism",2,0.657894736842105,0.577362706726551,"948221, 947324",144,9,1571,2.42438271604938,1,0.93913110706772,99.988944953274
"27","KEGG_PATHWAY","eco00520:Amino sugar and nucleotide sugar metabolism",5,1.64473684210526,0.598008446691141,"947742, 945271, 947745, 948977, 945358",144,45,1571,1.21219135802469,1,0.941768655913654,99.9934914547339
"28","KEGG_PATHWAY","eco00770:Pantothenate and CoA biosynthesis",3,0.986842105263158,0.609436820531603,"948182, 948183, 948479",144,22,1571,1.48768939393939,1,0.940423649939743,99.995202773114
"29","KEGG_PATHWAY","eco00260:Glycine, serine and threonine metabolism",4,1.31578947368421,0.651182306029775,"947393, 946331, 947376, 945716",144,36,1571,1.21219135802469,1,0.952289067142317,99.9985489034785
"30","KEGG_PATHWAY","eco00310:Lysine degradation",2,0.657894736842105,0.683198111438576,"947324, 945307",144,12,1571,1.81828703703704,1,0.959324084475896,99.9994758803942
"31","KEGG_PATHWAY","eco00730:Thiamine metabolism",2,0.657894736842105,0.683198111438576,"945060, 945142",144,12,1571,1.81828703703704,1,0.959324084475896,99.9994758803942
"32","KEGG_PATHWAY","eco02020:Two-component system",13,4.27631578947368,0.697061742502672,"945788, 947176, 945341, 949081, 945464, 947324, 946938, 948666, 945442, 948237, 946394, 948667, 947867",144,146,1571,0.971413622526636,1,0.959726308933474,99.9996735135455
"33","KEGG_PATHWAY","eco00680:Methane metabolism",3,0.986842105263158,0.721030401552435,"949045, 948753, 946209",144,27,1571,1.21219135802469,1,0.963821722886685,99.9998634760355
"34","KEGG_PATHWAY","eco00053:Ascorbate and aldarate metabolism",2,0.657894736842105,0.73866722109815,"947630, 947258",144,14,1571,1.55853174603175,1,0.965834748828089,99.9999315787959
"35","KEGG_PATHWAY","eco00270:Cysteine and methionine metabolism",3,0.986842105263158,0.757587729100891,"946505, 946331, 945937",144,29,1571,1.12859195402299,1,0.968388009878965,99.9999691014065
"36","KEGG_PATHWAY","eco00290:Valine, leucine and isoleucine biosynthesis",2,0.657894736842105,0.784480161631929,"948182, 948183",144,16,1571,1.36371527777778,1,0.973416862748278,99.9999910924497
"37","KEGG_PATHWAY","eco01501:beta-Lactam resistance",2,0.657894736842105,0.804299670883074,"945802, 945951",144,17,1571,1.28349673202614,1,0.976295669846511,99.999996789344
"38","KEGG_PATHWAY","eco04122:Sulfur relay system",2,0.657894736842105,0.822308131027692,"946505, 945399",144,18,1571,1.21219135802469,1,0.978726911254858,99.9999988435419
"39","KEGG_PATHWAY","eco00500:Starch and sucrose metabolism",3,0.986842105263158,0.831424426230214,"945271, 948037, 945381",144,34,1571,0.962622549019608,1,0.978878647039385,99.9999993375018
"40","KEGG_PATHWAY","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",2,0.657894736842105,0.838669970861026,"948326, 945511",144,19,1571,1.1483918128655,1,0.97863130427785,99.9999995837386
"41","KEGG_PATHWAY","eco00052:Galactose metabolism",3,0.986842105263158,0.843526447808008,"945271, 947583, 945358",144,35,1571,0.935119047619048,1,0.977793299336997,99.9999996987316
"42","KEGG_PATHWAY","eco01212:Fatty acid metabolism",2,0.657894736842105,0.867038671606293,"947324, 946796",144,21,1571,1.03902116402116,1,0.982321285151781,99.9999999461807
"43","KEGG_PATHWAY","eco03430:Mismatch repair",2,0.657894736842105,0.87930542641972,"948691, 947206",144,22,1571,0.991792929292929,1,0.983808350200533,99.9999999806682
