"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005198~structural molecule activity",8,2.63157894736842,0.192096217152806,"947577, 947810, 947828, 947792, 949057, 947817, 947819, 945152",11,56,108,1.4025974025974,0.978498262805201,0.978498262805201,79.2448179805793
"2","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",8,2.63157894736842,0.192096217152806,"947577, 947810, 947828, 947792, 949057, 947817, 947819, 945152",11,56,108,1.4025974025974,0.978498262805201,0.978498262805201,79.2448179805793
"3","GOTERM_MF_ALL","GO:0022832~voltage-gated channel activity",1,0.328947368421053,1,"945841",11,2,108,4.90909090909091,1,1,100
"4","GOTERM_MF_ALL","GO:0008233~peptidase activity",1,0.328947368421053,1,"948429",11,8,108,1.22727272727273,1,1,100
"5","GOTERM_MF_ALL","GO:0022836~gated channel activity",1,0.328947368421053,1,"945841",11,2,108,4.90909090909091,1,1,100
"6","GOTERM_MF_ALL","GO:0009055~electron carrier activity",1,0.328947368421053,1,"945520",11,25,108,0.392727272727273,1,1,100
"7","GOTERM_MF_ALL","GO:0015267~channel activity",1,0.328947368421053,1,"945841",11,2,108,4.90909090909091,1,1,100
"8","GOTERM_MF_ALL","GO:0005216~ion channel activity",1,0.328947368421053,1,"945841",11,2,108,4.90909090909091,1,1,100
"9","GOTERM_MF_ALL","GO:0005244~voltage-gated ion channel activity",1,0.328947368421053,1,"945841",11,2,108,4.90909090909091,1,1,100
"10","GOTERM_MF_ALL","GO:0022892~substrate-specific transporter activity",1,0.328947368421053,1,"945841",11,16,108,0.613636363636364,1,1,100
"11","GOTERM_MF_ALL","GO:0005215~transporter activity",1,0.328947368421053,1,"945841",11,16,108,0.613636363636364,1,1,100
"12","GOTERM_MF_ALL","GO:0022803~passive transmembrane transporter activity",1,0.328947368421053,1,"945841",11,2,108,4.90909090909091,1,1,100
"13","GOTERM_MF_ALL","GO:0022857~transmembrane transporter activity",1,0.328947368421053,1,"945841",11,16,108,0.613636363636364,1,1,100
"14","GOTERM_MF_ALL","GO:0003824~catalytic activity",1,0.328947368421053,1,"948429",11,16,108,0.613636363636364,1,1,100
"15","GOTERM_MF_ALL","GO:0015075~ion transmembrane transporter activity",1,0.328947368421053,1,"945841",11,16,108,0.613636363636364,1,1,100
"16","GOTERM_MF_ALL","GO:0022891~substrate-specific transmembrane transporter activity",1,0.328947368421053,1,"945841",11,16,108,0.613636363636364,1,1,100
"17","GOTERM_MF_ALL","GO:0022838~substrate-specific channel activity",1,0.328947368421053,1,"945841",11,2,108,4.90909090909091,1,1,100
"18","GOTERM_MF_ALL","GO:0016787~hydrolase activity",1,0.328947368421053,1,"948429",11,15,108,0.654545454545455,1,1,100
