"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",67,22.0394736842105,2.50209522201015e-24,"945788, 948691, 944885, 947165, 948221, 947745, 948697, 948666, 949129, 948978, 947570, 948667, 948264, 948520, 946725, 945742, 945399, 945402, 948260, 948766, 945211, 948121, 945307, 2847741, 947155, 946259, 945828, 945887, 947206, 946209, 945988, 947082, 947934, 947720, 946910, 947817, 945765, 947819, 946783, 945271, 949008, 948104, 945378, 945425, 947053, 947867, 945335, 946135, 946751, 948559, 945300, 946947, 945716, 948989, 947278, 948553, 946898, 947810, 944989, 945747, 946995, 947693, 947812, 945288, 945413, 946796, 945097",248,1395,21998,4.26022083477859,1.13595123079261e-21,1.13595123079261e-21,3.55420275736989e-21
"2","GOTERM_MF_ALL","GO:0046872~metal ion binding",61,20.0657894736842,4.12568514041615e-07,"948690, 948269, 946201, 945312, 946765, 949020, 948326, 945184, 948666, 947570, 945181, 946725, 947594, 945212, 948766, 946178, 948763, 945630, 945931, 948729, 947258, 945227, 947502, 947493, 945434, 946209, 947630, 946826, 949042, 948642, 946746, 945620, 947149, 944980, 945271, 948104, 945060, 948182, 946331, 946738, 949041, 945957, 946757, 946135, 945100, 948559, 946947, 945300, 947426, 945142, 949079, 948422, 945051, 945341, 948891, 945284, 945511, 948753, 946796, 949130, 948423",248,2793,21998,1.93727117332502,0.000187288603302194,9.36486866893738e-05,0.000586048101980374
"3","GOTERM_MF_ALL","GO:0043169~cation binding",62,20.3947368421053,4.96689187416375e-07,"948690, 948269, 946201, 945312, 946765, 949020, 948326, 945184, 948666, 947570, 945181, 946725, 947594, 945212, 948766, 946178, 948763, 945630, 945931, 948729, 947583, 947258, 945227, 947502, 947493, 945434, 946209, 947630, 946826, 949042, 948642, 946746, 945620, 947149, 944980, 945271, 948104, 945060, 948182, 946331, 946738, 949041, 945957, 946757, 946135, 945100, 948559, 946947, 945300, 947426, 945142, 949079, 948422, 945051, 945341, 948891, 945284, 945511, 948753, 946796, 949130, 948423",248,2876,21998,1.91220445062587,0.000225471524575749,7.51628241671964e-05,0.00070554001098122
"4","GOTERM_MF_ALL","GO:0043167~ion binding",62,20.3947368421053,5.93854840145768e-07,"948690, 948269, 946201, 945312, 946765, 949020, 948326, 945184, 948666, 947570, 945181, 946725, 947594, 945212, 948766, 946178, 948763, 945630, 945931, 948729, 947583, 947258, 945227, 947502, 947493, 945434, 946209, 947630, 946826, 949042, 948642, 946746, 945620, 947149, 944980, 945271, 948104, 945060, 948182, 946331, 946738, 949041, 945957, 946757, 946135, 945100, 948559, 946947, 945300, 947426, 945142, 949079, 948422, 945051, 945341, 948891, 945284, 945511, 948753, 946796, 949130, 948423",248,2891,21998,1.90228294707714,0.000269573835943948,6.74002728749956e-05,0.000843561914098956
"5","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",47,15.4605263157895,5.68107039350133e-06,"949042, 948269, 946201, 948642, 946746, 945312, 946765, 949020, 945620, 948326, 947149, 945184, 948666, 947570, 945181, 944980, 947594, 945060, 946331, 945212, 948766, 946178, 948763, 946738, 946757, 946135, 945100, 945630, 945931, 948559, 945300, 947426, 949079, 945227, 947502, 945341, 945051, 948891, 945284, 947493, 945434, 945511, 947630, 946796, 948423, 949130, 946826",248,2075,21998,2.00914496696463,0.0025758899721855,0.000515709633046479,0.00806960443692217
"6","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",8,2.63157894736842,2.54650310466532e-05,"947810, 947577, 947828, 947792, 949057, 947817, 947819, 945152",248,77,21998,9.21575198994554,0.0114946966124845,0.00192502331130018,0.036166756205358
"7","GOTERM_MF_ALL","GO:0005506~iron ion binding",26,8.55263157894737,2.84591496735265e-05,"949042, 946746, 948642, 947149, 948666, 945184, 944980, 945181, 947594, 946331, 946178, 946738, 946757, 946135, 945931, 947426, 945300, 949079, 945227, 947502, 945341, 945284, 948891, 945511, 947630, 946826",248,896,21998,2.57393073156682,0.0128375247103225,0.00184410294995596,0.04041835959121
"8","GOTERM_MF_ALL","GO:0019843~rRNA binding",6,1.97368421052632,0.000264186456649501,"947810, 947792, 949057, 947817, 947819, 945152",248,51,21998,10.4354838709677,0.113040979149747,0.01488270352314,0.374620499739986
"9","GOTERM_MF_ALL","GO:0000104~succinate dehydrogenase activity",4,1.31578947368421,0.000285458594964627,"945402, 945300, 948666, 948667",248,12,21998,29.5672043010753,0.121567933307062,0.0142986452418754,0.404727898986246
"10","GOTERM_MF_ALL","GO:0015407~monosaccharide-transporting ATPase activity",5,1.64473684210526,0.0011336479544022,"946409, 948090, 949036, 949039, 948264",248,41,21998,10.817269866247,0.402480358408697,0.0501933223211433,1.59833854529313
"11","GOTERM_MF_ALL","GO:0015608~carbohydrate-importing ATPase activity",5,1.64473684210526,0.00148022301244502,"946409, 948090, 949036, 949039, 948264",248,44,21998,10.0797287390029,0.489578849971441,0.0593066797689534,2.08221677466881
"12","GOTERM_MF_ALL","GO:0005198~structural molecule activity",8,2.63157894736842,0.0015020707660134,"947810, 947577, 947828, 947792, 949057, 947817, 947819, 945152",248,149,21998,4.76250270621347,0.494624116280591,0.0552841333072659,2.11264574928834
"13","GOTERM_MF_ALL","GO:0016614~oxidoreductase activity, acting on CH-OH group of donors",13,4.27631578947368,0.00180032953207443,"945620, 946947, 946713, 948977, 945716, 946733, 947631, 945212, 948121, 948438, 946653, 947934, 946795",248,395,21998,2.91929358922009,0.558724658461466,0.0609905264588286,2.52717452564236
"14","GOTERM_MF_ALL","GO:0004091~carboxylesterase activity",7,2.30263157894737,0.00183257486946306,"949045, 945288, 948320, 947488, 946394, 945765, 945381",248,114,21998,5.44659026598755,0.565149186609971,0.057747793029346,2.57189215782052
"15","GOTERM_MF_ALL","GO:0043211~carbohydrate-transporting ATPase activity",5,1.64473684210526,0.00204872843276329,"946409, 948090, 949036, 949039, 948264",248,48,21998,9.23975134408602,0.605870914916903,0.060184581610362,2.87116051888905
"16","GOTERM_MF_ALL","GO:0008238~exopeptidase activity",7,2.30263157894737,0.00209029618917878,"947693, 948766, 948853, 945988, 948520, 946904, 946662",248,117,21998,5.3069341053212,0.613254217273006,0.057645954816528,2.92861373988914
