Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ecd00190:Oxidative phosphorylation	11	2.925531914893617	6.400560963124065E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	40	7107	12.9432119205298	9.696802886427491E-6	9.696802886427491E-6	1.0647563697396834E-5
KEGG_PATHWAY	ecj00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
KEGG_PATHWAY	ece00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
KEGG_PATHWAY	eck00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
KEGG_PATHWAY	ecq00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
KEGG_PATHWAY	eci00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
KEGG_PATHWAY	eco00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
KEGG_PATHWAY	eum00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
KEGG_PATHWAY	ecx00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
KEGG_PATHWAY	ecc00190:Oxidative phosphorylation	11	2.925531914893617	8.313585231094261E-9	SDHA, ATPA, SDHB, CYDA, NUOC, CYOE, NUON, PPA, CYOB, CYOC, CYOD	151	41	7107	12.627523824907122	1.2595002410575873E-5	6.297521034648312E-6	1.3829948308785589E-5
