Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	53	5.567226890756303	1.6379432396276108E-54	RPMJ, RPMG, RPMH, RPMA, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RIMK, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	714	77	17785	17.145130779584562	1.3480272862135236E-51	1.3480272862135236E-51	2.5236105378355535E-51
GOTERM_MF_FAT	GO:0019843~rRNA binding	37	3.8865546218487395	3.842142869135808E-39	RPLK, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, RPSD, RPSC, RPMA, RPME, RPMC, RPSQ, RPLY, RPLX, RPSR, RPSS, RPLW, RPST, RPLV, RPSM, RPSN, RPSO, RPLP, RPSK, RPLO, RPLN, RPSL, RPLU, RPSE, RPSF, RPLT, RPLS, RPSG, RPLR, RPSH	714	51	17785	18.071208875707146	3.16208358129877E-36	1.581041790649385E-36	5.91966314695085E-36
GOTERM_MF_FAT	GO:0005198~structural molecule activity	54	5.6722689075630255	3.1736649616134086E-36	RPMJ, RPMG, RPMH, RPMA, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RIMK, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, OMPA, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	714	149	17785	9.027409621566745	2.6119262634078353E-33	8.706420878026117E-34	4.8897264245297936E-33
GOTERM_MF_FAT	GO:0003723~RNA binding	84	8.823529411764707	3.1566413346179543E-35	YIBK, SRMB, CSPD, METG, YFIF, RPMG, HSLR, THII, NUSA, RNR, TYRS, DEAD, RPMA, PROB, RPME, RPMC, YBCJ, RPLY, RPLX, RPLW, RPLV, RNA, RHLE, RLUC, RNB, RLUD, RLUA, RPLP, RPLO, YJFH, RPLN, RPLU, YHBY, RPLT, RPLS, RPLR, RPLJ, RPLK, YHGF, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, INFA, RNPA, TRMD, FTSY, RNHB, HFQ, RSUA, TRUA, TRUB, RPSA, RPSD, RPSC, KSGA, YEBU, ERA, RPSQ, PHET, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, DBPA, RPSI, PCNB, RPSJ, RPSK, RPSL, RPSE, YCIL, RPSF, RPSG, SELB, RPH, RPSH	714	414	17785	5.053992611537369	2.5979158183905764E-32	6.494789545976441E-33	4.8634977961875336E-32
GOTERM_MF_FAT	GO:0000049~tRNA binding	15	1.5756302521008403	1.0842355052961368E-12	RPMG, RPMA, RPLE, RPLA, PHET, RNPA, RPSS, RPSM, METG, RPSI, RPLP, RPSJ, RPSL, RPSG, RPH	714	29	17785	12.883946682121124	8.923326522136676E-10	1.7846657485165451E-10	1.6705192784627343E-9
GOTERM_MF_FAT	GO:0046872~metal ion binding	183	19.222689075630253	3.6200227839356736E-12	YIBO, CHAA, ENO, UPP, NFO, APHA, ALAS, TRKH, MHPB, TADA, FECA, PRLC, FECB, PDXA, CODA, FECC, YDBK, PANF, PRSA, ENTE, RECJ, ENTC, FECI, ENTD, YFHL, HPAI, GLTX, FECE, FECD, MEPA, FECR, THIM, KDSB, ENTA, RPME, GLCB, ENTB, CUSR, PDXY, APPC, AROL, RFE, LYSS, LIGA, LYSU, YGCF, LNT, YGCM, PURT, MIAA, NAPG, MANA, NAPH, RFFH, ISPF, ISPG, NAPA, ISPH, KDPA, PTSI, YDDV, YCHF, RUVC, CDD, DNAJ, ALLB, NRDB, YFGB, CSID, YGGX, YGGW, YIAI, PYKF, RNFC, GARL, PTSP, ACPT, DAPE, GUAC, TAUD, NIRB, PHET, MUTM, PHES, GLMU, GUAB, PYRI, ISPD, MUTT, YBEX, PRIA, FOLE, MUTY, DUT, FHUC, FHUD, COPA, FHUF, MODA, FEPB, NTPA, FEPA, YODA, FES, FEPE, GLPK, METK, SECA, MGLB, ACEE, NRFC, METG, GLPQ, METE, NARH, TGT, SGBE, DXS, YGIQ, GLPX, SLYD, FHUB, YKGF, FHUA, PURF, SUHB, MOEA, GLPF, FEOB, RSMC, GLPC, PEPA, PURD, PYRE, RIMK, GSHB, MODF, SMS, HSLO, SPOT, GUDX, CIRA, YLEA, YCDX, FRE, ILVI, YADF, YJEB, CUEO, RFBA, BISC, SPEB, ILVB, UXAA, YJJG, YJEK, YCDB, SPED, RNHA, SDAB, RNHB, SUFI, RPOH, MENC, MEND, CYSJ, YNCD, FUCI, IDND, ILES, NEI, MAP, ACTP, YAEL, YEAW, HISG, CYSS, YEBA, HCAE, KEFA, KEFB	714	2793	17785	1.632058838573023	2.9792543987383624E-9	4.965423627822929E-10	5.57739410211866E-9
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	162	17.016806722689076	6.424428152661506E-12	THRA, THRB, ASPS, AAS, SRMB, YBBA, ALAS, YBBL, HFLX, RECQ, PRSA, ENTE, ARGB, YFHK, ACKA, UVRD, GLTX, THIL, FECE, DEAD, RECC, RECB, THIM, RECG, RECF, PDXY, AROL, ARGS, HRPB, RHLE, GUTQ, LYSS, LYSU, RIBF, THID, PURT, MIAA, YOJI, DNAB, DNAA, PURM, GYRA, YGGC, GYRB, KDPA, YEGD, YDDV, UHPB, YEGI, YCHF, DNAJ, YLIA, NRDA, HEPA, BTUD, PYKF, LEUS, COAE, GLNA, CMK, CPXA, TAUB, BIPA, LHR, YGAA, PHET, MUTL, PHES, GUAA, ISPE, DBPA, MUTS, PCNB, YEEZ, COAD, PRIA, INAA, FOLE, FOLC, CITA, FHUC, COPA, MSBA, NARX, YHBG, MGLA, PSPF, METL, GSS, YJCD, GLPK, METK, SECA, METG, ACEK, PARE, PROS, NARL, PARC, VALS, YHCM, PURL, PURK, TYRS, MDLA, MDLB, FEOB, GSK, PURD, PROB, UUP, PURC, PYRG, MURD, PYRH, RIMK, ADK, GSHA, GSHB, GLYQ, MODF, SMS, FTSE, LYXK, HISS, ASNS, YJJK, YNJD, YADH, REP, PRFC, INFB, ACCA, FTSY, TILS, YRBF, LPXK, RFAE, YHES, MENE, FUCK, YNCE, NADE, RHAB, CYSD, FUSA, CYSC, YIEN, ILES, ERA, HISG, BAX, CYSS, YBIT, YHDZ, MPL, POTA, SELB, CYSN, YDAO	714	2385	17785	1.691929602029491	5.287294824185551E-9	7.553278003058495E-10	9.898226682736322E-9
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	162	17.016806722689076	6.424428152661506E-12	THRA, THRB, ASPS, AAS, SRMB, YBBA, ALAS, YBBL, HFLX, RECQ, PRSA, ENTE, ARGB, YFHK, ACKA, UVRD, GLTX, THIL, FECE, DEAD, RECC, RECB, THIM, RECG, RECF, PDXY, AROL, ARGS, HRPB, RHLE, GUTQ, LYSS, LYSU, RIBF, THID, PURT, MIAA, YOJI, DNAB, DNAA, PURM, GYRA, YGGC, GYRB, KDPA, YEGD, YDDV, UHPB, YEGI, YCHF, DNAJ, YLIA, NRDA, HEPA, BTUD, PYKF, LEUS, COAE, GLNA, CMK, CPXA, TAUB, BIPA, LHR, YGAA, PHET, MUTL, PHES, GUAA, ISPE, DBPA, MUTS, PCNB, YEEZ, COAD, PRIA, INAA, FOLE, FOLC, CITA, FHUC, COPA, MSBA, NARX, YHBG, MGLA, PSPF, METL, GSS, YJCD, GLPK, METK, SECA, METG, ACEK, PARE, PROS, NARL, PARC, VALS, YHCM, PURL, PURK, TYRS, MDLA, MDLB, FEOB, GSK, PURD, PROB, UUP, PURC, PYRG, MURD, PYRH, RIMK, ADK, GSHA, GSHB, GLYQ, MODF, SMS, FTSE, LYXK, HISS, ASNS, YJJK, YNJD, YADH, REP, PRFC, INFB, ACCA, FTSY, TILS, YRBF, LPXK, RFAE, YHES, MENE, FUCK, YNCE, NADE, RHAB, CYSD, FUSA, CYSC, YIEN, ILES, ERA, HISG, BAX, CYSS, YBIT, YHDZ, MPL, POTA, SELB, CYSN, YDAO	714	2385	17785	1.691929602029491	5.287294824185551E-9	7.553278003058495E-10	9.898226682736322E-9
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	175	18.38235294117647	1.6950948312393067E-11	THRA, THRB, ASPS, YOHI, AAS, SRMB, YBBA, ALAS, YBBL, HFLX, RECQ, PRSA, ENTE, ARGB, YFHK, GIDA, ACKA, UVRD, GLTX, THIL, FECE, DEAD, RECC, RECB, THIM, RECG, RECF, GLCE, PDXY, AROL, ARGS, HRPB, RHLE, GUTQ, LYSS, LYSU, RIBF, UBIH, THID, PURT, MIAA, YOJI, DNAB, DNAA, PURM, GYRA, YGGC, GYRB, KDPA, YEGD, YDDV, UHPB, GRPE, YEGI, YCHF, DNAJ, YLIA, NRDA, HEPA, BTUD, PYKF, LEUS, COAE, GLNA, CMK, CPXA, TAUB, BIPA, LHR, YGAA, PHET, NIRB, MUTL, PHES, GUAA, ISPE, DBPA, MUTS, PCNB, YEEZ, COAD, INAA, PRIA, FOLE, FOLC, CITA, FHUC, COPA, MSBA, NARX, YHBG, MGLA, PSPF, METL, GSS, YJCD, GLPK, METK, SECA, METG, ACEK, PARE, PROS, NARL, PARC, VALS, YHCM, PURL, PURK, GLPA, TYRS, MDLA, MDLB, FEOB, GSK, PURD, PROB, UUP, PURC, MURD, PYRG, PYRH, RIMK, ADK, GSHA, GLYQ, GSHB, MODF, SMS, FTSE, LYXK, HISS, ILVI, ASNS, YJJK, YNJD, YADH, YHDG, NDH, REP, ILVB, PRFC, INFB, ACCA, FTSY, TILS, YRBF, LPXK, RFAE, MENE, YHES, FUCK, YNCE, NADE, RHAB, CYSD, FUSA, CYSC, YIEN, ILES, ERA, HISG, BAX, CYSS, YDIJ, YBIT, YHDZ, HCAD, MPL, POTA, SELB, CYSN, YDAO	714	2677	17785	1.6283409142513934	1.3950669730533605E-8	1.7438337440722762E-9	2.611671989782849E-8
GOTERM_MF_FAT	GO:0043167~ion binding	185	19.432773109243698	2.120650398090078E-11	YIBO, CHAA, ENO, UPP, NFO, APHA, ALAS, TRKH, MHPB, TADA, FECA, PRLC, FECB, PDXA, CODA, FECC, YDBK, PANF, PRSA, ENTE, RECJ, ENTC, FECI, ENTD, YFHL, HPAI, GLTX, FECE, FECD, MEPA, FECR, THIM, KDSB, ENTA, RPME, GLCB, ENTB, CUSR, PDXY, APPC, AROL, RFE, LYSS, LIGA, LYSU, YGCF, LNT, YGCM, PURT, MIAA, NAPG, MANA, NAPH, RFFH, ISPF, ISPG, NAPA, ISPH, KDPA, PTSI, YDDV, YCHF, RUVC, CDD, DNAJ, ALLB, NRDB, YFGB, CSID, YGGX, YGGW, YIAI, PYKF, RNFC, GARL, PTSP, ACPT, DAPE, GUAC, TAUD, NIRB, PHET, MUTM, PHES, GLMU, GUAB, PYRI, ISPD, MUTT, YBEX, PRIA, FOLE, MUTY, DUT, FHUC, FHUD, COPA, FHUF, MODA, FEPB, NTPA, FEPA, YODA, FES, FEPE, GLPK, METK, SECA, MGLB, ACEE, NRFC, METG, GLPQ, METE, NARH, TGT, SGBE, DXS, YGIQ, GLPX, SLYD, FHUB, YKGF, FHUA, PURF, TREC, SUHB, MOEA, GLPF, FEOB, RSMC, GLPC, PEPA, PURD, PYRE, RIMK, GSHB, MODF, SMS, HSLO, SPOT, GUDX, CIRA, YLEA, YCDX, FRE, ILVI, YADF, YJEB, CUEO, RFBA, BISC, SPEB, ILVB, UXAA, YJJG, YJEK, YCDB, SPED, YADQ, RNHA, SDAB, RNHB, SUFI, RPOH, MENC, MEND, CYSJ, YNCD, FUCI, IDND, ILES, NEI, MAP, ACTP, YAEL, YEAW, HISG, CYSS, YEBA, HCAE, KEFA, KEFB	714	2891	17785	1.593966884574653	1.7452933764872114E-8	1.9392148997710024E-9	3.267323078759432E-8
GOTERM_MF_FAT	GO:0043169~cation binding	184	19.327731092436977	2.4984528079214238E-11	YIBO, CHAA, ENO, UPP, NFO, APHA, ALAS, TRKH, MHPB, TADA, FECA, PRLC, FECB, PDXA, CODA, FECC, YDBK, PANF, PRSA, ENTE, RECJ, ENTC, FECI, ENTD, YFHL, HPAI, GLTX, FECE, FECD, MEPA, FECR, THIM, KDSB, ENTA, RPME, GLCB, ENTB, CUSR, PDXY, APPC, AROL, RFE, LYSS, LIGA, LYSU, YGCF, LNT, YGCM, PURT, MIAA, NAPG, MANA, NAPH, RFFH, ISPF, ISPG, NAPA, ISPH, KDPA, PTSI, YDDV, YCHF, RUVC, CDD, DNAJ, ALLB, NRDB, YFGB, CSID, YGGX, YGGW, YIAI, PYKF, RNFC, GARL, PTSP, ACPT, DAPE, GUAC, TAUD, NIRB, PHET, MUTM, PHES, GLMU, GUAB, PYRI, ISPD, MUTT, YBEX, PRIA, FOLE, MUTY, DUT, FHUC, FHUD, COPA, FHUF, MODA, FEPB, NTPA, FEPA, YODA, FES, FEPE, GLPK, METK, SECA, MGLB, ACEE, NRFC, METG, GLPQ, METE, NARH, TGT, SGBE, DXS, YGIQ, GLPX, SLYD, FHUB, YKGF, FHUA, PURF, TREC, SUHB, MOEA, GLPF, FEOB, RSMC, GLPC, PEPA, PURD, PYRE, RIMK, GSHB, MODF, SMS, HSLO, SPOT, GUDX, CIRA, YLEA, YCDX, FRE, ILVI, YADF, YJEB, CUEO, RFBA, BISC, SPEB, ILVB, UXAA, YJJG, YJEK, YCDB, SPED, RNHA, SDAB, RNHB, SUFI, RPOH, MENC, MEND, CYSJ, YNCD, FUCI, IDND, ILES, NEI, MAP, ACTP, YAEL, YEAW, HISG, CYSS, YEBA, HCAE, KEFA, KEFB	714	2876	17785	1.5936193670792376	2.0562300862003724E-8	2.056230075098142E-9	3.849420782131574E-8
GOTERM_MF_FAT	GO:0000287~magnesium ion binding	58	6.092436974789916	8.049671908245747E-11	COPA, ENO, UPP, NTPA, APHA, METK, ACEE, DXS, PDXA, PRSA, PURF, ENTD, SUHB, MOEA, GLPF, RSMC, THIM, KDSB, PURD, GLCB, PYRE, AROL, RFE, LYSS, RIMK, LYSU, LIGA, GSHB, PURT, MIAA, GUDX, RFFH, ISPF, ILVI, RFBA, PTSI, ILVB, YJJG, SPED, RNHA, RUVC, YCHF, MENC, MEND, PYKF, GARL, PTSP, ACPT, PHET, HISG, PHES, GLMU, ISPD, YBEX, MUTT, DUT	714	557	17785	2.5937520430075085	6.624879866912181E-8	6.022618292966797E-9	1.240228364451923E-7
