Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	50	8.928571428571429	5.26926392305551E-60	RPMG, RPMH, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	441	77	17785	26.187531289572107	3.1773661456024725E-57	3.1773661456024725E-57	7.787616262726394E-57
GOTERM_MF_FAT	GO:0019843~rRNA binding	36	6.428571428571428	7.508804957528144E-45	RPLK, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, RPSD, RPSC, RPME, RPMC, RPSQ, RPLY, RPLX, RPSR, RPSS, RPLW, RPST, RPLV, RPSM, RPSN, RPSO, RPLP, RPSK, RPLO, RPLN, RPSL, RPLU, RPSE, RPSF, RPLT, RPLS, RPSG, RPLR, RPSH	441	51	17785	28.46738695478191	4.527809389389471E-42	2.2639046946947355E-42	1.109750668305455E-41
GOTERM_MF_FAT	GO:0005198~structural molecule activity	50	8.928571428571429	9.019455188260984E-42	RPMG, RPMH, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	441	149	17785	13.53315375367149	5.438731478521373E-39	1.8129104928404578E-39	1.3330145714983053E-38
GOTERM_MF_FAT	GO:0003723~RNA binding	67	11.964285714285715	1.3688341037539463E-34	YIBK, CSPD, METG, RPMG, THII, NUSA, TYRS, DEAD, RPME, RPMC, RPLY, RPLX, RPLW, RPLV, RHLE, RLUC, RNB, RLUA, RPLP, YJFH, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, YHGF, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, INFA, RNPA, TRMD, RNHB, TRUA, TRUB, RPSA, RPSD, RPSC, ERA, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, DBPA, RPSI, PCNB, RPSJ, RPSK, RPSL, RPSE, YCIL, RPSF, RPSG, RPH, RPSH	441	414	17785	6.526641252314131	8.254069645636296E-32	2.063517411409074E-32	2.0230443726165283E-31
GOTERM_MF_FAT	GO:0000049~tRNA binding	13	2.3214285714285716	1.6067325266519481E-12	RPSS, RNPA, RPMG, RPSM, METG, RPSI, RPSJ, RPLP, RPSL, RPLE, RPSG, RPLA, RPH	441	29	17785	18.078426773008054	9.688490010262285E-10	1.937697780007852E-10	2.3746116184497623E-9
GOTERM_MF_FAT	GO:0046872~metal ion binding	119	21.25	1.1252679566594727E-9	YIBO, CHAA, UPP, APHA, ALAS, MHPB, FECA, FECB, FECC, PANF, ENTE, PRSA, ENTC, FECI, YFHL, ENTD, HPAI, GLTX, FECE, FECD, MEPA, FECR, ENTA, RPME, ENTB, CUSR, PDXY, AROL, LYSS, LNT, YGCM, PURT, MIAA, NAPG, NAPH, ISPF, NAPA, ISPH, KDPA, PTSI, YDDV, RUVC, CDD, DNAJ, YFGB, ALLB, CSID, YGGX, YGGW, YIAI, RNFC, GARL, DAPE, TAUD, NIRB, PHES, MUTM, GLMU, GUAB, ISPD, MUTT, FOLE, MUTY, FHUC, FHUD, COPA, FHUF, MODA, FEPB, FEPA, YODA, FES, FEPE, GLPK, METK, SECA, MGLB, NRFC, ACEE, METG, GLPQ, METE, TGT, SGBE, YGIQ, GLPX, FHUB, PURF, SUHB, GLPF, FEOB, GLPC, PURD, PYRE, MODF, HSLO, SMS, SPOT, CIRA, ILVI, CUEO, ILVB, SPEB, YJJG, YCDB, SPED, RNHB, CYSJ, YNCD, FUCI, IDND, ACTP, YAEL, HISG, YEAW, HCAE, KEFA	441	2793	17785	1.718269596894731	6.785363680927858E-7	1.1308942660104293E-7	1.6630700927500186E-6
GOTERM_MF_FAT	GO:0043169~cation binding	120	21.428571428571427	3.2861281529785284E-9	YIBO, CHAA, UPP, APHA, ALAS, MHPB, FECA, FECB, FECC, PANF, ENTE, PRSA, ENTC, FECI, YFHL, ENTD, HPAI, GLTX, FECE, FECD, MEPA, FECR, ENTA, RPME, ENTB, CUSR, PDXY, AROL, LYSS, LNT, YGCM, PURT, MIAA, NAPG, NAPH, ISPF, NAPA, ISPH, KDPA, PTSI, YDDV, RUVC, CDD, DNAJ, YFGB, ALLB, CSID, YGGX, YGGW, YIAI, RNFC, GARL, DAPE, TAUD, NIRB, PHES, MUTM, GLMU, GUAB, ISPD, MUTT, FOLE, MUTY, FHUC, FHUD, COPA, FHUF, MODA, FEPB, FEPA, YODA, FES, FEPE, GLPK, METK, SECA, MGLB, NRFC, ACEE, METG, GLPQ, METE, TGT, SGBE, YGIQ, GLPX, FHUB, PURF, TREC, SUHB, GLPF, FEOB, GLPC, PURD, PYRE, MODF, HSLO, SMS, SPOT, CIRA, ILVI, CUEO, ILVB, SPEB, YJJG, YCDB, SPED, RNHB, CYSJ, YNCD, FUCI, IDND, ACTP, YAEL, HISG, YEAW, HCAE, KEFA	441	2876	17785	1.682703679524661	1.981533312878092E-6	2.83076427964879E-7	4.856675395181753E-6
GOTERM_MF_FAT	GO:0043167~ion binding	120	21.428571428571427	4.499248809733147E-9	YIBO, CHAA, UPP, APHA, ALAS, MHPB, FECA, FECB, FECC, PANF, ENTE, PRSA, ENTC, FECI, YFHL, ENTD, HPAI, GLTX, FECE, FECD, MEPA, FECR, ENTA, RPME, ENTB, CUSR, PDXY, AROL, LYSS, LNT, YGCM, PURT, MIAA, NAPG, NAPH, ISPF, NAPA, ISPH, KDPA, PTSI, YDDV, RUVC, CDD, DNAJ, YFGB, ALLB, CSID, YGGX, YGGW, YIAI, RNFC, GARL, DAPE, TAUD, NIRB, PHES, MUTM, GLMU, GUAB, ISPD, MUTT, FOLE, MUTY, FHUC, FHUD, COPA, FHUF, MODA, FEPB, FEPA, YODA, FES, FEPE, GLPK, METK, SECA, MGLB, NRFC, ACEE, METG, GLPQ, METE, TGT, SGBE, YGIQ, GLPX, FHUB, PURF, TREC, SUHB, GLPF, FEOB, GLPC, PURD, PYRE, MODF, HSLO, SMS, SPOT, CIRA, ILVI, CUEO, ILVB, SPEB, YJJG, YCDB, SPED, RNHB, CYSJ, YNCD, FUCI, IDND, ACTP, YAEL, HISG, YEAW, HCAE, KEFA	441	2891	17785	1.6739729444181686	2.7130433898348016E-6	3.391308263100967E-7	6.649585793105928E-6
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	108	19.28571428571429	1.722062923306962E-7	THRA, THRB, ASPS, YOHI, ALAS, RECQ, ENTE, PRSA, GIDA, FECE, THIL, GLTX, DEAD, RECB, RECG, RECF, GLCE, PDXY, ARGS, AROL, RHLE, GUTQ, LYSS, PURT, MIAA, YOJI, DNAB, DNAA, PURM, KDPA, YDDV, YEGD, UHPB, DNAJ, NRDA, HEPA, COAE, LEUS, GLNA, CMK, TAUB, BIPA, NIRB, PHES, GUAA, ISPE, DBPA, PCNB, COAD, INAA, FOLE, FOLC, FHUC, COPA, MGLA, GLPK, YJCD, METK, SECA, METG, ACEK, PARE, YHCM, PURL, GLPA, PURK, TYRS, FEOB, GSK, PURD, PURC, UUP, PYRG, PYRH, ADK, MODF, SMS, FTSE, LYXK, ILVI, YNJD, NDH, YHDG, ILVB, REP, PRFC, INFB, TILS, LPXK, RFAE, MENE, FUCK, YNCE, RHAB, FUSA, CYSD, CYSC, ERA, HISG, BAX, YDIJ, YBIT, YHDZ, POTA, YDAO, CYSN	441	2677	17785	1.6270116563622086	1.0383501199218159E-4	1.1537756019586176E-5	2.545089696104341E-4
GOTERM_MF_FAT	GO:0000166~nucleotide binding	122	21.785714285714285	2.7277892579017613E-7	THRA, THRB, ASPS, YOHI, ALAS, RECQ, ENTE, PRSA, GIDA, GLTX, THIL, FECE, DEAD, RECB, RECG, RECF, GLCE, PDXY, ARGS, AROL, RPLW, RHLE, GUTQ, LYSS, AROE, PURT, PNTB, MIAA, YOJI, DNAB, DNAA, GND, PURM, KDPA, YDDV, YEGD, UHPB, DNAJ, WECC, SERA, NRDA, GLNK, HEPA, COAE, LEUS, RNFC, GLNA, CMK, TAUB, BIPA, NIRB, PHES, GUAA, ISPE, DBPA, USG, PCNB, COAD, INAA, FOLE, FOLC, FHUC, COPA, MGLA, GLPK, YJCD, METK, SECA, METG, ACEK, PARE, YHCM, PURL, PURK, GLPA, NUSA, TYRS, FEOB, GSK, PURD, PURC, UUP, PYRG, PYRH, ADK, YFDC, MODF, SMS, FTSE, LYXK, ILVI, YNJD, NDH, YHDG, ILVC, REP, ILVB, YJJG, PRFC, INFB, TILS, LPXK, CYSJ, RFAE, MENE, FUCK, YNCE, RHAB, FUSA, CYSD, CYSC, ERA, HISG, BAX, YDIJ, YBIT, YHDZ, POTA, YDAO, CYSN	441	3175	17785	1.5496420090345848	1.644721876463695E-4	1.644843619097447E-5	4.031480748123428E-4
