Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	6	4.225352112676056	8.780849154559009E-5	RPLX, RPLM, RPLC, RPLU, RPLT, RPLR	105	77	17785	13.198515769944342	0.02162796205531403	0.02162796205531403	0.11393975602111972
GOTERM_MF_FAT	GO:0019843~rRNA binding	5	3.5211267605633805	2.232301997005854E-4	RPLX, RPLC, RPLU, RPLT, RPLR	105	51	17785	16.605975723622784	0.0540736099065513	0.02741252830737695	0.2894272503846662
GOTERM_MF_FAT	GO:0005198~structural molecule activity	7	4.929577464788732	2.4155756507380485E-4	RPLX, RPLM, YADR, RPLC, RPLU, RPLT, RPLR	105	149	17785	7.957494407158836	0.058381522255328	0.01985200147683064	0.31315506519947744
GOTERM_MF_FAT	GO:0004368~glycerol-3-phosphate dehydrogenase activity	3	2.112676056338028	9.26772217551342E-4	GLPB, GLPA, GLPD	105	8	17785	63.517857142857146	0.2061599466527787	0.056084208319367224	1.196548331942937
GOTERM_MF_FAT	GO:0048037~cofactor binding	19	13.380281690140844	0.0016395186810158472	MAEB, YFBQ, DADX, MALY, GLPA, FRDA, FADB, GARR, GCVH, NUOI, NDH, SUCB, SDHA, FOLA, NUOB, TNAA, DLD, KBL, LLDD	105	1440	17785	2.234887566137566	0.33540349141722126	0.07846547390445646	2.1077650503041667
GOTERM_MF_FAT	GO:0015407~monosaccharide-transporting ATPase activity	4	2.8169014084507045	0.0017620007969140234	XYLF, ARAF, RBSA, MGLA	105	41	17785	16.524970963995358	0.3553999174922744	0.07057348192124513	2.2635701177781686
GOTERM_MF_FAT	GO:0000104~succinate dehydrogenase activity	3	2.112676056338028	0.0021514209378314703	SDHA, SDHB, FRDA	105	12	17785	42.34523809523809	0.41508041549173846	0.07375042170502277	2.757418018764757
GOTERM_MF_FAT	GO:0015608~carbohydrate-importing ATPase activity	4	2.8169014084507045	0.002161521852256683	XYLF, ARAF, RBSA, MGLA	105	44	17785	15.398268398268401	0.4165528857730231	0.06513223111681332	2.770196917425416
GOTERM_MF_FAT	GO:0043211~carbohydrate-transporting ATPase activity	4	2.8169014084507045	0.0027755442206578475	XYLF, ARAF, RBSA, MGLA	105	48	17785	14.115079365079366	0.4994618169010232	0.07401460951074545	3.544106244083256
GOTERM_MF_FAT	GO:0016836~hydro-lyase activity	6	4.225352112676056	0.007831535808140076	UXUA, FADB, EDD, YFAW, PRPD, FUMB	105	210	17785	4.839455782312926	0.8588212515566275	0.17780102173428713	9.703837599714438
GOTERM_MF_FAT	GO:0050662~coenzyme binding	12	8.450704225352112	0.01874589700581865	SDHA, SUCB, FOLA, MAEB, GLPA, FRDA, DLD, FADB, GARR, LLDD, GCVH, NDH	105	921	17785	2.206917946331627	0.991013513196289	0.3484275367114139	21.78303673691203
