Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ecr00230:Purine metabolism	59	2.5877192982456143	5.979961595618848E-35	YQEA, AMN, PNP, SURE, APT, PURH, PRSA, PURF, PURE, PURL, PURK, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, PURT, PURN, PURM, XDHB, NDK, NUDE, YJJG, NUDF, NRDE, NRDD, YGGV, PYKA, ALLB, NRDB, RPOZ, NRDA, ALLC, DNAN, ALLD, GMK, RIHB, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAD, GUAC, GUAA, GUAB, YAHI, DEOD, GPT, DEOB, CYSN	895	81	7107	5.784026484585144	1.2838977545793668E-31	1.2838977545793668E-31	1.0366609826720435E-31
KEGG_PATHWAY	ecd00230:Purine metabolism	58	2.543859649122807	1.1732610763982453E-34	YQEA, AMN, PNP, SURE, APT, PURH, PRSA, PURF, PURE, PURL, PURK, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, PURT, PURN, PURM, XDHB, NDK, NUDE, YJJG, NUDF, NRDE, NRDD, YGGV, PYKA, ALLB, NRDB, RPOZ, NRDA, ALLC, DNAN, ALLD, GMK, RIHB, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAD, GUAC, GUAA, GUAB, DEOD, GPT, DEOB, CYSN	895	79	7107	5.829941305423945	2.5189915310270326E-31	1.2594957655135163E-31	2.0339160393286705E-31
KEGG_PATHWAY	ecj02020:Two-component system	76	3.3333333333333335	1.6774784992520034E-34	ATOC, ATOB, ATOA, NARQ, CITE, CITD, CITC, PHOA, NARX, CITF, CHEA, ATOD, ATOS, AER, DCUR, CHEY, FIMZ, NARH, NARG, PHOR, NARJ, PHOP, FLHC, CHER, FLHD, EVGA, TAP, ARCA, APPY, CUSS, CUSR, TAR, TRPA, TRPC, RSTA, TRPB, RSTB, TRPE, TRPD, CITT, EVGS, BASS, CUSC, BASR, FDNG, KDPD, FDNH, OMPF, ENVZ, KDPE, KDPB, TRG, EMRK, DPIA, UHPB, UHPA, CPXR, RCSF, CREC, TORA, GLND, TORC, GLNA, GLNB, CPXA, TORR, DEGP, ZRAP, BAES, TSR, TORS, BAER, ZRAS, ZRAR, PSTS, OMPR	895	132	7107	4.571965464702894	3.601546337894051E-31	1.2005154459646837E-31	2.9080061496044527E-31
KEGG_PATHWAY	eck00230:Purine metabolism	59	2.5877192982456143	1.8000456083711414E-34	YQEA, AMN, PNP, SURE, APT, PURH, PRSA, PURF, PURE, PURL, PURK, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, PURT, PURN, PURM, XDHB, NDK, NUDE, YJJG, NUDF, NRDE, NRDD, YGGV, PYKA, ALLB, NRDB, RPOZ, NRDA, ALLC, DNAN, ALLD, GMK, RIHB, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAD, GUAC, GUAA, GUAB, YAHI, DEOD, GPT, DEOB, CYSN	895	82	7107	5.713489576236545	3.8646979211728405E-31	9.661744802932101E-32	3.120483333196746E-31
KEGG_PATHWAY	eco02020:Two-component system	76	3.3333333333333335	3.394962714896687E-34	ATOC, ATOB, ATOA, NARQ, CITE, CITD, CITC, PHOA, NARX, CITF, CHEA, ATOD, ATOS, AER, DCUR, CHEY, FIMZ, NARH, NARG, PHOR, NARJ, PHOP, FLHC, CHER, FLHD, EVGA, TAP, ARCA, APPY, CUSS, CUSR, TAR, TRPA, TRPC, RSTA, TRPB, RSTB, TRPE, TRPD, CITT, EVGS, BASS, CUSC, BASR, FDNG, KDPD, FDNH, OMPF, ENVZ, KDPE, KDPB, TRG, EMRK, DPIA, UHPB, UHPA, CPXR, RCSF, CREC, TORA, GLND, TORC, GLNA, GLNB, CPXA, TORR, DEGP, ZRAP, BAES, TSR, TORS, BAER, ZRAS, ZRAR, PSTS, OMPR	895	133	7107	4.537589784517158	7.288984948883187E-31	1.4577969897766373E-31	5.88536452598327E-31
KEGG_PATHWAY	eci02020:Two-component system	75	3.289473684210526	3.997974718797605E-34	ATOC, ATOB, ATOA, NARQ, CITE, CITD, CITC, PHOA, NARX, CITF, CHEA, ATOD, ATOS, AER, CHEY, NARH, NARG, PHOR, YLCC, NARJ, PHOP, FLHC, CHER, FLHD, EVGA, ARCA, CUSS, TAR, TRPA, TRPC, RSTA, SFCA, TRPB, RSTB, TRPE, TRPD, CITT, EVGS, BASS, CUSC, BASR, FDNG, KDPD, FDNH, YEGM, OMPF, YEGN, ENVZ, KDPE, YEGO, KDPB, EMRK, DPIA, UHPB, UHPA, CPXR, RCSF, CREC, TORA, GLND, TORC, GLNA, GLNB, CPXA, YFBE, TORR, DEGP, ZRAP, BAES, TSR, TORS, BAER, ZRAS, PSTS, OMPR	895	130	7107	4.581220455522131	8.583651721258458E-31	1.430608620209743E-31	6.930720765369407E-31
KEGG_PATHWAY	eum02020:Two-component system	74	3.245614035087719	1.9342660934006338E-33	CITA, ATOB, NARQ, CITE, CITD, CITC, PHOA, NARX, CITF, CHEA, ATOD, ATOS, AER, DCUR, CHEY, FIMZ, NARH, NARG, PHOR, NARJ, PHOP, FLHC, CHER, FLHD, EVGA, TAP, ARCA, CUSS, CUSR, TAR, TRPA, TRPC, RSTA, SFCA, TRPB, RSTB, TRPE, TRPD, EVGS, BASS, CUSC, BASR, FDNG, KDPD, FDNH, OMPF, ENVZ, KDPE, KDPB, TRG, DPIA, UHPB, UHPA, CPXR, RCSF, CREC, TORA, GLND, TORC, GLNA, GLNB, CPXA, YFBE, TORR, DEGP, ZRAP, BAES, TSR, TORS, BAER, ZRAS, ZRAR, PSTS, OMPR	895	129	7107	4.555177341821489	4.152869302531161E-30	5.932670432187373E-31	3.353162318973732E-30
KEGG_PATHWAY	eco00230:Purine metabolism	58	2.543859649122807	8.683108735205971E-33	YQEA, AMN, PNP, SURE, APT, PURH, PURF, PURE, PURL, PURK, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, PURT, XDHA, PURN, PURM, XDHB, NDK, NUDE, YJJG, NUDF, NRDE, NRDD, PYKA, ALLB, NRDB, RPOZ, NRDA, ALLC, DNAN, ALLD, GMK, RIHB, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAD, GUAC, GUAA, GUAB, YAHI, DEOD, GPT, DEOB, CYSN	895	83	7107	5.548980278656526	1.864263445448722E-29	2.3303293068109025E-30	1.5052671978163926E-29
KEGG_PATHWAY	ecj00230:Purine metabolism	58	2.543859649122807	8.683108735205971E-33	YQEA, AMN, PNP, SURE, APT, PURH, PURF, PURE, PURL, PURK, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, PURT, XDHA, PURN, PURM, XDHB, NDK, NUDE, YJJG, NUDF, NRDE, NRDD, PYKA, ALLB, NRDB, RPOZ, NRDA, ALLC, DNAN, ALLD, GMK, RIHB, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAD, GUAC, GUAA, GUAB, YAHI, DEOD, GPT, DEOB, CYSN	895	83	7107	5.548980278656526	1.864263445448722E-29	2.3303293068109025E-30	1.5052671978163926E-29
KEGG_PATHWAY	eum00230:Purine metabolism	56	2.456140350877193	1.2757071398649924E-32	YQEA, AMN, SURE, PNP, APT, PURH, PRSA, PURF, PURE, PURL, PURK, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, PURT, PURN, PURM, NDK, NUDE, YJJG, NUDF, NRDE, NRDD, YGGV, PYKA, NRDB, RPOZ, NRDA, ALLC, DNAN, ALLD, GMK, RIHB, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAC, GUAA, GUAB, YAHI, DEOD, GPT, DEOB, CYSN	895	78	7107	5.701074344649764	2.738943229290139E-29	3.0432702547668207E-30	2.2115122247324834E-29
