Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0003723~RNA binding	50	6.963788300835655	1.35416799165346E-15	YIBK, RLML, METG, YFIF, RPMG, NUSA, THII, RNR, MNMA, RPMA, DEAD, TYRS, RPME, PROB, RUMA, YBCJ, RHLE, RNA, RNC, RLUD, RHLB, RNB, YCCW, RNG, YJFH, RPLN, YHBY, THYA, YHGF, RPLA, YJIW, INFA, FTSY, RSUA, TRUA, TRMH, RPSA, RPSD, KSGA, ERA, YEBU, PHET, RPSQ, DBPA, PCNB, RPSL, RPSE, RPSF, SELB, RPH	562	414	17785	3.821969501607441	9.832135106080386E-13	9.832135106080386E-13	2.020605904817785E-12
GOTERM_MF_FAT	GO:0046872~metal ion binding	160	22.284122562674096	8.889884473375373E-15	YIBO, ENO, IDI, NFO, ALAS, HTPX, ELAC, YCBL, PANB, GUDD, GLTD, FECA, RECR, FECB, KATE, NANK, CODA, FECC, CUTC, YQHD, YDBK, GLTB, ENTE, YACG, ENTF, ARGE, ENTC, PDXK, ISCA, GLTX, FECE, MEPA, THIM, GLTS, KDSB, RPME, ENTB, FADH, PDXY, OTSA, AROL, AROK, ISCR, LIGA, LYSU, RIBA, AROB, YGCM, PURT, RFFH, ISPG, MANB, BIOB, BIOD, PTSI, NUDG, CDD, NRDD, NRDB, YFGB, BTUB, RNFB, DAPE, PHET, GLMU, GUAB, PYRI, LEUC, LEUB, YOBA, YDEN, CYOA, CYOB, DUT, FHUC, FHUD, FHUE, ZNTR, FRDB, FEPA, CPSG, YODA, FEPC, FES, EXOX, GLPK, METK, HEMB, SECA, MGLB, ACEE, METG, ZNTA, GLPQ, MGTA, METE, TGT, GLPX, SLYD, HEMN, FHUA, FDX, PURF, YBGI, MOEA, GLPF, GLPC, PEPA, RUMA, PEPT, FNR, PYRC, MODC, RIMO, GSHB, MODE, ADE, SMS, HSLO, PFKA, RUMB, CIRA, YLEA, YIDJ, FRE, ILVI, ILVG, CUEO, BISC, SPEB, YJJG, YFCE, YCDB, DCP, SPED, YIDA, NADA, YFBR, YGJD, YRBI, YNCD, FUCI, YNCB, ILES, MAP, DKSA, KEFA	562	2793	17785	1.8128697442640664	6.554756737386924E-12	3.277378368693462E-12	1.3489209749195652E-11
GOTERM_MF_FAT	GO:0043167~ion binding	162	22.56267409470752	3.9279253891127924E-14	YIBO, ENO, IDI, NFO, ALAS, HTPX, ELAC, YCBL, PANB, GUDD, GLTD, FECA, RECR, FECB, KATE, NANK, CODA, FECC, CUTC, YQHD, YDBK, GLTB, ENTE, YACG, ENTF, ARGE, ENTC, PDXK, ISCA, GLTX, FECE, MEPA, THIM, GLTS, KDSB, RPME, ENTB, FADH, PDXY, OTSA, AROL, AROK, ISCR, LIGA, LYSU, RIBA, AROB, YGCM, PURT, YNFJ, RFFH, ISPG, MANB, BIOB, BIOD, PTSI, NUDG, CDD, NRDD, NRDB, YFGB, BTUB, RNFB, DAPE, PHET, GLMU, GUAB, PYRI, LEUC, LEUB, YOBA, YDEN, CYOA, CYOB, DUT, FHUC, FHUD, FHUE, ZNTR, FRDB, FEPA, CPSG, YODA, FEPC, FES, EXOX, GLPK, METK, HEMB, SECA, MGLB, ACEE, METG, ZNTA, GLPQ, MGTA, METE, TGT, GLPX, SLYD, HEMN, FHUA, FDX, PURF, YBGI, MOEA, GLPF, GLPC, PEPA, RUMA, PEPT, FNR, PYRC, MODC, RIMO, GSHB, MODE, ADE, SMS, HSLO, PFKA, RUMB, CIRA, YLEA, YIDJ, FRE, ILVI, ILVG, CUEO, BISC, SPEB, YJJG, YFCE, YCDB, DCP, SPED, YIDA, NADA, YFBR, YGJD, YRBI, YNCD, FUCI, YNCB, ILES, MAP, DKSA, BGLA, KEFA	562	2891	17785	1.7733092392515242	2.900479856293714E-11	9.668266187645713E-12	5.968558980384842E-11
GOTERM_MF_FAT	GO:0043169~cation binding	161	22.42339832869081	5.318101661434175E-14	YIBO, ENO, IDI, NFO, ALAS, HTPX, ELAC, YCBL, PANB, GUDD, GLTD, FECA, RECR, FECB, KATE, NANK, CODA, FECC, CUTC, YQHD, YDBK, GLTB, ENTE, YACG, ENTF, ARGE, ENTC, PDXK, ISCA, GLTX, FECE, MEPA, THIM, GLTS, KDSB, RPME, ENTB, FADH, PDXY, OTSA, AROL, AROK, ISCR, LIGA, LYSU, RIBA, AROB, YGCM, PURT, RFFH, ISPG, MANB, BIOB, BIOD, PTSI, NUDG, CDD, NRDD, NRDB, YFGB, BTUB, RNFB, DAPE, PHET, GLMU, GUAB, PYRI, LEUC, LEUB, YOBA, YDEN, CYOA, CYOB, DUT, FHUC, FHUD, FHUE, ZNTR, FRDB, FEPA, CPSG, YODA, FEPC, FES, EXOX, GLPK, METK, HEMB, SECA, MGLB, ACEE, METG, ZNTA, GLPQ, MGTA, METE, TGT, GLPX, SLYD, HEMN, FHUA, FDX, PURF, YBGI, MOEA, GLPF, GLPC, PEPA, RUMA, PEPT, FNR, PYRC, MODC, RIMO, GSHB, MODE, ADE, SMS, HSLO, PFKA, RUMB, CIRA, YLEA, YIDJ, FRE, ILVI, ILVG, CUEO, BISC, SPEB, YJJG, YFCE, YCDB, DCP, SPED, YIDA, NADA, YFBR, YGJD, YRBI, YNCD, FUCI, YNCB, ILES, MAP, DKSA, BGLA, KEFA	562	2876	17785	1.7715546255920886	3.924660596510421E-11	9.811707002427283E-12	8.076872504148014E-11
GOTERM_MF_FAT	GO:0046914~transition metal ion binding	122	16.991643454038996	8.766042654059508E-12	YIBO, IDI, NFO, ALAS, HTPX, ELAC, YCBL, GLTD, FECA, FECB, RECR, CODA, FECC, NANK, KATE, CUTC, YDBK, YQHD, GLTB, ENTE, ENTF, YACG, ENTC, ARGE, PDXK, ISCA, FECE, GLTX, MEPA, RPME, ENTB, FADH, PDXY, ISCR, LIGA, RIBA, AROB, YGCM, ISPG, BIOB, NUDG, CDD, NRDD, YFGB, NRDB, RNFB, DAPE, GLMU, LEUC, PYRI, LEUB, YOBA, CYOA, CYOB, FHUC, FHUD, FHUE, ZNTR, FRDB, FEPA, YODA, FEPC, FES, GLPK, METK, HEMB, SECA, METG, ZNTA, METE, TGT, GLPX, HEMN, SLYD, FHUA, FDX, GLPC, PEPA, RUMA, PEPT, FNR, PYRC, MODC, RIMO, GSHB, MODE, ADE, HSLO, SMS, RUMB, CIRA, YLEA, FRE, CUEO, BISC, SPEB, YJJG, YCDB, YFCE, DCP, NADA, YFBR, YGJD, YNCD, FUCI, YNCB, ILES, MAP, DKSA	562	2075	17785	1.8606268490331432	6.469299096423242E-9	1.293859797080188E-9	1.3313172786411087E-8
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	143	19.91643454038997	8.791011370791861E-11	THRA, YBAX, THRB, YCJX, ALAS, YOAA, GLTD, NANK, ENTE, ENTF, GIDA, ACKA, PDXK, GLTX, FECE, MNMA, DEAD, THIM, RECG, FADE, GLCE, FADH, PDXY, AROL, CARA, ARGS, AROK, RHLE, YFHA, RHLB, CLPP, LYSU, RIBA, ARGG, THID, PURT, ACS, DNAB, PURM, BARA, GYRB, MCRB, BIOD, YEGD, GLNS, RCSC, NRDD, TRPS, NRDA, GLNG, HEPA, GLNE, LEUS, BIPA, PHET, GUAA, SAPD, DBPA, PCNB, COAD, FOLC, UDK, FHUC, NARQ, MSBA, MUKB, NARX, FEPC, YHBG, MGLA, METN, YHBJ, METL, GSS, GLPK, METK, SECA, METG, ZNTA, LEPA, MGTA, PARE, PROS, PARC, PURL, PURK, GLPA, TYRS, BIRA, GSK, PROB, UUP, ARTP, MURB, MURC, RSTB, PYRH, MURF, CYDD, MODC, GSHB, TRXB, GLYQ, MODE, SMS, YJBN, PFKA, PFKB, FTSK, ILVI, ENGB, YJEA, ILVG, NDH, CYAA, INFB, FTSY, FTSZ, BETA, ASNA, ASNB, YRBF, ASNC, SUFC, YHES, NADD, YNCE, NADE, CYSD, FUSA, CYSC, CYSA, ILES, ERA, HISI, YDIJ, HISP, FTSA, MPL, POTA, SELB, YDAO, CYSN	562	2677	17785	1.6904612509089556	6.487766912588455E-8	1.0812945094862414E-8	1.335118127165913E-7
GOTERM_MF_FAT	GO:0000166~nucleotide binding	161	22.42339832869081	1.8513209288999966E-10	THRA, YBAX, THRB, YCJX, ALAS, YOAA, FABG, GLTD, NANK, ENTE, ENTF, GIDA, ACKA, PDXK, GLTX, FECE, MNMA, DEAD, THIM, RECG, FADE, GLCE, FADH, PDXY, AROL, CARA, ARGS, AROK, RHLE, YFHA, RHLB, LYSU, CLPP, AROE, TKRA, RIBA, ARGG, THID, PURT, ACS, DNAB, ASD, GND, PURM, BARA, GYRB, MCRB, BIOD, YEGD, GLNS, RCSC, NRDD, TRPS, WECC, NRDA, GLNG, HEPA, RNFG, GLNE, LEUS, BIPA, PHET, GUAA, SAPD, LEUB, DBPA, USG, PCNB, FLDA, COAD, FLDB, FOLC, UDK, FHUC, NARQ, ZNTR, MSBA, MUKB, NARX, FEPC, YHBG, MGLA, METN, YHBJ, METL, GSS, GLPK, METK, SECA, METG, ZNTA, LEPA, MGTA, PARE, PROS, PARC, PURL, PURK, GLPA, NUSA, TYRS, BIRA, GSK, PROB, UUP, ARTP, MURB, RSTB, MURC, PYRH, MURF, CYDD, MODC, GSHB, TRXB, GLYQ, MODE, SMS, YJBN, PFKA, PFKB, FTSK, ENGB, ILVI, YJEA, ILVG, NDH, CYAA, YJJG, INFB, APBA, FTSY, FTSZ, BETA, ASNA, ASNB, YRBF, ASNC, FADJ, SUFC, YFBR, NADD, YHES, YNCE, NADE, CYSD, FUSA, CYSC, CYSA, ILES, ERA, GPSA, HISI, YDIJ, HISP, FTSA, MPL, POTA, SELB, CYSN, YDAO	562	3175	17785	1.6047216073079833	1.3662750397713808E-7	1.9518216043401537E-8	2.81165879467693E-7
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	129	17.96657381615599	4.985745350484712E-10	THRA, YBAX, THRB, YCJX, ALAS, YOAA, NANK, ENTE, ENTF, ACKA, PDXK, GLTX, FECE, MNMA, DEAD, THIM, RECG, PDXY, AROL, CARA, ARGS, AROK, RHLE, YFHA, RHLB, CLPP, LYSU, RIBA, ARGG, THID, PURT, ACS, DNAB, PURM, BARA, GYRB, MCRB, BIOD, YEGD, GLNS, RCSC, NRDD, TRPS, NRDA, GLNG, HEPA, GLNE, LEUS, BIPA, PHET, GUAA, SAPD, DBPA, PCNB, COAD, FOLC, UDK, FHUC, NARQ, MSBA, MUKB, NARX, FEPC, YHBG, METN, MGLA, YHBJ, METL, GSS, GLPK, METK, SECA, METG, ZNTA, LEPA, MGTA, PARE, PROS, PARC, PURL, PURK, TYRS, BIRA, GSK, PROB, UUP, ARTP, MURC, RSTB, PYRH, MURF, CYDD, MODC, GSHB, GLYQ, MODE, SMS, PFKA, PFKB, FTSK, ENGB, YJEA, CYAA, INFB, FTSY, FTSZ, ASNA, ASNB, YRBF, ASNC, SUFC, YHES, NADD, YNCE, NADE, FUSA, CYSD, CYSC, CYSA, ILES, ERA, HISI, HISP, FTSA, MPL, POTA, SELB, YDAO, CYSN	562	2385	17785	1.711665435663287	3.679479244622641E-7	4.5993498010155065E-8	7.572005022993267E-7
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	129	17.96657381615599	4.985745350484712E-10	THRA, YBAX, THRB, YCJX, ALAS, YOAA, NANK, ENTE, ENTF, ACKA, PDXK, GLTX, FECE, MNMA, DEAD, THIM, RECG, PDXY, AROL, CARA, ARGS, AROK, RHLE, YFHA, RHLB, CLPP, LYSU, RIBA, ARGG, THID, PURT, ACS, DNAB, PURM, BARA, GYRB, MCRB, BIOD, YEGD, GLNS, RCSC, NRDD, TRPS, NRDA, GLNG, HEPA, GLNE, LEUS, BIPA, PHET, GUAA, SAPD, DBPA, PCNB, COAD, FOLC, UDK, FHUC, NARQ, MSBA, MUKB, NARX, FEPC, YHBG, METN, MGLA, YHBJ, METL, GSS, GLPK, METK, SECA, METG, ZNTA, LEPA, MGTA, PARE, PROS, PARC, PURL, PURK, TYRS, BIRA, GSK, PROB, UUP, ARTP, MURC, RSTB, PYRH, MURF, CYDD, MODC, GSHB, GLYQ, MODE, SMS, PFKA, PFKB, FTSK, ENGB, YJEA, CYAA, INFB, FTSY, FTSZ, ASNA, ASNB, YRBF, ASNC, SUFC, YHES, NADD, YNCE, NADE, FUSA, CYSD, CYSC, CYSA, ILES, ERA, HISI, HISP, FTSA, MPL, POTA, SELB, YDAO, CYSN	562	2385	17785	1.711665435663287	3.679479244622641E-7	4.5993498010155065E-8	7.572005022993267E-7
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	133	18.52367688022284	1.2888480656933262E-9	THRA, YBAX, THRB, YCJX, ALAS, YOAA, GLTD, NANK, ENTE, ENTF, GIDA, ACKA, PDXK, GLTX, FECE, MNMA, DEAD, THIM, RECG, FADE, GLCE, FADH, PDXY, AROL, CARA, ARGS, AROK, RHLE, YFHA, RHLB, CLPP, LYSU, ARGG, THID, PURT, ACS, DNAB, PURM, BARA, GYRB, MCRB, BIOD, YEGD, GLNS, RCSC, NRDD, TRPS, NRDA, GLNG, HEPA, GLNE, LEUS, PHET, GUAA, SAPD, DBPA, PCNB, COAD, FOLC, UDK, FHUC, NARQ, MSBA, MUKB, NARX, FEPC, YHBG, METN, MGLA, YHBJ, METL, GSS, GLPK, METK, SECA, METG, ZNTA, MGTA, PARE, PROS, PARC, PURL, PURK, GLPA, TYRS, BIRA, GSK, PROB, UUP, ARTP, MURB, MURC, RSTB, PYRH, MURF, CYDD, MODC, TRXB, GSHB, GLYQ, MODE, YJBN, SMS, PFKA, PFKB, FTSK, ILVI, YJEA, ILVG, NDH, CYAA, BETA, ASNA, ASNB, YRBF, ASNC, SUFC, YHES, NADD, YNCE, NADE, CYSD, CYSC, CYSA, ILES, HISI, YDIJ, HISP, FTSA, MPL, POTA, YDAO, CYSN	562	2523	17785	1.6682147023187388	9.51169393137441E-7	1.0568553276968373E-7	1.957413264808139E-6
