"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",23,9.38775510204082,3.16373295880012e-12,"947096, 947828, 947103, 947816, 947817, 947809, 947800, 947801, 947810, 947802, 947784, 947793, 947845, 948484, 947792, 946318, 949000, 948483, 947846, 948720, 948721, 947686, 948723",218,57,3186,5.89715113471753,1.72104819284868e-09,1.72104819284868e-09,4.60984583838808e-09
"2","GOTERM_MF_ALL","GO:0019843~rRNA binding",20,8.16326530612245,2.16108188558998e-10,"947153, 947096, 947817, 947809, 947800, 947801, 947810, 947802, 947845, 948484, 947793, 948483, 947792, 947036, 947846, 948720, 948721, 947686, 945500, 948723",218,51,3186,5.7312466270912,1.17562876988941e-07,5.87814401598052e-08,3.1489376661753e-07
"3","GOTERM_MF_ALL","GO:0005198~structural molecule activity",23,9.38775510204082,8.73019323928463e-10,"947096, 947828, 947103, 947816, 947817, 947809, 947800, 947801, 947810, 947802, 947784, 947793, 947845, 948484, 947792, 946318, 949000, 948483, 947846, 948720, 948721, 947686, 948723",218,73,3186,4.60462485861506,4.74922399407163e-07,1.58307491560095e-07,1.2720863473703e-06
"4","GOTERM_MF_ALL","GO:0003723~RNA binding",35,14.2857142857143,9.33396247644852e-09,"947744, 947096, 947816, 947817, 947800, 947801, 947802, 947318, 945425, 947845, 946318, 949000, 947036, 947846, 948720, 948721, 947686, 945500, 948723, 948950, 947153, 947828, 948215, 947809, 945864, 947810, 947674, 945054, 947024, 948297, 948484, 947793, 947792, 948483, 948070",218,176,3186,2.90632819015847,5.07766272783705e-06,1.26941809908132e-06,1.36006216955309e-05
"5","GOTERM_MF_ALL","GO:0008186~RNA-dependent ATPase activity",6,2.44897959183673,0.000460873324470102,"947153, 947674, 948297, 945425, 945529, 948162",218,11,3186,7.97164303586322,0.221800904100821,0.0489176014164591,0.6694476891693
"6","GOTERM_MF_ALL","GO:1901363~heterocyclic compound binding",113,46.1224489795918,0.00106419765021794,"946957, 949122, 947937, 949025, 947744, 2847718, 948524, 944807, 948266, 946417, 945153, 948162, 947800, 947367, 947801, 947802, 945542, 948260, 945442, 947036, 948720, 948721, 947032, 948722, 948723, 947686, 947153, 2847702, 947155, 946401, 945529, 944797, 947674, 945535, 946486, 948484, 946487, 948483, 946209, 948070, 947353, 946975, 946741, 947103, 947816, 947817, 948242, 947318, 946159, 947280, 945425, 948950, 945611, 947907, 946891, 944775, 947809, 947810, 945341, 946368, 945248, 945556, 947793, 947792, 947697, 947794, 945097, 945240, 948423, 944965, 946723, 947122, 949064, 947573, 947845, 946318, 947846, 946814, 946079, 945500, 947828, 945774, 945771, 949058, 946733, 947631, 946066, 947096, 948500, 947249, 948209, 948504, 947761, 946988, 947967, 946985, 946099, 949000, 945100, 945591, 946713, 946234, 948215, 946132, 944989, 945864, 945387, 945054, 947024, 946189, 948297, 946705, 946323",218,1319,3186,1.2520536130374,0.439671345836187,0.0920251788965581,1.53950669567017
"7","GOTERM_MF_ALL","GO:0097159~organic cyclic compound binding",113,46.1224489795918,0.00106419765021794,"946957, 949122, 947937, 949025, 947744, 2847718, 948524, 944807, 948266, 946417, 945153, 948162, 947800, 947367, 947801, 947802, 945542, 948260, 945442, 947036, 948720, 948721, 947032, 948722, 948723, 947686, 947153, 2847702, 947155, 946401, 945529, 944797, 947674, 945535, 946486, 948484, 946487, 948483, 946209, 948070, 947353, 946975, 946741, 947103, 947816, 947817, 948242, 947318, 946159, 947280, 945425, 948950, 945611, 947907, 946891, 944775, 947809, 947810, 945341, 946368, 945248, 945556, 947793, 947792, 947697, 947794, 945097, 945240, 948423, 944965, 946723, 947122, 949064, 947573, 947845, 946318, 947846, 946814, 946079, 945500, 947828, 945774, 945771, 949058, 946733, 947631, 946066, 947096, 948500, 947249, 948209, 948504, 947761, 946988, 947967, 946985, 946099, 949000, 945100, 945591, 946713, 946234, 948215, 946132, 944989, 945864, 945387, 945054, 947024, 946189, 948297, 946705, 946323",218,1319,3186,1.2520536130374,0.439671345836187,0.0920251788965581,1.53950669567017
"8","GOTERM_MF_ALL","GO:0044822~poly(A) RNA binding",7,2.85714285714286,0.00119144537450035,"947828, 947793, 947792, 947846, 948720, 948721, 948723",218,19,3186,5.38435538387253,0.477187666430894,0.0884852742202438,1.72210293893572
"9","GOTERM_MF_ALL","GO:0003729~mRNA binding",6,2.44897959183673,0.00238985821596146,"947828, 947793, 947792, 947846, 948721, 948723",218,15,3186,5.84587155963303,0.727914481512911,0.150158023675219,3.42638051494402
"10","GOTERM_MF_ALL","GO:0048027~mRNA 5'-UTR binding",4,1.63265306122449,0.00281293022043456,"947793, 947792, 948721, 948723",218,5,3186,11.6917431192661,0.783981300928469,0.156559222146316,4.02143310629924
