"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0008106~alcohol dehydrogenase (NADP+) activity",3,2.63157894736842,0.00751570627768225,"947493, 947478, 944975",75,6,3186,21.24,0.884398942183628,0.884398942183628,9.52321643541807
"2","GOTERM_MF_ALL","GO:0016209~antioxidant activity",4,3.50877192982456,0.0118456246324252,"946763, 946043, 945343, 946234",75,21,3186,8.09142857142857,0.966895104838615,0.818052493390579,14.6216342218356
"3","GOTERM_MF_ALL","GO:0004033~aldo-keto reductase (NADP) activity",3,2.63157894736842,0.017240865929417,"947493, 947478, 944975",75,9,3186,14.16,0.993083801519127,0.809473312861079,20.6026329887092
"4","GOTERM_MF_ALL","GO:0004364~glutathione transferase activity",3,2.63157894736842,0.017240865929417,"946763, 946023, 946926",75,9,3186,14.16,0.993083801519127,0.809473312861079,20.6026329887092
"5","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",18,15.7894736842105,0.0205801144721636,"946763, 949126, 947839, 948937, 944975, 946735, 947615, 945101, 946234, 946132, 946043, 945838, 947493, 948755, 947478, 945343, 948757, 946926",75,439,3186,1.74177676537585,0.997387174652157,0.773911956733207,24.1077782148246
"6","GOTERM_MF_ALL","GO:0019203~carbohydrate phosphatase activity",3,2.63157894736842,0.0351843373850534,"946406, 946405, 947410",75,13,3186,9.80307692307692,0.999964430095576,0.871110796567525,37.8208332199979
"7","GOTERM_MF_ALL","GO:0003825~alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",2,1.75438596491228,0.0459208803036513,"946406, 946405",75,2,3186,42.48,0.999998550774694,0.893620980078508,46.3987777517727
"8","GOTERM_MF_ALL","GO:0004071~aspartate-ammonia ligase activity",2,1.75438596491228,0.0459208803036513,"945281, 948258",75,2,3186,42.48,0.999998550774694,0.893620980078508,46.3987777517727
"9","GOTERM_MF_ALL","GO:0004805~trehalose-phosphatase activity",2,1.75438596491228,0.0459208803036513,"946406, 946405",75,2,3186,42.48,0.999998550774694,0.893620980078508,46.3987777517727
"10","GOTERM_MF_ALL","GO:0004601~peroxidase activity",3,2.63157894736842,0.0459740750351502,"946763, 946043, 946234",75,15,3186,8.496,0.999998573701321,0.85382025114373,46.4384089624023
"11","GOTERM_MF_ALL","GO:0016684~oxidoreductase activity, acting on peroxide as acceptor",3,2.63157894736842,0.0517674820683004,"946763, 946043, 946234",75,16,3186,7.965,0.999999750169445,0.850477794632562,50.596063703213
"12","GOTERM_MF_ALL","GO:0042626~ATPase activity, coupled to transmembrane movement of substances",6,5.26315789473684,0.0608086189083956,"948065, 948064, 947953, 945364, 946884, 946659",75,92,3186,2.7704347826087,0.999999983868597,0.863797275682637,56.492236705468
"13","GOTERM_MF_ALL","GO:0003824~catalytic activity",55,48.2456140350877,0.0619586240736194,"948065, 946763, 944887, 948064, 949126, 947839, 946724, 945838, 946356, 946659, 945394, 946926, 2847741, 948234, 945931, 948272, 946256, 944975, 946406, 946735, 946405, 947493, 946023, 945364, 947006, 947148, 945134, 947456, 946884, 947410, 946336, 946632, 946297, 948258, 944990, 946891, 947528, 948937, 945757, 947615, 945101, 946234, 946132, 945865, 945281, 945747, 946043, 947953, 946996, 949072, 948755, 946626, 947478, 945343, 948757",75,2036,3186,1.1475442043222,0.999999988637064,0.839472642043029,57.193661041807
"14","GOTERM_MF_ALL","GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",6,5.26315789473684,0.065522783781302,"948065, 948064, 947953, 945364, 946884, 946659",75,94,3186,2.71148936170213,0.999999996174809,0.82829353530043,59.3016912012761
