"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0042879~aldonate transmembrane transporter activity",3,8.33333333333333,0.00164256613486151,"948798, 2847760, 947924",34,40,21998,48.525,0.196389766227099,0.196389766227099,1.90383958790117
"2","GOTERM_MF_ALL","GO:0015128~gluconate transmembrane transporter activity",3,8.33333333333333,0.00164256613486151,"948798, 2847760, 947924",34,40,21998,48.525,0.196389766227099,0.196389766227099,1.90383958790117
"3","GOTERM_MF_ALL","GO:0016614~oxidoreductase activity, acting on CH-OH group of donors",5,13.8888888888889,0.00277565550745568,"947109, 947631, 944769, 946735, 946733",34,395,21998,8.18987341772152,0.309041466231368,0.168760844420433,3.1977803863828
"4","GOTERM_MF_ALL","GO:0015149~hexose transmembrane transporter activity",3,8.33333333333333,0.00308357397894683,"948798, 2847760, 947924",34,55,21998,35.2909090909091,0.336846606332257,0.127956802183251,3.54670309548973
"5","GOTERM_MF_ALL","GO:0005515~protein binding",8,22.2222222222222,0.00403954478071381,"949122, 945591, 944893, 944769, 948978, 949058, 947160, 946725",34,1395,21998,3.71039426523298,0.41628797687,0.125923066160845,4.62266148958673
"6","GOTERM_MF_ALL","GO:0008028~monocarboxylic acid transmembrane transporter activity",3,8.33333333333333,0.00415108864767568,"948798, 2847760, 947924",34,64,21998,30.328125,0.424918706628651,0.10474686982161,4.74748794742247
"7","GOTERM_MF_ALL","GO:0046316~gluconokinase activity",2,5.55555555555556,0.00449386526137869,"947937, 946066",34,3,21998,431.333333333333,0.450656347578552,0.0950164498720252,5.13014787423729
"8","GOTERM_MF_ALL","GO:0004765~shikimate kinase activity",2,5.55555555555556,0.00598746391787414,"947937, 946066",34,4,21998,323.5,0.550098346002897,0.107834613216618,6.78117929688256
"9","GOTERM_MF_ALL","GO:0015145~monosaccharide transmembrane transporter activity",3,8.33333333333333,0.00966741528145508,"948798, 2847760, 947924",34,99,21998,19.6060606060606,0.725285141828883,0.149135765724878,10.7375188071277
"10","GOTERM_MF_ALL","GO:0004368~glycerol-3-phosphate dehydrogenase activity",2,5.55555555555556,0.0119401581551919,"946735, 946733",34,8,21998,161.75,0.797617926499417,0.162648110651351,13.1036253246018
"11","GOTERM_MF_ALL","GO:0016563~transcription activator activity",2,5.55555555555556,0.0455031455176545,"947280, 945442",34,31,21998,41.741935483871,0.997958221139455,0.461729138815384,41.9893617912686
"12","GOTERM_MF_ALL","GO:0043169~cation binding",9,25,0.0581419758693192,"948422, 944769, 944996, 946735, 947160, 946725, 948423, 948507, 949131",34,2876,21998,2.02468706536857,0.999653212210247,0.515314145303284,50.3616393671151
"13","GOTERM_MF_ALL","GO:0043167~ion binding",9,25,0.0596423607765791,"948422, 944769, 944996, 946735, 947160, 946725, 948423, 948507, 949131",34,2891,21998,2.01418194396403,0.999719471763407,0.494177610937582,51.2784022685495
"14","GOTERM_MF_ALL","GO:0005342~organic acid transmembrane transporter activity",3,8.33333333333333,0.0807408483444049,"948798, 2847760, 947924",34,315,21998,6.16190476190476,0.999986283321223,0.577387607144385,62.6330164971679
"15","GOTERM_MF_ALL","GO:0046943~carboxylic acid transmembrane transporter activity",3,8.33333333333333,0.0807408483444049,"948798, 2847760, 947924",34,315,21998,6.16190476190476,0.999986283321223,0.577387607144385,62.6330164971679
"16","GOTERM_MF_ALL","GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",3,8.33333333333333,0.0961144483994573,"947109, 947631, 944769",34,349,21998,5.56160458452722,0.999998544245642,0.617106740228059,69.3207989250662
"17","GOTERM_MF_ALL","GO:0046872~metal ion binding",8,22.2222222222222,0.116829355969477,"948422, 944769, 944996, 946735, 947160, 946725, 948423, 948507",34,2793,21998,1.85320443967061,0.999999933329283,0.667650006323938,76.6056205402708
"18","GOTERM_MF_ALL","GO:0005488~binding",25,69.4444444444444,0.122940004233708,"947937, 949122, 947109, 948041, 948978, 946725, 946192, 948507, 947280, 945442, 947160, 945591, 944893, 949058, 944996, 946735, 948422, 947631, 944769, 947227, 948564, 948070, 948423, 946066, 949131",34,13515,21998,1.1968183499815,0.999999973521265,0.663928969784551,78.4298075421895
"19","GOTERM_MF_ALL","GO:0016773~phosphotransferase activity, alcohol group as acceptor",4,11.1111111111111,0.162337417532826,"947937, 948041, 948423, 946066",34,931,21998,2.77980665950591,0.99999999994136,0.749891201817224,87.3972911616641
"20","GOTERM_MF_ALL","GO:0016301~kinase activity",4,11.1111111111111,0.177116574707573,"947937, 948041, 948423, 946066",34,971,21998,2.66529351184346,0.999999999994505,0.763165910284333,89.76543661476
"21","GOTERM_MF_ALL","GO:0051119~sugar transmembrane transporter activity",3,8.33333333333333,0.188450041735189,"948798, 2847760, 947924",34,530,21998,3.6622641509434,0.999999999999131,0.768150150530501,91.2975197299934
"22","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",6,16.6666666666667,0.195908125493153,"944769, 944996, 946735, 947160, 948423, 948507",34,2075,21998,1.87084337349398,0.999999999999746,0.76542445777881,92.1880433047597
"23","GOTERM_MF_ALL","GO:0016772~transferase activity, transferring phosphorus-containing groups",5,13.8888888888889,0.234117492042646,"947937, 948041, 947280, 948423, 946066",34,1655,21998,1.95468277945619,1,0.81534533319235,95.5788707431869
"24","GOTERM_MF_ALL","GO:0015144~carbohydrate transmembrane transporter activity",3,8.33333333333333,0.242586087322504,"948798, 2847760, 947924",34,628,21998,3.09076433121019,1,0.813570421102179,96.1178683771626
"25","GOTERM_MF_ALL","GO:0008270~zinc ion binding",3,8.33333333333333,0.311501560606364,"944769, 948423, 948507",34,751,21998,2.58455392809587,1,0.884480247956675,98.7275680843611
"26","GOTERM_MF_ALL","GO:0005506~iron ion binding",3,8.33333333333333,0.391300636530499,"944996, 946735, 947160",34,896,21998,2.16629464285714,1,0.936139480505945,99.6986512680728
"27","GOTERM_MF_ALL","GO:0016829~lyase activity",3,8.33333333333333,0.418003544307985,"946367, 946362, 947160",34,946,21998,2.05179704016913,1,0.943846580512285,99.8216534795673
"28","GOTERM_MF_ALL","GO:0005524~ATP binding",5,13.8888888888889,0.431917558423492,"949122, 947937, 948041, 948423, 946066",34,2225,21998,1.45393258426966,1,0.944573215933254,99.8656042619531
"29","GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",5,13.8888888888889,0.434015288994083,"949122, 947937, 948041, 948423, 946066",34,2231,21998,1.45002241147468,1,0.939419303582381,99.8712939107159
"30","GOTERM_MF_ALL","GO:0022891~substrate-specific transmembrane transporter activity",4,11.1111111111111,0.439225504232976,"948798, 2847760, 946704, 947924",34,1612,21998,1.60545905707196,1,0.935916797914707,99.8844857234461
"31","GOTERM_MF_ALL","GO:0009055~electron carrier activity",3,8.33333333333333,0.466164017706038,"946735, 947160, 946733",34,1039,21998,1.86814244465833,1,0.94378710257634,99.9350410234341
"32","GOTERM_MF_ALL","GO:0032555~purine ribonucleotide binding",5,13.8888888888889,0.487194923284379,"949122, 947937, 948041, 948423, 946066",34,2385,21998,1.35639412997904,1,0.948224782226305,99.9593991161439
"33","GOTERM_MF_ALL","GO:0032553~ribonucleotide binding",5,13.8888888888889,0.487194923284379,"949122, 947937, 948041, 948423, 946066",34,2385,21998,1.35639412997904,1,0.948224782226305,99.9593991161439
"34","GOTERM_MF_ALL","GO:0000166~nucleotide binding",6,16.6666666666667,0.528002954523397,"949122, 947937, 948041, 948423, 946192, 946066",34,3175,21998,1.22267716535433,1,0.960088841809653,99.9846027596622
"35","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",5,13.8888888888889,0.53007658419524,"947109, 947631, 944769, 946735, 946733",34,2513,21998,1.28730600875448,1,0.956662627571258,99.985375399248
"36","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",5,13.8888888888889,0.533364111247834,"949122, 947937, 948041, 948423, 946066",34,2523,21998,1.28220372572335,1,0.953667942890923,99.9865279612802
"37","GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",5,13.8888888888889,0.533364111247834,"949122, 947937, 948041, 948423, 946066",34,2523,21998,1.28220372572335,1,0.953667942890923,99.9865279612802
"38","GOTERM_MF_ALL","GO:0001882~nucleoside binding",5,13.8888888888889,0.547062316018896,"949122, 947937, 948041, 948423, 946066",34,2565,21998,1.26120857699805,1,0.954866047410731,99.9904910528608
"39","GOTERM_MF_ALL","GO:0022857~transmembrane transporter activity",4,11.1111111111111,0.551623524491824,"948798, 2847760, 946704, 947924",34,1900,21998,1.36210526315789,1,0.952549290379157,99.9915523635685
"40","GOTERM_MF_ALL","GO:0017076~purine nucleotide binding",5,13.8888888888889,0.582661833723694,"949122, 947937, 948041, 948423, 946066",34,2677,21998,1.2084422861412,1,0.960380008107719,99.9963486799595
"41","GOTERM_MF_ALL","GO:0022892~substrate-specific transporter activity",4,11.1111111111111,0.607203569818395,"948798, 2847760, 946704, 947924",34,2056,21998,1.25875486381323,1,0.965230631342509,99.9982024160468
"42","GOTERM_MF_ALL","GO:0048037~cofactor binding",3,8.33333333333333,0.645602796922761,"947631, 948564, 946192",34,1440,21998,1.34791666666667,1,0.973501822792228,99.9994601316679
"43","GOTERM_MF_ALL","GO:0005215~transporter activity",6,16.6666666666667,0.681454464539266,"948422, 948798, 2847760, 946704, 944894, 947924",34,3736,21998,1.03907922912206,1,0.97978435975472,99.9998448711311
"44","GOTERM_MF_ALL","GO:0051540~metal cluster binding",2,5.55555555555556,0.692177802132085,"946735, 947160",34,771,21998,1.67833981841764,1,0.980111717371496,99.9998960552925
"45","GOTERM_MF_ALL","GO:0051536~iron-sulfur cluster binding",2,5.55555555555556,0.692177802132085,"946735, 947160",34,771,21998,1.67833981841764,1,0.980111717371496,99.9998960552925
"46","GOTERM_MF_ALL","GO:0016740~transferase activity",6,16.6666666666667,0.742043716523083,"946367, 947937, 948041, 947280, 948423, 946066",34,4000,21998,0.9705,1,0.987665742956078,99.9999868375538
"47","GOTERM_MF_ALL","GO:0050662~coenzyme binding",2,5.55555555555556,0.756449642401516,"947631, 946192",34,921,21998,1.40499457111835,1,0.988583549184301,99.9999932777314
"48","GOTERM_MF_ALL","GO:0016788~hydrolase activity, acting on ester bonds",2,5.55555555555556,0.804872900060464,"949122, 946725",34,1062,21998,1.21845574387947,1,0.99361830856667,99.9999994966873
"49","GOTERM_MF_ALL","GO:0030528~transcription regulator activity",3,8.33333333333333,0.840315673747408,"947280, 945442, 949058",34,2118,21998,0.91643059490085,1,0.99609447703826,99.9999999517031
