"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",47,11.6915422885572,9.28528955474884e-64,"947096, 947103, 948490, 947816, 947818, 947817, 944960, 947819, 947800, 947801, 947802, 947820, 947803, 944759, 947784, 949000, 947846, 948720, 948721, 946941, 945618, 948723, 947686, 947828, 947874, 947807, 947806, 945657, 947804, 949057, 948216, 947809, 947808, 947810, 945536, 948489, 947797, 947813, 947814, 947811, 947798, 948484, 947793, 947792, 948483, 947795, 947791",346,77,21998,38.8073718189325,5.02334164911912e-61,5.02334164911912e-61,1.35193124826265e-60
"2","GOTERM_MF_ALL","GO:0005198~structural molecule activity",47,11.6915422885572,7.51268492744548e-47,"947096, 947103, 948490, 947816, 947818, 947817, 944960, 947819, 947800, 947801, 947802, 947820, 947803, 944759, 947784, 949000, 947846, 948720, 948721, 946941, 945618, 948723, 947686, 947828, 947874, 947807, 947806, 945657, 947804, 949057, 948216, 947809, 947808, 947810, 945536, 948489, 947797, 947813, 947814, 947811, 947798, 948484, 947793, 947792, 948483, 947795, 947791",346,149,21998,20.0548163091128,4.064362545748e-44,2.032181272874e-44,1.09384133385166e-43
"3","GOTERM_MF_ALL","GO:0019843~rRNA binding",33,8.2089552238806,1.53586345134792e-45,"947096, 947818, 947817, 947819, 947800, 947801, 947820, 947802, 947803, 944759, 947846, 948720, 948721, 945618, 948723, 947686, 947807, 947806, 947804, 949057, 947809, 947808, 947810, 947813, 947814, 947811, 947798, 947793, 948484, 947792, 948483, 947795, 947791",346,51,21998,41.1387283236994,8.30902127179226e-43,2.76967375726409e-43,2.23620575394964e-42
"4","GOTERM_MF_ALL","GO:0005515~protein binding",100,24.8756218905473,7.87358519251818e-39,"946957, 947165, 948490, 948162, 947334, 947803, 948313, 945440, 946006, 947874, 947155, 946879, 945527, 947357, 948489, 948484, 948483, 948872, 947934, 948486, 945030, 948548, 947816, 947818, 948246, 947817, 947819, 945566, 947820, 947313, 945425, 947386, 946370, 945618, 947219, 946941, 947178, 948195, 944817, 947809, 947810, 944821, 945695, 945807, 947813, 944769, 947814, 947793, 947697, 948427, 947795, 947794, 947911, 945097, 947708, 947372, 947262, 945780, 945081, 948323, 945782, 947121, 946725, 948819, 944753, 945087, 948124, 945250, 947847, 945870, 946731, 945887, 946643, 947776, 947083, 948904, 947096, 948907, 948602, 946223, 948286, 949000, 945993, 944872, 946906, 947763, 948913, 946233, 945657, 947239, 945651, 945864, 944989, 946998, 948157, 946323, 945057, 944866, 949133, 948897",346,1395,21998,4.55756521018501,4.25960958915234e-36,1.06490239728808e-36,1.14638814383332e-35
"5","GOTERM_MF_ALL","GO:0003723~RNA binding",54,13.4328358208955,9.92866958397892e-33,"946262, 948490, 947800, 947801, 947802, 947803, 945637, 947036, 947846, 948720, 948721, 947686, 948723, 945500, 947153, 949057, 945536, 947674, 948484, 946643, 948483, 947096, 947099, 947816, 947818, 947817, 947819, 947820, 947318, 944759, 945067, 945425, 949000, 945618, 947807, 947806, 947804, 947809, 948215, 947808, 946425, 947810, 945864, 947813, 947814, 948855, 947811, 948156, 947798, 947793, 947792, 947795, 947911, 947791",346,414,21998,8.29278713244534,5.3714102449326e-30,1.07428204898652e-30,1.44560690165996e-29
"6","GOTERM_MF_ALL","GO:0046872~metal ion binding",94,23.3830845771144,6.11277609431067e-13,"948690, 946106, 946201, 946765, 947262, 945184, 945780, 948323, 945782, 945181, 948826, 946725, 947538, 948819, 944753, 948313, 945180, 945250, 946178, 946816, 947031, 948076, 947736, 946879, 948963, 947446, 947447, 946735, 947502, 945364, 946643, 945368, 946015, 946162, 945984, 947919, 949104, 949042, 945031, 947149, 948246, 947285, 948504, 946223, 947510, 946979, 946985, 946812, 946838, 946839, 947093, 946906, 946375, 949041, 947719, 949040, 947868, 947178, 945003, 947715, 946233, 2847724, 946663, 947175, 946890, 947426, 944817, 945047, 945193, 948099, 945790, 945194, 947239, 948422, 946045, 946794, 946427, 944821, 946998, 948891, 945284, 948157, 944769, 945389, 945649, 945057, 945511, 948159, 946325, 948899, 947372, 948423, 949130, 948424",346,2793,21998,2.13975483713412,3.30707239371009e-10,5.51179102359356e-11,8.90032492151249e-10
"7","GOTERM_MF_ALL","GO:0043169~cation binding",95,23.6318407960199,1.29933542266645e-12,"948690, 946106, 946201, 946765, 947262, 945184, 945780, 948323, 945782, 945181, 948826, 946725, 947538, 948819, 944753, 948313, 945180, 945250, 946178, 948762, 946816, 947031, 948076, 947736, 946879, 948963, 947446, 947447, 946735, 947502, 945364, 946643, 945368, 946015, 946162, 945984, 947919, 949104, 949042, 945031, 947149, 948246, 947285, 948504, 946223, 947510, 946979, 946985, 946812, 946838, 946839, 947093, 946906, 946375, 949041, 947719, 949040, 947868, 947178, 945003, 947715, 946233, 2847724, 946663, 947175, 946890, 947426, 944817, 945047, 945193, 948099, 945790, 945194, 947239, 948422, 946045, 946794, 946427, 944821, 946998, 948891, 945284, 948157, 944769, 945389, 945649, 945057, 945511, 948159, 946325, 948899, 947372, 948423, 949130, 948424",346,2876,21998,2.10010893421338,7.02918057093882e-10,1.00416897019784e-10,1.89176452281004e-09
"8","GOTERM_MF_ALL","GO:0043167~ion binding",95,23.6318407960199,1.75856694491351e-12,"948690, 946106, 946201, 946765, 947262, 945184, 945780, 948323, 945782, 945181, 948826, 946725, 947538, 948819, 944753, 948313, 945180, 945250, 946178, 948762, 946816, 947031, 948076, 947736, 946879, 948963, 947446, 947447, 946735, 947502, 945364, 946643, 945368, 946015, 946162, 945984, 947919, 949104, 949042, 945031, 947149, 948246, 947285, 948504, 946223, 947510, 946979, 946985, 946812, 946838, 946839, 947093, 946906, 946375, 949041, 947719, 949040, 947868, 947178, 945003, 947715, 946233, 2847724, 946663, 947175, 946890, 947426, 944817, 945047, 945193, 948099, 945790, 945194, 947239, 948422, 946045, 946794, 946427, 944821, 946998, 948891, 945284, 948157, 944769, 945389, 945649, 945057, 945511, 948159, 946325, 948899, 947372, 948423, 949130, 948424",346,2891,21998,2.08921248522922,9.5139895961438e-10,1.18924869951798e-10,2.56049625946275e-09
"9","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",76,18.9054726368159,4.31513774219022e-12,"946106, 946201, 946765, 947262, 945184, 945780, 945782, 948323, 945181, 948826, 947538, 948819, 944753, 948313, 945180, 945250, 946178, 946816, 947031, 948076, 947736, 948963, 947446, 947447, 946735, 947502, 945364, 946643, 945368, 946015, 946162, 945984, 947919, 949104, 949042, 947149, 948246, 948504, 947510, 946812, 946838, 946839, 947093, 946906, 946375, 949040, 947868, 947178, 945003, 947715, 2847724, 946663, 947175, 946890, 947426, 945047, 945193, 948099, 945194, 947239, 946427, 944821, 946998, 948891, 945284, 944769, 945389, 945649, 945057, 945511, 948159, 946325, 948899, 949130, 948423, 948424",346,2075,21998,2.32864127028345,2.33447117192753e-09,2.59385735112971e-10,6.28276319858401e-09
"10","GOTERM_MF_ALL","GO:0000049~tRNA binding",11,2.7363184079602,1.21547221162958e-11,"947800, 947811, 948156, 947816, 946643, 948483, 949000, 947806, 947846, 947791, 948215",346,29,21998,24.1158062587203,6.57570442541555e-09,6.57570442541555e-10,1.76971881593602e-08
"11","GOTERM_MF_ALL","GO:0005488~binding",269,66.9154228855721,6.61242667816685e-11,"946201, 947165, 947881, 948368, 945153, 947369, 945440, 945637, 946006, 948720, 948721, 948722, 947686, 948723, 947153, 947874, 947155, 945527, 945536, 945226, 945535, 947674, 947357, 945364, 948370, 945368, 946015, 944889, 948872, 949104, 945030, 947109, 947104, 948548, 945031, 947101, 948246, 947285, 945566, 944759, 945425, 947386, 946812, 947387, 948101, 945618, 947178, 948555, 947175, 945047, 948253, 945803, 945807, 944769, 948855, 947696, 947798, 947793, 947792, 947697, 947795, 947794, 947372, 945240, 947791, 946106, 946262, 947267, 947262, 945780, 945782, 948323, 947121, 948028, 948124, 945250, 948762, 945258, 946659, 945500, 946116, 947394, 947501, 947502, 947393, 948774, 946643, 947776, 947083, 948904, 946288, 948907, 947096, 946628, 947099, 948602, 947149, 946223, 948504, 949000, 947093, 946906, 948911, 947763, 948913, 945526, 945003, 946233, 947234, 945657, 948217, 947130, 948215, 945651, 945790, 947239, 946792, 946794, 945284, 948891, 948157, 945389, 945649, 948156, 945511, 948159, 948899, 948897, 948690, 946957, 946765, 948490, 945184, 945181, 948162, 947538, 947800, 947334, 947801, 948318, 947802, 947803, 948313, 945180, 946495, 946178, 947036, 947032, 947031, 948076, 947736, 946879, 948489, 948300, 948484, 948483, 947934, 946162, 948486, 946975, 949042, 947919, 949043, 947816, 947818, 947817, 947510, 946888, 947819, 947318, 947820, 947313, 946370, 947217, 946375, 949041, 946941, 947219, 945893, 947058, 947719, 946373, 949040, 947715, 2847724, 945291, 947907, 946663, 946890, 946891, 947426, 947807, 944817, 948195, 947806, 947804, 945193, 947809, 945194, 945499, 947808, 948422, 947810, 946045, 944821, 947813, 945695, 947814, 947811, 948427, 947911, 945097, 947708, 948423, 948424, 944965, 945081, 948977, 948826, 946725, 949060, 948819, 945087, 944753, 947847, 947846, 946452, 945870, 946816, 946731, 946584, 949057, 948963, 947446, 947447, 946735, 945887, 945984, 947457, 948089, 944986, 946979, 945067, 948286, 946199, 946985, 946838, 945993, 946839, 944872, 947868, 946713, 948292, 948099, 946425, 945864, 944989, 946427, 948567, 946998, 946189, 947022, 945057, 946323, 946325, 944866, 948564, 949133, 949130",346,13515,21998,1.26544515941397,3.57732008460232e-08,3.25210924856378e-09,9.62763646583653e-08
