"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0015075~ion transmembrane transporter activity",5,25,0.0090579506601421,"949042, 948778, 948411, 948237, 947740",16,185,3186,5.38175675675676,0.720259044806089,0.720259044806089,10.1799348125278
"2","GOTERM_MF_ALL","GO:0042625~ATPase coupled ion transmembrane transporter activity",3,15,0.0106417317157988,"948778, 948411, 948237",16,34,3186,17.5698529411765,0.776384313193718,0.527119796559126,11.8592074420031
"3","GOTERM_MF_ALL","GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity",4,20,0.011249639528392,"949042, 948778, 948411, 948237",16,103,3186,7.73300970873786,0.794821581828564,0.410192135557713,12.496099978289
"4","GOTERM_MF_ALL","GO:0015399~primary active transmembrane transporter activity",4,20,0.0124828828669374,"949042, 948778, 948411, 948237",16,107,3186,7.44392523364486,0.827714586603008,0.355738577250428,13.7752226794316
"5","GOTERM_MF_ALL","GO:0047527~2,3-dihydroxybenzoate-serine ligase activity",2,10,0.0140622934731895,"947426, 946178",16,3,3186,132.75,0.86230230430122,0.327355904139052,15.3883952948757
"6","GOTERM_MF_ALL","GO:0022853~active ion transmembrane transporter activity",3,15,0.0152619546194024,"948778, 948411, 948237",16,41,3186,14.5701219512195,0.883881768950644,0.301526283134568,16.5951893190399
"7","GOTERM_MF_ALL","GO:0022891~substrate-specific transmembrane transporter activity",6,30,0.0285999739962542,"949042, 948923, 948778, 948411, 948237, 947740",16,391,3186,3.05562659846547,0.982791797549157,0.440291096746616,28.9915176941504
"8","GOTERM_MF_ALL","GO:0022804~active transmembrane transporter activity",5,25,0.0333723194158515,"949042, 948778, 948411, 948237, 947740",16,272,3186,3.66038602941176,0.991364413156683,0.447876182661505,33.0001957335222
"9","GOTERM_MF_ALL","GO:0022892~substrate-specific transporter activity",6,30,0.044677931278533,"949042, 948923, 948778, 948411, 948237, 947740",16,439,3186,2.72152619589977,0.998336689003534,0.508844204243222,41.6840319311383
"10","GOTERM_MF_ALL","GO:0043225~anion transmembrane-transporting ATPase activity",2,10,0.0551497415992412,"948411, 948237",16,12,3186,33.1875,0.999644517631675,0.548058933128715,48.795548254104
"11","GOTERM_MF_ALL","GO:0022857~transmembrane transporter activity",6,30,0.0580769947500474,"949042, 948923, 948778, 948411, 948237, 947740",16,471,3186,2.53662420382166,0.999769772830029,0.533032171223097,50.6363128550198
"12","GOTERM_MF_ALL","GO:0042626~ATPase activity, coupled to transmembrane movement of substances",3,15,0.0678725410353325,"948778, 948411, 948237",16,92,3186,6.49320652173913,0.999946722694965,0.559568349685103,56.3646066260235
"13","GOTERM_MF_ALL","GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",3,15,0.0704912821959612,"948778, 948411, 948237",16,94,3186,6.35505319148936,0.999964067665935,0.544892215833979,57.7893088297776
"14","GOTERM_MF_ALL","GO:0043492~ATPase activity, coupled to movement of substances",3,15,0.071813516079563,"948778, 948411, 948237",16,95,3186,6.28815789473684,0.999970560284967,0.52537304378488,58.492364405112
"15","GOTERM_MF_ALL","GO:0016881~acid-amino acid ligase activity",2,10,0.0946346148644905,"947426, 946178",16,21,3186,18.9642857142857,0.999999097714348,0.604612498550125,69.0568328785094
"16","GOTERM_MF_ALL","GO:0005215~transporter activity",6,30,0.113164968773549,"949042, 948923, 948778, 948411, 948237, 947740",16,569,3186,2.09973637961336,0.999999950111827,0.650356990108268,75.7563869022366
"17","GOTERM_MF_ALL","GO:0008324~cation transmembrane transporter activity",3,15,0.122760275682256,"949042, 948778, 947740",16,130,3186,4.59519230769231,0.999999989121712,0.659934647544216,78.6768016713949
"18","GOTERM_MF_ALL","GO:0015103~inorganic anion transmembrane transporter activity",2,10,0.132575118081071,"948411, 948237",16,30,3186,13.275,0.999999997748549,0.669187999923675,81.3277129156372
"19","GOTERM_MF_ALL","GO:0042802~identical protein binding",4,20,0.135729850158784,"945284, 947139, 945557, 946178",16,277,3186,2.87545126353791,0.999999998648139,0.658644470443928,82.1134238302008
"20","GOTERM_MF_ALL","GO:0042623~ATPase activity, coupled",3,15,0.137074815857643,"948778, 948411, 948237",16,139,3186,4.2976618705036,0.999999998912973,0.643703129936955,82.4391017742284
"21","GOTERM_MF_ALL","GO:0016879~ligase activity, forming carbon-nitrogen bonds",2,10,0.200224308211272,"947426, 946178",16,47,3186,8.47340425531915,0.999999999999974,0.77451309047785,92.8365672341867
"22","GOTERM_MF_ALL","GO:0016787~hydrolase activity",6,30,0.212705716176275,"948778, 947139, 948411, 946178, 948237, 946815",16,694,3186,1.72154178674352,0.999999999999997,0.781699735682389,94.0499450686243
"23","GOTERM_MF_ALL","GO:0016887~ATPase activity",3,15,0.216968120067989,"948778, 948411, 948237",16,186,3186,3.2116935483871,0.999999999999999,0.774347528696673,94.4191159624254
"24","GOTERM_MF_ALL","GO:0008509~anion transmembrane transporter activity",2,10,0.237683464018555,"948411, 948237",16,57,3186,6.98684210526316,1,0.794668229086982,95.9326256256814
"25","GOTERM_MF_ALL","GO:0051119~sugar transmembrane transporter activity",2,10,0.237683464018555,"948923, 947740",16,57,3186,6.98684210526316,1,0.794668229086982,95.9326256256814
