"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eco00220:Arginine biosynthesis",3,5.35714285714286,0.0248982904772685,"948774, 947864, 947289",23,18,1575,11.4130434782609,0.53064922968987,0.53064922968987,19.3280954041202
"2","KEGG_PATHWAY","eco01210:2-Oxocarboxylic acid metabolism",2,3.57142857142857,0.308360400708444,"947864, 947289",23,26,1575,5.26755852842809,0.999984282064029,0.996035414779507,95.6746120525619
"3","KEGG_PATHWAY","eco00040:Pentose and glucuronate interconversions",2,3.57142857142857,0.318183558347948,"946149, 947082",23,27,1575,5.07246376811594,0.999989766502349,0.978289256418426,96.1708248412115
"4","KEGG_PATHWAY","eco00051:Fructose and mannose metabolism",2,3.57142857142857,0.434364354574316,"946195, 946022",23,40,1575,3.42391304347826,0.999999962320676,0.986067605077845,99.220174010729
"5","KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",5,8.92857142857143,0.434373661005391,"946195, 946022, 944991, 947864, 948562",23,239,1575,1.4325995997817,0.99999996233927,0.967252530382864,99.2202833000282
"6","KEGG_PATHWAY","eco02060:Phosphotransferase system (PTS)",2,3.57142857142857,0.458353352528584,"948761, 945651",23,43,1575,3.1850353892821,0.999999989732096,0.953379138223385,99.4608936015516
"7","KEGG_PATHWAY","eco01230:Biosynthesis of amino acids",3,5.35714285714286,0.4998550427054,"948774, 947864, 947289",23,118,1575,1.740972733972,0.999999999060543,0.948665306190488,99.7266214339474
"8","KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",3,5.35714285714286,0.777755780776938,"948774, 947864, 947289",23,195,1575,1.05351170568562,1,0.99644684400193,99.9997270957478
"9","KEGG_PATHWAY","eco02010:ABC transporters",2,3.57142857142857,0.920397885759858,"948981, 945309",23,170,1575,0.805626598465473,1,0.999783022179414,99.9999999565905
"10","KEGG_PATHWAY","eco01100:Metabolic pathways",8,14.2857142857143,0.921024331361687,"946149, 947432, 945568, 948774, 944816, 947082, 947864, 947289",23,697,1575,0.785977169234608,1,0.999507416415792,99.9999999594159
"11","KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",3,5.35714285714286,0.937073113463669,"948774, 947864, 947289",23,294,1575,0.698757763975155,1,0.999470215987126,99.9999999941393
"12","KEGG_PATHWAY","eco00564:Glycerophospholipid metabolism",1,1.78571428571429,1,"946725",23,29,1575,2.36131934032983,1,1,100
"13","KEGG_PATHWAY","eco00500:Starch and sucrose metabolism",1,1.78571428571429,1,"948761",23,30,1575,2.28260869565217,1,1,100
"14","KEGG_PATHWAY","eco00520:Amino sugar and nucleotide sugar metabolism",1,1.78571428571429,1,"945651",23,45,1575,1.52173913043478,1,1,100
"15","KEGG_PATHWAY","eco03010:Ribosome",1,1.78571428571429,1,"948489",23,78,1575,0.877926421404682,1,1,100
"16","KEGG_PATHWAY","eco00680:Methane metabolism",1,1.78571428571429,1,"944991",23,27,1575,2.53623188405797,1,1,100
"17","KEGG_PATHWAY","eco00230:Purine metabolism",1,1.78571428571429,1,"947244",23,87,1575,0.787106446776612,1,1,100
"18","KEGG_PATHWAY","eco02020:Two-component system",1,1.78571428571429,1,"948507",23,146,1575,0.469029184038118,1,1,100
"19","KEGG_PATHWAY","eco00540:Lipopolysaccharide biosynthesis",1,1.78571428571429,1,"944816",23,31,1575,2.20897615708275,1,1,100
"20","KEGG_PATHWAY","eco00970:Aminoacyl-tRNA biosynthesis",1,1.78571428571429,1,"949116",23,111,1575,0.616921269095182,1,1,100
"21","KEGG_PATHWAY","eco01503:Cationic antimicrobial peptide (CAMP) resistance",1,1.78571428571429,1,"946916",23,36,1575,1.90217391304348,1,1,100
"22","KEGG_PATHWAY","eco00330:Arginine and proline metabolism",1,1.78571428571429,1,"947432",23,25,1575,2.73913043478261,1,1,100
"23","KEGG_PATHWAY","eco00300:Lysine biosynthesis",1,1.78571428571429,1,"947864",23,15,1575,4.56521739130435,1,1,100
"24","KEGG_PATHWAY","eco01212:Fatty acid metabolism",1,1.78571428571429,1,"945568",23,21,1575,3.26086956521739,1,1,100
"25","KEGG_PATHWAY","eco00010:Glycolysis / Gluconeogenesis",1,1.78571428571429,1,"945651",23,40,1575,1.71195652173913,1,1,100
"26","KEGG_PATHWAY","eco00620:Pyruvate metabolism",1,1.78571428571429,1,"946132",23,51,1575,1.34271099744246,1,1,100
"27","KEGG_PATHWAY","eco00627:Aminobenzoate degradation",1,1.78571428571429,1,"948562",23,7,1575,9.78260869565217,1,1,100
"28","KEGG_PATHWAY","eco00860:Porphyrin and chlorophyll metabolism",1,1.78571428571429,1,"946149",23,24,1575,2.85326086956522,1,1,100
"29","KEGG_PATHWAY","eco01200:Carbon metabolism",1,1.78571428571429,1,"944991",23,108,1575,0.634057971014493,1,1,100
"30","KEGG_PATHWAY","eco00061:Fatty acid biosynthesis",1,1.78571428571429,1,"945568",23,13,1575,5.26755852842809,1,1,100
