"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0004459~L-lactate dehydrogenase activity",4,1.82648401826484,0.000750052795460036,"945906, 948121, 948438, 944980",187,4,3186,17.0374331550802,0.328121084303504,0.328121084303504,1.08345024324416
"2","GOTERM_MF_ALL","GO:0004457~lactate dehydrogenase activity",4,1.82648401826484,0.00343510120649312,"945906, 948121, 948438, 944980",187,6,3186,11.3582887700535,0.838578738130887,0.598227350521326,4.87305216119162
"3","GOTERM_MF_ALL","GO:0060089~molecular transducer activity",10,4.5662100456621,0.00450337334744251,"946399, 947255, 948884, 949027, 946345, 946844, 945995, 945843, 945193, 948870",187,56,3186,3.0423987776929,0.908569701522897,0.549498011258493,6.34283594084487
"4","GOTERM_MF_ALL","GO:0051539~4 iron, 4 sulfur cluster binding",15,6.84931506849315,0.00535373512458493,"948642, 948453, 946035, 948666, 945753, 948756, 949068, 944980, 948963, 945999, 947093, 946735, 947594, 945268, 946724",187,113,3186,2.26160617102835,0.941871685452593,0.50898254310266,7.49766238902807
"5","GOTERM_MF_ALL","GO:0005506~iron ion binding",12,5.47945205479452,0.00728754460157462,"948076, 947839, 944858, 947603, 949068, 947082, 945181, 945193, 948963, 947093, 946234, 946724",187,82,3186,2.49328290074345,0.979277621818269,0.539438194416462,10.0746773601217
"6","GOTERM_MF_ALL","GO:0004871~signal transducer activity",11,5.02283105022831,0.00812836010519806,"946399, 948048, 947255, 946182, 948884, 949027, 946844, 945995, 945046, 947444, 948870",187,72,3186,2.60294117647059,0.986774849595377,0.513704665144116,11.1741696603783
"7","GOTERM_MF_ALL","GO:0047527~2,3-dihydroxybenzoate-serine ligase activity",3,1.36986301369863,0.00978111309435692,"947426, 945184, 946178",187,3,3186,17.0374331550802,0.994535644387413,0.524893163972836,13.2990009162525
"8","GOTERM_MF_ALL","GO:0051540~metal cluster binding",17,7.76255707762557,0.00985979719145125,"948642, 945931, 948666, 949068, 945753, 944980, 948963, 946735, 947594, 946724, 948891, 948453, 946035, 948756, 945999, 947093, 945268",187,146,3186,1.98381070983811,0.994761003190022,0.481312219549969,13.3989696537466
"9","GOTERM_MF_ALL","GO:0051536~iron-sulfur cluster binding",17,7.76255707762557,0.00985979719145125,"948642, 945931, 948666, 949068, 945753, 944980, 948963, 946735, 947594, 946724, 948891, 948453, 946035, 948756, 945999, 947093, 945268",187,146,3186,1.98381070983811,0.994761003190022,0.481312219549969,13.3989696537466
"10","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",38,17.351598173516,0.0109405850220314,"947109, 947263, 945620, 947839, 948666, 949068, 946267, 948667, 944980, 947594, 948104, 948453, 946035, 948121, 946903, 948438, 945999, 947093, 945939, 948060, 947116, 945672, 948336, 947615, 946735, 946898, 946234, 946132, 945906, 945284, 944769, 948808, 948755, 948756, 945600, 946623, 947934, 945268",187,439,3186,1.47476642344658,0.99706328267205,0.476819739789803,14.7613016521561
"11","GOTERM_MF_ALL","GO:0016903~oxidoreductase activity, acting on the aldehyde or oxo group of donors",8,3.65296803652968,0.0125445410104989,"947116, 948104, 945672, 946035, 948756, 945600, 948060, 946132",187,44,3186,3.09771511910549,0.998757538347665,0.487813297134302,16.7463456784066
