"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0047527~2,3-dihydroxybenzoate-serine ligase activity",3,2.02702702702703,0.00446443474234809,"947426, 945184, 946178",126,3,3186,25.2857142857143,0.853979015660832,0.853979015660832,6.11186454154714
"2","GOTERM_MF_ALL","GO:0015603~iron chelate transmembrane transporter activity",4,2.7027027027027,0.0100031980520578,"949042, 945649, 945843, 945201",126,12,3186,8.42857142857143,0.98674040015343,0.884849664149121,13.2120954867495
"3","GOTERM_MF_ALL","GO:0005515~protein binding",49,33.1081081081081,0.0112237543285693,"949024, 946762, 948328, 944885, 947263, 947839, 948327, 948067, 944803, 945744, 948264, 945843, 947122, 945742, 945398, 945402, 948766, 945307, 946178, 945354, 948496, 945777, 945022, 949014, 944790, 948233, 945676, 945127, 947673, 946869, 947206, 946301, 944843, 946128, 948992, 947817, 947819, 946195, 946151, 949041, 945753, 948658, 946235, 944989, 947655, 945747, 948427, 948423, 948900",126,916,3186,1.35262008733624,0.99219899620471,0.801672244749512,14.7081225441348
"4","GOTERM_MF_ALL","GO:0005488~binding",99,66.8918918918919,0.0365493975058059,"946762, 948690, 947937, 949024, 944885, 946769, 948067, 944803, 945184, 945744, 947602, 945843, 948264, 945181, 945152, 945742, 948260, 946178, 945354, 948496, 948498, 945022, 949014, 944790, 947673, 946013, 946869, 947206, 946209, 947934, 945435, 945620, 944827, 947817, 947819, 948240, 946151, 948381, 949041, 946373, 946757, 949036, 947426, 945142, 945753, 948658, 944777, 947278, 948849, 948422, 945747, 944769, 948427, 948423, 948328, 948327, 947263, 947839, 945869, 947122, 946725, 946590, 945398, 945402, 948766, 945307, 945777, 948233, 945676, 948237, 945127, 947082, 946301, 944843, 946066, 946913, 946389, 946128, 948992, 947143, 947553, 948800, 946195, 948572, 946904, 948911, 945100, 945201, 948517, 946235, 944989, 947655, 947955, 945051, 948157, 946424, 945649, 945511, 948900",126,2262,3186,1.10666919287609,0.999999888656558,0.981733044931751,40.8330065409465
"5","GOTERM_MF_ALL","GO:0015114~phosphate ion transmembrane transporter activity",3,2.02702702702703,0.0458890179760221,"948233, 948237, 948240",126,9,3186,8.42857142857143,0.999999998311408,0.982400312996288,48.423642480552
"6","GOTERM_MF_ALL","GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity",9,6.08108108108108,0.0471184464407145,"949042, 948328, 948063, 949036, 948237, 945201, 948264, 948240, 945435",126,103,3186,2.20943134535368,0.999999999030081,0.968537788566797,49.3525089196043
"7","GOTERM_MF_ALL","GO:0015343~siderophore transmembrane transporter activity",3,2.02702702702703,0.0559163974786033,"949042, 945649, 945843",126,10,3186,7.58571428571429,0.999999999982032,0.970830571239843,55.5596409268106
"8","GOTERM_MF_ALL","GO:0015399~primary active transmembrane transporter activity",9,6.08108108108108,0.0567741384349929,"949042, 948328, 948063, 949036, 948237, 945201, 948264, 948240, 945435",126,107,3186,2.12683578104139,0.999999999987845,0.956789044897236,56.1253592665355
"9","GOTERM_MF_ALL","GO:0033218~amide binding",4,2.7027027027027,0.0654661511815997,"945184, 946178, 946904, 944843",126,24,3186,4.21428571428571,0.999999999999773,0.960636276599051,61.4926922661752
"10","GOTERM_MF_ALL","GO:0042927~siderophore transporter activity",3,2.02702702702703,0.0666264414268409,"949042, 945649, 945843",126,11,3186,6.8961038961039,0.999999999999867,0.948431294838933,62.1611075146683
"11","GOTERM_MF_ALL","GO:0008889~glycerophosphodiester phosphodiesterase activity",2,1.35135135135135,0.0769408154396678,"947955, 946725",126,2,3186,25.2857142857143,0.999999999999999,0.956268797496718,67.6467646966678
"12","GOTERM_MF_ALL","GO:0046316~gluconokinase activity",2,1.35135135135135,0.0769408154396678,"947937, 946066",126,2,3186,25.2857142857143,0.999999999999999,0.956268797496718,67.6467646966678
"13","GOTERM_MF_ALL","GO:0004551~nucleotide diphosphatase activity",2,1.35135135135135,0.0769408154396678,"944770, 948498",126,2,3186,25.2857142857143,0.999999999999999,0.956268797496718,67.6467646966678
