"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",78,22.6744186046512,1.54579263571272e-26,"945788, 944885, 948221, 947745, 948697, 948666, 949129, 948978, 947570, 948667, 948264, 948520, 948266, 946725, 948162, 945742, 946724, 945399, 945402, 948260, 948766, 948121, 945357, 948760, 945307, 946175, 947942, 945397, 946272, 948233, 946778, 945879, 945828, 946209, 945988, 947082, 945600, 947006, 947934, 945435, 947148, 948602, 947817, 947553, 948800, 945765, 946783, 946195, 944830, 947962, 947507, 946333, 947867, 945999, 945335, 946941, 945493, 945950, 945300, 946947, 944817, 945753, 947526, 948218, 944777, 948658, 945716, 947278, 946898, 948118, 944989, 945553, 945747, 948157, 947812, 948427, 944865, 945413",305,1395,21998,4.03277278335977,7.8835424421349e-24,7.8835424421349e-24,2.23220289628324e-23
"2","GOTERM_MF_ALL","GO:0003824~catalytic activity",230,66.8604651162791,1.95295470142525e-06,"946201, 948529, 944885, 948362, 948666, 949129, 948520, 948264, 948667, 945841, 948267, 945742, 946409, 945838, 948260, 945212, 945937, 945357, 945637, 947362, 945354, 947363, 947687, 945358, 948537, 944790, 948729, 948532, 944796, 948272, 947293, 945227, 946013, 947493, 948878, 946209, 945435, 948642, 945620, 945765, 948240, 947289, 945818, 947280, 946812, 945335, 945957, 948381, 944770, 945950, 945752, 945142, 948658, 945049, 944777, 948552, 947472, 948118, 945802, 945553, 945747, 945341, 947691, 948857, 945556, 947376, 948753, 945413, 945788, 948221, 947263, 948326, 948320, 948229, 948125, 945402, 948121, 948766, 946653, 945503, 945396, 945777, 946117, 945672, 945773, 948232, 945127, 946505, 947082, 946917, 946916, 948138, 946913, 946389, 947148, 948602, 947143, 946529, 946783, 948911, 946630, 946784, 944905, 947135, 948218, 946394, 948517, 948217, 948215, 945652, 946792, 945906, 946793, 948157, 945511, 945289, 946795, 945381, 947755, 946762, 947742, 948065, 2847718, 946765, 947745, 948697, 948067, 945184, 944807, 948162, 948411, 946960, 946178, 947941, 947942, 947030, 948060, 948498, 946685, 949015, 948683, 946778, 946970, 948301, 947934, 944923, 948406, 947040, 947412, 2847738, 946744, 946570, 949045, 946676, 944943, 946677, 946672, 946884, 944827, 944830, 948438, 946059, 946757, 948056, 945092, 949036, 946947, 947426, 944817, 947526, 949039, 946898, 947324, 947812, 946956, 948429, 946953, 946362, 948423, 945290, 944848, 948971, 945312, 947599, 945314, 947839, 947570, 944963, 949065, 946725, 946724, 948454, 945307, 948591, 945978, 945979, 945879, 946585, 948963, 946735, 946734, 948444, 945074, 948587, 945988, 945600, 947006, 944843, 946826, 947456, 944980, 947553, 946195, 948477, 945060, 947862, 946333, 948572, 945999, 947867, 945300, 945716, 949079, 944989, 947955, 945051, 946993, 948808, 948090, 944865",305,13817,21998,1.2005975058048,0.000995512019092537,0.00049787995176942,0.0028201285388163
"3","GOTERM_MF_ALL","GO:0046872~metal ion binding",68,19.7674418604651,3.71657909087753e-06,"946762, 946201, 945312, 946765, 947839, 948362, 948326, 945184, 948666, 944963, 947570, 945181, 946725, 946724, 945212, 948766, 945357, 946178, 948763, 948498, 949015, 945978, 948729, 948963, 946735, 946734, 945227, 946970, 947493, 946209, 945437, 946826, 948406, 948642, 946389, 945620, 944980, 947553, 946195, 945060, 948477, 946333, 946812, 945999, 946059, 949041, 945957, 946757, 945100, 946947, 947426, 945300, 945752, 944817, 945142, 947526, 944777, 948552, 949079, 948422, 947955, 948857, 945051, 945341, 948157, 945511, 948753, 948423",305,2793,21998,1.75598715758952,0.00189366361099663,0.000631620063576643,0.00536679449415489
"4","GOTERM_MF_ALL","GO:0043169~cation binding",69,20.0581395348837,5.06692420522602e-06,"946762, 946201, 945312, 946765, 947839, 948362, 948326, 945184, 948666, 944963, 947570, 945181, 946725, 946724, 945212, 948766, 945357, 946178, 947941, 948763, 948498, 949015, 945978, 948729, 948963, 946735, 946734, 945227, 946970, 947493, 946209, 945437, 946826, 948406, 948642, 946389, 945620, 944980, 947553, 946195, 945060, 948477, 946333, 946812, 945999, 946059, 949041, 945957, 946757, 945100, 946947, 947426, 945300, 945752, 944817, 945142, 947526, 944777, 948552, 949079, 948422, 947955, 948857, 945051, 945341, 948157, 945511, 948753, 948423",305,2876,21998,1.73038828974669,0.00258080188134591,0.000645825837530478,0.0073166461672991
"5","GOTERM_MF_ALL","GO:0043167~ion binding",69,20.0581395348837,6.05112550789858e-06,"946762, 946201, 945312, 946765, 947839, 948362, 948326, 945184, 948666, 944963, 947570, 945181, 946725, 946724, 945212, 948766, 945357, 946178, 947941, 948763, 948498, 949015, 945978, 948729, 948963, 946735, 946734, 945227, 946970, 947493, 946209, 945437, 946826, 948406, 948642, 946389, 945620, 944980, 947553, 946195, 945060, 948477, 946333, 946812, 945999, 946059, 949041, 945957, 946757, 945100, 946947, 947426, 945300, 945752, 944817, 945142, 947526, 944777, 948552, 949079, 948422, 947955, 948857, 945051, 945341, 948157, 945511, 948753, 948423",305,2891,21998,1.72141014227308,0.00308132628578162,0.00061702623020865,0.00873777653543906
"6","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",52,15.1162790697674,3.6615368581851e-05,"946762, 946201, 945312, 946765, 947839, 948362, 948326, 945184, 948666, 944963, 947570, 945181, 946724, 945212, 948766, 945357, 948763, 946178, 948498, 945978, 948963, 946735, 945227, 947493, 945437, 946826, 948406, 948642, 946389, 945620, 947553, 944980, 946195, 948477, 945060, 946812, 946333, 946059, 945999, 946757, 945100, 945300, 947426, 945752, 947526, 944777, 948552, 949079, 945051, 945341, 945511, 948423",305,2075,21998,1.80745960892751,0.0185008976738221,0.00310752492819011,0.052861439099372
"7","GOTERM_MF_ALL","GO:0016787~hydrolase activity",87,25.2906976744186,0.000122167788845606,"946201, 948065, 944885, 946765, 948697, 945184, 948320, 944963, 948264, 948520, 949065, 948229, 946725, 948162, 945742, 946409, 948766, 948411, 946178, 947941, 945503, 948591, 948498, 949015, 946685, 948537, 945773, 948683, 948729, 948232, 945879, 944796, 948272, 946585, 945127, 947293, 946970, 948444, 948878, 945074, 945988, 946916, 944843, 945435, 947040, 949045, 947148, 945620, 946884, 947456, 946529, 947553, 945765, 948240, 946783, 948477, 945818, 946333, 946812, 945335, 946059, 946630, 945957, 948056, 944770, 945950, 945092, 949036, 947135, 949039, 948218, 946394, 945049, 948217, 948215, 945802, 947955, 945051, 947812, 948090, 948429, 946956, 945289, 948753, 945413, 945381, 945290",305,4286,21998,1.46403157822265,0.0604078477797096,0.00886184014584246,0.176271713418064
"8","GOTERM_MF_ALL","GO:0070566~adenylyltransferase activity",5,1.45348837209302,0.000305445476808144,"947426, 949129, 947942, 947553, 948911",305,24,21998,15.025956284153,0.144270526770632,0.0192867084909677,0.440174502667046
"9","GOTERM_MF_ALL","GO:0015608~carbohydrate-importing ATPase activity",6,1.74418604651163,0.000340596959761008,"946409, 948537, 948090, 949036, 949039, 948264",305,44,21998,9.83517138599106,0.159479585408173,0.0191186570957148,0.490715087680771
"10","GOTERM_MF_ALL","GO:0043211~carbohydrate-transporting ATPase activity",6,1.74418604651163,0.000513382482918988,"946409, 948537, 948090, 949036, 949039, 948264",305,48,21998,9.01557377049181,0.230406093569057,0.0258492661334446,0.7387980538755
