"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",423,34.2787682333874,3.12522304007102e-21,"945012, 947165, 948261, 948264, 945154, 945841, 948267, 945218, 945837, 948726, 945354, 947364, 948721, 947160, 948723, 948538, 948537, 949113, 948535, 948278, 945164, 945829, 945227, 945226, 948874, 945824, 945225, 948370, 945220, 945032, 947105, 948243, 948244, 948245, 947101, 947285, 948246, 948541, 947286, 948643, 948241, 948242, 947181, 945231, 948748, 948950, 947178, 945041, 947175, 945950, 948259, 948939, 948658, 947272, 948752, 947170, 947263, 948323, 945113, 946267, 945112, 947121, 948027, 948123, 948767, 948766, 948763, 948022, 945258, 945394, 947253, 948636, 948233, 946278, 947394, 947396, 945268, 948200, 948606, 947148, 947145, 948209, 946783, 945272, 948007, 945278, 946399, 945003, 948211, 945004, 947139, 946393, 945108, 945101, 947130, 948214, 947239, 945281, 946794, 945389, 946796, 945909, 948900, 945382, 946762, 949025, 948067, 948169, 944807, 944805, 948163, 948160, 946032, 946179, 946035, 946759, 946175, 946177, 946172, 949014, 948079, 946778, 946879, 946877, 946869, 946744, 946746, 946747, 946880, 946886, 944823, 946056, 948182, 946153, 949041, 946941, 946892, 949038, 944818, 944812, 944821, 946952, 946144, 945312, 945314, 948979, 947590, 946716, 944753, 944750, 945307, 946814, 946815, 945323, 944834, 947191, 945328, 949054, 949051, 944744, 946064, 945319, 944840, 946841, 948703, 946979, 948289, 946987, 946195, 948080, 948285, 946199, 946985, 946981, 948710, 945306, 945303, 945301, 945300, 948290, 948292, 948987, 948986, 946999, 946185, 948297, 946186, 944863, 946991, 944864, 944866, 949133, 944888, 945641, 944886, 945642, 945645, 945744, 946605, 946607, 945740, 945539, 945741, 944786, 949095, 947684, 947682, 946614, 944896, 945429, 944790, 947874, 944895, 944894, 945634, 944794, 946401, 944891, 946210, 944799, 947672, 945431, 945437, 944762, 945768, 945563, 945615, 947896, 945611, 944775, 944778, 944774, 944773, 945748, 945553, 945747, 944768, 947696, 945557, 947798, 947793, 946802, 947697, 947795, 945609, 945413, 947794, 945605, 947077, 945780, 945782, 947780, 945402, 947787, 945503, 2847758, 945500, 947084, 946116, 946255, 946252, 945771, 945676, 946643, 945769, 947097, 945517, 946222, 946129, 946628, 946227, 946229, 946223, 946122, 946225, 947761, 947093, 945508, 946135, 946230, 945506, 945657, 945654, 945651, 946527, 945648, 946626, 947758, 946623, 945514, 947754, 947755, 946551, 946552, 948409, 946697, 948695, 947531, 946690, 948698, 946554, 947334, 948318, 948319, 946359, 944919, 948412, 948494, 948499, 947927, 947546, 948689, 946684, 948400, 946347, 947930, 948484, 946487, 948483, 948404, 947727, 947728, 947043, 948488, 944922, 948487, 948405, 948485, 947412, 947724, 947723, 947720, 947415, 947721, 947816, 947818, 947817, 947819, 947316, 948430, 948431, 947820, 947823, 947313, 947314, 947921, 946370, 947054, 947055, 947219, 945293, 946663, 946665, 947526, 945193, 947809, 947521, 946367, 945190, 946368, 947813, 945697, 947812, 948429, 945097, 947708, 948426, 945099, 948423, 945290, 947430, 948590, 945580, 945081, 944963, 945483, 945085, 944958, 945083, 2847688, 945082, 947845, 947846, 945870, 945970, 945571, 945579, 945070, 947580, 946584, 945076, 947002, 945887, 948588, 947004, 945880, 947859, 947450, 947454, 945063, 945064, 945995, 947016, 948570, 946333, 945069, 947864, 946339, 945999, 947867, 947567, 945454, 947565, 945595, 947466, 945452, 944996, 1450249, 945864, 945054, 947850, 947022, 948563",1071,916,3186,1.37372940442553,4.3346843565785e-18,4.3346843565785e-18,5.1434705130478e-18
"2","GOTERM_MF_ALL","GO:0005488~binding",867,70.259319286872,1.0031535085897e-19,"945012, 948661, 948261, 949129, 945017, 945842, 948264, 945841, 945013, 948267, 945218, 945837, 948260, 945021, 948675, 949113, 949114, 949116, 947298, 948278, 948277, 945829, 947498, 945227, 947497, 945226, 948874, 947494, 945824, 945222, 948878, 945827, 945225, 945826, 947491, 945220, 948872, 948870, 948640, 945031, 945032, 948243, 948244, 948245, 948246, 947285, 947286, 948643, 948241, 948242, 947481, 945233, 945231, 948653, 945041, 948258, 948259, 947273, 945047, 948658, 947272, 948253, 945803, 947476, 948855, 948853, 947477, 945240, 947267, 947261, 947263, 947262, 948227, 948027, 948022, 945258, 947901, 947253, 948638, 948636, 948233, 948637, 948237, 948038, 945268, 948200, 948606, 946389, 948209, 948204, 946385, 945271, 945272, 948007, 945278, 948886, 945003, 946399, 945002, 948211, 945004, 947234, 945006, 947231, 946393, 947239, 948214, 945281, 948892, 948016, 945289, 948010, 948607, 948896, 948067, 946179, 946858, 946175, 946177, 946172, 948062, 948079, 946879, 946877, 946869, 946164, 948044, 946880, 948042, 946883, 946886, 946888, 948040, 946153, 946156, 946892, 946141, 946144, 944753, 944750, 946814, 946815, 944744, 946841, 946844, 948089, 948087, 948086, 948289, 946195, 948287, 948286, 948080, 948285, 946199, 948284, 948290, 948292, 946185, 946182, 948805, 946189, 946186, 948297, 948296, 949133, 945641, 946204, 945642, 945645, 946605, 946607, 944786, 944779, 946409, 946612, 946614, 946004, 946005, 946006, 946007, 945632, 945429, 945630, 946212, 944790, 945634, 944794, 946401, 944798, 946406, 944797, 946210, 944799, 946600, 946209, 945431, 945626, 946015, 945437, 945435, 945620, 946806, 944762, 944761, 944759, 944757, 945424, 945615, 945618, 945611, 947992, 945406, 944775, 944778, 944777, 944774, 944773, 944768, 947798, 947793, 946802, 947792, 945609, 947795, 945413, 947794, 945605, 947791, 946240, 945683, 945682, 947780, 945402, 946653, 947787, 947786, 946254, 946255, 946252, 945676, 946643, 947775, 947776, 946647, 946222, 946628, 946227, 946229, 945663, 946223, 946225, 947761, 946230, 945657, 945656, 945654, 945651, 945648, 946626, 946624, 947758, 946623, 947754, 947755, 947939, 946697, 947531, 946690, 945182, 947334, 948318, 948319, 946490, 948315, 947942, 947928, 947927, 946689, 947929, 947546, 946680, 946684, 945176, 947930, 946487, 947727, 947728, 947934, 947724, 947723, 947720, 946674, 947721, 947316, 947313, 947314, 947921, 947922, 947310, 945895, 946663, 946665, 945197, 947526, 945198, 945193, 947521, 945190, 945697, 947913, 947911, 947708, 945489, 948590, 945480, 945483, 945872, 947987, 2847688, 947989, 948596, 946452, 945870, 948593, 947981, 945476, 945470, 947580, 947583, 947584, 945884, 945887, 2847698, 947978, 948588, 948584, 948585, 945880, 947554, 945467, 945846, 945854, 947967, 945851, 947961, 946430, 948570, 948571, 948572, 947567, 945454, 945455, 947565, 945451, 945452, 945857, 946425, 945864, 946427, 948564, 948563, 947165, 948522, 945150, 948368, 945154, 945152, 945153, 947367, 947369, 947362, 948726, 945354, 947364, 948720, 948721, 947366, 947160, 945939, 948723, 945358, 947152, 947153, 948538, 948376, 948537, 948535, 948531, 947159, 948917, 945164, 948916, 945166, 948370, 948544, 945964, 947104, 947103, 945134, 948388, 947105, 947101, 948541, 948958, 947386, 947181, 948101, 947384, 948748, 948950, 948102, 947178, 948395, 947177, 948399, 945146, 947175, 945950, 948939, 948117, 948752, 948756, 947170, 948753, 947372, 945113, 946267, 948323, 945112, 948322, 947121, 948123, 945109, 948125, 948767, 948766, 948763, 945394, 947117, 947116, 947115, 948335, 946278, 945129, 947394, 948778, 948132, 947396, 948774, 946288, 947148, 948502, 947145, 948504, 948505, 948506, 948507, 946783, 949008, 949000, 948910, 948785, 946785, 946784, 946298, 946299, 947139, 946292, 945108, 948517, 948150, 945101, 947130, 945104, 946794, 948157, 945387, 945389, 948792, 948791, 945384, 946290, 946796, 945909, 945380, 948794, 948793, 948900, 946797, 945382, 946762, 946957, 949025, 949027, 946768, 948169, 944807, 944805, 948163, 948160, 946032, 946035, 946759, 946775, 949015, 946968, 946969, 949014, 949011, 946777, 946778, 948178, 949018, 946976, 946975, 946744, 946746, 946747, 949047, 946741, 944823, 948188, 946055, 946056, 948182, 946058, 946941, 949041, 949040, 946757, 946755, 946753, 946948, 949038, 949035, 946946, 949036, 946947, 944817, 948195, 944818, 944812, 944813, 944821, 946952, 946950, 945310, 945312, 944845, 945314, 949068, 948979, 947590, 946723, 947596, 949064, 949067, 946725, 946716, 944850, 945307, 945323, 944834, 944839, 947191, 945328, 946731, 948969, 949058, 949057, 948963, 945320, 949054, 949051, 946064, 945319, 944840, 944842, 948990, 944869, 948703, 946979, 946987, 946989, 946985, 946981, 948710, 945306, 945303, 948981, 945301, 944856, 944858, 948982, 945300, 948987, 946712, 948986, 945716, 949079, 946999, 946998, 949071, 949072, 944863, 946991, 944864, 944866, 944860, 946084, 944888, 944886, 944881, 947882, 945744, 945539, 945740, 945741, 949095, 947685, 947684, 947682, 945542, 947688, 947686, 944896, 947874, 944895, 944894, 944891, 945730, 945527, 947672, 945536, 945535, 947679, 945768, 945563, 945566, 947895, 947896, 947894, 945553, 945748, 947692, 945747, 947691, 945557, 947696, 945556, 947695, 947697, 945551, 945788, 945787, 2847756, 947077, 945780, 945782, 946515, 945503, 2847758, 2847759, 945500, 947084, 945775, 946115, 946116, 945771, 947632, 947633, 947081, 946916, 945769, 945517, 947097, 947096, 946127, 946129, 946122, 946531, 947665, 946538, 945523, 947662, 946906, 947093, 947660, 945526, 945508, 945506, 946135, 2847765, 945509, 946518, 946527, 2847768, 945514, 946551, 946552, 948409, 2847717, 948695, 948490, 948698, 948699, 946554, 947800, 947801, 947802, 946359, 947803, 946356, 944919, 948412, 948492, 948414, 948494, 948499, 947032, 948418, 947401, 948689, 946549, 948688, 948400, 947049, 946347, 948403, 948484, 948483, 948404, 948488, 947043, 948487, 944922, 948405, 947203, 948485, 947040, 947412, 947414, 947415, 944943, 946572, 947816, 947818, 947817, 947819, 948430, 948431, 946379, 947820, 948433, 947823, 947051, 947215, 947054, 946370, 948434, 947055, 948435, 946375, 947219, 947425, 2847725, 945292, 2847724, 945293, 945295, 946562, 944953, 945092, 945297, 947807, 947806, 946567, 947804, 947420, 947809, 947808, 946367, 946368, 947813, 947814, 947811, 947812, 948429, 947064, 947062, 945097, 948425, 948426, 945099, 948423, 947066, 945290, 947430, 947432, 945580, 946597, 944965, 945080, 945081, 944963, 946592, 947435, 945089, 945088, 945085, 944958, 948453, 945083, 945082, 948455, 948456, 947845, 948457, 946318, 946315, 947847, 947846, 945970, 945571, 947828, 945978, 945579, 946584, 945070, 947445, 946580, 947002, 945076, 945981, 947004, 947859, 947450, 947454, 944983, 947457, 944987, 945063, 947012, 945064, 945995, 947016, 945069, 946333, 947864, 946339, 945999, 947867, 947868, 947461, 945593, 945595, 947466, 944996, 1450249, 948464, 945054, 947850, 948462, 947022, 946327, 948468",1071,2262,3186,1.14020462296324,1.39137391641391e-16,6.95686958206957e-17,1.65098312195161e-16
"3","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",51,4.13290113452188,1.56498812353574e-17,"947577, 948490, 945152, 947800, 947801, 947802, 947803, 947845, 946318, 947846, 948720, 948721, 948723, 947686, 947828, 947874, 949057, 946349, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 945618, 946941, 947807, 945657, 947806, 947804, 948216, 947809, 947808, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 948425, 947791",1071,57,3186,2.66165413533835,2.17063852734407e-14,7.23546175781357e-15,2.57564665416429e-14
"4","GOTERM_MF_ALL","GO:0043167~ion binding",382,30.9562398703404,1.36301255040705e-15,"945012, 945641, 946204, 948522, 945645, 944881, 947882, 945150, 945017, 945154, 945539, 945013, 945153, 945837, 948260, 946004, 947364, 947366, 945939, 947160, 945358, 945021, 945632, 945630, 948675, 947874, 944794, 948531, 946406, 948278, 945730, 944798, 945527, 948277, 947672, 945227, 946600, 945824, 945827, 945826, 946209, 945431, 946015, 945437, 945134, 945620, 948388, 945031, 945032, 948246, 947285, 947286, 944761, 945768, 945563, 945615, 948748, 948102, 947895, 948395, 947896, 945611, 947177, 945041, 947175, 945406, 948259, 947273, 944775, 945047, 944777, 945803, 945553, 945748, 947692, 947691, 944768, 948853, 948756, 948753, 947794, 945551, 947372, 945787, 2847756, 947267, 946240, 947261, 947262, 945780, 948323, 945113, 946267, 945782, 948027, 947780, 945109, 948767, 948766, 945503, 948763, 947786, 945258, 2847759, 945394, 947117, 947116, 947253, 946254, 948638, 946115, 946255, 946116, 948233, 946252, 948636, 948335, 948237, 947394, 948038, 948778, 947396, 947633, 948774, 947081, 947775, 946643, 946916, 946647, 945268, 945769, 945517, 946288, 946389, 946222, 948606, 946127, 948502, 946223, 948504, 948204, 948507, 946783, 947761, 945271, 946531, 948910, 946906, 947093, 948785, 947660, 945508, 945002, 945506, 946230, 948211, 946135, 946299, 946292, 945006, 2847765, 945509, 947231, 946393, 945656, 948517, 945101, 945281, 946794, 945387, 946527, 948157, 945389, 948016, 948792, 946626, 948791, 945289, 945384, 947758, 2847768, 946624, 946290, 946623, 946796, 945909, 945380, 948794, 947754, 948793, 945382, 948607, 946762, 946551, 946552, 946697, 2847717, 948695, 946768, 948067, 948699, 945182, 948318, 946490, 946179, 948315, 946356, 946035, 944919, 948412, 948492, 947942, 948494, 948418, 947032, 946775, 949015, 947927, 946969, 949014, 946777, 947929, 946778, 946879, 946877, 946549, 948688, 949018, 948400, 948403, 944922, 947724, 947723, 946746, 946747, 946880, 947415, 949047, 946883, 946888, 948188, 946055, 948431, 947820, 948182, 947313, 947922, 948040, 947215, 948434, 946375, 946058, 946153, 949041, 949040, 946757, 945292, 2847724, 946755, 946892, 946753, 946663, 945295, 944953, 945297, 946947, 944817, 947526, 945198, 945193, 947420, 946368, 944821, 948429, 946141, 947062, 948425, 945097, 948426, 948423, 946950, 945312, 948590, 947432, 945580, 945080, 948979, 949068, 944963, 946592, 947596, 949067, 946725, 945089, 946716, 944753, 948453, 947987, 945083, 947989, 944750, 948456, 944850, 948457, 945307, 947981, 944834, 944839, 947828, 947191, 945579, 948969, 945470, 948963, 945320, 947445, 945076, 947002, 949051, 946064, 948584, 944840, 945981, 944842, 947004, 947859, 947450, 947554, 945467, 947457, 948087, 946979, 945846, 946195, 948287, 948286, 947012, 945851, 945064, 946985, 946430, 946333, 948571, 947864, 948572, 945999, 947868, 947461, 945303, 948981, 945454, 945593, 944856, 947565, 948982, 945300, 944858, 946712, 945452, 948986, 944996, 945857, 949079, 946425, 946999, 946185, 946427, 948464, 946998, 946189, 947022, 948296, 949072, 946991, 944863, 944864, 944866, 948564, 946327, 946084, 948468, 948563",1071,852,3186,1.3337673097408,1.84785520218611e-12,4.61963800546528e-13,2.18713935851156e-12
"5","GOTERM_MF_ALL","GO:0005198~structural molecule activity",57,4.61912479740681,2.8348912538015e-14,"947577, 948490, 945646, 945152, 947800, 947801, 947802, 947803, 947845, 946318, 947846, 948720, 948721, 948723, 947686, 945571, 949014, 947828, 947874, 949057, 946349, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 945618, 946941, 947807, 945657, 947806, 947804, 948216, 945207, 947809, 947808, 946999, 945190, 947813, 947797, 947814, 945648, 947811, 947798, 947793, 947792, 947795, 948425, 947791",1071,73,3186,2.32278116726143,3.92669230464548e-11,7.85338460929097e-12,4.65960603435178e-11
"6","GOTERM_MF_ALL","GO:0036094~small molecule binding",325,26.3371150729335,1.57229017773476e-13,"948522, 945645, 944881, 949129, 945842, 948264, 948267, 945741, 944786, 945153, 945218, 947684, 946409, 944779, 947682, 945542, 946612, 948260, 946614, 945354, 946007, 945358, 947152, 945021, 944896, 947153, 946212, 948537, 944790, 944895, 946401, 948531, 949116, 947159, 944798, 944797, 945164, 944799, 947672, 947498, 947497, 946600, 945535, 945222, 948878, 948370, 947679, 946209, 945431, 945626, 948870, 945435, 945964, 946806, 945620, 945031, 947105, 948243, 948244, 948245, 947286, 944762, 944761, 948242, 947481, 945566, 945233, 948958, 947386, 947181, 948101, 945231, 947384, 945611, 948399, 945146, 947175, 948258, 948939, 944775, 944778, 947272, 947894, 944773, 945803, 945748, 947476, 948855, 948752, 945556, 947170, 948753, 945413, 947477, 947372, 945240, 945788, 947077, 947263, 945683, 948322, 946515, 948125, 945402, 946653, 945258, 2847759, 945394, 947116, 947115, 946116, 948636, 945129, 948778, 947632, 947396, 947633, 946643, 947776, 945769, 947097, 946222, 947148, 946628, 946227, 948209, 948504, 945663, 946223, 948505, 948506, 946385, 947761, 946531, 947665, 946538, 948886, 946906, 948785, 946785, 947660, 945526, 945506, 946230, 948211, 947234, 947231, 946518, 948150, 947239, 945281, 945387, 946527, 945389, 948792, 946626, 947758, 946624, 946796, 948010, 945909, 948793, 947755, 946797, 945382, 946762, 946957, 949025, 947939, 949027, 948695, 946768, 948699, 944805, 948163, 947334, 948318, 946858, 946179, 944919, 948412, 946759, 948414, 947942, 947032, 947928, 946775, 947927, 946968, 946969, 946689, 948079, 949011, 946549, 948688, 946680, 947049, 946487, 947727, 946164, 947934, 948488, 948405, 946975, 947412, 946744, 947414, 946746, 948044, 949047, 946741, 948042, 947819, 948430, 948433, 948182, 947823, 947921, 947051, 946370, 947310, 947055, 946153, 947219, 946156, 949040, 2847725, 945293, 946753, 946948, 946663, 945092, 946562, 946946, 949036, 946947, 945197, 948195, 944818, 946567, 947420, 944813, 946368, 944821, 945097, 948426, 946144, 948423, 945099, 945310, 945489, 947430, 945312, 944845, 945314, 946597, 944965, 948979, 947590, 946723, 949064, 945483, 945088, 945872, 944753, 945085, 944958, 947987, 945083, 948455, 947989, 944750, 948596, 947847, 946315, 946814, 946452, 948593, 945476, 945978, 946731, 948969, 946584, 949054, 947445, 946580, 947978, 946064, 948990, 947450, 946844, 944983, 948089, 944987, 946979, 945063, 946987, 947967, 946989, 948286, 948080, 947961, 946985, 947016, 948572, 947867, 947868, 948710, 945303, 945593, 945455, 945595, 948290, 948292, 945451, 945452, 945857, 945716, 949079, 946425, 948464, 946189, 948297, 949071, 946327",1071,718,3186,1.34652746892629,2.18046913857961e-10,3.63411523096602e-11,2.58726373658646e-10
"7","GOTERM_MF_ALL","GO:0000166~nucleotide binding",306,24.7974068071313,4.0541219578522e-12,"945645, 944881, 949129, 948264, 945741, 944786, 945153, 945218, 947684, 944779, 947682, 945542, 946612, 948260, 946614, 945354, 946007, 945358, 944896, 947153, 948537, 946212, 944790, 944895, 946401, 948531, 949116, 947159, 944798, 944797, 945164, 947672, 947498, 947497, 946600, 945535, 948878, 948370, 947679, 946209, 945431, 945626, 948870, 945435, 945964, 946806, 945031, 945620, 947105, 948243, 948244, 948245, 947286, 944762, 944761, 948242, 947481, 945566, 945233, 948958, 947386, 947181, 948101, 945231, 945611, 948399, 945146, 947175, 948258, 948939, 944775, 944778, 947272, 947894, 944773, 945803, 945748, 947476, 948855, 948752, 945556, 947170, 948753, 945413, 947477, 947372, 945788, 947077, 947263, 945683, 948322, 946515, 948125, 945402, 946653, 945258, 945394, 2847759, 947116, 947115, 946116, 948636, 945129, 948778, 947632, 947396, 947633, 946643, 947776, 945769, 947097, 946222, 947148, 946628, 946227, 948209, 948504, 945663, 946223, 948505, 948506, 946385, 947761, 946531, 947665, 946538, 948886, 946906, 948785, 946785, 947660, 945526, 945506, 946230, 948211, 947234, 947231, 948150, 947239, 945281, 945387, 946527, 945389, 948792, 946626, 946624, 946796, 948010, 945909, 948793, 947755, 946797, 945382, 946762, 946957, 949025, 947939, 949027, 948695, 946768, 948699, 948163, 947334, 948318, 946858, 946179, 944919, 948412, 946759, 948414, 947942, 947032, 947928, 946775, 947927, 946968, 946969, 948079, 949011, 946689, 946549, 948688, 946680, 947049, 946487, 947727, 946164, 947934, 948405, 946975, 947412, 946744, 947414, 946746, 948044, 949047, 946741, 948042, 947819, 948430, 948433, 948182, 947823, 947921, 947051, 946370, 947310, 947055, 946153, 947219, 946156, 949040, 2847725, 945293, 946753, 946948, 945092, 946562, 946946, 949036, 946947, 945197, 948195, 944818, 946567, 944813, 946368, 944821, 945097, 948426, 946144, 948423, 945099, 945310, 945489, 947430, 945312, 944845, 945314, 946597, 944965, 948979, 947590, 946723, 949064, 945483, 945088, 945872, 944753, 945085, 944958, 947987, 945083, 948455, 947989, 944750, 948596, 947847, 946315, 946814, 946452, 948593, 945476, 945978, 946731, 948969, 946584, 949054, 947445, 946580, 947978, 946064, 948990, 947450, 946844, 944983, 948089, 944987, 946979, 945063, 947967, 946989, 948286, 948080, 947961, 946985, 947016, 948572, 947867, 947868, 948710, 945593, 945595, 948290, 948292, 945451, 945452, 945857, 945716, 949079, 946425, 948464, 946189, 948297, 949071, 946327",1071,681,3186,1.33668974197609,5.62302338025233e-09,8.03289101902749e-10,6.67219612893177e-09
"8","GOTERM_MF_ALL","GO:1901265~nucleoside phosphate binding",306,24.7974068071313,4.0541219578522e-12,"945645, 944881, 949129, 948264, 945741, 944786, 945153, 945218, 947684, 944779, 947682, 945542, 946612, 948260, 946614, 945354, 946007, 945358, 944896, 947153, 948537, 946212, 944790, 944895, 946401, 948531, 949116, 947159, 944798, 944797, 945164, 947672, 947498, 947497, 946600, 945535, 948878, 948370, 947679, 946209, 945431, 945626, 948870, 945435, 945964, 946806, 945031, 945620, 947105, 948243, 948244, 948245, 947286, 944762, 944761, 948242, 947481, 945566, 945233, 948958, 947386, 947181, 948101, 945231, 945611, 948399, 945146, 947175, 948258, 948939, 944775, 944778, 947272, 947894, 944773, 945803, 945748, 947476, 948855, 948752, 945556, 947170, 948753, 945413, 947477, 947372, 945788, 947077, 947263, 945683, 948322, 946515, 948125, 945402, 946653, 945258, 945394, 2847759, 947116, 947115, 946116, 948636, 945129, 948778, 947632, 947396, 947633, 946643, 947776, 945769, 947097, 946222, 947148, 946628, 946227, 948209, 948504, 945663, 946223, 948505, 948506, 946385, 947761, 946531, 947665, 946538, 948886, 946906, 948785, 946785, 947660, 945526, 945506, 946230, 948211, 947234, 947231, 948150, 947239, 945281, 945387, 946527, 945389, 948792, 946626, 946624, 946796, 948010, 945909, 948793, 947755, 946797, 945382, 946762, 946957, 949025, 947939, 949027, 948695, 946768, 948699, 948163, 947334, 948318, 946858, 946179, 944919, 948412, 946759, 948414, 947942, 947032, 947928, 946775, 947927, 946968, 946969, 948079, 949011, 946689, 946549, 948688, 946680, 947049, 946487, 947727, 946164, 947934, 948405, 946975, 947412, 946744, 947414, 946746, 948044, 949047, 946741, 948042, 947819, 948430, 948433, 948182, 947823, 947921, 947051, 946370, 947310, 947055, 946153, 947219, 946156, 949040, 2847725, 945293, 946753, 946948, 945092, 946562, 946946, 949036, 946947, 945197, 948195, 944818, 946567, 944813, 946368, 944821, 945097, 948426, 946144, 948423, 945099, 945310, 945489, 947430, 945312, 944845, 945314, 946597, 944965, 948979, 947590, 946723, 949064, 945483, 945088, 945872, 944753, 945085, 944958, 947987, 945083, 948455, 947989, 944750, 948596, 947847, 946315, 946814, 946452, 948593, 945476, 945978, 946731, 948969, 946584, 949054, 947445, 946580, 947978, 946064, 948990, 947450, 946844, 944983, 948089, 944987, 946979, 945063, 947967, 946989, 948286, 948080, 947961, 946985, 947016, 948572, 947867, 947868, 948710, 945593, 945595, 948290, 948292, 945451, 945452, 945857, 945716, 949079, 946425, 948464, 946189, 948297, 949071, 946327",1071,681,3186,1.33668974197609,5.62302338025233e-09,8.03289101902749e-10,6.67219612893177e-09
"9","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",210,17.0178282009724,1.64420688200591e-11,"944881, 949129, 948264, 945741, 945153, 945218, 946612, 946614, 948260, 946007, 945358, 947153, 944896, 948537, 944895, 946401, 949116, 948531, 947159, 944797, 945164, 947498, 947497, 945535, 948878, 948370, 946209, 945431, 948870, 945435, 945031, 947105, 948243, 948244, 948245, 947286, 944761, 948242, 947481, 945566, 945233, 947386, 947181, 948101, 945231, 945611, 948399, 947175, 948258, 944775, 944778, 947272, 947894, 945803, 945748, 947476, 948752, 948855, 947170, 945413, 947477, 947372, 945788, 947077, 945683, 948322, 946515, 2847759, 946116, 945129, 948778, 947632, 946643, 945769, 947097, 946222, 947148, 946227, 948209, 948504, 945663, 946223, 948505, 948506, 946385, 947761, 946538, 948886, 946906, 948785, 945526, 948211, 946230, 945506, 947234, 948150, 945281, 945387, 946527, 945389, 946626, 948792, 948010, 946796, 945382, 947755, 946957, 949025, 949027, 946768, 948699, 948163, 947334, 948318, 946179, 946858, 948412, 947942, 947032, 946775, 947928, 946969, 949011, 948079, 946689, 948688, 946549, 946487, 947727, 948405, 946975, 946744, 947412, 947414, 948044, 946741, 948430, 948433, 947823, 947921, 947310, 947055, 946153, 946156, 947219, 2847725, 946948, 946946, 945092, 949036, 948195, 944818, 946567, 944813, 944821, 946368, 945097, 948426, 945099, 948423, 945310, 947430, 945489, 945312, 944845, 945314, 946597, 944965, 947590, 946723, 945088, 944753, 945872, 945085, 947987, 944958, 945083, 944750, 947989, 948596, 946452, 948593, 945476, 945978, 946731, 946584, 947445, 946064, 948990, 947450, 946844, 948089, 944987, 945063, 946989, 947967, 948080, 947961, 947016, 948572, 947867, 945595, 948290, 948292, 945451, 945452, 946425, 948464, 948297, 946327",1071,436,3186,1.4328116567728,2.28051507678018e-08,2.85064383209743e-09,2.70602429353062e-08
"10","GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",209,16.936790923825,2.52935981493385e-11,"944881, 949129, 948264, 945741, 945153, 945218, 946612, 946614, 948260, 946007, 945358, 947153, 944896, 948537, 944895, 946401, 949116, 948531, 947159, 944797, 945164, 947498, 947497, 945535, 948878, 948370, 946209, 945431, 948870, 945435, 945031, 947105, 948243, 948244, 948245, 947286, 944761, 948242, 947481, 945566, 945233, 947386, 947181, 948101, 945231, 945611, 948399, 947175, 948258, 944775, 944778, 947272, 947894, 945803, 945748, 947476, 948752, 948855, 947170, 945413, 947477, 947372, 945788, 947077, 945683, 948322, 946515, 2847759, 946116, 945129, 948778, 947632, 946643, 945769, 946222, 947148, 946227, 948209, 948504, 945663, 946223, 948505, 948506, 946385, 947761, 946538, 948886, 946906, 948785, 945526, 948211, 946230, 945506, 947234, 948150, 945281, 945387, 946527, 945389, 946626, 948792, 948010, 946796, 945382, 947755, 946957, 949025, 949027, 946768, 948699, 948163, 947334, 948318, 946179, 946858, 948412, 947942, 947032, 946775, 947928, 946969, 949011, 948079, 946689, 948688, 946549, 946487, 947727, 948405, 946975, 946744, 947412, 947414, 948044, 946741, 948430, 948433, 947823, 947921, 947310, 947055, 946153, 946156, 947219, 2847725, 946948, 946946, 945092, 949036, 948195, 944818, 946567, 944813, 944821, 946368, 945097, 948426, 945099, 948423, 945310, 947430, 945489, 945312, 944845, 945314, 946597, 944965, 947590, 946723, 945088, 944753, 945872, 945085, 947987, 944958, 945083, 944750, 947989, 948596, 946452, 948593, 945476, 945978, 946731, 946584, 947445, 946064, 948990, 947450, 946844, 948089, 944987, 945063, 946989, 947967, 948080, 947961, 947016, 948572, 947867, 945595, 948290, 948292, 945451, 945452, 946425, 948464, 948297, 946327",1071,435,3186,1.42926687916546,3.50821462991036e-08,3.89801635414244e-09,4.16279455350832e-08
