"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",66,22.0735785953177,4.088047009275e-24,"945788, 944885, 947165, 948221, 947745, 948697, 948666, 949129, 948978, 947570, 948667, 948264, 948520, 946725, 945742, 945399, 945402, 948260, 948766, 945211, 948121, 945307, 2847741, 947155, 946259, 945828, 945887, 947206, 946209, 945988, 947082, 947934, 947720, 946910, 947817, 945765, 947819, 946783, 945271, 949008, 948104, 945378, 945425, 947053, 947867, 945335, 946135, 946751, 948559, 945300, 946947, 945716, 948989, 947278, 948553, 946898, 947810, 944989, 945747, 946995, 947693, 947812, 945288, 945413, 946796, 945097",243,1395,21998,4.28298597283066,1.82735701314593e-21,1.82735701314593e-21,5.79415636569062e-21
"2","GOTERM_MF_ALL","GO:0046872~metal ion binding",61,20.4013377926421,1.94238689530917e-07,"948690, 948269, 946201, 945312, 946765, 949020, 948326, 945184, 948666, 947570, 945181, 946725, 947594, 945212, 948766, 946178, 948763, 945630, 945931, 948729, 947258, 945227, 947502, 947493, 945434, 946209, 947630, 946826, 949042, 948642, 946746, 945620, 947149, 944980, 945271, 948104, 945060, 948182, 946331, 946738, 949041, 945957, 946757, 946135, 945100, 948559, 946947, 945300, 947426, 945142, 949079, 948422, 945051, 945341, 948891, 945284, 945511, 948753, 946796, 949130, 948423",243,2793,21998,1.97713272010125,8.68209335178616e-05,4.34114090341886e-05,0.000275302093455387
"3","GOTERM_MF_ALL","GO:0043169~cation binding",61,20.4013377926421,5.32613272641336e-07,"948690, 948269, 946201, 945312, 946765, 949020, 948326, 945184, 948666, 947570, 945181, 946725, 947594, 945212, 948766, 946178, 948763, 945630, 945931, 948729, 947258, 945227, 947502, 947493, 945434, 946209, 947630, 946826, 949042, 948642, 946746, 945620, 947149, 944980, 945271, 948104, 945060, 948182, 946331, 946738, 949041, 945957, 946757, 946135, 945100, 948559, 946947, 945300, 947426, 945142, 949079, 948422, 945051, 945341, 948891, 945284, 945511, 948753, 946796, 949130, 948423",243,2876,21998,1.92007360474367,0.000238049857887779,7.93562498770939e-05,0.000754891944865221
"4","GOTERM_MF_ALL","GO:0043167~ion binding",61,20.4013377926421,6.35413380691235e-07,"948690, 948269, 946201, 945312, 946765, 949020, 948326, 945184, 948666, 947570, 945181, 946725, 947594, 945212, 948766, 946178, 948763, 945630, 945931, 948729, 947258, 945227, 947502, 947493, 945434, 946209, 947630, 946826, 949042, 948642, 946746, 945620, 947149, 944980, 945271, 948104, 945060, 948182, 946331, 946738, 949041, 945957, 946757, 946135, 945100, 948559, 946947, 945300, 947426, 945142, 949079, 948422, 945051, 945341, 948891, 945284, 945511, 948753, 946796, 949130, 948423",243,2891,21998,1.91011127196223,0.000283989538741203,7.10049468810592e-05,0.000900593625119406
"5","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",47,15.7190635451505,3.21706961834689e-06,"949042, 948269, 946201, 948642, 946746, 945312, 946765, 949020, 945620, 948326, 947149, 945184, 948666, 947570, 945181, 944980, 947594, 945060, 946331, 945212, 948766, 946178, 948763, 946738, 946757, 946135, 945100, 945630, 945931, 948559, 945300, 947426, 949079, 945227, 947502, 945341, 945051, 948891, 945284, 947493, 945434, 945511, 947630, 946796, 948423, 949130, 946826",243,2075,21998,2.05048539838366,0.00143699895934646,0.000287565131726453,0.00455958783917021
"6","GOTERM_MF_ALL","GO:0005506~iron ion binding",26,8.69565217391304,2.01812667112867e-05,"949042, 946746, 948642, 947149, 948666, 945184, 944980, 945181, 947594, 946331, 946178, 946738, 946757, 946135, 945931, 947426, 945300, 949079, 945227, 947502, 945341, 945284, 948891, 945511, 947630, 946826",243,896,21998,2.62689226925338,0.00898054905264989,0.00150238982225948,0.0285999334793896
"7","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",8,2.67558528428094,2.23378972541959e-05,"947810, 947577, 947828, 947792, 949057, 947817, 947819, 945152",243,77,21998,9.40537651648763,0.00993546548243496,0.00142543333154288,0.0316557582801358
"8","GOTERM_MF_ALL","GO:0019843~rRNA binding",6,2.0066889632107,0.000240386618441577,"947810, 947792, 949057, 947817, 947819, 945152",243,51,21998,10.6502057613169,0.101892704989777,0.013343393947876,0.34017085534499
"9","GOTERM_MF_ALL","GO:0000104~succinate dehydrogenase activity",4,1.33779264214047,0.000268817562360576,"945402, 945300, 948666, 948667",243,12,21998,30.1755829903978,0.113237069934255,0.0132643104104143,0.380332252390436
"10","GOTERM_MF_ALL","GO:0015407~monosaccharide-transporting ATPase activity",5,1.67224080267559,0.00105109323074565,"946409, 948090, 949036, 949039, 948264",243,41,21998,11.0398474355114,0.375051335506945,0.0459207855277868,1.4794873731848
"11","GOTERM_MF_ALL","GO:0005198~structural molecule activity",8,2.67558528428094,0.00133616773276526,"947810, 947577, 947828, 947792, 949057, 947817, 947819, 945152",243,149,21998,4.86049658905737,0.449906137802912,0.0528836248890501,1.87722798372888
"12","GOTERM_MF_ALL","GO:0015608~carbohydrate-importing ATPase activity",5,1.67224080267559,0.00137316412673413,"946409, 948090, 949036, 949039, 948264",243,44,21998,10.2871305649083,0.458940582911949,0.0498976038981634,1.92873640550695
"13","GOTERM_MF_ALL","GO:0016614~oxidoreductase activity, acting on CH-OH group of donors",13,4.34782608695652,0.00150867091392105,"945620, 946947, 946713, 948977, 945716, 946733, 947631, 945212, 948121, 948438, 946653, 947934, 946795",243,395,21998,2.97936135854561,0.490785082309871,0.050589714959439,2.11718191698359
