"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",21,24.1379310344828,0.00145312205953796,"947161, 946756, 947109, 945136, 947736, 947231, 947155, 945780, 945782, 946735, 946733, 948432, 947631, 944769, 946189, 945557, 945808, 946335, 945981, 945947, 947868",74,439,3186,2.05953333743767,0.325701557128737,0.325701557128737,1.89488991578964
"2","GOTERM_MF_ALL","GO:0031992~energy transducer activity",3,3.44827586206897,0.00153079386414453,"946345, 945843, 945420",74,3,3186,43.0540540540541,0.339767334626758,0.187452976515671,1.99523474024165
"3","GOTERM_MF_ALL","GO:0042959~alkanesulfonate transporter activity",3,3.44827586206897,0.00153079386414453,"947220, 947216, 945560",74,3,3186,43.0540540540541,0.339767334626758,0.187452976515671,1.99523474024165
"4","GOTERM_MF_ALL","GO:0015415~phosphate ion transmembrane-transporting ATPase activity",3,3.44827586206897,0.00301614938387553,"948239, 948238, 948237",74,4,3186,32.2905405405405,0.558956439619042,0.238808677975325,3.89602373873893
"5","GOTERM_MF_ALL","GO:0042910~xenobiotic transporter activity",3,3.44827586206897,0.0100949641431744,"947220, 947216, 945560",74,7,3186,18.4517374517375,0.936048960634491,0.497122850639398,12.4956017799594
"6","GOTERM_MF_ALL","GO:0008940~nitrate reductase activity",3,3.44827586206897,0.0100949641431744,"945808, 945780, 945782",74,7,3186,18.4517374517375,0.936048960634491,0.497122850639398,12.4956017799594
"7","GOTERM_MF_ALL","GO:0016661~oxidoreductase activity, acting on other nitrogenous compounds as donors",4,4.59770114942529,0.0130013945040444,"945808, 945780, 945782, 947868",74,22,3186,7.82800982800983,0.971174152338573,0.508009839276662,15.8158880793546
"8","GOTERM_MF_ALL","GO:0015114~phosphate ion transmembrane transporter activity",3,3.44827586206897,0.0167996009202988,"948239, 948238, 948237",74,9,3186,14.3513513513514,0.989861014340086,0.534772100292598,19.9795442169651
"9","GOTERM_MF_ALL","GO:0051536~iron-sulfur cluster binding",9,10.3448275862069,0.0172385478227332,"948891, 945931, 946189, 947231, 945780, 945782, 945981, 946735, 947868",74,146,3186,2.65401703072936,0.991016641608687,0.489924923062274,20.4482567962058
"10","GOTERM_MF_ALL","GO:0051540~metal cluster binding",9,10.3448275862069,0.0172385478227332,"948891, 945931, 946189, 947231, 945780, 945782, 945981, 946735, 947868",74,146,3186,2.65401703072936,0.991016641608687,0.489924923062274,20.4482567962058
"11","GOTERM_MF_ALL","GO:0005198~structural molecule activity",6,6.89655172413793,0.0246814506344914,"946349, 945648, 945646, 947811, 947534, 947819",74,73,3186,3.53868937430581,0.998855285521336,0.571118664089351,28.0195628443516
"12","GOTERM_MF_ALL","GO:0048037~cofactor binding",13,14.9425287356322,0.0265878929906771,"948432, 946756, 947631, 945136, 947313, 946189, 947231, 946335, 947158, 945782, 948434, 947868, 946733",74,285,3186,1.96386913229018,0.999326376070475,0.555776074898793,29.8487271634301
