"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0008106~alcohol dehydrogenase (NADP+) activity",3,2.45901639344262,0.0073187653066013,"947493, 947478, 944975",74,6,3186,21.527027027027,0.875838581507055,0.875838581507055,9.27522506322045
"2","GOTERM_MF_ALL","GO:0016209~antioxidant activity",4,3.27868852459016,0.0114136333015495,"946763, 946043, 945343, 946234",74,21,3186,8.2007722007722,0.961615913365756,0.80408142856216,14.1110589458432
"3","GOTERM_MF_ALL","GO:0004364~glutathione transferase activity",3,2.45901639344262,0.0167996009202988,"946763, 946023, 946926",74,9,3186,14.3513513513514,0.991865308098028,0.798883808489709,20.1090423371369
"4","GOTERM_MF_ALL","GO:0004033~aldo-keto reductase (NADP) activity",3,2.45901639344262,0.0167996009202988,"947493, 947478, 944975",74,9,3186,14.3513513513514,0.991865308098028,0.798883808489709,20.1090423371369
"5","GOTERM_MF_ALL","GO:0019203~carbohydrate phosphatase activity",3,2.45901639344262,0.0343120690276984,"946406, 946405, 947410",74,13,3186,9.93555093555094,0.99995060849634,0.916167375617407,37.0395094087758
"6","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",17,13.9344262295082,0.0365291904755732,"946763, 949126, 947839, 948937, 944975, 946735, 947615, 945101, 946234, 946132, 946043, 945838, 947493, 948755, 947478, 945343, 946926",74,439,3186,1.66724127316382,0.999974287079701,0.879210194838768,38.9282865705314
"7","GOTERM_MF_ALL","GO:0004601~peroxidase activity",3,2.45901639344262,0.044852560196802,"946763, 946043, 946234",74,15,3186,8.61081081081081,0.999997812247826,0.886062587096309,45.5613531475355
"8","GOTERM_MF_ALL","GO:0004071~aspartate-ammonia ligase activity",2,1.63934426229508,0.0453075218211989,"945281, 948258",74,2,3186,43.0540540540541,0.999998089116347,0.847582980914683,45.9039655076779
"9","GOTERM_MF_ALL","GO:0004805~trehalose-phosphatase activity",2,1.63934426229508,0.0453075218211989,"946406, 946405",74,2,3186,43.0540540540541,0.999998089116347,0.847582980914683,45.9039655076779
"10","GOTERM_MF_ALL","GO:0003825~alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",2,1.63934426229508,0.0453075218211989,"946406, 946405",74,2,3186,43.0540540540541,0.999998089116347,0.847582980914683,45.9039655076779
"11","GOTERM_MF_ALL","GO:0016684~oxidoreductase activity, acting on peroxide as acceptor",3,2.45901639344262,0.0505148535207631,"946763, 946043, 946234",74,16,3186,8.07263513513514,0.999999595757719,0.841207415626027,49.6859470473042
"12","GOTERM_MF_ALL","GO:0003994~aconitate hydratase activity",2,1.63934426229508,0.0671958857994781,"945931, 946724",74,3,3186,28.7027027027027,0.999999997366771,0.888642118969789,60.2181880014145
"13","GOTERM_MF_ALL","GO:0015169~glycerol-3-phosphate transmembrane transporter activity",2,1.63934426229508,0.088589131271372,"947953, 946704",74,4,3186,21.527027027027,0.999999999996379,0.928239844013439,70.7476160442076
"14","GOTERM_MF_ALL","GO:0016211~ammonia ligase activity",2,1.63934426229508,0.088589131271372,"945281, 948258",74,4,3186,21.527027027027,0.999999999996379,0.928239844013439,70.7476160442076
"15","GOTERM_MF_ALL","GO:0042578~phosphoric ester hydrolase activity",5,4.0983606557377,0.12880839326192,"946356, 946336, 946406, 946405, 947410",74,85,3186,2.53259141494436,1,0.971565593301481,83.9147023578816
"16","GOTERM_MF_ALL","GO:0008199~ferric iron binding",2,1.63934426229508,0.129934213923739,"947839, 945101",74,6,3186,14.3513513513514,1,0.962897814829649,84.1879824101616
"17","GOTERM_MF_ALL","GO:0016798~hydrolase activity, acting on glycosyl bonds",4,3.27868852459016,0.130359369290272,"948234, 947456, 948272, 945757",74,55,3186,3.13120393120393,1,0.952705740879784,84.2900625981185
"18","GOTERM_MF_ALL","GO:1901505~carbohydrate derivative transporter activity",3,2.45901639344262,0.149592688542033,"947953, 946704, 948033",74,30,3186,4.30540540540541,1,0.962637740475638,88.3193544501149
"19","GOTERM_MF_ALL","GO:0016722~oxidoreductase activity, oxidizing metal ions",2,1.63934426229508,0.14990742222072,"947839, 945101",74,7,3186,12.3011583011583,1,0.953808665009157,88.3765097978774
"20","GOTERM_MF_ALL","GO:0035251~UDP-glucosyltransferase activity",2,1.63934426229508,0.14990742222072,"946406, 946405",74,7,3186,12.3011583011583,1,0.953808665009157,88.3765097978774
"21","GOTERM_MF_ALL","GO:0046527~glucosyltransferase activity",2,1.63934426229508,0.14990742222072,"946406, 946405",74,7,3186,12.3011583011583,1,0.953808665009157,88.3765097978774
"22","GOTERM_MF_ALL","GO:0016880~acid-ammonia (or amide) ligase activity",2,1.63934426229508,0.14990742222072,"945281, 948258",74,7,3186,12.3011583011583,1,0.953808665009157,88.3765097978774
"23","GOTERM_MF_ALL","GO:0016791~phosphatase activity",4,3.27868852459016,0.168373982794379,"946356, 946406, 946405, 947410",74,62,3186,2.77768090671317,1,0.962092669562459,91.3115224523079
"24","GOTERM_MF_ALL","GO:0046912~transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",2,1.63934426229508,0.169428264680743,"944990, 947528",74,8,3186,10.7635135135135,1,0.955009158476489,91.4563532195658
"25","GOTERM_MF_ALL","GO:0015605~organophosphate ester transmembrane transporter activity",2,1.63934426229508,0.169428264680743,"947953, 946704",74,8,3186,10.7635135135135,1,0.955009158476489,91.4563532195658
"26","GOTERM_MF_ALL","GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds",3,2.45901639344262,0.182273535193974,"948234, 948272, 945757",74,34,3186,3.79888712241653,1,0.958202598060419,93.0506520178281
"27","GOTERM_MF_ALL","GO:0015166~polyol transmembrane transporter activity",2,1.63934426229508,0.188506847649729,"947953, 946704",74,9,3186,9.56756756756757,1,0.955939707806599,93.720754612374
"28","GOTERM_MF_ALL","GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups",3,2.45901639344262,0.207428481736498,"946763, 946023, 946926",74,37,3186,3.490869247626,1,0.963157749272783,95.4066506722796
"29","GOTERM_MF_ALL","GO:0016614~oxidoreductase activity, acting on CH-OH group of donors",5,4.0983606557377,0.213943309644874,"947493, 947478, 948937, 944975, 946735",74,104,3186,2.06990644490645,1,0.961439910738391,95.8825437216592
"30","GOTERM_MF_ALL","GO:0016744~transferase activity, transferring aldehyde or ketonic groups",2,1.63934426229508,0.225376551969015,"945865, 947006",74,11,3186,7.82800982800983,1,0.962994951585456,96.6091544830014
"31","GOTERM_MF_ALL","GO:0015665~alcohol transmembrane transporter activity",2,1.63934426229508,0.260593018778963,"947953, 946704",74,13,3186,6.62370062370062,1,0.975956547073985,98.1696338152234
"32","GOTERM_MF_ALL","GO:1901618~organic hydroxy compound transmembrane transporter activity",2,1.63934426229508,0.277604272995874,"947953, 946704",74,14,3186,6.15057915057915,1,0.978677432727542,98.655412894837
"33","GOTERM_MF_ALL","GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",4,3.27868852459016,0.28332926083684,"947493, 947478, 948937, 944975",74,81,3186,2.12612612612613,1,0.977278788396739,98.7899615395797
"34","GOTERM_MF_ALL","GO:0005506~iron ion binding",4,3.27868852459016,0.28964717343984,"947839, 945101, 946234, 946724",74,82,3186,2.10019775873434,1,0.97614165523167,98.9239299477559
"35","GOTERM_MF_ALL","GO:1901677~phosphate transmembrane transporter activity",2,1.63934426229508,0.294229395340838,"947953, 946704",74,15,3186,5.74054054054054,1,0.974404423437883,99.0123633990381
"36","GOTERM_MF_ALL","GO:0008194~UDP-glycosyltransferase activity",2,1.63934426229508,0.294229395340838,"946406, 946405",74,15,3186,5.74054054054054,1,0.974404423437883,99.0123633990381
"37","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",10,8.19672131147541,0.328618341039686,"947493, 947839, 948755, 946256, 944975, 945101, 945343, 947410, 946234, 946724",74,326,3186,1.32067650472558,1,0.982421731982442,99.4905254695389
"38","GOTERM_MF_ALL","GO:0042626~ATPase activity, coupled to transmembrane movement of substances",4,3.27868852459016,0.353174313644917,"947953, 945364, 946884, 946659",74,92,3186,1.87191539365452,1,0.985971215496828,99.6890523549667
"39","GOTERM_MF_ALL","GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",4,3.27868852459016,0.365864334591453,"947953, 945364, 946884, 946659",74,94,3186,1.83208740655549,1,0.986593215317104,99.7608563286215
"40","GOTERM_MF_ALL","GO:0043492~ATPase activity, coupled to movement of substances",4,3.27868852459016,0.372196863251566,"947953, 945364, 946884, 946659",74,95,3186,1.81280227596017,1,0.985945926659968,99.7906367170374
"41","GOTERM_MF_ALL","GO:0008509~anion transmembrane transporter activity",3,2.45901639344262,0.377472148856269,"949103, 946704, 945364",74,57,3186,2.26600284495021,1,0.985100927760913,99.8127858873925
"42","GOTERM_MF_ALL","GO:0015036~disulfide oxidoreductase activity",2,1.63934426229508,0.386342382926328,"946763, 946926",74,21,3186,4.1003861003861,1,0.985041797240772,99.8452082364028
"43","GOTERM_MF_ALL","GO:0008289~lipid binding",2,1.63934426229508,0.400496255294586,"945887, 946132",74,22,3186,3.91400491400491,1,0.986071356804004,99.8863796168232
"44","GOTERM_MF_ALL","GO:0015075~ion transmembrane transporter activity",6,4.91803278688525,0.419486636326577,"949103, 946704, 945364, 945935, 946978, 946659",74,185,3186,1.3963476990504,1,0.987879936763016,99.925833550072
"45","GOTERM_MF_ALL","GO:0003824~catalytic activity",49,40.1639344262295,0.421240263529041,"946763, 944887, 949126, 947839, 946724, 945838, 946356, 946659, 946926, 948234, 945931, 946256, 948272, 944975, 946406, 946735, 946405, 946023, 947493, 945364, 947006, 947148, 947456, 946884, 947410, 946987, 946336, 946632, 946297, 944990, 948258, 946891, 947528, 948937, 947615, 945757, 945101, 946234, 946132, 945865, 945281, 946043, 947953, 946996, 949072, 946626, 948755, 947478, 945343",74,2036,3186,1.03617320660543,1,0.986622481556495,99.9287480968607
"46","GOTERM_MF_ALL","GO:0016787~hydrolase activity",18,14.7540983606557,0.422063324457881,"947148, 948234, 946884, 947456, 946256, 948272, 946406, 946405, 945757, 947410, 946987, 947953, 946996, 945364, 946356, 949072, 946336, 946659",74,694,3186,1.11667575356336,1,0.985131400321195,99.9300791907366
"47","GOTERM_MF_ALL","GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity",4,3.27868852459016,0.422369331502808,"947953, 945364, 946884, 946659",74,103,3186,1.67200209918657,1,0.983455669860422,99.9305681893822
