"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",49,7.92880258899676,8.96542862548104e-30,"947577, 948490, 947800, 947801, 947802, 947803, 947784, 947845, 946318, 947846, 948720, 948721, 948723, 947686, 947828, 947874, 949057, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 946941, 945618, 947807, 947806, 945657, 947804, 948216, 947809, 947810, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 947791",527,57,3186,5.19704384300409,8.49922633695602e-27,8.49922633695602e-27,1.40686905469663e-26
"2","GOTERM_MF_ALL","GO:0005198~structural molecule activity",51,8.25242718446602,1.30074475750323e-23,"947577, 948490, 945646, 947800, 947801, 947802, 947803, 947784, 947845, 946318, 947846, 948720, 948721, 948723, 947686, 947828, 947874, 949057, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 945618, 946941, 947807, 945657, 947806, 947804, 948216, 947809, 947810, 945190, 947813, 947797, 947814, 945648, 947811, 947798, 947793, 947792, 947795, 947791",527,73,3186,4.2235969951392,1.23310603011306e-20,6.1655301505653e-21,2.04114897774001e-20
"3","GOTERM_MF_ALL","GO:0019843~rRNA binding",40,6.47249190938511,1.94463284215887e-21,"947096, 948490, 947143, 947818, 947817, 947819, 947800, 947801, 947802, 947820, 947803, 944759, 947845, 947036, 947846, 948720, 948721, 945618, 947686, 945500, 948723, 947153, 947807, 947806, 947804, 948688, 949057, 947809, 947810, 945190, 947813, 947814, 947811, 947798, 948484, 947793, 948483, 947792, 947795, 947791",527,51,3186,4.74160062506976,1.8435119343666e-18,6.14503978122202e-19,3.05154821109657e-18
"4","GOTERM_MF_ALL","GO:0003723~RNA binding",80,12.9449838187702,4.47058853514617e-20,"946262, 948490, 947800, 947801, 947684, 947802, 947369, 947682, 947803, 947845, 946318, 945637, 947847, 947036, 947846, 948720, 948721, 944852, 947687, 948723, 945500, 947686, 947153, 947828, 949057, 948688, 945536, 947674, 948484, 946643, 948483, 947096, 947816, 947143, 947818, 947817, 946223, 947819, 944761, 947820, 947318, 944759, 945378, 945067, 945425, 947051, 949000, 946906, 947055, 947058, 945618, 948950, 949002, 947175, 947807, 947806, 947804, 947130, 948215, 947809, 946425, 945864, 947810, 945190, 945054, 947813, 948855, 947814, 948297, 947811, 947798, 947912, 947793, 947792, 947795, 944866, 947911, 948897, 947791, 945382",527,176,3186,2.74797308952907,4.23811793131857e-17,1.05952948282964e-17,7.01531731400205e-17
"5","GOTERM_MF_ALL","GO:0004812~aminoacyl-tRNA ligase activity",17,2.75080906148867,1.17393272905517e-07,"946969, 948079, 947175, 946223, 944761, 948645, 946385, 945555, 947497, 946989, 948855, 946643, 946452, 946906, 947372, 948785, 945382",527,25,3186,4.11096774193548,0.000111282636850896,2.22575181423323e-05,0.000184215197418514
"6","GOTERM_MF_ALL","GO:0016875~ligase activity, forming carbon-oxygen bonds",17,2.75080906148867,1.17393272905517e-07,"946969, 948079, 947175, 946223, 944761, 948645, 946385, 945555, 947497, 946989, 948855, 946643, 946452, 946906, 947372, 948785, 945382",527,25,3186,4.11096774193548,0.000111282636850896,2.22575181423323e-05,0.000184215197418514
"7","GOTERM_MF_ALL","GO:0016876~ligase activity, forming aminoacyl-tRNA and related compounds",17,2.75080906148867,1.17393272905517e-07,"946969, 948079, 947175, 946223, 944761, 948645, 946385, 945555, 947497, 946989, 948855, 946643, 946452, 946906, 947372, 948785, 945382",527,25,3186,4.11096774193548,0.000111282636850896,2.22575181423323e-05,0.000184215197418514
"8","GOTERM_MF_ALL","GO:0016874~ligase activity",38,6.14886731391586,2.23633320764468e-07,"946957, 949025, 946741, 944881, 948699, 947249, 946885, 946223, 948504, 944761, 945153, 948645, 946385, 947334, 946989, 946178, 946452, 946906, 948785, 947032, 946969, 948079, 946116, 947175, 944895, 947426, 946891, 945451, 945555, 947497, 948855, 948370, 946643, 947758, 944889, 947372, 945382, 946975",527,98,3186,2.34418928861867,0.000211981940429928,3.53334443886633e-05,0.000350928321257715
"9","GOTERM_MF_ALL","GO:0000049~tRNA binding",20,3.23624595469256,5.4444122890019e-07,"947175, 947816, 947806, 947143, 946223, 944761, 948215, 947800, 945190, 945067, 947811, 947845, 946643, 949000, 948483, 946318, 947846, 946906, 947791, 945382",527,36,3186,3.35863377609108,0.000515997253082046,7.37301997205675e-05,0.000854342257983198
"10","GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",118,19.0938511326861,7.3413796633657e-07,"948690, 946957, 948691, 949025, 949027, 944881, 948699, 949129, 945153, 948162, 947334, 947684, 948318, 946612, 946614, 945440, 947036, 947032, 946775, 947153, 946969, 948079, 944895, 947155, 945834, 948688, 947497, 947674, 945535, 945530, 948370, 946487, 945368, 944889, 946162, 948405, 946975, 947499, 947919, 946741, 945031, 948243, 946884, 947286, 944761, 948645, 948242, 947318, 945566, 945425, 947386, 947051, 947387, 948101, 947217, 947055, 948555, 947175, 946891, 947426, 948195, 945555, 948855, 945097, 947372, 948426, 948423, 945788, 947077, 946597, 944965, 949060, 944753, 945250, 944750, 947847, 946452, 946659, 2847759, 946116, 945774, 946731, 946584, 947501, 946643, 945769, 947148, 946844, 946701, 948207, 947249, 948209, 946223, 948504, 946979, 946385, 946987, 949081, 946989, 945067, 946906, 948479, 947763, 948785, 945526, 947091, 947234, 948292, 945451, 948217, 946425, 944989, 948297, 946705, 946323, 947856, 948897, 945382",527,478,3186,1.49241383690742,0.000695720921417564,8.69915969522461e-05,0.00115201454354841
