"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",163,26.3754045307443,3.77440983122738e-70,"946957, 949025, 948691, 947165, 948490, 948698, 949129, 948162, 947334, 946493, 947367, 947803, 947682, 948313, 946612, 945440, 946006, 948079, 947874, 945636, 944895, 946778, 947155, 946879, 945527, 946544, 947348, 947357, 948489, 945222, 945827, 945224, 948484, 948483, 947934, 948872, 948486, 948548, 948243, 947816, 947818, 947817, 948246, 947819, 948241, 944761, 948242, 947820, 945566, 944757, 947386, 945425, 946370, 947182, 947055, 946941, 945618, 947178, 946665, 944817, 948195, 944777, 947809, 946898, 947275, 945555, 947810, 945695, 947813, 945807, 947693, 944769, 947814, 948192, 947912, 947793, 947697, 947795, 948427, 947911, 947062, 947794, 948428, 945097, 947372, 948426, 947708, 945788, 947077, 947262, 945780, 944964, 945081, 945782, 947121, 947573, 946725, 945089, 944753, 945087, 948124, 945250, 944750, 947847, 945774, 946731, 947395, 946501, 945887, 946643, 947776, 948585, 948200, 947097, 948904, 948907, 947096, 947148, 946844, 948209, 946223, 946988, 948286, 945378, 949000, 944877, 945993, 948783, 944872, 946906, 946096, 947763, 948785, 948913, 946233, 945591, 947567, 945657, 945451, 948218, 945716, 946132, 945651, 947239, 944989, 945864, 948157, 946995, 945648, 948155, 946390, 948297, 945862, 946991, 946323, 945057, 944866, 949133, 948562, 947856, 948897, 945382, 946797",514,1395,21998,5.000730792296,2.54772663607848e-67,2.54772663607848e-67,5.66432949260738e-67
"2","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",49,7.92880258899676,3.46166978319944e-59,"947577, 947096, 947103, 948490, 947816, 947818, 947817, 947819, 947800, 947801, 947802, 947820, 947803, 944759, 947784, 947845, 949000, 946318, 947846, 948720, 948721, 946941, 945618, 948723, 947686, 947828, 947874, 947807, 945657, 947806, 949057, 947804, 948216, 947809, 945536, 947810, 945190, 948489, 947813, 947797, 947814, 947811, 947798, 947793, 948484, 947792, 948483, 947795, 947791",514,77,21998,27.2348779625044,2.33662710365962e-56,1.16831355182981e-56,5.19499448216203e-56
"3","GOTERM_MF_ALL","GO:0005198~structural molecule activity",56,9.06148867313916,3.37521754282704e-51,"947577, 945646, 948490, 945647, 947800, 947801, 947802, 947803, 947784, 947845, 946318, 947846, 945639, 948720, 948721, 947686, 948723, 946687, 947828, 945636, 947874, 949057, 945678, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 945618, 946941, 947807, 947806, 945657, 947804, 948216, 947809, 947810, 945190, 947797, 947813, 947814, 947811, 945648, 947798, 947793, 947792, 947795, 947791",514,149,21998,16.0850285953046,2.27827184140825e-48,7.59423947136083e-49,5.0652539407953e-48
"4","GOTERM_MF_ALL","GO:0019843~rRNA binding",34,5.50161812297735,9.15669457888481e-42,"947096, 947818, 947817, 947819, 947800, 947801, 947820, 947802, 947803, 944759, 947845, 947846, 948720, 948721, 945618, 948723, 947686, 947807, 947806, 947804, 949057, 947809, 947810, 945190, 947813, 947814, 947811, 947798, 947793, 948484, 947792, 948483, 947795, 947791",514,51,21998,28.5317769130999,6.18076884074725e-39,1.54519221018681e-39,1.37416278245304e-38
"5","GOTERM_MF_ALL","GO:0003723~RNA binding",65,10.5177993527508,5.97160902634585e-34,"946262, 948490, 947800, 947801, 947802, 947803, 947682, 947845, 946318, 945637, 947036, 947846, 948720, 948721, 944852, 947687, 945500, 947686, 948723, 947153, 949057, 945536, 947674, 948484, 948483, 946643, 947096, 947099, 947816, 947818, 947817, 947819, 947318, 947820, 945067, 945378, 944759, 945425, 949000, 947055, 945618, 947807, 947806, 947804, 948215, 947809, 946425, 945864, 947810, 945190, 947813, 945054, 947814, 948855, 947811, 948297, 948156, 947798, 947793, 947912, 947792, 947795, 947911, 947791, 945382",514,414,21998,6.71944021504164,4.03083609278345e-31,8.06167218556689e-32,8.96170862167657e-31
"6","GOTERM_MF_ALL","GO:0000049~tRNA binding",15,2.42718446601942,6.49178580609917e-16,"947816, 947806, 948215, 947800, 945190, 947811, 948156, 947845, 949000, 946318, 948483, 946643, 947846, 947791, 945382",514,29,21998,22.1367234670602,4.49640324973188e-13,7.49400541621981e-14,9.99200722162641e-13
"7","GOTERM_MF_ALL","GO:0032553~ribonucleotide binding",116,18.7702265372168,1.76137843313304e-14,"948690, 946957, 949025, 948691, 949027, 944881, 949129, 948162, 945153, 947334, 948318, 947684, 946612, 946614, 945440, 947036, 946006, 947032, 946775, 947153, 946969, 948079, 944895, 947155, 945834, 948688, 947497, 945535, 947674, 945530, 948370, 946487, 945368, 944889, 946162, 948405, 946975, 947499, 947919, 946741, 945031, 948243, 946884, 947286, 944761, 948645, 948242, 947318, 945566, 945425, 947386, 947051, 947387, 947217, 948101, 947055, 948555, 947175, 947426, 946891, 948195, 945555, 946045, 948855, 945097, 948426, 947372, 948423, 945788, 947077, 946597, 944965, 949060, 944753, 945250, 944750, 947847, 946452, 946659, 2847759, 945774, 946116, 946731, 946584, 947501, 948588, 946643, 945769, 947148, 946844, 948207, 948209, 948504, 946223, 946385, 949081, 946989, 945276, 946906, 948479, 948785, 947763, 945526, 947234, 945451, 948292, 948217, 946425, 944989, 948297, 946705, 945862, 946323, 947856, 948897, 945382",514,2385,21998,2.08156359869156,1.19154686117895e-11,1.70219394135529e-12,2.64899213675562e-11
"8","GOTERM_MF_ALL","GO:0032555~purine ribonucleotide binding",116,18.7702265372168,1.76137843313304e-14,"948690, 946957, 949025, 948691, 949027, 944881, 949129, 948162, 945153, 947334, 948318, 947684, 946612, 946614, 945440, 947036, 946006, 947032, 946775, 947153, 946969, 948079, 944895, 947155, 945834, 948688, 947497, 945535, 947674, 945530, 948370, 946487, 945368, 944889, 946162, 948405, 946975, 947499, 947919, 946741, 945031, 948243, 946884, 947286, 944761, 948645, 948242, 947318, 945566, 945425, 947386, 947051, 947387, 947217, 948101, 947055, 948555, 947175, 947426, 946891, 948195, 945555, 946045, 948855, 945097, 948426, 947372, 948423, 945788, 947077, 946597, 944965, 949060, 944753, 945250, 944750, 947847, 946452, 946659, 2847759, 945774, 946116, 946731, 946584, 947501, 948588, 946643, 945769, 947148, 946844, 948207, 948209, 948504, 946223, 946385, 949081, 946989, 945276, 946906, 948479, 948785, 947763, 945526, 947234, 945451, 948292, 948217, 946425, 944989, 948297, 946705, 945862, 946323, 947856, 948897, 945382",514,2385,21998,2.08156359869156,1.19154686117895e-11,1.70219394135529e-12,2.64899213675562e-11
"9","GOTERM_MF_ALL","GO:0005524~ATP binding",108,17.4757281553398,2.23453174191812e-13,"948690, 946957, 948691, 949025, 949027, 944881, 949129, 948162, 945153, 947334, 948318, 946612, 946614, 945440, 946006, 947032, 946775, 947153, 946969, 948079, 944895, 947155, 945834, 947497, 945535, 947674, 945530, 948370, 946487, 945368, 944889, 946162, 948405, 946975, 947499, 946741, 945031, 948243, 946884, 947286, 944761, 948645, 948242, 945566, 947318, 945425, 947386, 947387, 947217, 948101, 947055, 948555, 947175, 947426, 946891, 948195, 945555, 946045, 948855, 945097, 948426, 947372, 948423, 945788, 947077, 946597, 944965, 949060, 944753, 945250, 944750, 946452, 946659, 2847759, 946116, 945774, 946731, 946584, 947501, 948588, 946643, 946844, 947148, 948207, 948209, 948504, 946223, 946385, 949081, 946989, 945276, 948479, 946906, 948785, 947763, 945526, 947234, 945451, 948292, 948217, 946425, 944989, 948297, 946705, 945862, 946323, 947856, 945382",514,2225,21998,2.07736982468413,1.50854329028505e-10,1.88568050063509e-11,3.35387273509014e-10
"10","GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",108,17.4757281553398,2.67105942041114e-13,"948690, 946957, 948691, 949025, 949027, 944881, 949129, 948162, 945153, 947334, 948318, 946612, 946614, 945440, 946006, 947032, 946775, 947153, 946969, 948079, 944895, 947155, 945834, 947497, 945535, 947674, 945530, 948370, 946487, 945368, 944889, 946162, 948405, 946975, 947499, 946741, 945031, 948243, 946884, 947286, 944761, 948645, 948242, 945566, 947318, 945425, 947386, 947387, 947217, 948101, 947055, 948555, 947175, 947426, 946891, 948195, 945555, 946045, 948855, 945097, 948426, 947372, 948423, 945788, 947077, 946597, 944965, 949060, 944753, 945250, 944750, 946452, 946659, 2847759, 946116, 945774, 946731, 946584, 947501, 948588, 946643, 946844, 947148, 948207, 948209, 948504, 946223, 946385, 949081, 946989, 945276, 948479, 946906, 948785, 947763, 945526, 947234, 945451, 948292, 948217, 946425, 944989, 948297, 946705, 945862, 946323, 947856, 945382",514,2231,21998,2.07178299413814,1.80305770314249e-10,2.0033974479361e-11,4.00868227501405e-10
