"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",67,23.1034482758621,4.19903533974743e-27,"945788, 946260, 947165, 945780, 945782, 947122, 948266, 945742, 946724, 944811, 945837, 948260, 948121, 944750, 946119, 948670, 944893, 2847741, 945636, 945774, 946255, 948334, 946259, 945070, 947580, 945730, 948874, 947357, 946209, 945988, 945600, 947006, 948734, 948200, 948544, 947148, 946880, 948648, 945764, 948800, 944987, 948104, 947962, 945819, 947669, 946336, 946334, 945335, 945591, 945950, 946751, 948259, 948514, 945753, 945716, 945101, 948553, 946132, 945747, 945807, 945648, 946390, 947812, 948755, 947913, 947320, 945413",224,1395,21998,4.71667306707629,1.67541510055923e-24,1.67541510055923e-24,5.85470574754154e-24
"2","GOTERM_MF_ALL","GO:0005198~structural molecule activity",15,5.17241379310345,3.90464077491509e-10,"946687, 949014, 945636, 947103, 945646, 945647, 947534, 945152, 945678, 947801, 947811, 945648, 945639, 948720, 948721",224,149,21998,9.88644534995206,1.55795165990291e-07,7.78975860482589e-08,5.44423239823288e-07
"3","GOTERM_MF_ALL","GO:0003774~motor activity",9,3.10344827586207,4.6176878235436e-09,"946687, 945636, 946996, 945648, 945647, 947456, 947564, 945639, 945678",224,39,21998,22.6627747252747,1.84245573420228e-06,6.14152288580527e-07,6.43843174330527e-06
"4","GOTERM_MF_ALL","GO:0015596~glycine betaine/proline porter activity",3,1.03448275862069,0.000304869281762612,"947165, 947148, 947145",224,3,21998,98.2053571428571,0.114551860460157,0.0299574548275087,0.424240924431452
"5","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",6,2.06896551724138,0.00111818278015797,"947801, 947103, 947811, 948720, 948721, 945152",224,77,21998,7.6523654916512,0.360075166233725,0.0854113808412088,1.54784788062994
"6","GOTERM_MF_ALL","GO:0019843~rRNA binding",5,1.72413793103448,0.00176901686348252,"947801, 947811, 948720, 948721, 945152",224,51,21998,9.62797619047619,0.506613672087865,0.111076232097865,2.4384968913943
"7","GOTERM_MF_ALL","GO:0046872~metal ion binding",45,15.5172413793103,0.00184810175317153,"945467, 946880, 947839, 945780, 945782, 947122, 947459, 948088, 948507, 944824, 946724, 948104, 946331, 945837, 948413, 948763, 946059, 946816, 947868, 948076, 946115, 945931, 945752, 946256, 945910, 945730, 944996, 945101, 946405, 946234, 946132, 945865, 948422, 946794, 946368, 945808, 948755, 946626, 945602, 948584, 946209, 948753, 945343, 948423, 948424",224,2793,21998,1.58225602270984,0.521966673626957,0.100070868207329,2.54621131012263
"8","GOTERM_MF_ALL","GO:0043169~cation binding",45,15.5172413793103,0.00323914177561148,"945467, 946880, 947839, 945780, 945782, 947122, 947459, 948088, 948507, 944824, 946724, 948104, 946331, 945837, 948413, 948763, 946059, 946816, 947868, 948076, 946115, 945931, 945752, 946256, 945910, 945730, 944996, 945101, 946405, 946234, 946132, 945865, 948422, 946794, 946368, 945808, 948755, 946626, 945602, 948584, 946209, 948753, 945343, 948423, 948424",224,2876,21998,1.53659286211007,0.725969334611228,0.149400945449696,4.42286671076267
"9","GOTERM_MF_ALL","GO:0043167~ion binding",45,15.5172413793103,0.00356981924679627,"945467, 946880, 947839, 945780, 945782, 947122, 947459, 948088, 948507, 944824, 946724, 948104, 946331, 945837, 948413, 948763, 946059, 946816, 947868, 948076, 946115, 945931, 945752, 946256, 945910, 945730, 944996, 945101, 946405, 946234, 946132, 945865, 948422, 946794, 946368, 945808, 948755, 946626, 945602, 948584, 946209, 948753, 945343, 948423, 948424",224,2891,21998,1.52862022532984,0.75994958046073,0.146615562293275,4.8640215082545
"10","GOTERM_MF_ALL","GO:0016903~oxidoreductase activity, acting on the aldehyde or oxo group of donors",7,2.41379310344828,0.00539155850154808,"948104, 946260, 945672, 945837, 947376, 948584, 946132",224,157,21998,4.37858280254777,0.88433440091808,0.194027133761379,7.2606918008038
"11","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",39,13.448275862069,0.00766153488038575,"946260, 945467, 947839, 947263, 945780, 945782, 948104, 949007, 945838, 945837, 948121, 948414, 945427, 946151, 946926, 947868, 948710, 945672, 945752, 947580, 945716, 945101, 946234, 946132, 945906, 947357, 946043, 945807, 946189, 947049, 945808, 948755, 947376, 948584, 945600, 948734, 945343, 945346, 946018",224,2513,21998,1.5240783639361,0.953519529801668,0.243441048957529,10.168629564894
