"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:1901476~carbohydrate transporter activity",21,4.84988452655889,0.000655434428719597,"945292, 2847725, 946880, 947154, 948261, 948262, 944793, 949039, 948264, 945497, 947740, 948118, 948422, 946408, 946409, 948848, 948923, 946704, 946342, 948746, 945256",324,92,3186,2.2445652173913,0.37873739134251,0.37873739134251,0.988666069186028
"2","GOTERM_MF_ALL","GO:0015144~carbohydrate transmembrane transporter activity",21,4.84988452655889,0.000655434428719597,"945292, 2847725, 946880, 947154, 948261, 948262, 944793, 949039, 948264, 945497, 947740, 948118, 948422, 946408, 946409, 948848, 948923, 946704, 946342, 948746, 945256",324,92,3186,2.2445652173913,0.37873739134251,0.37873739134251,0.988666069186028
"3","GOTERM_MF_ALL","GO:0004368~glycerol-3-phosphate dehydrogenase activity",4,0.92378752886836,0.00382163120128341,"946713, 947934, 946735, 946733",324,4,3186,9.83333333333333,0.937950285226382,0.750902198376586,5.63734642850543
"4","GOTERM_MF_ALL","GO:0001159~core promoter proximal region DNA binding",11,2.54041570438799,0.00636547797126484,"948865, 946856, 945302, 944780, 945941, 948637, 946769, 945600, 944914, 945163, 948916",324,41,3186,2.63821138211382,0.99030464364034,0.786766914040246,9.22372500333749
"5","GOTERM_MF_ALL","GO:0000987~core promoter proximal region sequence-specific DNA binding",11,2.54041570438799,0.00636547797126484,"948865, 946856, 945302, 944780, 945941, 948637, 946769, 945600, 944914, 945163, 948916",324,41,3186,2.63821138211382,0.99030464364034,0.786766914040246,9.22372500333749
"6","GOTERM_MF_ALL","GO:0015665~alcohol transmembrane transporter activity",6,1.38568129330254,0.00672505212859377,"948118, 948422, 946704, 948114, 945497, 945256",324,13,3186,4.53846153846154,0.992545064473447,0.706159961012542,9.72026703910402
"7","GOTERM_MF_ALL","GO:0015166~polyol transmembrane transporter activity",5,1.15473441108545,0.0086434753820917,"948118, 948422, 946704, 945497, 945256",324,9,3186,5.46296296296296,0.99816817039658,0.716484364499526,12.3268551879429
"8","GOTERM_MF_ALL","GO:1901618~organic hydroxy compound transmembrane transporter activity",6,1.38568129330254,0.00960720631237808,"948118, 948422, 946704, 948114, 945497, 945256",324,14,3186,4.21428571428571,0.999095883427102,0.68904032645268,13.6096017047124
"9","GOTERM_MF_ALL","GO:0051119~sugar transmembrane transporter activity",13,3.00230946882217,0.0101458248726292,"2847725, 946408, 946409, 948923, 948848, 948261, 948262, 944793, 949039, 948264, 946342, 948746, 947740",324,57,3186,2.24269005847953,0.999390876760021,0.652726081826382,14.3188565818826
"10","GOTERM_MF_ALL","GO:0015145~monosaccharide transmembrane transporter activity",10,2.3094688221709,0.0137425447383239,"2847725, 946408, 946409, 948923, 948261, 948262, 949039, 946342, 948264, 948746",324,39,3186,2.52136752136752,0.999956653187803,0.715147755708187,18.9174063972901
