"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",101,23.3256351039261,6.53325759117471e-42,"949122, 944887, 947939, 948363, 947882, 948667, 948264, 945545, 944811, 948313, 945837, 946175, 948499, 947945, 944878, 944911, 944896, 948670, 946774, 949116, 947872, 945730, 948874, 945228, 946017, 946209, 947934, 947043, 948486, 948544, 948044, 946880, 945763, 948104, 947507, 947314, 947053, 948394, 946948, 945295, 947428, 948258, 946751, 945753, 947526, 948658, 946898, 948118, 946149, 948117, 947913, 947062, 947320, 946260, 947266, 948978, 947590, 947572, 946592, 946725, 947780, 945083, 944750, 948121, 945256, 945571, 945479, 946255, 946253, 946259, 945070, 948133, 945077, 945887, 948443, 947632, 945261, 947082, 945600, 948036, 945880, 947859, 947148, 946910, 946195, 946781, 947962, 947669, 946333, 947867, 948981, 947139, 946856, 948514, 948987, 945654, 945101, 946999, 948014, 948897, 948562",328,1395,21998,4.8557522510709,3.42996023536672e-39,3.42996023536672e-39,9.47268715373423e-39
"2","GOTERM_MF_ALL","GO:0043169~cation binding",78,18.013856812933,1.4282558050458e-07,"946106, 2847717, 949020, 947839, 947882, 947603, 948979, 945182, 948166, 946592, 947594, 946725, 947780, 948313, 945837, 946179, 945083, 945212, 946034, 944850, 947941, 946076, 946925, 944852, 947253, 948076, 948728, 945579, 946256, 945730, 946735, 947493, 945434, 947836, 945602, 948401, 946209, 947970, 946826, 948406, 945517, 947859, 946880, 945763, 948540, 948104, 948141, 948431, 946195, 946331, 945279, 948910, 946333, 949041, 948394, 946663, 945295, 2847766, 947428, 945752, 947526, 945101, 946899, 946149, 946999, 948422, 948566, 948857, 945908, 945051, 945387, 946527, 946626, 948753, 947062, 948425, 948423, 948562",328,2876,21998,1.81892618474168,7.49806239159767e-05,3.74910147460383e-05,0.000207085166659127
"3","GOTERM_MF_ALL","GO:0043167~ion binding",78,18.013856812933,1.76864696575853e-07,"946106, 2847717, 949020, 947839, 947882, 947603, 948979, 945182, 948166, 946592, 947594, 946725, 947780, 948313, 945837, 946179, 945083, 945212, 946034, 944850, 947941, 946076, 946925, 944852, 947253, 948076, 948728, 945579, 946256, 945730, 946735, 947493, 945434, 947836, 945602, 948401, 946209, 947970, 946826, 948406, 945517, 947859, 946880, 945763, 948540, 948104, 948141, 948431, 946195, 946331, 945279, 948910, 946333, 949041, 948394, 946663, 945295, 2847766, 947428, 945752, 947526, 945101, 946899, 946149, 946999, 948422, 948566, 948857, 945908, 945051, 945387, 946527, 946626, 948753, 947062, 948425, 948423, 948562",328,2891,21998,1.80948865697581,9.2849663105854e-05,3.09508456468599e-05,0.000256438984014284
"4","GOTERM_MF_ALL","GO:0046872~metal ion binding",76,17.5519630484988,1.94454003667953e-07,"946106, 2847717, 949020, 947839, 947882, 947603, 948979, 945182, 948166, 946592, 947594, 946725, 947780, 948313, 945837, 946179, 945083, 945212, 946034, 944850, 946076, 946925, 944852, 947253, 948076, 948728, 945579, 946256, 945730, 946735, 947493, 945434, 947836, 945602, 948401, 946209, 947970, 946826, 948406, 945517, 947859, 946880, 945763, 948540, 948104, 948141, 948431, 946195, 946331, 945279, 948910, 946333, 949041, 948394, 946663, 945295, 2847766, 947428, 945752, 947526, 945101, 946899, 946999, 948422, 948566, 948857, 945908, 945051, 945387, 946527, 946626, 948753, 947062, 948425, 948562, 948423",328,2793,21998,1.8249543719927,0.000102083151016674,2.55217647782136e-05,0.000281941971413957
"5","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",57,13.1639722863741,8.47801477636342e-06,"946106, 2847717, 949020, 947839, 947603, 947882, 948979, 945182, 946592, 947594, 947780, 948313, 945837, 945212, 945083, 946034, 944850, 946076, 946925, 944852, 947253, 948076, 945579, 946256, 946735, 947493, 945434, 947836, 948401, 947970, 946826, 948406, 947859, 945517, 946880, 945763, 948431, 946195, 946331, 945279, 946333, 948910, 948394, 946663, 945295, 947428, 945752, 947526, 945101, 946899, 946999, 948566, 945051, 945908, 947062, 948425, 948423",328,2075,21998,1.84232441962974,0.00444108570904778,0.000889799218751763,0.0122917220295782
"6","GOTERM_MF_ALL","GO:0004368~glycerol-3-phosphate dehydrogenase activity",4,0.92378752886836,0.00017244753419158,"946713, 947934, 946735, 946733",328,8,21998,33.5335365853659,0.0865647278133106,0.0149771700215077,0.249743948357828
"7","GOTERM_MF_ALL","GO:0005488~binding",233,53.810623556582,0.000183105553449447,"949122, 944887, 944780, 945941, 948363, 947882, 948264, 948667, 946408, 945545, 948865, 945542, 945837, 945212, 947361, 945354, 946007, 944878, 947687, 945938, 948670, 944896, 944790, 948728, 949116, 947872, 944795, 945730, 945163, 948916, 945829, 948874, 945228, 947493, 945434, 946017, 946209, 945626, 948544, 947104, 948249, 945763, 948540, 948543, 948104, 947176, 948650, 948394, 948258, 945752, 945753, 948658, 948118, 948117, 948857, 948753, 946106, 946260, 947266, 947263, 948122, 947780, 948121, 946925, 945256, 946251, 947253, 946255, 948336, 948637, 946253, 946259, 946256, 948133, 947631, 947632, 945261, 947082, 948036, 945517, 947148, 946128, 946910, 947246, 946532, 948141, 946781, 949007, 946538, 947669, 945279, 948910, 948782, 946784, 947139, 2847766, 948514, 945654, 945101, 945281, 945908, 945387, 946527, 946626, 948014, 948010, 948897, 947939, 2847717, 949020, 946769, 947603, 947602, 945182, 948166, 944805, 947600, 948313, 944811, 946179, 946858, 946034, 946175, 947941, 947945, 948499, 944911, 2847706, 946688, 948076, 946774, 949014, 949011, 948689, 948179, 946022, 946167, 948401, 947204, 947934, 947043, 948486, 948406, 949043, 948044, 946880, 947050, 946884, 948431, 947507, 947314, 947053, 949041, 945893, 2847725, 946948, 946892, 946663, 947428, 945295, 946751, 945091, 947806, 947526, 946898, 945499, 946899, 946149, 948422, 947220, 948193, 946040, 947913, 947062, 947320, 948425, 946950, 948423, 947839, 948979, 947590, 948978, 949065, 946592, 947572, 949064, 946725, 947594, 945083, 945082, 944750, 944850, 946315, 946076, 944855, 944852, 945571, 945479, 945579, 945070, 946735, 945077, 948443, 945887, 945986, 947836, 945602, 945600, 947970, 946826, 945880, 947859, 946195, 946331, 947962, 947861, 946333, 948572, 947867, 945305, 948981, 945302, 946856, 946713, 947466, 948987, 946999, 946185, 948566, 945051, 947024, 946327, 948562",328,13515,21998,1.15624328884798,0.0916624493460797,0.0136402904772616,0.26516015719531
"8","GOTERM_MF_ALL","GO:0015407~monosaccharide-transporting ATPase activity",6,1.38568129330254,0.000340062943817248,"946408, 946409, 948923, 948262, 949039, 948264",328,41,21998,9.81469363474123,0.163528984280645,0.0220731684166895,0.491933231616104
"9","GOTERM_MF_ALL","GO:0015608~carbohydrate-importing ATPase activity",6,1.38568129330254,0.000475207226619935,"946408, 946409, 948923, 948262, 949039, 948264",328,44,21998,9.14550997782705,0.220843294545642,0.0273461447717395,0.686805863213191
"10","GOTERM_MF_ALL","GO:0015145~monosaccharide transmembrane transporter activity",8,1.84757505773672,0.000695863107545225,"946408, 946409, 948848, 948923, 948262, 949039, 948264, 947740",328,99,21998,5.41956146834196,0.306119344667901,0.0358858031879956,1.0042192897154
"11","GOTERM_MF_ALL","GO:0043211~carbohydrate-transporting ATPase activity",6,1.38568129330254,0.000713830201749123,"946408, 946409, 948923, 948262, 949039, 948264",328,48,21998,8.38338414634146,0.312638330313163,0.0335071075923172,1.03002332067167
