"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0004368~glycerol-3-phosphate dehydrogenase activity",3,9.09090909090909,2.42192012856005e-05,"946713, 946735, 946733",22,8,21998,374.965909090909,0.00278136668860474,0.00278136668860474,0.0275841699362456
"2","GOTERM_MF_ALL","GO:0005515~protein binding",7,21.2121212121212,0.00152707779546081,"948118, 946195, 947148, 945654, 946725, 948897, 948562",22,1395,21998,5.01746497230368,0.161170801927338,0.0841238085457938,1.72573106823559
"3","GOTERM_MF_ALL","GO:0046872~metal ion binding",8,24.2424242424242,0.0121483085490665,"948422, 948141, 946195, 2847766, 946735, 946725, 948562, 948423",22,2793,21998,2.86404322494548,0.754782761234833,0.374082636734418,12.9969078171935
"4","GOTERM_MF_ALL","GO:0016301~kinase activity",5,15.1515151515152,0.012382226643947,"948118, 947154, 946236, 948562, 948423",22,971,21998,5.14886246606123,0.761371037954752,0.301074657327106,13.2312914527493
"5","GOTERM_MF_ALL","GO:0043169~cation binding",8,24.2424242424242,0.0141827650886032,"948422, 948141, 946195, 2847766, 946735, 946725, 948562, 948423",22,2876,21998,2.78138829181945,0.806541971011746,0.280025107349344,15.0162240964792
"6","GOTERM_MF_ALL","GO:0043167~ion binding",8,24.2424242424242,0.0145758256927371,"948422, 948141, 946195, 2847766, 946735, 946725, 948562, 948423",22,2891,21998,2.76695701393038,0.815213859437895,0.24529325312761,15.4013958562737
"7","GOTERM_MF_ALL","GO:0000287~magnesium ion binding",4,12.1212121212121,0.0152943891228786,"948422, 948141, 2847766, 948562",22,557,21998,7.18067569773135,0.830082760854919,0.223692252491355,16.1014234866025
"8","GOTERM_MF_ALL","GO:0016614~oxidoreductase activity, acting on CH-OH group of donors",3,9.09090909090909,0.0539543673104733,"946713, 946735, 946733",22,395,21998,7.59424626006904,0.998302187228835,0.549457022842429,46.8358285577652
"9","GOTERM_MF_ALL","GO:0016773~phosphotransferase activity, alcohol group as acceptor",4,12.1212121212121,0.0569742114476789,"948118, 947154, 948562, 948423",22,931,21998,4.29606483741822,0.998824532899094,0.527428168726683,48.7371526552211
"10","GOTERM_MF_ALL","GO:0022891~substrate-specific transmembrane transporter activity",5,15.1515151515152,0.0631710597070636,"948118, 948848, 947148, 947154, 946704",22,1612,21998,3.10145499661629,0.999449275604331,0.527835391007532,52.4459249792247
"11","GOTERM_MF_ALL","GO:0016772~transferase activity, transferring phosphorus-containing groups",5,15.1515151515152,0.0683306933750414,"948118, 947154, 946236, 948562, 948423",22,1655,21998,3.0208733864323,0.999708186329764,0.522859845745608,55.3453433081944
"12","GOTERM_MF_ALL","GO:0009055~electron carrier activity",4,12.1212121212121,0.0741837782939991,"949007, 946735, 946733, 947600",22,1039,21998,3.84950564353837,0.999858632235171,0.522255313014535,58.4386090512893
"13","GOTERM_MF_ALL","GO:0051119~sugar transmembrane transporter activity",3,9.09090909090909,0.0900629123265879,"948118, 948848, 947154",22,530,21998,5.6598627787307,0.999980666648045,0.566081423761717,65.8723713228281
"14","GOTERM_MF_ALL","GO:0016861~intramolecular oxidoreductase activity, interconverting aldoses and ketoses",2,6.06060606060606,0.101690668610331,"948141, 946195",22,112,21998,17.8555194805195,0.999995594656585,0.585592958363236,70.5230035431728
"15","GOTERM_MF_ALL","GO:0022857~transmembrane transporter activity",5,15.1515151515152,0.101887485049444,"948118, 948848, 947148, 947154, 946704",22,1900,21998,2.63133971291866,0.99999570427923,0.561264877396872,70.5964852337647
"16","GOTERM_MF_ALL","GO:0015144~carbohydrate transmembrane transporter activity",3,9.09090909090909,0.119711138845196,"948118, 948848, 947154",22,628,21998,4.77663578459757,0.999999571551382,0.600061078010023,76.5989123482916
"17","GOTERM_MF_ALL","GO:0005488~binding",17,51.5151515151515,0.120244335673618,"947148, 2847766, 946713, 945654, 946735, 947130, 946725, 947600, 948118, 948141, 948422, 946195, 949007, 944855, 948562, 948897, 948423",22,13515,21998,1.25774728416238,0.99999960038825,0.579635745034526,76.7598608382571
"18","GOTERM_MF_ALL","GO:0022892~substrate-specific transporter activity",5,15.1515151515152,0.126755021879415,"948118, 948848, 947148, 947154, 946704",22,2056,21998,2.43168553236647,0.99999982992083,0.579345961559107,78.6453604909685
"19","GOTERM_MF_ALL","GO:0016860~intramolecular oxidoreductase activity",2,6.06060606060606,0.128885532877427,"948141, 946195",22,144,21998,13.8876262626263,0.999999871574568,0.566192133691127,79.2313595597076
"20","GOTERM_MF_ALL","GO:0003824~catalytic activity",17,51.5151515151515,0.147854359475999,"947148, 2847766, 947154, 946713, 946236, 945654, 946735, 946725, 947600, 946733, 948118, 948141, 946195, 949007, 948562, 948897, 948423",22,13817,21998,1.2302565350984,0.999999989788488,0.60147597989915,83.8379687115031
"21","GOTERM_MF_ALL","GO:0042578~phosphoric ester hydrolase activity",2,6.06060606060606,0.198914363321933,"946725, 948562",22,231,21998,8.65722156631248,0.999999999991623,0.703156491612447,92.0048833112558
"22","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",5,15.1515151515152,0.212832635829133,"949007, 946713, 946735, 946733, 947600",22,2513,21998,1.98947292262055,0.999999999998884,0.713770572500657,93.4518371602981
"23","GOTERM_MF_ALL","GO:0050660~FAD binding",2,6.06060606060606,0.241117771325388,"949007, 946713",22,287,21998,6.96800760215394,0.999999999999983,0.748306550022804,95.6839276415853
"24","GOTERM_MF_ALL","GO:0017076~purine nucleotide binding",5,15.1515151515152,0.247511245268908,"949007, 947148, 946713, 948897, 948423",22,2677,21998,1.8675926240364,0.999999999999994,0.744006325278179,96.0804638965919
"25","GOTERM_MF_ALL","GO:0005342~organic acid transmembrane transporter activity",2,6.06060606060606,0.261416933251087,"948848, 947148",22,315,21998,6.34862914862915,0.999999999999999,0.751894156031655,96.8307137033376
"26","GOTERM_MF_ALL","GO:0046943~carboxylic acid transmembrane transporter activity",2,6.06060606060606,0.261416933251087,"948848, 947148",22,315,21998,6.34862914862915,0.999999999999999,0.751894156031655,96.8307137033376
"27","GOTERM_MF_ALL","GO:0008982~protein-N(PI)-phosphohistidine-sugar phosphotransferase activity",2,6.06060606060606,0.278403622983572,"948118, 947154",22,339,21998,5.89916867792974,1,0.763829862064059,97.5685951855851
"28","GOTERM_MF_ALL","GO:0005215~transporter activity",6,18.1818181818182,0.278438978551771,"948118, 948422, 948848, 947148, 947154, 946704",22,3736,21998,1.60584971773409,1,0.750914619434364,97.5699518266199
"29","GOTERM_MF_ALL","GO:0016740~transferase activity",6,18.1818181818182,0.331306912557747,"948118, 947154, 945654, 946236, 948562, 948423",22,4000,21998,1.49986363636364,1,0.808494329241829,98.9786104201537
"30","GOTERM_MF_ALL","GO:0022804~active transmembrane transporter activity",3,9.09090909090909,0.356177792104389,"948118, 947148, 947154",22,1304,21998,2.30040435025098,1,0.825555175224195,99.33673268243
"31","GOTERM_MF_ALL","GO:0015295~solute:hydrogen symporter activity",2,6.06060606060606,0.357276295965711,"948118, 947154",22,458,21998,4.3664152441445,1,0.816306742338586,99.3495097936729
"32","GOTERM_MF_ALL","GO:0005351~sugar:hydrogen symporter activity",2,6.06060606060606,0.357276295965711,"948118, 947154",22,458,21998,4.3664152441445,1,0.816306742338586,99.3495097936729
"33","GOTERM_MF_ALL","GO:0005402~cation:sugar symporter activity",2,6.06060606060606,0.357902906801174,"948118, 947154",22,459,21998,4.35690235690236,1,0.806687171400111,99.3566971713632
"34","GOTERM_MF_ALL","GO:0000166~nucleotide binding",5,15.1515151515152,0.359803691262138,"949007, 947148, 946713, 948897, 948423",22,3175,21998,1.57465998568361,1,0.79865634903668,99.378058761203
"35","GOTERM_MF_ALL","GO:0015294~solute:cation symporter activity",2,6.06060606060606,0.406189706271947,"948118, 947154",22,539,21998,3.71023781413392,1,0.837371518687159,99.7359638641406
"36","GOTERM_MF_ALL","GO:0015293~symporter activity",2,6.06060606060606,0.426771804520446,"948118, 947154",22,575,21998,3.47794466403162,1,0.847742583103254,99.8233335524251
"37","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",4,12.1212121212121,0.438961999166146,"949007, 947148, 946713, 948423",22,2523,21998,1.58527006089432,1,0.850286713813141,99.8617013932987
