"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",221,30.0271739130435,2.49344194808193e-105,"949122, 945641, 947165, 948361, 945150, 945743, 948520, 948264, 948669, 949095, 947685, 945218, 948864, 945545, 944779, 948260, 945211, 947360, 944893, 946219, 945636, 947874, 944895, 949116, 945730, 946211, 945527, 947294, 945830, 947357, 945222, 947679, 946209, 948872, 945435, 948389, 948243, 948244, 949108, 948643, 948242, 945233, 944757, 945425, 947181, 945618, 945611, 947992, 945041, 945044, 945950, 948258, 948658, 947278, 948118, 945553, 945747, 944769, 947793, 947697, 945413, 947794, 947372, 945788, 947077, 946260, 948221, 945786, 947262, 945112, 948322, 948123, 947780, 948121, 947786, 945397, 946924, 945256, 948335, 946253, 945129, 947632, 948776, 947081, 946914, 948200, 948904, 948347, 947097, 947096, 948606, 947148, 948600, 946227, 948502, 948505, 949008, 948884, 947669, 949000, 947230, 947139, 945006, 948513, 945657, 947239, 946132, 947657, 945648, 946390, 946623, 946796, 946957, 947939, 946697, 948695, 948490, 947531, 948697, 948698, 948162, 946554, 947803, 946359, 946961, 946175, 946177, 948494, 947944, 948499, 947928, 947929, 948178, 946869, 948484, 947934, 947413, 947720, 948044, 947415, 946880, 946883, 947816, 947818, 947817, 947819, 948430, 946055, 947820, 944830, 947312, 947314, 947825, 948040, 948434, 946058, 946941, 945493, 946948, 946947, 944817, 948195, 947526, 945198, 944812, 945695, 947814, 947812, 946141, 948427, 945097, 945099, 947430, 945580, 945081, 947590, 946592, 947596, 946725, 945089, 944753, 945083, 944750, 945307, 947847, 945870, 948593, 947981, 945571, 947580, 949051, 948443, 945887, 946064, 948446, 945880, 946844, 947455, 948800, 944987, 946988, 948286, 946430, 947016, 946336, 945999, 947867, 944872, 946853, 946080, 947565, 945300, 949076, 945452, 945716, 948299, 948297, 944864, 948707, 949133, 946328",636,1395,21998,5.47954058745294,1.83766671573638e-102,1.83766671573638e-102,3.78618501976606e-102
"2","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",38,5.16304347826087,1.63918819950672e-36,"947577, 947096, 947103, 948490, 947816, 947818, 947817, 947819, 947800, 947801, 947820, 947802, 947803, 944759, 947784, 946318, 949000, 947846, 948720, 948721, 946941, 945618, 947874, 947807, 945657, 947806, 949057, 947808, 946349, 947797, 947814, 947811, 947798, 948484, 947793, 947792, 948425, 947791",636,77,21998,17.069427427918,1.20808170303645e-33,6.04040851518227e-34,2.48903721633616e-33
"3","GOTERM_MF_ALL","GO:0005198~structural molecule activity",47,6.38586956521739,1.25308553187415e-34,"947577, 947096, 947103, 945646, 948490, 945647, 947816, 947818, 947817, 947819, 947800, 947801, 947820, 947802, 947803, 944759, 947784, 949000, 946318, 945639, 947846, 948720, 948721, 946941, 945618, 945571, 946687, 947874, 945636, 947807, 947806, 945657, 949057, 945207, 945678, 947808, 946349, 947797, 947814, 947811, 945648, 947798, 948484, 947793, 947792, 948425, 947791",636,149,21998,10.9103245958381,9.2352403699125e-32,3.0784134566375e-32,1.90275681890935e-31
"4","GOTERM_MF_ALL","GO:0019843~rRNA binding",26,3.53260869565217,2.42164535594618e-25,"947096, 947807, 947806, 947818, 947817, 949057, 947819, 947808, 947800, 947801, 947802, 947820, 947803, 944759, 947814, 947811, 947798, 948484, 947793, 947792, 947846, 948720, 948425, 948721, 947791, 945618",636,51,21998,17.6331236897275,1.78475262733234e-22,4.46188156833084e-23,3.67716496344443e-22
"5","GOTERM_MF_ALL","GO:0000166~nucleotide binding",165,22.4184782608696,1.53175378071541e-14,"949122, 946957, 2847718, 947939, 946203, 948361, 948695, 945743, 945184, 944801, 946867, 948264, 945741, 948162, 946554, 945218, 948864, 948318, 944779, 946858, 948260, 946759, 946007, 945358, 2847707, 947928, 947153, 948537, 947151, 949011, 944790, 944895, 948531, 949116, 947159, 946549, 946680, 944798, 945164, 944797, 949018, 947294, 948370, 947679, 946209, 945431, 946164, 945435, 947412, 946744, 947414, 947413, 948044, 946741, 946571, 948243, 948244, 948245, 947286, 947819, 948242, 947481, 948430, 945233, 948182, 947825, 947315, 945425, 945427, 947181, 948101, 945231, 946156, 949040, 2847725, 945611, 948399, 946948, 945044, 948258, 949036, 946947, 947426, 948195, 945748, 946368, 946141, 947170, 947478, 945413, 945097, 947372, 946144, 945099, 948423, 945788, 947430, 947077, 945312, 945314, 948979, 949068, 947590, 946723, 949064, 944753, 945085, 947987, 945083, 948121, 944750, 947989, 948596, 947847, 947786, 945258, 946656, 946659, 948593, 947255, 945129, 947972, 947632, 948444, 947396, 945769, 948990, 947097, 948347, 947450, 947148, 946844, 948993, 946227, 948089, 948504, 944987, 948505, 948506, 947761, 946531, 947967, 948286, 947016, 945372, 948572, 947867, 946785, 947868, 947234, 945595, 947231, 946713, 948292, 949076, 945716, 946395, 947239, 948464, 948297, 949071, 946796, 948010, 948609, 947755",636,3175,21998,1.79748922894072,1.12916342942526e-11,2.25830465439003e-12,2.3259172365897e-11
"6","GOTERM_MF_ALL","GO:0005488~binding",477,64.8097826086957,1.82443571832151e-13,"949122, 949126, 947165, 948361, 945150, 948264, 948520, 948368, 948669, 945218, 948864, 948865, 945212, 948260, 945211, 947360, 948720, 948721, 945358, 947152, 947153, 948537, 947151, 945931, 948372, 949116, 948531, 947159, 945164, 945830, 947294, 945166, 945829, 947357, 945222, 947493, 945364, 948370, 945221, 948872, 947104, 945134, 948389, 948243, 945038, 948244, 948245, 947101, 947286, 949108, 948643, 948242, 947481, 945233, 947181, 948101, 945231, 948748, 947177, 945041, 948399, 945146, 945950, 945044, 948258, 947273, 948658, 947278, 948253, 948118, 947170, 947478, 947372, 945240, 946262, 946260, 947261, 948221, 947262, 948322, 945112, 948027, 948123, 948121, 948763, 948762, 945397, 945258, 945394, 945256, 947117, 947116, 947255, 947115, 948638, 948335, 947258, 945129, 947396, 948776, 948139, 945268, 948347, 948904, 948200, 946288, 948606, 946389, 947148, 948600, 948502, 948504, 948505, 948506, 945918, 949008, 948884, 949000, 948910, 945372, 945278, 948782, 946785, 947230, 945003, 946298, 946299, 947139, 946292, 947234, 945006, 947231, 948513, 946393, 946395, 947130, 947239, 946390, 945384, 948010, 946796, 948609, 946795, 945380, 946957, 946769, 944801, 946867, 944805, 948162, 948160, 946858, 946035, 946961, 946175, 946759, 946178, 946177, 949015, 949011, 948178, 949018, 946869, 946164, 946744, 948044, 946880, 946741, 946883, 948188, 946055, 944830, 948182, 948040, 946058, 946941, 946156, 949041, 949040, 946892, 946948, 946890, 946947, 949036, 944817, 948195, 944812, 946141, 946144, 945312, 945314, 949068, 948979, 947590, 946723, 947596, 949064, 946725, 944753, 944750, 945307, 946078, 949057, 949051, 948828, 944741, 946064, 948990, 946841, 946844, 948993, 948089, 948800, 948088, 946979, 948084, 946988, 948286, 946199, 944872, 946853, 946080, 945303, 948982, 945300, 946713, 949076, 948292, 945716, 949079, 948299, 948805, 949071, 948297, 949072, 948707, 944864, 946085, 944860, 949133, 945641, 946203, 945743, 945741, 949095, 947685, 945545, 944779, 945542, 945442, 945540, 946007, 944790, 946219, 944893, 947874, 945636, 944895, 946211, 945730, 944798, 944797, 945527, 947672, 945534, 947679, 946209, 945431, 946015, 945435, 944759, 944757, 945425, 945427, 945618, 947895, 945611, 947992, 945553, 945748, 945747, 944769, 947696, 947798, 947793, 947792, 947697, 946802, 947794, 945413, 947791, 945788, 947077, 945786, 945686, 947780, 947782, 947786, 946654, 946656, 946924, 946659, 945500, 946253, 945771, 947632, 947081, 946914, 946646, 945769, 947097, 947096, 946129, 946628, 946227, 946225, 947761, 946531, 947669, 945523, 947093, 947660, 945508, 945657, 946132, 947657, 945648, 945511, 947758, 946623, 947755, 946551, 2847718, 947939, 2847717, 946697, 948695, 948490, 947531, 948697, 948698, 945184, 946554, 947800, 947801, 948318, 947802, 947803, 946359, 945180, 947037, 948494, 947030, 947944, 948499, 947928, 2847707, 947401, 947929, 948689, 946680, 946549, 945176, 948484, 948401, 947934, 947412, 947414, 947413, 947720, 946574, 947415, 946571, 947816, 947818, 946576, 947817, 947510, 947819, 948430, 947820, 947312, 947314, 947825, 947315, 947922, 948434, 945893, 946373, 947425, 2847725, 2847724, 945493, 946669, 944953, 947426, 947807, 947806, 947526, 945198, 947420, 945499, 947808, 948422, 946368, 945695, 947814, 945697, 947811, 947812, 946361, 948427, 945097, 948425, 948423, 945099, 947430, 947432, 947837, 945580, 945081, 944963, 947701, 946592, 945089, 945085, 947987, 945083, 947989, 946318, 948596, 947847, 947846, 945870, 948593, 947981, 945571, 947580, 947583, 945474, 945076, 947972, 945887, 948443, 948444, 948586, 948584, 948446, 945880, 947450, 947455, 947457, 944987, 947967, 946430, 947016, 946336, 948571, 948572, 945999, 947019, 947867, 947868, 947565, 945595, 944993, 945452, 945857, 947021, 948464, 945861, 948462, 946424, 947023, 947854, 947858, 946328",636,13515,21998,1.22075471698113,1.34435906851138e-10,2.24059659714726e-11,2.76978440183484e-10
"7","GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",123,16.7119565217391,2.33466849658379e-12,"949122, 946957, 946203, 948361, 945743, 945184, 946867, 948264, 945741, 948162, 945218, 948864, 948318, 946858, 948260, 946007, 945358, 2847707, 947928, 947153, 948537, 949011, 944895, 949116, 948531, 947159, 946549, 944797, 945164, 947294, 948370, 946209, 945431, 945435, 946744, 947412, 947414, 948044, 946741, 948243, 948244, 948245, 947286, 948242, 948430, 947481, 945233, 947825, 947315, 945425, 947181, 948101, 945231, 946156, 2847725, 945611, 946948, 948399, 945044, 948258, 947426, 949036, 948195, 945748, 946368, 946141, 947170, 947478, 945413, 945097, 947372, 948423, 945099, 945788, 947430, 947077, 945312, 945314, 947590, 946723, 944753, 945085, 947987, 945083, 944750, 947989, 948596, 946656, 946659, 948593, 947255, 945129, 947972, 947632, 948444, 948990, 948347, 947450, 947148, 946844, 948993, 946227, 948089, 948504, 944987, 948505, 948506, 947761, 947967, 945372, 948572, 947867, 947234, 945595, 948292, 949076, 946395, 948464, 948297, 946796, 948010, 948609, 947755",636,2231,21998,1.90691626565632,1.72066505488289e-09,2.4580926183404e-10,3.54511975331206e-09
"8","GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",134,18.2065217391304,2.51589207412938e-12,"949122, 946957, 2847718, 946203, 948361, 945743, 945184, 946867, 948264, 945741, 948162, 945218, 948864, 948318, 946858, 948260, 946007, 945358, 2847707, 947928, 947153, 948537, 949011, 944895, 948531, 949116, 947159, 946549, 944797, 945164, 949018, 947294, 948370, 946209, 945431, 945435, 946744, 947412, 947414, 948044, 946741, 948243, 948244, 948245, 947286, 948242, 947481, 948430, 945233, 948182, 947825, 947315, 945425, 945427, 947181, 948101, 945231, 946156, 2847725, 945611, 946948, 948399, 945044, 948258, 947426, 949036, 948195, 945748, 946368, 946141, 947170, 947478, 945413, 945097, 947372, 948423, 945099, 945788, 947430, 947077, 945312, 945314, 949068, 947590, 946723, 949064, 944753, 945085, 947987, 945083, 944750, 947989, 948596, 946656, 946659, 948593, 947255, 945129, 947972, 947632, 948444, 948990, 948347, 947097, 947450, 947148, 946844, 948993, 946227, 948089, 948504, 944987, 948505, 948506, 947761, 947967, 945372, 948572, 947867, 947868, 947234, 945595, 946713, 948292, 949076, 945716, 946395, 948464, 948297, 949071, 946796, 948010, 948609, 947755",636,2523,21998,1.8370189227659,1.85420090392796e-09,2.31775154624358e-10,3.82025522327467e-09
"9","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",134,18.2065217391304,2.51589207412938e-12,"949122, 946957, 2847718, 946203, 948361, 945743, 945184, 946867, 948264, 945741, 948162, 945218, 948864, 948318, 946858, 948260, 946007, 945358, 2847707, 947928, 947153, 948537, 949011, 944895, 948531, 949116, 947159, 946549, 944797, 945164, 949018, 947294, 948370, 946209, 945431, 945435, 946744, 947412, 947414, 948044, 946741, 948243, 948244, 948245, 947286, 948242, 947481, 948430, 945233, 948182, 947825, 947315, 945425, 945427, 947181, 948101, 945231, 946156, 2847725, 945611, 946948, 948399, 945044, 948258, 947426, 949036, 948195, 945748, 946368, 946141, 947170, 947478, 945413, 945097, 947372, 948423, 945099, 945788, 947430, 947077, 945312, 945314, 949068, 947590, 946723, 949064, 944753, 945085, 947987, 945083, 944750, 947989, 948596, 946656, 946659, 948593, 947255, 945129, 947972, 947632, 948444, 948990, 948347, 947097, 947450, 947148, 946844, 948993, 946227, 948089, 948504, 944987, 948505, 948506, 947761, 947967, 945372, 948572, 947867, 947868, 947234, 945595, 946713, 948292, 949076, 945716, 946395, 948464, 948297, 949071, 946796, 948010, 948609, 947755",636,2523,21998,1.8370189227659,1.85420090392796e-09,2.31775154624358e-10,3.82025522327467e-09
"10","GOTERM_MF_ALL","GO:0005524~ATP binding",122,16.5760869565217,4.22157610588277e-12,"949122, 946957, 946203, 948361, 945743, 945184, 946867, 948264, 945741, 948162, 945218, 948864, 948318, 946858, 948260, 946007, 945358, 2847707, 947928, 947153, 948537, 949011, 944895, 949116, 948531, 947159, 946549, 944797, 945164, 947294, 948370, 946209, 945431, 945435, 946744, 947412, 947414, 948044, 946741, 948243, 948244, 948245, 947286, 948242, 948430, 947481, 945233, 947825, 947315, 945425, 947181, 948101, 945231, 946156, 2847725, 945611, 946948, 948399, 945044, 948258, 947426, 949036, 948195, 945748, 946368, 946141, 947170, 947478, 945413, 945097, 947372, 948423, 945099, 945788, 947430, 947077, 945312, 945314, 947590, 946723, 944753, 945085, 947987, 945083, 944750, 947989, 948596, 946656, 946659, 948593, 947255, 945129, 947972, 947632, 948444, 948990, 948347, 947450, 947148, 946844, 948993, 946227, 948089, 948504, 944987, 948505, 948506, 947761, 947967, 945372, 948572, 947234, 945595, 948292, 949076, 946395, 948464, 948297, 946796, 948010, 948609, 947755",636,2225,21998,1.89651332061338,3.11133618868809e-09,3.45704020965343e-10,6.41035002857393e-09
