"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",29,5.96707818930041,3.36496389533355e-11,"947577, 947096, 947103, 948490, 947816, 947818, 947817, 947819, 947820, 947803, 944759, 947846, 948720, 948721, 945618, 946941, 947874, 947806, 945657, 946349, 945536, 947797, 947814, 947811, 947798, 948484, 948483, 947792, 947795",419,57,3186,3.86860947117196,2.85012434764198e-08,2.85012434764198e-08,5.20396503667087e-08
"2","GOTERM_MF_ALL","GO:0005198~structural molecule activity",31,6.37860082304527,1.60949667727966e-09,"947577, 947096, 947103, 945646, 948490, 947816, 947818, 947817, 947819, 947820, 947803, 944759, 947846, 948720, 948721, 945618, 946941, 947874, 947806, 945657, 945207, 946349, 945536, 947797, 947814, 947811, 947798, 948484, 948483, 947792, 947795",419,73,3186,3.22901886422336,1.36324273192212e-06,6.81621598275228e-07,2.48910949629533e-06
"3","GOTERM_MF_ALL","GO:0036094~small molecule binding",139,28.6008230452675,7.97977246714067e-08,"949122, 946957, 947939, 2847718, 948695, 945184, 945743, 945842, 948264, 948267, 945741, 948318, 944779, 946858, 948260, 946178, 946007, 945358, 947152, 947928, 2847709, 944790, 947155, 949116, 948531, 946680, 946549, 945164, 944797, 944799, 947498, 947672, 947049, 948370, 947679, 946017, 945431, 947934, 946939, 946744, 947412, 947414, 946741, 947105, 948243, 948244, 948245, 947286, 947819, 948242, 948430, 945233, 945425, 947181, 945231, 946156, 949040, 2847725, 945611, 946948, 948258, 945092, 946947, 949036, 947426, 945197, 946566, 946567, 947420, 945413, 945097, 947372, 945945, 945240, 948423, 945099, 945788, 945312, 944845, 945314, 948979, 948322, 946723, 949064, 945483, 944753, 947987, 944750, 945258, 948593, 946659, 945394, 947116, 946733, 947502, 947631, 948444, 947633, 947396, 946064, 945769, 948990, 947450, 947148, 946844, 946128, 947246, 946702, 944987, 948504, 946979, 948505, 947761, 946531, 947967, 946538, 947016, 946904, 947867, 947763, 946785, 947868, 948710, 945303, 947234, 945595, 946713, 946518, 945716, 949079, 946132, 947239, 948464, 946527, 949071, 948297, 946796, 947856, 947755",419,718,3186,1.47204845068175,6.75863914124664e-05,2.2529304703256e-05,0.000123408248353662
"4","GOTERM_MF_ALL","GO:0005488~binding",338,69.5473251028807,1.0480471088073e-06,"949122, 944887, 945641, 944886, 946204, 947165, 948261, 945150, 945743, 945842, 948264, 948267, 945741, 949095, 944779, 948260, 945212, 945442, 947362, 946007, 948720, 948721, 945939, 945358, 947152, 945632, 948538, 944790, 947874, 945931, 949114, 947155, 945634, 948531, 949116, 947298, 946406, 946210, 944797, 945164, 945527, 944799, 945166, 947672, 945829, 947498, 945536, 945824, 947493, 945225, 948370, 946017, 947679, 945431, 948872, 947103, 945134, 948389, 947105, 948243, 948244, 948245, 947286, 948643, 948242, 945233, 944759, 945425, 947181, 945231, 948748, 945618, 948950, 947895, 945611, 945041, 948258, 945406, 948259, 944777, 948253, 944774, 945553, 945747, 947691, 944769, 945557, 947696, 947798, 947376, 948756, 946802, 947792, 947697, 947795, 945413, 947794, 947372, 945945, 945343, 945240, 945788, 948323, 945113, 946267, 945782, 948322, 948027, 948123, 947780, 947782, 948022, 2847758, 945258, 945394, 946659, 947117, 947116, 946254, 947084, 948335, 948237, 947636, 947502, 947631, 948132, 947396, 947633, 946916, 945268, 945769, 948200, 946389, 947096, 948606, 947148, 946128, 947246, 948502, 948504, 948505, 947761, 946531, 946538, 948910, 946904, 945523, 947093, 947763, 946785, 945003, 946399, 945508, 946298, 946135, 947234, 947139, 945006, 945657, 946518, 947239, 946132, 948895, 946527, 945649, 945511, 946623, 946796, 946795, 947755, 946957, 947939, 2847718, 2847717, 948695, 948490, 948698, 945184, 945181, 946554, 948318, 946359, 947803, 946858, 946035, 946036, 946175, 948492, 946178, 944914, 947030, 948499, 947928, 949015, 2847709, 947546, 948689, 946549, 946680, 949018, 946684, 946484, 946347, 947049, 948484, 948483, 947934, 944922, 947040, 946939, 947412, 946744, 947414, 947415, 946574, 946741, 947721, 947816, 947818, 947817, 947819, 948430, 946055, 948431, 947820, 944830, 947314, 948434, 945895, 946058, 946941, 949041, 946156, 949040, 945292, 2847725, 2847724, 946892, 946948, 945092, 947426, 949036, 946947, 945197, 947806, 946566, 946567, 947420, 946367, 948422, 947814, 947811, 948429, 946141, 948427, 945097, 946952, 948423, 945099, 945312, 944845, 945314, 947837, 945580, 945480, 948979, 945081, 949068, 944963, 946592, 947596, 946723, 949064, 946725, 945483, 944753, 948453, 947987, 944750, 945307, 947846, 946815, 948593, 945323, 948963, 947583, 944971, 946733, 949051, 945887, 948444, 946064, 945319, 948584, 945981, 945880, 948990, 947450, 946844, 948703, 946702, 944987, 946979, 945846, 947967, 948284, 946430, 947016, 945069, 948571, 947867, 945999, 947868, 948710, 947461, 945303, 944990, 945595, 945300, 944858, 946713, 946712, 946710, 945716, 1450249, 949079, 946182, 948464, 948805, 948462, 948297, 949071, 946186, 946424, 949072, 947027, 944860, 947856",419,2262,3186,1.13620278166406,0.000887302480437335,0.000221899468244802,0.00162080751939797
"5","GOTERM_MF_ALL","GO:1901265~nucleoside phosphate binding",128,26.3374485596708,2.18277129830056e-06,"949122, 946957, 947939, 2847718, 948695, 945184, 945743, 948264, 945741, 948318, 944779, 946858, 948260, 946007, 945358, 947928, 2847709, 944790, 947155, 949116, 948531, 946680, 946549, 945164, 944797, 947498, 947672, 947049, 948370, 947679, 946017, 945431, 947934, 946939, 946744, 947412, 947414, 946741, 947105, 948243, 948244, 948245, 947286, 947819, 948242, 948430, 945233, 945425, 947181, 945231, 946156, 949040, 2847725, 945611, 946948, 945092, 948258, 946947, 949036, 947426, 945197, 946566, 946567, 945413, 945097, 947372, 945945, 948423, 945099, 945788, 945312, 944845, 945314, 948979, 948322, 946723, 949064, 945483, 944753, 947987, 944750, 945258, 948593, 946659, 945394, 947116, 946733, 947631, 948444, 947633, 947396, 946064, 945769, 948990, 947450, 947148, 946128, 946844, 947246, 946702, 944987, 948504, 946979, 948505, 947761, 946531, 947967, 946538, 947016, 947867, 947763, 946785, 947868, 948710, 947234, 945595, 946713, 945716, 949079, 947239, 946132, 948464, 946527, 949071, 948297, 946796, 947856, 947755",419,681,3186,1.42920526111047,0.00184710131221533,0.00036969350798699,0.00337563366084037
"6","GOTERM_MF_ALL","GO:0000166~nucleotide binding",128,26.3374485596708,2.18277129830056e-06,"949122, 946957, 947939, 2847718, 948695, 945184, 945743, 948264, 945741, 948318, 944779, 946858, 948260, 946007, 945358, 947928, 2847709, 944790, 947155, 949116, 948531, 946680, 946549, 945164, 944797, 947498, 947672, 947049, 948370, 947679, 946017, 945431, 947934, 946939, 946744, 947412, 947414, 946741, 947105, 948243, 948244, 948245, 947286, 947819, 948242, 948430, 945233, 945425, 947181, 945231, 946156, 949040, 2847725, 945611, 946948, 945092, 948258, 946947, 949036, 947426, 945197, 946566, 946567, 945413, 945097, 947372, 945945, 948423, 945099, 945788, 945312, 944845, 945314, 948979, 948322, 946723, 949064, 945483, 944753, 947987, 944750, 945258, 948593, 946659, 945394, 947116, 946733, 947631, 948444, 947633, 947396, 946064, 945769, 948990, 947450, 947148, 946128, 946844, 947246, 946702, 944987, 948504, 946979, 948505, 947761, 946531, 947967, 946538, 947016, 947867, 947763, 946785, 947868, 948710, 947234, 945595, 946713, 945716, 949079, 947239, 946132, 948464, 946527, 949071, 948297, 946796, 947856, 947755",419,681,3186,1.42920526111047,0.00184710131221533,0.00036969350798699,0.00337563366084037
"7","GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",90,18.5185185185185,2.52023161066278e-06,"949122, 945788, 946957, 945312, 944845, 945314, 945184, 945743, 948322, 948264, 946723, 945741, 948318, 944753, 947987, 946858, 948260, 944750, 946007, 948593, 946659, 945358, 947928, 947155, 949116, 948531, 946549, 945164, 944797, 947498, 948444, 948370, 946064, 946017, 945431, 945769, 946939, 948990, 947412, 946744, 947414, 947450, 947148, 946128, 946844, 946741, 947105, 948243, 947246, 948244, 948245, 944987, 947286, 948504, 948505, 948242, 948430, 947761, 947967, 945233, 946538, 945425, 947016, 947181, 947867, 945231, 947763, 946156, 2847725, 945611, 947234, 946948, 948258, 945092, 945595, 949036, 947426, 946567, 948464, 946527, 948297, 945413, 945097, 946796, 947372, 945945, 947856, 948423, 945099, 947755",419,435,3186,1.57320385153485,0.00213236214283363,0.000355709864255149,0.00389750309655046
"8","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",90,18.5185185185185,2.76759952963027e-06,"949122, 945788, 946957, 945312, 944845, 945314, 945184, 945743, 948322, 948264, 946723, 945741, 948318, 944753, 947987, 946858, 948260, 944750, 946007, 948593, 946659, 945358, 947928, 947155, 949116, 948531, 946549, 945164, 944797, 947498, 948444, 948370, 946064, 946017, 945431, 945769, 946939, 948990, 947412, 946744, 947414, 947450, 947148, 946128, 946844, 946741, 947105, 948243, 947246, 948244, 948245, 944987, 947286, 948504, 948505, 948242, 948430, 947761, 947967, 945233, 946538, 945425, 947016, 947181, 947867, 945231, 947763, 946156, 2847725, 945611, 947234, 946948, 948258, 945092, 945595, 949036, 947426, 946567, 948464, 946527, 948297, 945413, 945097, 946796, 947372, 945945, 947856, 948423, 945099, 947755",419,436,3186,1.56959558582032,0.00234141464795068,0.000334823940445594,0.00428004648179714
"9","GOTERM_MF_ALL","GO:0003824~catalytic activity",309,63.5802469135803,3.41514913302839e-06,"949122, 944887, 945641, 944886, 946204, 946206, 948664, 945150, 945842, 948264, 948520, 948267, 945741, 944779, 948260, 945212, 947362, 946007, 945939, 945358, 947152, 945632, 944790, 945931, 947155, 948531, 949116, 948272, 947298, 946406, 946211, 944797, 945164, 946210, 945527, 945528, 944799, 945166, 947672, 947498, 947493, 947670, 945364, 945225, 948370, 946017, 947679, 945221, 945431, 948872, 947109, 947103, 945134, 948389, 948243, 948244, 948245, 947286, 948643, 948242, 945233, 945425, 945231, 948748, 947895, 945611, 945041, 948258, 945406, 944777, 948252, 948253, 945757, 947472, 945553, 945747, 947691, 944769, 945557, 947376, 948756, 946802, 947478, 945413, 947794, 947372, 945945, 945343, 945240, 947371, 945788, 945786, 948323, 945113, 946267, 945782, 948322, 948027, 947780, 946516, 947646, 947782, 948762, 946924, 945258, 945397, 2847758, 945394, 946659, 947117, 947116, 947084, 946254, 948335, 946259, 948237, 947502, 947631, 948132, 947396, 947633, 946916, 948037, 945268, 945769, 945519, 946389, 948606, 947148, 946128, 948908, 947246, 948502, 948504, 948342, 947761, 945918, 946531, 946538, 946903, 945375, 948910, 946904, 947093, 947763, 946785, 945508, 947230, 946298, 946135, 944901, 947139, 945006, 948513, 946394, 946518, 947239, 946132, 946527, 945511, 946623, 946796, 946795, 945512, 947755, 946957, 947939, 2847718, 2847717, 948695, 945184, 945181, 946554, 948318, 946358, 946858, 946035, 948410, 946036, 948492, 946178, 949015, 2847709, 946549, 946680, 946544, 949018, 946484, 947049, 946973, 947934, 944922, 947040, 946939, 947412, 946744, 946570, 947414, 947415, 946574, 946741, 947721, 947623, 948430, 946055, 948431, 947820, 944830, 948434, 945895, 946058, 946156, 949040, 945292, 2847725, 2847724, 946892, 946948, 946949, 945092, 947426, 949036, 946947, 947528, 945197, 946566, 946567, 947420, 946367, 945695, 948429, 946141, 945694, 945097, 946952, 946362, 948423, 945099, 945312, 944845, 945314, 947837, 945580, 945480, 949068, 945081, 948979, 944963, 946592, 947596, 946723, 949064, 946725, 945483, 944753, 948453, 947987, 945307, 948597, 946815, 948593, 945323, 946583, 948963, 947583, 946733, 946727, 948444, 946064, 948584, 945981, 945880, 948990, 947450, 946844, 945462, 946702, 946979, 945846, 946193, 947967, 946432, 946430, 948571, 945069, 945068, 945999, 947868, 948710, 945303, 944990, 945595, 945300, 946713, 946712, 945716, 946710, 949079, 948463, 948464, 948805, 946996, 948297, 949071, 946186, 949072, 947854, 947027, 947856",419,2036,3186,1.15401765828453,0.0028884566138645,0.000361514169884725,0.0052814464006179
"10","GOTERM_MF_ALL","GO:0005524~ATP binding",89,18.3127572016461,3.99118218884225e-06,"949122, 945788, 946957, 945312, 944845, 945314, 945184, 945743, 948322, 948264, 946723, 945741, 948318, 944753, 947987, 946858, 948260, 944750, 946007, 948593, 946659, 945358, 947928, 947155, 949116, 948531, 946549, 945164, 944797, 947498, 948444, 948370, 946064, 946017, 945431, 945769, 946939, 948990, 947412, 946744, 947414, 947450, 947148, 946128, 946844, 946741, 947105, 948243, 947246, 948244, 948245, 944987, 947286, 948504, 948505, 948242, 948430, 947761, 947967, 945233, 946538, 945425, 947016, 947181, 945231, 947763, 946156, 2847725, 945611, 947234, 946948, 948258, 945092, 945595, 949036, 947426, 946567, 948464, 946527, 948297, 945413, 945097, 946796, 947372, 945945, 947856, 948423, 945099, 947755",419,433,3186,1.56290960000441,0.00337483047473053,0.000375544805405026,0.00617224202072997
