"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",375,29.5043273013375,7.62425986157591e-182,"945641, 949120, 947164, 944885, 947165, 948524, 947882, 948666, 945743, 949129, 947880, 948667, 948264, 946607, 948520, 945539, 945013, 944786, 949095, 947685, 945545, 944779, 947682, 948867, 946612, 945837, 948260, 945211, 945440, 946004, 947364, 947160, 946215, 948670, 944896, 944899, 944893, 945636, 947874, 944895, 947155, 944794, 949116, 947872, 945730, 946211, 945527, 945830, 948874, 945222, 945827, 947679, 946209, 945220, 948872, 948734, 945435, 948544, 945032, 947105, 948243, 948244, 948246, 949108, 945765, 948643, 944761, 948241, 948242, 948104, 945563, 945566, 945233, 944757, 945425, 947386, 947385, 947181, 945618, 947178, 947896, 945611, 945041, 948258, 945044, 948559, 948259, 945046, 944775, 944777, 948658, 948553, 947278, 947995, 948118, 948117, 945553, 947692, 945747, 948115, 947693, 948752, 948850, 947793, 947697, 947795, 945413, 947794, 947477, 947371, 945788, 947077, 947266, 946260, 948627, 948323, 948227, 945112, 947121, 947780, 948123, 945399, 945402, 948766, 948126, 946924, 946255, 947119, 948233, 948335, 946259, 948778, 947506, 947081, 946643, 947776, 947083, 947082, 947097, 948200, 948348, 947096, 946222, 947148, 946910, 946281, 948502, 948209, 946223, 948505, 945271, 946783, 945272, 949008, 945378, 947669, 949000, 946906, 948785, 948913, 947230, 945795, 946135, 944901, 947139, 945006, 948513, 945657, 945656, 945108, 948512, 948218, 945654, 948356, 945102, 945101, 948353, 947239, 945651, 948157, 945648, 945288, 945514, 946796, 948901, 948897, 946797, 945382, 946957, 948409, 949025, 947939, 947744, 948695, 947745, 948490, 948697, 946690, 948169, 948698, 946554, 947334, 948319, 947803, 946359, 948412, 946175, 946177, 947942, 948497, 946964, 947944, 948499, 947928, 948079, 946778, 946879, 946682, 946544, 948489, 946539, 946869, 948484, 948404, 948483, 947727, 947206, 946971, 947934, 948488, 947043, 948487, 946976, 947932, 947724, 947723, 946747, 947413, 948044, 947720, 946880, 947415, 949047, 947721, 946883, 947816, 947818, 946886, 947817, 947819, 946055, 948430, 947820, 946159, 944830, 947313, 948040, 946370, 947053, 948434, 947055, 946941, 945295, 946946, 946665, 946751, 946947, 944817, 948195, 944818, 947526, 947525, 945198, 944812, 947809, 946898, 944821, 947813, 945695, 947814, 947812, 946141, 947913, 947911, 947062, 948428, 945097, 947708, 945099, 945580, 945081, 948978, 947590, 947596, 946592, 946725, 946724, 945483, 944753, 946719, 944958, 945083, 944955, 948455, 944750, 948456, 948457, 945307, 947847, 945870, 945970, 944834, 945571, 945478, 945479, 946732, 945879, 945070, 949054, 947445, 947002, 949051, 945887, 947978, 945988, 948446, 947006, 946828, 947004, 945880, 947859, 944987, 945063, 946195, 947962, 948286, 947961, 946430, 947016, 946333, 947865, 946334, 945999, 944872, 947867, 946096, 947461, 946080, 948981, 947567, 946856, 947568, 945454, 947565, 945300, 948290, 948987, 948986, 948989, 945716, 946418, 946999, 945864, 944989, 946998, 946995, 948297, 945862, 946991, 948560, 944864, 944866, 949133, 948468, 948563",1103,1395,21998,5.36123378079334,8.2265763906404e-179,8.2265763906404e-179,1.21628255622267e-178
"2","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",52,4.0912667191188,1.03704079950571e-47,"947577, 948490, 945152, 947800, 947801, 947802, 947803, 947784, 947845, 946318, 947846, 948720, 948721, 947686, 948723, 947828, 947874, 949057, 946349, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 945618, 946941, 947807, 947806, 945657, 947804, 948216, 947809, 947808, 945190, 947797, 947813, 947814, 947811, 947798, 947793, 947792, 947795, 948425, 947791",1103,77,21998,13.4685332799567,1.11896702266666e-44,5.59483511333329e-45,1.6543699420409e-44
"3","GOTERM_MF_ALL","GO:0005198~structural molecule activity",60,4.720692368214,9.87190063125601e-38,"947577, 945646, 948490, 945647, 945152, 947800, 947801, 947802, 947803, 947784, 947845, 946318, 947846, 948720, 948721, 947686, 948723, 945571, 949014, 947828, 945636, 947874, 949057, 946349, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 946941, 945618, 947807, 947806, 945657, 947804, 945207, 948216, 947809, 947808, 946999, 945190, 947797, 947813, 947814, 947811, 945648, 947798, 947793, 947792, 947795, 948425, 947791",1103,149,21998,8.03105624075888,1.06517807811252e-34,3.55059359370841e-35,1.57484408356439e-34
"4","GOTERM_MF_ALL","GO:0019843~rRNA binding",36,2.8324154209284,5.98878623292372e-34,"947096, 947818, 947817, 947819, 945152, 947800, 947801, 947820, 947802, 947803, 944759, 947845, 947846, 948720, 948721, 945618, 948723, 947686, 947807, 947806, 947804, 949057, 947809, 947808, 945190, 947813, 947814, 947811, 947798, 947793, 948484, 947792, 948483, 947795, 948425, 947791",1103,51,21998,14.0779691749773,6.4619003453247e-31,1.61547508633117e-31,9.55378798768544e-31
"5","GOTERM_MF_ALL","GO:0005488~binding",848,66.7191188040913,2.36879781064848e-29,"948269, 948660, 949120, 948661, 948666, 949129, 945017, 948667, 948264, 945841, 945013, 948867, 945838, 945837, 945212, 948260, 945211, 948670, 948675, 949114, 949116, 945024, 945830, 948277, 947498, 945829, 945227, 947497, 945226, 948874, 945222, 945824, 947493, 945827, 948878, 945826, 947491, 945220, 948872, 948870, 948642, 945034, 945031, 948249, 945032, 948243, 948244, 948245, 947285, 948246, 949108, 947286, 948643, 948240, 947287, 948241, 948242, 945233, 945818, 945231, 948652, 948650, 945041, 945044, 948258, 948259, 945046, 947273, 948658, 947278, 948253, 945803, 948857, 947476, 948855, 948850, 947477, 947267, 947266, 948627, 947263, 948227, 945258, 947253, 948638, 948233, 945268, 948200, 946389, 948209, 946385, 945271, 948882, 945272, 945276, 945279, 945003, 947230, 948211, 947234, 945006, 947231, 946393, 948218, 948215, 947239, 945281, 948892, 945284, 948016, 945288, 948010, 948897, 948607, 948065, 948067, 946867, 946179, 946858, 946175, 946177, 946172, 948079, 946879, 946877, 946869, 946167, 946164, 946162, 948044, 946880, 946883, 946886, 946888, 946159, 948040, 946153, 948056, 946892, 946890, 946895, 946898, 946141, 946144, 944753, 944750, 946828, 946841, 948089, 948087, 946195, 948287, 948080, 948286, 946199, 946838, 946856, 948290, 946185, 948805, 946189, 948297, 948296, 949133, 949130, 949131, 945641, 946201, 945645, 946605, 946607, 944786, 944779, 946612, 946614, 945440, 946004, 945442, 946215, 945630, 944790, 945636, 944794, 946211, 944798, 944797, 946405, 944799, 945434, 946209, 945431, 946015, 945435, 945620, 946806, 944762, 944761, 944759, 944757, 945425, 945618, 945611, 944775, 944778, 944777, 947995, 947798, 947793, 947792, 946802, 947795, 945413, 947794, 947791, 946240, 945686, 947780, 945402, 946653, 946657, 946254, 946255, 946252, 946259, 947506, 946643, 947776, 946647, 946222, 946628, 945663, 946223, 946225, 947761, 946230, 945657, 945656, 945654, 945651, 945648, 946624, 947758, 947755, 947744, 947939, 947745, 945184, 946690, 945182, 945181, 947334, 947529, 948318, 948319, 948315, 948311, 947942, 947944, 947331, 947946, 947928, 947927, 947546, 946680, 946682, 945176, 947727, 947934, 947932, 947724, 947919, 947723, 947720, 946674, 947721, 947512, 947313, 947921, 947922, 947923, 945895, 945893, 947719, 947715, 946663, 946665, 947526, 945198, 947525, 945190, 945695, 945697, 947913, 947911, 947708, 945489, 945869, 947701, 945483, 945872, 947987, 947989, 945870, 946452, 945476, 945478, 945479, 945879, 945470, 947583, 945474, 2847699, 945887, 947978, 2847698, 948588, 948584, 945880, 945468, 945467, 947552, 947967, 947962, 947961, 946430, 948570, 948571, 948572, 945453, 947567, 947568, 945454, 947565, 946418, 946425, 945864, 946427, 947955, 947952, 945862, 946424, 948560, 948564, 948563, 947162, 947164, 947165, 948522, 948524, 948520, 945154, 945152, 945153, 947369, 945351, 945354, 948720, 947364, 948721, 945939, 947160, 945358, 948723, 947152, 947153, 948537, 947151, 945931, 948729, 947155, 948372, 948728, 948531, 948917, 948916, 945166, 948370, 945368, 948734, 948544, 947104, 947105, 947101, 948104, 947386, 947385, 947181, 948748, 948381, 947384, 948102, 947178, 948395, 948555, 947177, 945146, 947175, 948559, 945142, 948553, 948118, 948117, 948115, 948752, 947378, 948756, 947170, 948753, 945343, 947371, 946260, 948326, 948323, 946267, 945112, 947121, 948123, 948125, 945399, 948767, 948766, 948763, 948762, 945396, 948126, 947117, 947116, 947115, 947119, 948336, 948335, 947394, 947393, 948778, 947396, 948774, 948139, 948138, 948348, 947148, 946281, 948502, 948504, 948505, 945918, 946783, 949008, 949007, 945378, 945915, 949000, 948910, 945372, 945370, 948911, 948782, 948785, 946785, 948913, 946784, 945100, 948357, 947139, 946292, 948513, 945108, 948512, 945102, 948150, 948356, 947130, 948355, 945101, 948353, 946794, 945387, 948157, 945389, 948156, 948791, 946796, 945380, 948901, 948794, 945382, 948793, 946797, 946762, 946957, 949025, 946765, 946766, 949020, 946768, 946769, 948169, 944801, 944805, 948160, 946759, 946036, 946964, 946775, 949015, 946969, 949014, 946778, 946771, 946971, 946976, 946975, 946744, 949043, 946746, 946747, 946741, 949047, 948185, 944827, 948188, 946055, 944830, 948182, 948183, 946059, 946738, 946941, 949041, 949040, 946757, 946755, 946753, 946946, 946751, 949035, 949036, 946947, 944817, 948195, 944818, 944812, 944813, 944821, 945310, 945312, 945314, 945316, 948979, 949068, 947590, 948978, 948977, 946723, 947596, 949065, 949064, 946725, 946724, 946719, 944850, 945307, 944834, 944839, 946732, 949057, 948963, 949054, 949051, 944840, 944843, 944869, 948993, 946979, 946989, 949081, 946985, 944872, 946096, 945303, 946080, 948981, 945300, 946713, 948987, 948986, 945716, 948989, 949079, 946999, 946998, 946995, 949071, 949072, 946991, 944864, 944866, 946085, 944860, 946084, 944885, 944881, 945743, 947882, 947880, 945539, 945741, 949095, 947685, 945545, 947684, 947682, 945540, 947687, 947686, 944896, 944899, 944893, 947874, 944895, 947872, 945730, 945527, 947672, 945536, 945535, 945534, 947679, 945765, 945766, 945768, 945563, 945566, 947895, 947896, 945751, 947894, 947692, 945553, 945748, 945747, 947693, 947696, 947695, 947697, 945551, 945788, 945787, 947077, 2847756, 946515, 946924, 2847759, 945500, 946115, 946116, 945771, 947631, 947081, 947083, 947082, 945769, 947097, 947096, 946910, 946129, 946531, 946538, 947669, 945520, 945523, 947662, 947093, 946906, 944902, 945508, 945506, 946135, 945795, 944901, 946527, 945511, 945514, 946551, 948690, 948409, 948695, 948490, 948697, 948698, 947602, 947600, 946554, 947800, 947801, 947802, 947803, 946359, 944919, 948412, 948497, 948499, 947032, 2847709, 948689, 946549, 948688, 946544, 948489, 946539, 948400, 948484, 948403, 948404, 948483, 947206, 947043, 948488, 944922, 948487, 948406, 947203, 947412, 947414, 947413, 947415, 944943, 946571, 947050, 946572, 947816, 947818, 947817, 947819, 948430, 948431, 947820, 948433, 947051, 946370, 947053, 948434, 947055, 948435, 947058, 946373, 2847725, 2847724, 945293, 945295, 944953, 946562, 945092, 946563, 947807, 947806, 946567, 947804, 947420, 947809, 947808, 948422, 946368, 947813, 947814, 947811, 947812, 947227, 946361, 947062, 948428, 948425, 945097, 948423, 945099, 947066, 947432, 947837, 945580, 947839, 946597, 945080, 945081, 944963, 946592, 945088, 945085, 944958, 948453, 944955, 945083, 945082, 944956, 948455, 947845, 948456, 948457, 946318, 946315, 947847, 947846, 945970, 945571, 945978, 945070, 946584, 947446, 947445, 945076, 947002, 945988, 948446, 947006, 947004, 947859, 947457, 944987, 944986, 945063, 945060, 948477, 948470, 946331, 947016, 946333, 947865, 946334, 947864, 945999, 947867, 946339, 948479, 947868, 947461, 945595, 944993, 944996, 947021, 944989, 945051, 948464, 945054, 948462, 947022, 947854, 947027, 947858, 946327, 948468",1103,13515,21998,1.25137503777576,2.55593283768971e-26,5.11186567537943e-27,3.77889461878165e-26
"6","GOTERM_MF_ALL","GO:0046872~metal ion binding",259,20.3776553894571,3.83030173895048e-24,"948269, 946201, 948660, 948522, 947882, 948666, 945017, 945154, 945539, 945013, 945837, 945351, 945212, 945939, 947160, 945630, 947151, 945931, 948729, 948728, 945730, 944798, 946405, 948277, 945227, 945534, 945824, 947493, 945434, 945368, 946209, 946015, 948642, 945031, 945620, 945032, 948246, 947285, 944761, 948104, 945563, 947385, 948748, 948102, 947178, 948395, 947895, 945611, 945041, 947177, 947175, 948559, 947273, 945142, 944775, 944777, 947995, 947692, 948857, 948753, 945551, 945343, 945787, 2847756, 948326, 946267, 948323, 947780, 948766, 948763, 946924, 2847759, 947116, 947253, 946254, 946115, 946252, 948335, 948778, 947396, 946643, 948139, 945268, 945769, 946389, 946222, 948502, 946223, 948504, 945271, 946531, 945915, 945279, 945372, 948910, 945370, 946906, 947093, 945003, 944902, 945508, 946135, 945100, 946292, 945006, 947231, 946393, 945101, 947239, 946794, 948892, 945387, 945284, 948157, 946527, 948016, 945389, 948791, 945511, 946624, 946796, 945380, 948794, 948607, 948793, 945382, 946762, 948690, 946765, 949020, 948695, 946768, 945184, 945182, 945181, 946359, 946179, 948315, 944919, 948412, 946036, 947331, 946964, 949015, 947927, 946969, 946879, 946549, 946771, 948400, 948403, 946162, 944922, 948406, 947724, 947919, 947723, 946746, 947415, 949047, 946880, 948185, 948188, 946055, 948431, 948182, 948040, 946738, 946059, 949041, 949040, 947719, 947715, 946757, 2847724, 946755, 946663, 946753, 945295, 944953, 946890, 946947, 944817, 947526, 947420, 948422, 944821, 946368, 946361, 947062, 948425, 948423, 945312, 947432, 945580, 947839, 945316, 945080, 949068, 948979, 944963, 946592, 946725, 946724, 944753, 947987, 948453, 945083, 947989, 948456, 944850, 944834, 945978, 944839, 946732, 945470, 948963, 947446, 947445, 945076, 947002, 2847699, 948584, 944840, 947859, 945467, 946979, 946195, 945060, 948477, 946331, 946985, 946430, 948571, 946838, 946333, 945999, 947868, 947461, 945454, 947565, 945300, 948986, 944996, 949079, 946999, 947955, 946427, 945051, 946998, 945862, 949072, 946991, 944864, 947027, 947858, 949130, 948468, 946084",1103,2793,21998,1.84942410423157,4.13289557632757e-21,6.88815929387928e-22,6.110401894397e-21
"7","GOTERM_MF_ALL","GO:0043169~cation binding",264,20.7710464201416,5.2595233627123e-24,"948269, 946201, 948660, 948522, 947882, 948666, 945017, 945154, 945539, 945013, 945837, 945351, 945212, 945939, 947160, 945630, 947151, 945931, 948729, 948728, 945730, 944798, 946405, 948277, 945227, 945534, 945824, 947493, 945434, 945368, 946209, 946015, 948642, 945031, 945620, 945032, 948246, 947285, 944761, 948104, 945563, 947385, 948748, 948102, 947178, 948395, 947895, 945611, 945041, 947177, 947175, 948559, 947273, 945142, 944775, 944777, 947995, 947692, 948857, 947378, 948753, 945551, 945343, 945787, 2847756, 948326, 946267, 948323, 947780, 948766, 948763, 948762, 946924, 2847759, 947116, 947253, 946254, 946115, 946252, 948335, 948778, 947396, 946643, 948139, 945268, 945769, 946389, 946222, 948502, 946223, 948504, 945271, 946531, 945915, 945279, 945372, 948910, 945370, 946906, 947093, 945003, 944902, 945508, 946135, 945100, 946292, 945006, 947231, 946393, 945101, 947239, 946794, 948892, 945387, 945284, 948157, 946527, 948016, 945389, 948791, 945511, 946624, 946796, 945380, 948794, 948607, 948793, 945382, 946762, 948690, 946765, 949020, 948695, 946768, 945184, 945182, 945181, 946359, 946179, 948315, 944919, 948412, 946036, 947331, 946964, 949015, 947927, 946969, 946879, 946549, 946771, 948400, 948403, 946162, 944922, 948406, 947724, 947919, 947723, 946746, 947415, 949047, 946880, 948185, 948188, 946055, 948431, 948182, 948040, 947923, 946738, 946059, 949041, 947719, 949040, 947715, 946757, 2847724, 946755, 946663, 946753, 945295, 944953, 946890, 946947, 944817, 947526, 947420, 948422, 944821, 946368, 946361, 947062, 948425, 948423, 945312, 947432, 945580, 947839, 945316, 945080, 949068, 948979, 944963, 946592, 946725, 946724, 944753, 947987, 948453, 945083, 947989, 948456, 944850, 944834, 945978, 944839, 946732, 945470, 948963, 947446, 947583, 947445, 945076, 947002, 2847699, 948584, 944840, 947859, 945467, 946979, 946195, 945060, 948477, 946331, 946985, 946430, 948571, 946838, 946333, 945999, 947868, 947461, 945454, 947565, 945300, 948986, 944996, 949079, 946999, 947955, 946427, 945051, 946998, 945862, 949072, 946991, 944864, 947027, 947858, 949130, 949131, 948468, 946084",1103,2876,21998,1.8307233906264,5.67502570836658e-21,8.10717958338082e-22,8.39040987093315e-21
"8","GOTERM_MF_ALL","GO:0043167~ion binding",264,20.7710464201416,1.12583344364895e-23,"948269, 946201, 948660, 948522, 947882, 948666, 945017, 945154, 945539, 945013, 945837, 945351, 945212, 945939, 947160, 945630, 947151, 945931, 948729, 948728, 945730, 944798, 946405, 948277, 945227, 945534, 945824, 947493, 945434, 945368, 946209, 946015, 948642, 945031, 945620, 945032, 948246, 947285, 944761, 948104, 945563, 947385, 948748, 948102, 947178, 948395, 947895, 945611, 945041, 947177, 947175, 948559, 947273, 945142, 944775, 944777, 947995, 947692, 948857, 947378, 948753, 945551, 945343, 945787, 2847756, 948326, 946267, 948323, 947780, 948766, 948763, 948762, 946924, 2847759, 947116, 947253, 946254, 946115, 946252, 948335, 948778, 947396, 946643, 948139, 945268, 945769, 946389, 946222, 948502, 946223, 948504, 945271, 946531, 945915, 945279, 945372, 948910, 945370, 946906, 947093, 945003, 944902, 945508, 946135, 945100, 946292, 945006, 947231, 946393, 945101, 947239, 946794, 948892, 945387, 945284, 948157, 946527, 948016, 945389, 948791, 945511, 946624, 946796, 945380, 948794, 948607, 948793, 945382, 946762, 948690, 946765, 949020, 948695, 946768, 945184, 945182, 945181, 946359, 946179, 948315, 944919, 948412, 946036, 947331, 946964, 949015, 947927, 946969, 946879, 946549, 946771, 948400, 948403, 946162, 944922, 948406, 947724, 947919, 947723, 946746, 947415, 949047, 946880, 948185, 948188, 946055, 948431, 948182, 948040, 947923, 946738, 946059, 949041, 947719, 949040, 947715, 946757, 2847724, 946755, 946663, 946753, 945295, 944953, 946890, 946947, 944817, 947526, 947420, 948422, 944821, 946368, 946361, 947062, 948425, 948423, 945312, 947432, 945580, 947839, 945316, 945080, 949068, 948979, 944963, 946592, 946725, 946724, 944753, 947987, 948453, 945083, 947989, 948456, 944850, 944834, 945978, 944839, 946732, 945470, 948963, 947446, 947583, 947445, 945076, 947002, 2847699, 948584, 944840, 947859, 945467, 946979, 946195, 945060, 948477, 946331, 946985, 946430, 948571, 946838, 946333, 945999, 947868, 947461, 945454, 947565, 945300, 948986, 944996, 949079, 946999, 947955, 946427, 945051, 946998, 945862, 949072, 946991, 944864, 947027, 947858, 949130, 949131, 948468, 946084",1103,2891,21998,1.82122465286805,1.21477428569721e-20,1.51846785712152e-21,1.79601902818575e-20
"9","GOTERM_MF_ALL","GO:0000166~nucleotide binding",276,21.7151848937844,1.12120541790616e-21,"944885, 945645, 944881, 945743, 949129, 948667, 948264, 945741, 945153, 944786, 947684, 944779, 947682, 946612, 946614, 948260, 945440, 945358, 944896, 947153, 948537, 947151, 944790, 948729, 944895, 947155, 948531, 949116, 944798, 944797, 947498, 947497, 945535, 948878, 948370, 947679, 945368, 946209, 945431, 948870, 945435, 945031, 946806, 945620, 948249, 947105, 948243, 948244, 948245, 947286, 948240, 947287, 944761, 948242, 945566, 945233, 945818, 945425, 947386, 947181, 945231, 945611, 948555, 947175, 945044, 948258, 948559, 948259, 945142, 944775, 944778, 945751, 947894, 945803, 945748, 947476, 948752, 948855, 947170, 948753, 945413, 947477, 945788, 947077, 947263, 948125, 946515, 945402, 946653, 945396, 945258, 2847759, 946116, 948778, 947396, 946643, 947776, 945769, 947097, 946222, 947148, 948209, 946223, 945663, 948504, 948505, 946385, 947761, 948882, 946531, 949007, 945276, 946538, 945372, 946906, 946785, 948785, 945506, 948211, 945795, 946230, 947234, 947231, 948150, 945102, 947239, 945281, 945387, 946527, 945389, 946796, 948010, 948897, 946797, 947755, 945382, 948793, 946957, 948690, 948065, 949025, 947939, 948695, 946768, 945184, 944801, 946867, 946554, 947334, 948318, 946179, 946858, 944919, 948412, 946759, 947942, 947331, 946964, 947032, 947928, 946775, 2847709, 946969, 948079, 946680, 948688, 946549, 946771, 947206, 947727, 946971, 946164, 946162, 946975, 947412, 946744, 947919, 947723, 947414, 946746, 947413, 948044, 946741, 949047, 946571, 947819, 948430, 948433, 948182, 947921, 947051, 946153, 947055, 949040, 2847725, 948056, 945293, 946753, 946946, 945092, 949036, 946947, 948195, 944818, 946567, 944813, 944821, 946368, 946141, 945097, 946144, 945099, 948423, 945310, 945489, 945312, 945314, 946597, 949068, 948979, 947590, 948977, 946723, 949064, 945088, 945872, 944753, 945085, 947987, 944958, 945083, 947989, 945082, 944750, 948455, 946315, 947847, 946452, 945476, 945978, 945879, 946584, 949054, 947445, 2847699, 947978, 948588, 948993, 947552, 948089, 944987, 945063, 947967, 946989, 949081, 948470, 948080, 948286, 947961, 947016, 948572, 947867, 948479, 947868, 945595, 948290, 946713, 945716, 946425, 944989, 948464, 946189, 949071, 948297, 945862, 946327",1103,3175,21998,1.73369636139091,1.20978064592074e-18,1.34420071768971e-19,1.78863603353065e-18
"10","GOTERM_MF_ALL","GO:0003723~RNA binding",69,5.42879622344611,2.68089713032173e-18,"945641, 947744, 948490, 949065, 945152, 947800, 947801, 947802, 947682, 947803, 947845, 946318, 947846, 948720, 948721, 947687, 945500, 947686, 948723, 947153, 948689, 949057, 947672, 945536, 947978, 948484, 948483, 946643, 947096, 946222, 947816, 947818, 947817, 947819, 946225, 947820, 945378, 944759, 945425, 949000, 947055, 945618, 949035, 947807, 948290, 947806, 947804, 948215, 947809, 947808, 946425, 945864, 945190, 947813, 945054, 947814, 948855, 947811, 948297, 948156, 947798, 947793, 947792, 947795, 947911, 948425, 947791, 947066, 945382",1103,414,21998,3.32396494409187,2.89268800361714e-15,2.89268800361714e-16,4.27678026961132e-15
