"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",23,8.01393728222996,2.16550454350639e-25,"7152718, 915961, 7157780, 7152716, 7157746, 915536, 7157784, 7152895, 915962, 7152719, 914819, 7158970, 947800, 947801, 7153900, 947802, 7157986, 947784, 914816, 947845, 7152721, 946318, 7152720, 7157213, 947846, 7152286, 948720, 948721, 948723, 947686, 7152673, 7152726, 7157733, 7157730, 947828, 7157773, 7152676, 7157770, 7152675, 7152674, 7157774, 7157775, 915954, 7156480, 7152157, 7157972, 948484, 7157729, 7152730, 948483, 7157727, 7157728, 7157523, 915985, 947096, 7159383, 7152637, 947103, 947816, 947817, 915983, 7159146, 913982, 913987, 916113, 949000, 7152679, 915975, 915976, 915973, 7152703, 915974, 915977, 7152692, 7157757, 914949, 947809, 916047, 7154307, 947810, 916048, 913978, 7157695, 914950, 947793, 947792, 7154074, 7151457, 7157340, 7150211",245,77,21998,26.8197190564537,9.29001449164242e-23,9.29001449164242e-23,3.05121102832325e-22
"2","GOTERM_MF_ALL","GO:0005515~protein binding",62,21.602787456446,5.5407119387739e-21,"949122, 7157027, 7149969, 947165, 7159400, 7153893, 948524, 7155680, 7150665, 948266, 945742, 7153029, 947367, 948260, 7156559, 7150109, 7159022, 947160, 7157017, 7157298, 917039, 7157518, 947155, 7149951, 7158550, 7150654, 916021, 7150664, 945361, 7155918, 946209, 7157678, 912353, 7151606, 7152251, 7155667, 915205, 948242, 915983, 7153359, 7159147, 913327, 7150651, 7150652, 945425, 7151638, 7157537, 914742, 7158950, 915973, 7151631, 945611, 915974, 945950, 944775, 7155795, 7152244, 916048, 944769, 947793, 7158132, 947697, 7153878, 947794, 7150902, 7151475, 7151565, 915961, 7151756, 947122, 915962, 7158970, 7149727, 917529, 7152327, 7157810, 7154183, 945774, 7154978, 7159399, 7159255, 7158798, 7158963, 7156108, 947096, 915249, 7155151, 948602, 7151934, 948209, 916019, 7153046, 7156041, 949000, 7156632, 7152703, 916516, 946132, 7157305, 7152102, 7156623, 946957, 949025, 947744, 7157746, 948162, 7157739, 7158454, 7156498, 948494, 7153949, 7157733, 915400, 946778, 946486, 948484, 7157729, 7157224, 7159583, 948483, 7157727, 7151597, 7152575, 7157728, 913857, 7152572, 7156727, 7156726, 7151186, 7151085, 947816, 946883, 7157623, 947817, 7151973, 7157626, 914943, 946159, 947313, 7156093, 7151070, 7151567, 7157488, 7155839, 7151980, 914949, 947809, 7154318, 947810, 7154317, 7156212, 945695, 948192, 914950, 7154075, 7157340, 945097, 947708, 914631, 7153703, 7153468, 944964, 7158115, 913432, 948978, 947573, 7156591, 946725, 7157459, 914819, 7153900, 7157986, 7152286, 7157152, 7157981, 7152673, 7152670, 7150827, 7154482, 7156790, 7152675, 7152674, 946732, 949058, 7157067, 7152473, 7152685, 916832, 946988, 7152168, 7152487, 7152679, 946096, 916826, 945591, 7152692, 7157757, 944989, 7157381, 945864, 7152490, 7150351, 948297, 946323, 7150211",245,1395,21998,3.99056689342404,2.376965421734e-18,1.188482710867e-18,7.80690182481684e-18
"3","GOTERM_MF_ALL","GO:0019843~rRNA binding",17,5.92334494773519,1.59002174325957e-19,"7152718, 7157780, 7152716, 7157746, 7157784, 7152895, 915962, 7152719, 914819, 7158970, 947800, 947801, 7153900, 947802, 947845, 7152720, 947846, 7152286, 948720, 948721, 947686, 948723, 7152726, 7157733, 7157730, 7157773, 7152676, 7157770, 7152675, 7152674, 7157774, 915954, 7156480, 7157972, 948484, 7157729, 7152730, 948483, 7157728, 7157523, 947096, 7159383, 947817, 915983, 913982, 913987, 916113, 7152679, 915975, 915976, 915973, 7152703, 915974, 915977, 7152692, 7157757, 914949, 947809, 947810, 7154307, 913978, 914950, 947793, 947792, 7151457, 7157340",245,51,21998,29.9292517006803,6.82119327858356e-17,2.27373109286119e-17,2.24035174290229e-16
"4","GOTERM_MF_ALL","GO:0005198~structural molecule activity",23,8.01393728222996,1.14913311061144e-18,"7152718, 915961, 7157780, 7152716, 7157746, 915536, 7157784, 7152895, 915962, 7152719, 914819, 7158970, 947800, 947801, 7153900, 947802, 7157986, 947784, 914816, 947845, 7152721, 946318, 7152720, 7157213, 947846, 7152286, 948720, 948721, 948723, 947686, 7152673, 7152726, 7157733, 7157730, 947828, 7157773, 7152676, 7157770, 7152675, 7152674, 7157774, 7157775, 915954, 7156480, 7152157, 7157972, 948484, 7157729, 7152730, 948483, 7157727, 7157728, 7157523, 915985, 947096, 7159383, 7152637, 947103, 947816, 947817, 915983, 7159146, 913982, 913987, 916113, 949000, 7152679, 915975, 915976, 915973, 7152703, 915974, 915977, 7152692, 7157757, 914949, 947809, 916047, 7154307, 947810, 916048, 913978, 7157695, 914950, 947793, 947792, 7154074, 7151457, 7157340, 7150211",245,149,21998,13.859854814409,4.92978104452308e-16,1.23244526113077e-16,1.61913657979757e-15
"5","GOTERM_MF_ALL","GO:0003723~RNA binding",33,11.4982578397213,4.9342169119759e-18,"7157741, 947744, 7157746, 915536, 947800, 947801, 947802, 7155903, 7157197, 947036, 7157213, 7158454, 7150109, 948720, 948721, 948723, 7157686, 947686, 7157733, 947153, 7157730, 915401, 7156480, 947674, 7157729, 948484, 948483, 7157727, 7157728, 7157523, 7157678, 7151402, 947816, 947817, 7152972, 915983, 7150649, 7153359, 913982, 7159147, 947318, 913987, 945425, 915975, 915976, 915973, 915974, 7155644, 915977, 914949, 947809, 7154307, 947810, 916048, 913978, 914950, 7154075, 947793, 947792, 7157340, 7151565, 7152718, 915961, 7152716, 7155748, 7157780, 7157645, 7157784, 917713, 7152895, 915962, 7156591, 7152719, 914819, 7158970, 7153900, 7157986, 914818, 947845, 7152720, 946318, 7152141, 947846, 7152286, 945500, 7152726, 7152673, 7152676, 7157773, 7157770, 7152675, 7152674, 7157774, 915954, 7152157, 7157972, 7152730, 947096, 7152687, 915249, 7159383, 947099, 913455, 7150739, 916113, 7150886, 949000, 7152679, 7152701, 7156428, 7152703, 7152692, 7157757, 7157755, 948215, 7152595, 945864, 914890, 945054, 948297, 913763, 7151457, 914571, 7150211",245,414,21998,7.1569949719018,2.11677905523766e-15,4.23355811047532e-16,6.95234609555809e-15
"6","GOTERM_MF_ALL","GO:0000049~tRNA binding",8,2.78745644599303,2.40253598098056e-08,"915961, 7157780, 915536, 947816, 7152719, 947800, 7157986, 947845, 946318, 949000, 7157213, 947846, 7152679, 7157733, 7152726, 915975, 7152673, 7152701, 7157773, 915954, 914949, 7157755, 948215, 915401, 7156480, 7152157, 916048, 948483, 7151457, 7157727, 7150211",245,29,21998,24.7690358902182,1.0306826367823e-05,1.71781177182861e-06,3.38518944764665e-05
"7","GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",49,17.0731707317073,0.00012681835045328,"949122, 947937, 946957, 949025, 2847718, 7152418, 945153, 948162, 7155911, 7153029, 7155903, 7157197, 915050, 948260, 7158932, 7158454, 7150109, 947032, 915400, 914490, 947153, 7150864, 7155675, 917038, 947155, 946401, 7149951, 7155672, 945529, 7150657, 944797, 915857, 7158758, 945535, 947674, 7151508, 7155918, 7152432, 7159583, 946487, 946209, 913857, 912498, 7151509, 7152572, 947353, 7157678, 946975, 7156726, 7151606, 7152251, 7151402, 946741, 7151085, 7157477, 7157623, 915205, 7153600, 948242, 7153359, 947318, 913327, 7150981, 7156571, 7156572, 945425, 7158950, 7151631, 945611, 7157488, 7155839, 946891, 914849, 944775, 7154596, 946368, 7152751, 7157542, 945248, 7158132, 7151573, 7153878, 945097, 7150902, 948423, 7152713, 7157805, 914631, 7156599, 7151754, 944965, 7158115, 7153479, 913432, 7153702, 7156788, 946723, 949064, 7158189, 7156984, 7155954, 7158073, 7152988, 7152141, 913895, 7158492, 7150827, 7154482, 945774, 7157464, 7158696, 7151202, 7152117, 7159537, 7153105, 7157067, 7156640, 7154435, 917592, 7151546, 7153860, 946066, 7156108, 7158564, 7157170, 7159693, 915249, 916834, 915843, 7151541, 7150895, 948209, 948504, 917734, 7152112, 947761, 7156534, 947967, 7151940, 7153298, 7156533, 7155878, 7150886, 7153046, 7156632, 7156428, 7152794, 946713, 7158377, 7157305, 944989, 7150354, 945387, 946189, 948297, 946705, 913763, 946323, 7157857",245,2523,21998,1.74379706698375,0.0529548617042246,0.00774251715714047,0.178539700970159
"8","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",49,17.0731707317073,0.00012681835045328,"949122, 947937, 946957, 949025, 2847718, 7152418, 945153, 948162, 7155911, 7153029, 7155903, 7157197, 915050, 948260, 7158932, 7158454, 7150109, 947032, 915400, 914490, 947153, 7150864, 7155675, 917038, 947155, 946401, 7149951, 7155672, 945529, 7150657, 944797, 915857, 7158758, 945535, 947674, 7151508, 7155918, 7152432, 7159583, 946487, 946209, 913857, 912498, 7151509, 7152572, 947353, 7157678, 946975, 7156726, 7151606, 7152251, 7151402, 946741, 7151085, 7157477, 7157623, 915205, 7153600, 948242, 7153359, 947318, 913327, 7150981, 7156571, 7156572, 945425, 7158950, 7151631, 945611, 7157488, 7155839, 946891, 914849, 944775, 7154596, 946368, 7152751, 7157542, 945248, 7158132, 7151573, 7153878, 945097, 7150902, 948423, 7152713, 7157805, 914631, 7156599, 7151754, 944965, 7158115, 7153479, 913432, 7153702, 7156788, 946723, 949064, 7158189, 7156984, 7155954, 7158073, 7152988, 7152141, 913895, 7158492, 7150827, 7154482, 945774, 7157464, 7158696, 7151202, 7152117, 7159537, 7153105, 7157067, 7156640, 7154435, 917592, 7151546, 7153860, 946066, 7156108, 7158564, 7157170, 7159693, 915249, 916834, 915843, 7151541, 7150895, 948209, 948504, 917734, 7152112, 947761, 7156534, 947967, 7151940, 7153298, 7156533, 7155878, 7150886, 7153046, 7156632, 7156428, 7152794, 946713, 7158377, 7157305, 944989, 7150354, 945387, 946189, 948297, 946705, 913763, 946323, 7157857",245,2523,21998,1.74379706698375,0.0529548617042246,0.00774251715714047,0.178539700970159
"9","GOTERM_MF_ALL","GO:0017076~purine nucleotide binding",51,17.7700348432056,0.000140367964701152,"949122, 947937, 946957, 949025, 2847718, 7152418, 945153, 948162, 7155911, 7153029, 7155903, 7157197, 915050, 948260, 7158932, 947036, 7158454, 7150109, 947032, 915400, 914490, 947153, 7150864, 7155675, 917038, 947155, 946401, 7149951, 7155672, 945529, 7150657, 944797, 915857, 7158758, 7151813, 945535, 947674, 7151508, 7155918, 7152432, 7159583, 946487, 946209, 913857, 7151509, 912498, 7152572, 947353, 7157678, 946975, 7156726, 7151606, 7152251, 7151402, 946741, 7151085, 7157477, 7157623, 915205, 7153600, 948242, 7153359, 947318, 913327, 7150981, 7156571, 7156572, 945425, 7158950, 945611, 7151631, 7157488, 7155839, 946891, 914849, 944775, 7154596, 946368, 7152751, 7157542, 945248, 7158132, 7151573, 7153878, 7155456, 945097, 7150902, 948423, 7152713, 7157805, 914631, 7156599, 7157645, 7151754, 944965, 7158115, 7153479, 913432, 7153702, 7156788, 946723, 949064, 7158189, 7156984, 7155954, 7158073, 7152988, 7152141, 913895, 7158492, 7150827, 7154482, 945774, 7157464, 7158696, 7151202, 7152117, 7159537, 7153105, 7157067, 7156640, 7154435, 917592, 7151546, 7153860, 946066, 7158564, 7156108, 7157170, 7159693, 915249, 916834, 915843, 7150895, 7151541, 948209, 948504, 917734, 7152112, 947761, 7156534, 947967, 7151940, 7153298, 7156533, 7155878, 7150886, 7153046, 7156632, 7156428, 7152794, 946713, 7158377, 7157305, 7152595, 944989, 7150354, 914890, 945387, 946189, 948297, 946705, 913763, 946323, 7157857",245,2677,21998,1.71056238707661,0.0584445936334339,0.00749949782154802,0.19759784292056
"10","GOTERM_MF_ALL","GO:0001882~nucleoside binding",49,17.0731707317073,0.000187912186357058,"949122, 947937, 946957, 949025, 2847718, 7152418, 945153, 948162, 7155911, 7153029, 7155903, 7157197, 915050, 948260, 7158932, 7158454, 7150109, 947032, 915400, 914490, 947153, 7150864, 7155675, 917038, 947155, 946401, 7149951, 7155672, 945529, 7150657, 944797, 915857, 7158758, 945535, 947674, 7151508, 7155918, 7152432, 7159583, 946487, 946209, 913857, 912498, 7151509, 7152572, 947353, 7157678, 946975, 7156726, 7151606, 7152251, 7151402, 946741, 7151085, 7157477, 7157623, 915205, 7153600, 948242, 7153359, 947318, 913327, 7150981, 7156571, 7156572, 945425, 7158950, 7151631, 945611, 7157488, 7155839, 946891, 914849, 944775, 7154596, 946368, 7152751, 7157542, 945248, 7158132, 7151573, 7153878, 945097, 7150902, 948423, 7152713, 7157805, 914631, 7156599, 7151754, 944965, 7158115, 7153479, 913432, 7153702, 7156788, 946723, 949064, 7158189, 7156984, 7155954, 7158073, 7152988, 7152141, 913895, 7158492, 7150827, 7154482, 945774, 7157464, 7158696, 7151202, 7152117, 7159537, 7153105, 7157067, 7156640, 7154435, 917592, 7151546, 7153860, 946066, 7156108, 7158564, 7157170, 7159693, 915249, 916834, 915843, 7151541, 7150895, 948209, 948504, 917734, 7152112, 947761, 7156534, 947967, 7151940, 7153298, 7156533, 7155878, 7150886, 7153046, 7156632, 7156428, 7152794, 946713, 7158377, 7157305, 944989, 7150354, 945387, 946189, 948297, 946705, 913763, 946323, 7157857",245,2565,21998,1.71524366471735,0.0774575640572102,0.00891798598683102,0.26444419171362
