"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eum02060:Phosphotransferase system (PTS)",3,1.34529147982063,0.166700241032688,"7158534, 7158104, 7155194",22,59,1679,3.88058551617874,0.994950638899745,0.994950638899745,78.5567667731281
"2","KEGG_PATHWAY","eum00220:Arginine biosynthesis",2,0.896860986547085,0.193458737645867,"7159158, 7155735",22,17,1679,8.97860962566845,0.998040383315132,0.955732442072459,83.7217636171758
"3","KEGG_PATHWAY","eum00040:Pentose and glucuronate interconversions",2,0.896860986547085,0.290011772083627,"7158175, 7155540",22,27,1679,5.65319865319865,0.999951439484475,0.963516673525331,94.4531272916895
"4","KEGG_PATHWAY","eum01210:2-Oxocarboxylic acid metabolism",2,0.896860986547085,0.290011772083627,"7159158, 7155735",22,27,1679,5.65319865319865,0.999951439484475,0.963516673525331,94.4531272916895
"5","KEGG_PATHWAY","eum01120:Microbial metabolism in diverse environments",5,2.24215246636771,0.35558278470596,"7158332, 7156473, 7159158, 7156470, 7155477",22,241,1679,1.58336476801207,0.999997076878399,0.958651313268963,97.5525467151026
"6","KEGG_PATHWAY","eum00500:Starch and sucrose metabolism",2,0.896860986547085,0.359222244599148,"7158175, 7158104",22,35,1679,4.36103896103896,0.99999751963624,0.924333599380874,97.6668319239287
"7","KEGG_PATHWAY","eum00051:Fructose and mannose metabolism",2,0.896860986547085,0.458178001304417,"7156473, 7156470",22,48,1679,3.17992424242424,0.999999980864387,0.948282157692373,99.4339760222191
"8","KEGG_PATHWAY","eum00520:Amino sugar and nucleotide sugar metabolism",2,0.896860986547085,0.465154250214919,"7158534, 7155194",22,49,1679,3.11502782931354,0.999999986859015,0.925167595015487,99.4926420862983
"9","KEGG_PATHWAY","eum01230:Biosynthesis of amino acids",2,0.896860986547085,0.791317014157099,"7159158, 7155735",22,120,1679,1.2719696969697,1,0.996586966687099,99.9998204726504
"10","KEGG_PATHWAY","eum02010:ABC transporters",2,0.896860986547085,0.912743812610239,"7156685, 7154847",22,183,1679,0.834078489816195,1,0.999613624052126,99.9999998860595
"11","KEGG_PATHWAY","eum01130:Biosynthesis of antibiotics",2,0.896860986547085,0.925349533182596,"7159158, 7155735",22,194,1679,0.786785379568885,1,0.999460744813442,99.9999999694846
"12","KEGG_PATHWAY","eum01100:Metabolic pathways",7,3.1390134529148,0.931530973102154,"7157703, 7158175, 7159158, 7155540, 7155259, 7155735, 7156468",22,703,1679,0.759924996767102,1,0.999148981232923,99.9999999852916
"13","KEGG_PATHWAY","eum01110:Biosynthesis of secondary metabolites",2,0.896860986547085,0.984168583329723,"7159158, 7155735",22,299,1679,0.510489510489511,1,0.999955450845422,99.9999999999999
"14","KEGG_PATHWAY","eum00564:Glycerophospholipid metabolism",1,0.448430493273543,1,"7155151",22,30,1679,2.54393939393939,1,1,100
"15","KEGG_PATHWAY","eum00970:Aminoacyl-tRNA biosynthesis",1,0.448430493273543,1,"7158279",22,112,1679,0.681412337662338,1,1,100
"16","KEGG_PATHWAY","eum00627:Aminobenzoate degradation",1,0.448430493273543,1,"7155477",22,6,1679,12.719696969697,1,1,100
"17","KEGG_PATHWAY","eum00860:Porphyrin and chlorophyll metabolism",1,0.448430493273543,1,"7158175",22,25,1679,3.05272727272727,1,1,100
"18","KEGG_PATHWAY","eum00330:Arginine and proline metabolism",1,0.448430493273543,1,"7155259",22,24,1679,3.17992424242424,1,1,100
"19","KEGG_PATHWAY","eum00540:Lipopolysaccharide biosynthesis",1,0.448430493273543,1,"7156468",22,28,1679,2.72564935064935,1,1,100
"20","KEGG_PATHWAY","eum00230:Purine metabolism",1,0.448430493273543,1,"7157064",22,84,1679,0.908549783549784,1,1,100
"21","KEGG_PATHWAY","eum00680:Methane metabolism",1,0.448430493273543,1,"7158332",22,29,1679,2.63166144200627,1,1,100
"22","KEGG_PATHWAY","eum00620:Pyruvate metabolism",1,0.448430493273543,1,"7157027",22,52,1679,1.46765734265734,1,1,100
"23","KEGG_PATHWAY","eum00010:Glycolysis / Gluconeogenesis",1,0.448430493273543,1,"7158534",22,41,1679,1.86141906873614,1,1,100
"24","KEGG_PATHWAY","eum00300:Lysine biosynthesis",1,0.448430493273543,1,"7159158",22,13,1679,5.87062937062937,1,1,100
"25","KEGG_PATHWAY","eum03010:Ribosome",1,0.448430493273543,1,"7157732",22,76,1679,1.00418660287081,1,1,100
"26","KEGG_PATHWAY","eum01200:Carbon metabolism",1,0.448430493273543,1,"7158332",22,115,1679,0.663636363636364,1,1,100
"27","KEGG_PATHWAY","eum01212:Fatty acid metabolism",1,0.448430493273543,1,"7157703",22,23,1679,3.31818181818182,1,1,100
"28","KEGG_PATHWAY","eum00061:Fatty acid biosynthesis",1,0.448430493273543,1,"7157703",22,16,1679,4.76988636363636,1,1,100
"29","KEGG_PATHWAY","eum02020:Two-component system",1,0.448430493273543,1,"7159327",22,148,1679,0.515663390663391,1,1,100
