"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",19,31.1475409836066,6.35072003056192e-10,"7157027, 7149969, 7157555, 7154847, 946725, 7150814, 7153618, 946493, 7152763, 3829330, 7155540, 7152327, 7158500, 945571, 7157732, 946272, 7159435, 946253, 7149956, 7158713, 949116, 913543, 7153093, 916021, 914298, 948489, 945887, 947082, 916477, 7155477, 7151450, 7159389, 7155151, 7153216, 916832, 7158725, 7155194, 7150505, 7151157, 946195, 7156473, 7152678, 7150392, 947567, 948981, 7155736, 7158534, 7151980, 7151319, 7150638, 946132, 945651, 946149, 7157381, 7158279, 7158175, 914954, 7151570, 7152507, 947708, 7156187, 948897, 948562",51,1395,21998,5.87479091995221,1.1494802454326e-07,1.1494802454326e-07,7.8297255345916e-07
"2","GOTERM_MF_ALL","GO:0016301~kinase activity",7,11.4754098360656,0.0221330882576584,"947244, 7155194, 7153019, 947289, 3829330, 7156470, 948761, 7155735, 7151447, 7150392, 7150942, 7158534, 7155675, 7151319, 914849, 7158104, 944797, 945651, 916555, 914298, 7150354, 7157064, 946022, 7150727, 948562, 7155477",51,971,21998,3.1095090971507,0.982596566226676,0.868077925375153,24.1142501305442
"3","GOTERM_MF_ALL","GO:0022891~substrate-specific transmembrane transporter activity",9,14.7540983606557,0.0278698193318668,"7151544, 916833, 946242, 7155967, 7159287, 7155194, 7150952, 7151335, 7153019, 948848, 7153277, 948761, 7149602, 946667, 7151630, 7156251, 7150115, 7158534, 917020, 7155143, 7151319, 948333, 7158104, 945193, 945000, 945651, 946704, 7158342, 7156363, 7150950, 7156569",51,1612,21998,2.40818858560794,0.994000415425632,0.818292134582859,29.4241784901675
"4","GOTERM_MF_ALL","GO:0008171~O-methyltransferase activity",2,3.27868852459016,0.031364327683216,"916101, 7151436, 7157288, 7156459, 914681, 944923, 7152236",51,14,21998,61.6190476190476,0.996873610617836,0.76353832219914,32.4890877032029
"5","GOTERM_MF_ALL","GO:0008276~protein methyltransferase activity",2,3.27868852459016,0.0357655109530481,"916021, 7157381, 7157288, 7152327, 914681, 944923, 947708, 7152236",51,16,21998,53.9166666666667,0.998628923412382,0.732445448734741,36.1751282239255
"6","GOTERM_MF_ALL","GO:0043169~cation binding",12,19.672131147541,0.0551422736986452,"7151450, 7157027, 947432, 7149969, 7156627, 7155151, 916832, 7159287, 946725, 948507, 913772, 946195, 7156473, 7154253, 3829330, 7155259, 944850, 7150153, 7149602, 7153202, 7150392, 7151630, 7156251, 947151, 7151980, 948333, 7158270, 945193, 7153093, 946132, 946149, 914298, 7158175, 7151601, 915713, 7159327, 916477, 948562, 7155477",51,2876,21998,1.79972183588317,0.999965220623537,0.819329616980776,50.3069601553292
"7","GOTERM_MF_ALL","GO:0043167~ion binding",12,19.672131147541,0.0568896557199839,"7151450, 7157027, 947432, 7149969, 7156627, 7155151, 916832, 7159287, 946725, 948507, 913772, 946195, 7156473, 7154253, 3829330, 7155259, 944850, 7150153, 7149602, 7153202, 7150392, 7151630, 7156251, 947151, 7151980, 948333, 7158270, 945193, 7153093, 946132, 946149, 914298, 7158175, 7151601, 915713, 7159327, 916477, 948562, 7155477",51,2891,21998,1.79038395019025,0.999975122083342,0.780082827000543,51.4281941319376
"8","GOTERM_MF_ALL","GO:0022857~transmembrane transporter activity",9,14.7540983606557,0.0632402449718109,"7151544, 916833, 946242, 7155967, 7159287, 7155194, 7150952, 7151335, 7153019, 948848, 7153277, 948761, 7149602, 946667, 7151630, 7156251, 7150115, 7158534, 917020, 7155143, 7151319, 948333, 7158104, 945193, 945000, 945651, 946704, 7158342, 7156363, 7150950, 7156569",51,1900,21998,2.04315789473684,0.999992676669945,0.771919279634508,55.3102609007472
"9","GOTERM_MF_ALL","GO:0022892~substrate-specific transporter activity",9,14.7540983606557,0.0908943049253645,"7151544, 916833, 946242, 7155967, 7159287, 7155194, 7150952, 7151335, 7153019, 948848, 7153277, 948761, 7149602, 946667, 7151630, 7156251, 7150115, 7158534, 917020, 7155143, 7151319, 948333, 7158104, 945193, 945000, 945651, 946704, 7158342, 7156363, 7150950, 7156569",51,2056,21998,1.88813229571984,0.999999967700002,0.852874088779274,69.1139983034535
"10","GOTERM_MF_ALL","GO:0046872~metal ion binding",11,18.0327868852459,0.0950435704861047,"7151450, 7157027, 947432, 7149969, 7156627, 7155151, 916832, 7159287, 946725, 948507, 913772, 946195, 7156473, 7154253, 3829330, 7155259, 944850, 7150153, 7149602, 7153202, 7150392, 7151630, 947151, 7156251, 7151980, 948333, 7158270, 945193, 946132, 914298, 7151601, 915713, 7159327, 916477, 948562, 7155477",51,2793,21998,1.69877073636472,0.99999998588736,0.83595582034685,70.8077342866128
"11","GOTERM_MF_ALL","GO:0042578~phosphoric ester hydrolase activity",3,4.91803278688525,0.0969354415574526,"914298, 7150392, 7150354, 7149969, 7155151, 3829330, 7155675, 916832, 914849, 944797, 946725, 948562, 7155477",51,231,21998,5.6017316017316,0.999999990337211,0.813201684910649,71.5512993377494
"12","GOTERM_MF_ALL","GO:0015149~hexose transmembrane transporter activity",2,3.27868852459016,0.117774593675142,"948848, 7158534, 7151319, 7156363, 7155194, 7151335, 945651",51,55,21998,15.6848484848485,0.999999999858779,0.84893690794159,78.666751060249
"13","GOTERM_MF_ALL","GO:0005488~binding",36,59.0163934426229,0.135054844006303,"7157027, 7149969, 7153618, 946493, 7152763, 3829330, 7154253, 7157732, 947151, 7151436, 7155675, 7149956, 949116, 7157116, 913543, 944797, 7153093, 916021, 914298, 7151507, 948489, 7159158, 946022, 7151601, 915713, 7155477, 917115, 949043, 7158725, 7155194, 7150505, 7156473, 7156470, 7155259, 945893, 7150392, 7151630, 7158534, 7151319, 914849, 7151980, 7158270, 945193, 7150638, 945499, 916555, 946149, 7158279, 914954, 7156707, 7151570, 947708, 947432, 7156459, 7157555, 7154847, 7157550, 7157551, 946725, 7150814, 913772, 7155540, 7152327, 7154086, 7158500, 944850, 7150153, 7153202, 945571, 946272, 7159435, 946253, 7158713, 948333, 945887, 7157064, 947082, 7159327, 916477, 7151450, 7159389, 7155151, 7156627, 7153216, 7152066, 947244, 916832, 7159287, 948507, 7156532, 7151157, 946195, 7151447, 947864, 7152678, 7149602, 7150942, 7156251, 7155736, 947567, 948981, 947466, 915934, 945651, 946132, 912683, 7150354, 7157381, 7158175, 916101, 7152503, 7152502, 7152507, 7156187, 948897, 948562",51,13515,21998,1.14894561598224,0.999999999996065,0.867356178844184,83.28371633792
"14","GOTERM_MF_ALL","GO:0016773~phosphotransferase activity, alcohol group as acceptor",5,8.19672131147541,0.160499956621656,"7150392, 7158534, 7155675, 7151319, 914849, 7158104, 7155194, 944797, 7153019, 945651, 914298, 7150354, 3829330, 7156470, 946022, 948761, 7151447, 948562, 7155477",51,931,21998,2.31650554958826,0.999999999999982,0.895841074971845,88.431935317514
"15","GOTERM_MF_ALL","GO:0046943~carboxylic acid transmembrane transporter activity",3,4.91803278688525,0.160529043847335,"946667, 948848, 917020, 7155967, 7155143, 7156363, 7150952, 7150950, 7151335, 945000",51,315,21998,4.10793650793651,0.999999999999982,0.878939681301704,88.4368759281823
"16","GOTERM_MF_ALL","GO:0005342~organic acid transmembrane transporter activity",3,4.91803278688525,0.160529043847335,"946667, 948848, 917020, 7155967, 7155143, 7156363, 7150952, 7150950, 7151335, 945000",51,315,21998,4.10793650793651,0.999999999999982,0.878939681301704,88.4368759281823
"17","GOTERM_MF_ALL","GO:0016772~transferase activity, transferring phosphorus-containing groups",7,11.4754098360656,0.171340660973421,"947244, 7155194, 7153019, 947289, 3829330, 7156470, 948761, 7155735, 7151447, 7150392, 7150942, 7158534, 7155675, 7151319, 914849, 7158104, 944797, 945651, 916555, 914298, 7150354, 7157064, 946022, 7150727, 948562, 7155477",51,1655,21998,1.82437059415911,0.999999999999998,0.880703190004341,90.1447427604829
"18","GOTERM_MF_ALL","GO:0016740~transferase activity",13,21.3114754098361,0.185765423077362,"917115, 7157027, 7157288, 7156459, 947244, 945037, 7155194, 7152236, 7153019, 947289, 3829330, 7156470, 7152327, 7154086, 7155735, 948761, 7151447, 947864, 7150392, 7150942, 7151436, 7158534, 7155675, 914681, 7151980, 914849, 7151319, 7158104, 944797, 915934, 946132, 945651, 916555, 916021, 914298, 7157381, 7150354, 7159158, 916101, 7157064, 946022, 7150727, 944923, 947708, 948562, 7155477",51,4000,21998,1.40183333333333,1,0.887863986426286,92.0632643394178
"19","GOTERM_MF_ALL","GO:0015145~monosaccharide transmembrane transporter activity",2,3.27868852459016,0.202106739006366,"948848, 7158534, 7151319, 7156363, 7155194, 7151335, 945651",51,99,21998,8.71380471380471,1,0.896723750249158,93.8185651580632
"20","GOTERM_MF_ALL","GO:0016788~hydrolase activity, acting on ester bonds",5,8.19672131147541,0.220893965994038,"7150392, 7151413, 7149969, 7155151, 7155675, 916832, 914849, 944991, 944797, 946725, 7158332, 4056033, 914298, 7150354, 3829330, 948562, 7155477",51,1062,21998,2.03075957313245,1,0.907249838832262,95.3920555643364
