"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",56,21.455938697318,2.66124178682135e-18,"949122, 7154351, 7159505, 948691, 7157027, 7149969, 7159400, 948666, 7152415, 7150260, 7149960, 948667, 948520, 948266, 7151067, 945742, 7153618, 944779, 7150195, 7149760, 7159360, 7153021, 7154255, 946006, 944878, 946215, 7158750, 7156275, 7154342, 7150654, 7152194, 7154578, 7151245, 7151243, 7154339, 7157873, 7158156, 7152575, 914128, 947934, 7159675, 7150508, 7152538, 7151409, 7156096, 7155667, 7153081, 7158094, 7156809, 945764, 948643, 7157626, 7156285, 948104, 7156473, 5962007, 7149647, 7150651, 7152249, 7153005, 7150652, 7156090, 7151636, 7152828, 7155832, 7151410, 7158004, 945493, 7156710, 915873, 945950, 945046, 7151980, 945753, 948658, 7158008, 946898, 7158080, 7154318, 7154317, 7156463, 944769, 7151775, 948755, 946141, 7156662, 7151570, 948427, 7156565, 7155981, 948426, 914075, 915575, 948221, 7152995, 7151756, 912875, 948978, 917711, 7154849, 946725, 7159444, 946724, 7157259, 7155540, 948121, 7153069, 7151274, 946924, 7157253, 946272, 7872637, 7152670, 7154978, 7157829, 7156790, 7159399, 7158713, 915393, 7151095, 7158106, 7150820, 949058, 7151948, 7155429, 947444, 7154283, 7157067, 948778, 7150726, 7159329, 945988, 947082, 945600, 7156992, 916477, 7154980, 7152476, 7151450, 948904, 7156436, 7151540, 946844, 7155151, 948992, 7156435, 948602, 916832, 7155352, 946195, 7158165, 948884, 947962, 7159494, 7155734, 945999, 7151255, 7154974, 947763, 7152698, 7156118, 7155549, 7152200, 913460, 7151673, 7157303, 7152922, 7152924, 946132, 7872513, 946182, 7156526, 944865, 946623, 946328",229,1395,21998,3.85621762063514,1.13901148475954e-15,1.13901148475954e-15,3.74844866764574e-15
"2","GOTERM_MF_ALL","GO:0046872~metal ion binding",62,23.7547892720307,7.63852764877652e-09,"7157027, 7151429, 7151428, 7149969, 7159502, 7154359, 948666, 947603, 945184, 7150260, 945181, 7151226, 947538, 7155902, 915050, 914489, 7149760, 946035, 7153021, 946178, 7150860, 945939, 7152186, 948076, 945931, 7156892, 7152629, 7156275, 914290, 7159356, 946405, 7157115, 7152194, 7157424, 7158253, 7151245, 7151243, 7152938, 7153958, 948642, 7150837, 7156096, 945620, 945134, 7159040, 7153304, 7159248, 7151307, 7151208, 7158090, 7159521, 7158019, 7151304, 7151303, 7159450, 948104, 7151781, 7156473, 7156572, 7153006, 7152249, 7154279, 7153968, 949041, 945957, 7151410, 7156153, 7159030, 947426, 7151980, 945142, 945193, 948857, 7156562, 7157541, 7151224, 944769, 7151223, 948755, 948426, 948423, 7158582, 7151756, 947839, 916992, 949068, 946267, 947594, 946725, 7156453, 946724, 7154422, 7151130, 7157259, 948453, 7155851, 7150222, 7154522, 946924, 7157253, 947116, 7157638, 7156790, 7153314, 916984, 7158106, 948963, 7156234, 7155429, 946735, 947258, 7150523, 7158400, 7158390, 948778, 7159110, 916477, 945268, 7151450, 7156436, 7150688, 7150932, 947450, 916836, 7155151, 7154176, 7152065, 7151541, 916832, 7156333, 7156334, 7153496, 944980, 7156337, 7152313, 7158053, 7156249, 7155874, 914569, 948141, 946195, 7151882, 7152588, 7158628, 7151537, 7153186, 948571, 7159103, 7153543, 7159622, 945999, 7150889, 947093, 7154974, 7149602, 7154033, 7152698, 7156250, 7156251, 7156252, 7155368, 2847765, 7152200, 7155693, 944858, 7157303, 7154038, 945201, 7155699, 946234, 7157306, 7158375, 946132, 916912, 945865, 948891, 945284, 7158776, 7155940, 7158637, 7153533, 945511, 7157245, 7150680, 946623, 7152496",229,2793,21998,2.13239899499216,3.26928452365483e-06,1.63464359781429e-06,1.07591229370207e-05
"3","GOTERM_MF_ALL","GO:0043169~cation binding",63,24.1379310344828,9.05477857520045e-09,"7157027, 7151429, 7151428, 7149969, 7159502, 7154359, 948666, 947603, 945184, 7150260, 945181, 7151226, 947538, 7155902, 915050, 914489, 7149760, 946035, 7153021, 946178, 7150860, 945939, 7152186, 948076, 945931, 7156892, 7152629, 7156275, 914290, 7159356, 946405, 7157115, 7152194, 7157424, 7158253, 7151245, 7151243, 7152938, 7153958, 948642, 7150837, 7156096, 945620, 945134, 7159040, 7153304, 7159248, 7151307, 7151208, 7158090, 7159521, 7158019, 7151304, 7151303, 7159450, 948104, 7151781, 7156473, 7156572, 7153006, 7152249, 7154279, 7153968, 949041, 945957, 7151410, 7156153, 7159030, 947426, 7151980, 945142, 945193, 948857, 7156562, 7157541, 7151224, 944769, 7151223, 948755, 948426, 948423, 7158582, 7151756, 947839, 916992, 949068, 946267, 947594, 946725, 7156453, 946724, 7154422, 7151130, 7157259, 948453, 7155851, 7150222, 7154522, 946924, 7157253, 947116, 7157638, 948234, 7156790, 7153314, 916984, 7158106, 948963, 7156234, 7155429, 946735, 947258, 7150523, 7158400, 7158390, 948778, 7159110, 916477, 945268, 7151450, 7156436, 7150688, 7150932, 947450, 916836, 7155151, 7154176, 7152065, 7151541, 916832, 7156333, 7156334, 7153496, 944980, 7156337, 7152313, 7158053, 7156249, 7155874, 914569, 948141, 946195, 7151882, 7152588, 7158628, 7151537, 7153186, 948571, 7159103, 7153543, 7159622, 945999, 7150889, 947093, 7154974, 7149602, 7154033, 7152698, 7156250, 7156251, 7156252, 7155368, 2847765, 7152200, 7155693, 944858, 7157303, 7154038, 945201, 7155699, 946234, 7157306, 7158375, 946132, 916912, 945865, 948891, 945284, 7158776, 7155940, 7158637, 7153533, 945511, 7157245, 7150680, 946623, 7152496",229,2876,21998,2.10425991946602,3.87543774604815e-06,1.29181425079228e-06,1.27539597882809e-05
"4","GOTERM_MF_ALL","GO:0043167~ion binding",63,24.1379310344828,1.10477228535758e-08,"7157027, 7151429, 7151428, 7149969, 7159502, 7154359, 948666, 947603, 945184, 7150260, 945181, 7151226, 947538, 7155902, 915050, 914489, 7149760, 946035, 7153021, 946178, 7150860, 945939, 7152186, 948076, 945931, 7156892, 7152629, 7156275, 914290, 7159356, 946405, 7157115, 7152194, 7157424, 7158253, 7151245, 7151243, 7152938, 7153958, 948642, 7150837, 7156096, 945620, 945134, 7159040, 7153304, 7159248, 7151307, 7151208, 7158090, 7159521, 7158019, 7151304, 7151303, 7159450, 948104, 7151781, 7156473, 7156572, 7153006, 7152249, 7154279, 7153968, 949041, 945957, 7151410, 7156153, 7159030, 947426, 7151980, 945142, 945193, 948857, 7156562, 7157541, 7151224, 944769, 7151223, 948755, 948426, 948423, 7158582, 7151756, 947839, 916992, 949068, 946267, 947594, 946725, 7156453, 946724, 7154422, 7151130, 7157259, 948453, 7155851, 7150222, 7154522, 946924, 7157253, 947116, 7157638, 948234, 7156790, 7153314, 916984, 7158106, 948963, 7156234, 7155429, 946735, 947258, 7150523, 7158400, 7158390, 948778, 7159110, 916477, 945268, 7151450, 7156436, 7150688, 7150932, 947450, 916836, 7155151, 7154176, 7152065, 7151541, 916832, 7156333, 7156334, 7153496, 944980, 7156337, 7152313, 7158053, 7156249, 7155874, 914569, 948141, 946195, 7151882, 7152588, 7158628, 7151537, 7153186, 948571, 7159103, 7153543, 7159622, 945999, 7150889, 947093, 7154974, 7149602, 7154033, 7152698, 7156250, 7156251, 7156252, 7155368, 2847765, 7152200, 7155693, 944858, 7157303, 7154038, 945201, 7155699, 946234, 7157306, 7158375, 946132, 916912, 945865, 948891, 945284, 7158776, 7155940, 7158637, 7153533, 945511, 7157245, 7150680, 946623, 7152496",229,2891,21998,2.09334193302811,4.72841422594072e-06,1.18210565258625e-06,1.55610885066437e-05
"5","GOTERM_MF_ALL","GO:0005506~iron ion binding",30,11.4942528735632,5.808184299595e-08,"7151429, 947839, 916992, 945184, 948666, 947603, 7154359, 949068, 945181, 7151226, 947594, 946724, 947538, 7154422, 7157259, 914489, 7149760, 948453, 946035, 946178, 7150222, 7154522, 7150860, 7152186, 7157253, 948076, 945931, 7153314, 916984, 914290, 948963, 7159356, 946735, 7152194, 7158400, 7157424, 7158390, 7159110, 945268, 7156436, 948642, 7150932, 916836, 7159040, 7156333, 7153304, 7156334, 7151307, 944980, 7156337, 7159521, 7151304, 7156249, 7151303, 7155874, 7159450, 7158628, 7151537, 948571, 7159103, 7159622, 7154279, 945999, 947093, 7153968, 7154974, 7151410, 7149602, 7154033, 7156250, 7156251, 7156252, 7155368, 947426, 7155693, 7152200, 7154038, 945201, 945193, 946234, 916912, 948891, 7156562, 945284, 7157541, 7151224, 7155940, 7151223, 7153533, 945511, 7157245, 7150680, 946623, 7152496",229,896,21998,3.21633265751715,2.48587205435857e-05,4.97179354597144e-06,8.18102005473165e-05
"6","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",46,17.6245210727969,1.42802542377765e-06,"7151429, 7159502, 947603, 948666, 7154359, 945184, 945181, 7151226, 947538, 915050, 914489, 7149760, 946035, 946178, 7150860, 945939, 7152186, 948076, 945931, 7152629, 7156275, 914290, 7159356, 7152194, 7157424, 7151245, 7151243, 7153958, 948642, 7156096, 945134, 945620, 7159040, 7153304, 7159248, 7151307, 7158090, 7151208, 7151304, 7159521, 7151303, 7151781, 7159450, 7156473, 7153006, 7156572, 7152249, 7154279, 7153968, 7151410, 7159030, 947426, 945193, 7156562, 7157541, 944769, 7151224, 7151223, 948755, 948426, 948423, 7158582, 7151756, 947839, 916992, 949068, 946267, 947594, 946724, 7154422, 7157259, 948453, 7150222, 7154522, 946924, 7157253, 7157638, 947116, 7156790, 7153314, 916984, 948963, 7156234, 946735, 7158400, 7158390, 7159110, 916477, 945268, 7151450, 7156436, 7150932, 916836, 7154176, 7151541, 7156333, 7156334, 7153496, 944980, 7156337, 7156249, 7155874, 914569, 946195, 7152588, 7158628, 7151537, 948571, 7159103, 7159622, 945999, 947093, 7154974, 7149602, 7152698, 7154033, 7156250, 7156251, 7156252, 7155368, 7152200, 7155693, 944858, 7157303, 7154038, 945201, 7158375, 946234, 7157306, 916912, 948891, 945284, 7155940, 7153533, 945511, 7150680, 7157245, 946623, 7152496",229,2075,21998,2.1295480612406,0.000611008575976513,0.000101860698144662,0.00201140310194248
"7","GOTERM_MF_ALL","GO:0016903~oxidoreductase activity, acting on the aldehyde or oxo group of donors",10,3.83141762452107,3.96122622391921e-05,"7157027, 945672, 7153526, 7159040, 7151980, 949068, 7158686, 7150260, 7153590, 7155429, 7153920, 946132, 7158604, 948104, 7158990, 7153924, 946035, 7158994, 7158628, 7153533, 948756, 7156704, 914762, 7153968, 7158620, 948060",229,157,21998,6.11854365421522,0.0168114673005125,0.00241912405483657,0.0557807470811689
"8","GOTERM_MF_ALL","GO:0005509~calcium ion binding",6,2.29885057471264,5.60390765207293e-05,"7149969, 7155151, 916832, 7152065, 7155693, 914290, 946725, 7158019, 7157115, 945865, 7152938, 7158637, 7150680, 948571, 7153543, 945939, 945957, 949041",229,40,21998,14.4091703056769,0.0237000332590133,0.00299368456506588,0.0789039924225965
"9","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",47,18.007662835249,8.49555046756526e-05,"7157027, 7151429, 7159502, 948666, 7154359, 7159403, 7150260, 7154358, 948667, 7151067, 7150195, 946035, 945939, 7152186, 948060, 7152367, 7152629, 914290, 7151190, 7157424, 7152771, 947934, 7153958, 7158529, 7151642, 947109, 7152538, 7151409, 7150786, 945620, 7159040, 944827, 7158090, 7159521, 948104, 7159450, 7159451, 7153006, 7149546, 7152249, 948438, 7156090, 7153968, 7151410, 915873, 7159030, 7154320, 7151980, 7155794, 946898, 7156668, 7156562, 944769, 7151223, 948755, 948756, 7156565, 7156704, 7159449, 915575, 945789, 7151758, 7151756, 947839, 947263, 7158686, 949068, 912875, 946267, 915128, 7150918, 947594, 7154422, 7158604, 7157259, 948453, 948121, 7150222, 914762, 7156792, 947116, 945672, 7157829, 948336, 7156790, 7156302, 7155429, 7151948, 946735, 7153920, 913643, 7158511, 945600, 7156992, 945268, 7151540, 7156436, 7150688, 7150932, 916836, 7156435, 7155352, 7154676, 7153590, 944980, 7156249, 914569, 7158990, 7153924, 7158994, 7158628, 946903, 7151537, 948571, 7159103, 7152162, 945999, 947093, 7158620, 7154033, 7155368, 7153526, 7155693, 7152200, 7157303, 7155699, 7155935, 946234, 7157306, 946132, 916912, 945906, 945284, 7155940, 948808, 7153533, 7150680, 7157245",229,2513,21998,1.79660698863725,0.0357093258492492,0.00403212690521859,0.119596198971972
"10","GOTERM_MF_ALL","GO:0005524~ATP binding",41,15.7088122605364,0.000387905302022258,"949122, 7159505, 7158845, 948691, 949027, 946203, 7153953, 945184, 7149960, 946867, 7152762, 915050, 7153021, 7159025, 946006, 7156717, 7150559, 2847707, 7156892, 945529, 7157117, 7155577, 7151692, 948878, 944889, 948870, 7150508, 7156096, 7157287, 7159346, 945764, 7151307, 7156285, 5962007, 7156572, 7152249, 947315, 7152828, 946156, 7157719, 7155832, 7158875, 7157710, 913187, 949036, 947426, 945142, 945751, 945498, 7150395, 7158005, 7152751, 7151224, 7153575, 946141, 948755, 7155981, 948426, 948423, 914075, 7153795, 7157805, 913916, 916992, 7151754, 917711, 7157050, 7156788, 945085, 7158285, 7155756, 947255, 7872637, 7149665, 7153310, 7152802, 7157817, 7153314, 916984, 7158106, 6276058, 7157969, 7150820, 7158396, 947444, 7153911, 7153654, 7150523, 7158400, 7157067, 948778, 7150726, 7153056, 7150140, 946066, 947450, 946128, 946844, 7152067, 7151541, 947246, 7156337, 7158053, 7151882, 949081, 7153391, 7151677, 7155734, 948572, 7151255, 947763, 7157869, 7152698, 7156250, 7153223, 7155549, 7150881, 7157303, 7152923, 945201, 7872513, 7156526, 7158981, 7152004, 944865, 946327, 7157803",229,2225,21998,1.77011530346892,0.153000926581136,0.0164684553796759,0.544993172792363
