"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","ect01230:Biosynthesis of amino acids",101,1.72472677595628,1.30658923829977e-18,"7150766, 7152049, 7152234, 7154047, 7153614, 7154251, 7151513, 7152848, 7149957, 7152389, 7152388, 7150868, 7153194, 7150962, 7151814, 7154240, 7149616, 7151793, 7150762, 7152633, 7150761, 7152830, 7151083, 7153874, 7150389, 7151972, 7154585, 7153256, 7153866, 7154064, 7150776, 7150594, 7150775, 7151766, 7151767, 7154313, 7150636, 7151770, 7151773, 7151772, 7151774, 7152955, 7152812, 7151577, 7150781, 7154491, 7151475, 7154515, 7153479, 7153062, 7150718, 7152133, 7151962, 7154086, 7151763, 7152462, 7151279, 7150152, 7152980, 7149995, 7153200, 7153488, 7152809, 7151650, 7151652, 7151653, 7151646, 7151647, 7152316, 7152292, 7151648, 7151649, 7153050, 7151549, 7150727, 7152977, 7151752, 7152978, 7153596, 7153595, 7152060, 7150335, 7153390, 7152483, 7151257, 7150135, 7153339, 7151929, 7154162, 7150882, 7151927, 7150804, 7151926, 7151925, 7152789, 7153634, 7153031, 7153032, 7153033, 7153034, 7154557",731,121,1613,1.84184463714373,1.43724816212975e-16,1.43724816212975e-16,1.47621710432286e-15
"2","KEGG_PATHWAY","ect01110:Biosynthesis of secondary metabolites",197,3.36407103825137,6.12833543141379e-14,"7150766, 7149966, 7150261, 7152231, 7150666, 7152234, 7153614, 7151513, 7149957, 7152389, 7152388, 7152629, 7151510, 7150657, 7150656, 7151508, 7150662, 7153012, 7149616, 7151793, 7150762, 7151509, 7152633, 7150761, 7151399, 7152634, 7151493, 7150389, 7151497, 7153256, 7153866, 7151638, 7151631, 7150778, 7151118, 7150776, 7151766, 7151767, 7154313, 7150636, 7151770, 7151773, 7151772, 7149535, 7151774, 7151627, 7153878, 7150781, 7154298, 7151475, 7153987, 7154515, 7153479, 7154293, 7153062, 7152133, 7151962, 7151763, 7151279, 7151468, 7153068, 7152532, 7149995, 7152530, 7153488, 7151650, 7152809, 7152324, 7151652, 7151346, 7154283, 7151653, 7149716, 7151646, 7153156, 7151647, 7151648, 7152316, 7151649, 7151148, 7151851, 7153050, 7151549, 7152732, 7151752, 7152526, 7151540, 7152919, 7153599, 7152918, 7153596, 7153595, 7151156, 7153297, 7153298, 7153390, 7153183, 7151257, 7151929, 7151465, 7154162, 7151927, 7152920, 7151926, 7151925, 7154407, 7152927, 7153031, 7153032, 7153033, 7153034, 7152003, 7153038, 7152002, 7154557, 7150859, 7152045, 7152046, 7152044, 7152049, 7154047, 7150199, 7153562, 7154251, 7152848, 7153194, 7151059, 7151038, 7150962, 7153813, 7151814, 7151816, 7154240, 7151810, 7152433, 7152432, 7151596, 7154247, 7151578, 7151083, 7152830, 7154473, 7151972, 7152445, 7152829, 7154064, 7153079, 7151418, 7150594, 7152038, 7153076, 7151315, 7150988, 7154596, 7152955, 7152813, 7152812, 7154071, 7151577, 7152814, 7152816, 7154491, 7150819, 7149791, 7154213, 7152283, 7150718, 7154086, 7152988, 7152462, 7150152, 7152980, 7153205, 7154482, 7153200, 7151202, 7153105, 7153912, 7152292, 7150727, 7152977, 7152978, 7150932, 7149675, 7153635, 7152060, 7150335, 7150538, 7153206, 7153339, 7150135, 7150804, 7150550, 7153436, 7150546, 7153634, 7152689",731,304,1613,1.42991306069551,6.74127420552395e-12,3.37063710276198e-12,6.9244610045871e-11
"3","KEGG_PATHWAY","ect01130:Biosynthesis of antibiotics",137,2.33948087431694,3.76751974422887e-12,"7150766, 7150261, 7150859, 7151521, 7152046, 7152049, 7151066, 7152234, 7154047, 7153614, 7151513, 7149957, 7152389, 7152388, 7153194, 7151510, 7151057, 7150657, 7151814, 7151508, 7151816, 7150662, 7153012, 7154240, 7151810, 7149616, 7151793, 7150762, 7151509, 7150761, 7152633, 7151399, 7151578, 7152830, 7151083, 7154473, 7150389, 7151497, 7151972, 7154585, 7152445, 7152829, 7153256, 7152823, 7153866, 7154064, 7151638, 7153079, 7151631, 7150778, 7150776, 7150775, 7150594, 7151766, 7151767, 7153076, 7152748, 7154313, 7150988, 7150636, 7154596, 7151770, 7151773, 7151772, 7151774, 7152955, 7152813, 7153878, 7152812, 7154071, 7150781, 7152814, 7151577, 7152816, 7154298, 7154491, 7151475, 7150819, 7153479, 7149791, 7151958, 7153062, 7152283, 7152133, 7150718, 7154086, 7151962, 7152988, 7151763, 7152462, 7153160, 7151279, 7150152, 7152532, 7152980, 7149995, 7154482, 7153200, 7152530, 7151202, 7152809, 7151346, 7153105, 7149716, 7151647, 7152316, 7152292, 7151851, 7153050, 7151549, 7150727, 7152526, 7152919, 7150932, 7152918, 7153596, 7153595, 7153635, 7152060, 7150335, 7151156, 7153297, 7150538, 7153298, 7153390, 7153183, 7152483, 7153339, 7151929, 7152920, 7150550, 7152789, 7150546, 7153634, 7152003, 7153038, 7154557",731,200,1613,1.51149794801642,4.14429601747202e-10,1.38143163574966e-10,4.25666168979433e-09
"4","KEGG_PATHWAY","ect01100:Metabolic pathways",383,6.54030054644809,3.55790947170697e-10,"7150764, 7151910, 7153897, 7150766, 7150267, 7149966, 7151913, 7150261, 7149967, 7151521, 7151522, 7150669, 7153622, 7152231, 7151520, 7150666, 7150665, 7152234, 7153614, 7153616, 7151513, 7150670, 7153370, 7153107, 7149957, 7150754, 7152389, 7151889, 7152388, 7150758, 7152365, 7152629, 7152382, 7151510, 7150657, 7150656, 7151508, 7150662, 7153012, 7149616, 7151793, 7153249, 7150762, 7151509, 7151895, 7150761, 7152633, 7151399, 7151395, 7153874, 7152634, 7151493, 7150389, 7151497, 7153773, 7153003, 7151781, 7153768, 7153256, 7151112, 7153350, 7153866, 7151638, 7153144, 7151631, 7150778, 7151118, 7150776, 7150775, 7152745, 7151766, 7151767, 7154312, 7153783, 7154313, 7152748, 7152244, 7150636, 7153782, 7151221, 7151770, 7149539, 7151773, 7151772, 7151774, 7149535, 7151126, 7151627, 7149533, 7151124, 7153878, 7150781, 7150902, 7154298, 7151566, 7153987, 7151475, 7151564, 7151477, 7152713, 7154515, 7151473, 7153479, 7154416, 7154293, 7154295, 7153474, 7151958, 7151130, 7153062, 7151133, 7151135, 7152133, 7151962, 7149720, 7151763, 7153160, 7151279, 7151468, 7153068, 7153066, 7152532, 7149995, 7152530, 7153488, 7152904, 7152324, 7152809, 7151650, 7151346, 7151652, 7151849, 7154283, 7151653, 7149716, 7153155, 7151280, 7153156, 7151646, 7151647, 7152316, 7151648, 7151148, 7152120, 7151649, 7151851, 7153050, 7151549, 7151752, 7152732, 7152526, 7152919, 7153599, 7152918, 7151739, 7152501, 7153596, 7153492, 7153595, 7151541, 7154177, 7153497, 7151936, 7153499, 7151156, 7153297, 7153298, 7153390, 7151251, 7153046, 7150691, 7153183, 7149603, 7152012, 7151257, 7152011, 7150094, 7152704, 7151929, 7154162, 7151465, 7151927, 7150882, 7151926, 7152920, 7151925, 7154407, 7152927, 7151163, 7153031, 7153032, 7151669, 7153033, 7151265, 7152003, 7153034, 7153038, 7152002, 7151267, 7154557, 7151061, 7150853, 7151063, 7151062, 7153421, 7154458, 7150859, 7152045, 7152046, 7152044, 7152049, 7151066, 7150199, 7154047, 7154566, 7153562, 7154563, 7152947, 7154251, 7153566, 7150052, 7152848, 7150862, 7152843, 7151197, 7151050, 7150864, 7150868, 7153194, 7153098, 7154346, 7151038, 7151057, 7150962, 7153813, 7151814, 7151816, 7154240, 7151810, 7152433, 7152432, 7153409, 7151596, 7153958, 7154247, 7151578, 7154478, 7153971, 7153403, 7152830, 7151083, 7151085, 7152973, 7154473, 7152436, 7151972, 7154585, 7152445, 7152968, 7152829, 7152967, 7154271, 7150981, 7151968, 7154138, 7152823, 7151582, 7154064, 7150840, 7153079, 7153078, 7153985, 7151418, 7150594, 7152038, 7151315, 7153076, 7150988, 7154596, 7152457, 7154124, 7152454, 7153572, 7152955, 7151572, 7152813, 7152812, 7154071, 7152555, 7151421, 7152814, 7151577, 7152816, 7150817, 7154491, 7149799, 7150819, 7150818, 7150218, 7149791, 7152080, 7150810, 7150812, 7154213, 7152280, 7152149, 7152147, 7152283, 7150718, 7154086, 7150516, 7152988, 7152462, 7153317, 7150152, 7150153, 7150828, 7152980, 7150827, 7153205, 7154482, 7153200, 7153201, 7150821, 7151202, 7151203, 7150826, 7150825, 7151092, 7150824, 7153105, 7152882, 7153106, 7153912, 7152292, 7150628, 7150727, 7152977, 7152151, 7152978, 7153347, 7154378, 7152685, 7153346, 7149675, 7153827, 7153930, 7149776, 7153440, 7153635, 7152680, 7152060, 7150335, 7150538, 7150732, 7154231, 7153206, 7152483, 7150135, 7153339, 7152077, 7150804, 7153627, 7153734, 7150550, 7153436, 7152175, 7152271, 7154227, 7152272, 7152273, 7152789, 7150545, 7153634, 7150351, 7150546, 7152279, 7152274, 7152171, 7152591, 7152275, 7150747, 7152277",731,708,1613,1.19366512864507,3.91370039709571e-08,9.7842511870283e-09,4.01981492537118e-07
"5","KEGG_PATHWAY","ect00400:Phenylalanine, tyrosine and tryptophan biosynthesis",21,0.358606557377049,8.61328588393911e-06,"7149957, 7152389, 7152388, 7150778, 7151083, 7153596, 7150776, 7153595, 7153488, 7152049, 7153062, 7151647, 7152292, 7150718, 7153031, 7153032, 7153033, 7153256, 7153034, 7153339, 7154557",731,22,1613,2.10626787712971,0.000947016823897306,0.000189475152843177,0.00973107359503178
"6","KEGG_PATHWAY","ect01210:2-Oxocarboxylic acid metabolism",24,0.409836065573771,1.89754319250789e-05,"7150766, 7151929, 7153200, 7151927, 7151926, 7151925, 7151766, 7150389, 7151767, 7150335, 7151770, 7152292, 7151773, 7149616, 7151772, 7151793, 7151513, 7154086, 7151763, 7150727, 7152462, 7152848, 7150762, 7150761",731,27,1613,1.96139230886153,0.00208514038382002,0.000347825713888361,0.0214368215801231
"7","KEGG_PATHWAY","ect00290:Valine, leucine and isoleucine biosynthesis",16,0.273224043715847,0.000290201695467365,"7151929, 7151927, 7151926, 7151766, 7151925, 7151767, 7150335, 7151770, 7151773, 7151772, 7152955, 7151774, 7151763, 7152462, 7152003, 7152848",731,17,1613,2.07676832702985,0.0314225393707165,0.00455058874304792,0.327387611062968
"8","KEGG_PATHWAY","ect03010:Ribosome",51,0.870901639344262,0.000292916318436766,"7152717, 7149510, 7152718, 7152715, 7152716, 7152895, 7152719, 7153791, 7153900, 7152720, 7151761, 7152286, 7152673, 7152726, 7152672, 7152671, 7152729, 7152676, 7152723, 7152675, 7152674, 7152429, 7152157, 7152935, 7152730, 7154050, 7154245, 7152731, 7152686, 7152682, 7152637, 7152684, 7152683, 7151494, 7151779, 7151153, 7152678, 7152679, 7152825, 7152700, 7152702, 7152697, 7152703, 7152696, 7152694, 7152692, 7152691, 7152690, 7154307, 7151457, 7150211",731,77,1613,1.46149199637572,0.0317118060065685,0.00402008709652968,0.33044546330302
"9","KEGG_PATHWAY","ect00260:Glycine, serine and threonine metabolism",26,0.443989071038251,0.00141016509651921,"7154491, 7150853, 7150859, 7150389, 7151497, 7154047, 7154585, 7153297, 7153390, 7151513, 7152980, 7150775, 7153488, 7151092, 7153436, 7153912, 7152789, 7153031, 7150546, 7153050, 7152955, 7151774, 7152977, 7152812, 7152978, 7150781",731,35,1613,1.63916357240571,0.14377975010273,0.0170996280234837,1.5817214093347
"10","KEGG_PATHWAY","ect01120:Microbial metabolism in diverse environments",127,2.16871584699454,0.00176994475333702,"7151061, 7150764, 7152613, 7151062, 7150261, 7152616, 7151699, 7150665, 7151066, 7152234, 7153374, 7153614, 7151513, 7151612, 7152189, 7151706, 7152186, 7150758, 7150868, 7151610, 7153194, 7153098, 7151510, 7151057, 7150657, 7151814, 7151508, 7150662, 7153012, 7154240, 7151810, 7149616, 7151698, 7151793, 7152192, 7153249, 7153958, 7152198, 7151509, 7152197, 7151607, 7152633, 7151399, 7151578, 7154478, 7152830, 7153874, 7154473, 7150389, 7152350, 7151972, 7151019, 7154275, 7151781, 7154585, 7152829, 7154271, 7153866, 7154064, 7153079, 7154464, 7150775, 7150988, 7153572, 7152813, 7154071, 7150781, 7151421, 7152814, 7151577, 7152816, 7154298, 7154491, 7150817, 7151475, 7150819, 7150818, 7153479, 7149791, 7151130, 7152133, 7154086, 7151962, 7151279, 7150716, 7150152, 7152980, 7149995, 7153200, 7152809, 7151203, 7149716, 7153050, 7151549, 7152977, 7153308, 7152978, 7150723, 7152919, 7152918, 7151739, 7152501, 7153827, 7153930, 7153635, 7151156, 7153390, 7153047, 7151534, 7150094, 7151259, 7154366, 7152077, 7153331, 7154162, 7152200, 7149784, 7152073, 7152920, 7152072, 7150550, 7152071, 7153436, 7153429, 7152789, 7153634, 7150680",731,232,1613,1.20790485400255,0.177055424617596,0.0192980051902811,1.98160248075291
