"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eum01053:Biosynthesis of siderophore group nonribosomal peptides",4,0.657894736842105,0.00900353204839292,"7158400, 7156250, 7156252, 7156334",71,11,1679,8.59923175416133,0.397387730709723,0.397387730709723,8.54351483811846
"2","KEGG_PATHWAY","eum01200:Carbon metabolism",9,1.48026315789474,0.100699665627865,"7156599, 7155676, 7159346, 7157998, 7156788, 7157883, 7155699, 7156226, 7156901",71,115,1679,1.85070422535211,0.997377797217809,0.948792551496963,64.9378734871601
"3","KEGG_PATHWAY","eum00564:Glycerophospholipid metabolism",4,0.657894736842105,0.126436597167449,"7159172, 7155151, 7157876, 7156565",71,30,1679,3.15305164319249,0.999484191902093,0.919802151272193,73.6779817532101
"4","KEGG_PATHWAY","eum00030:Pentose phosphate pathway",4,0.657894736842105,0.155824589553953,"7156599, 7157623, 7156788, 7156226",71,33,1679,2.86641058472044,0.999924101871181,0.906662155505162,81.2254796530022
"5","KEGG_PATHWAY","eum00760:Nicotinate and nicotinamide metabolism",3,0.493421052631579,0.155990005013181,"7157637, 7157616, 7157791",71,17,1679,4.17315658657829,0.999924930240876,0.850344388967241,81.2617744441985
"6","KEGG_PATHWAY","eum01110:Biosynthesis of secondary metabolites",17,2.79605263157895,0.165638692931466,"7156252, 7156599, 7155676, 7156334, 7159346, 7156788, 7157306, 7157212, 7157876, 7159669, 7156995, 7158511, 7157998, 7157883, 7156565, 7156374, 7156901",71,299,1679,1.34452871072589,0.99996056946011,0.815510301724778,83.272870386297
"7","KEGG_PATHWAY","eum00130:Ubiquinone and other terpenoid-quinone biosynthesis",3,0.493421052631579,0.201590215498587,"7159669, 7156334, 7158511",71,20,1679,3.54718309859155,0.999996653062267,0.834877291133744,89.1721717420132
"8","KEGG_PATHWAY","eum02010:ABC transporters",11,1.80921052631579,0.225098891335817,"7158591, 7157559, 7157462, 7158459, 7159644, 7156337, 7157625, 7157117, 7156197, 7156681, 7157115",71,183,1679,1.42145770799661,0.999999372242651,0.83222626393184,91.939235552393
"9","KEGG_PATHWAY","eum01120:Microbial metabolism in diverse environments",13,2.13815789473684,0.296783689562422,"7158604, 7156473, 7158509, 7158421, 7156599, 7155676, 7159346, 7157998, 7156788, 7157883, 7158966, 7156226, 7156901",71,241,1679,1.27561217929987,0.999999997264855,0.888171274638781,96.9090016992948
"10","KEGG_PATHWAY","eum00250:Alanine, aspartate and glutamate metabolism",3,0.493421052631579,0.342753334193806,"7156118, 7159512, 7156483",71,29,1679,2.44633317144245,0.999999999937943,0.904659155803335,98.4144434316782
"11","KEGG_PATHWAY","eum00280:Valine, leucine and isoleucine degradation",2,0.328947368421053,0.347553169213146,"7156483, 7156901",71,10,1679,4.72957746478873,0.999999999958835,0.886272342056756,98.5251461677912
"12","KEGG_PATHWAY","eum00620:Pyruvate metabolism",4,0.657894736842105,0.370147434912587,"7158604, 7159346, 7155699, 7156901",71,52,1679,1.81906825568797,0.99999999999428,0.884358190746781,98.9586191527449
"13","KEGG_PATHWAY","eum03010:Ribosome",5,0.822368421052632,0.39189212553861,"7159146, 7157726, 7157775, 7157728, 7157435",71,76,1679,1.55578206078577,0.9999999999992,0.882657588433044,99.2638884178401
"14","KEGG_PATHWAY","eum00561:Glycerolipid metabolism",2,0.328947368421053,0.401150099600987,"7156572, 7156158",71,12,1679,3.94131455399061,0.999999999999661,0.871390832609712,99.3673635814444
"15","KEGG_PATHWAY","eum00650:Butanoate metabolism",3,0.493421052631579,0.418591029796791,"7156483, 7157883, 7156901",71,34,1679,2.08657829328915,0.999999999999935,0.867952013201623,99.5274973994841
"16","KEGG_PATHWAY","eum00900:Terpenoid backbone biosynthesis",2,0.328947368421053,0.426296766085387,"7156374, 7156901",71,13,1679,3.63813651137595,0.999999999999969,0.85697711213972,99.5858212366336
"17","KEGG_PATHWAY","eum00310:Lysine degradation",2,0.328947368421053,0.473508168557765,"7157998, 7156901",71,15,1679,3.15305164319249,1,0.879154279229095,99.8226151684123
"18","KEGG_PATHWAY","eum01100:Metabolic pathways",31,5.09868421052632,0.478721768065715,"7156904, 7156599, 7157147, 7156334, 7159346, 7156788, 7156226, 7158053, 7157984, 7156572, 7157212, 7155540, 7157883, 7156374, 7157331, 7156118, 7159512, 7155676, 7156158, 7157616, 7157306, 7157329, 7158138, 7156500, 7156483, 7156995, 7158132, 7157998, 7158441, 7158966, 7156901",71,703,1679,1.04279446236451,1,0.868243497915557,99.8392174332615
