"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",27,20,1.31875356523432e-09,"944885, 7149969, 947165, 7151756, 948520, 7158646, 947122, 7153476, 915962, 917717, 7154849, 946725, 915965, 7152048, 7156979, 945548, 7149727, 945399, 7151135, 7152143, 7153853, 7154255, 7158454, 7155757, 7157810, 7157098, 7152098, 7152672, 7156790, 7155621, 7152674, 7153549, 917599, 915196, 7151293, 7158449, 7158921, 946869, 946017, 7159329, 947206, 945988, 7157728, 7159638, 7157726, 7155151, 947720, 7158561, 916832, 7151935, 7157148, 947817, 945765, 7152739, 947819, 7153359, 7153355, 7149647, 7159494, 945425, 7154542, 7151583, 947053, 7157537, 7158999, 7153396, 914742, 7153929, 945493, 7157944, 946751, 7150593, 7156323, 7156158, 948989, 7156461, 7152490, 945747, 7156609, 947693, 944769, 7157793, 916105, 945413, 7150747",106,1395,21998,4.01667681071211,3.42875864700609e-07,3.42875864700609e-07,1.72375459461804e-06
"2","GOTERM_MF_ALL","GO:0046872~metal ion binding",30,22.2222222222222,3.2318567903106e-05,"948690, 946201, 7149969, 949020, 7151756, 916992, 945184, 945181, 7151226, 947122, 946725, 7157889, 945548, 7149727, 7157212, 7158456, 7155851, 945351, 7152143, 946178, 914072, 7157810, 7157638, 945630, 7157566, 7153314, 7156790, 7151551, 916984, 7152629, 7156441, 947258, 7157115, 7151644, 7158400, 7150628, 7155760, 7157325, 7152156, 7159091, 945434, 7155570, 949042, 7153975, 7154021, 7150837, 7155151, 945620, 7152065, 916832, 947149, 7156333, 7156334, 947511, 7151304, 7156249, 7151303, 914569, 7152440, 7152588, 7156576, 914745, 946738, 7159047, 949041, 7153049, 7157331, 7149602, 946757, 945294, 7156250, 7151415, 7157944, 7156251, 7156252, 7150750, 917056, 947426, 7151318, 7150949, 7157301, 7152247, 7157486, 913465, 945193, 7157306, 7152271, 945051, 945284, 944769, 7151224, 7151223, 945649, 945511, 7153361, 7152277",106,2793,21998,2.22909024583021,0.00836775722530447,0.00419266784447936,0.0422356513370636
"3","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",25,18.5185185185185,3.43019172926185e-05,"946201, 949020, 7151756, 916992, 945184, 945181, 7151226, 947122, 7157889, 7149727, 7158456, 945351, 946178, 7157810, 7157638, 945630, 7157566, 7156790, 7151551, 7153314, 7152629, 916984, 7156441, 7151644, 7158400, 7150628, 7155760, 7157325, 7159091, 945434, 7155570, 949042, 7153975, 7154021, 945620, 947149, 7156333, 7156334, 947511, 7151304, 7156249, 7151303, 914569, 7152440, 7152588, 7156576, 914745, 946738, 7159047, 7153049, 7149602, 7157331, 946757, 945294, 7156250, 7151415, 7156251, 7156252, 7150750, 947426, 917056, 7151318, 7150949, 7157486, 7152247, 7157301, 945193, 913465, 7157306, 7152271, 945051, 945284, 944769, 7151224, 7151223, 945649, 945511, 7153361, 7152277",106,2075,21998,2.50034098658786,0.0088789982603531,0.00296846917684357,0.0448270629324843
"4","GOTERM_MF_ALL","GO:0043169~cation binding",30,22.2222222222222,5.55887425064486e-05,"948690, 946201, 7149969, 949020, 7151756, 916992, 945184, 945181, 7151226, 947122, 946725, 7157889, 945548, 7149727, 7157212, 7158456, 7155851, 945351, 7152143, 946178, 914072, 7157810, 7157638, 945630, 7157566, 7153314, 7156790, 7151551, 916984, 7152629, 7156441, 947258, 7157115, 7151644, 7158400, 7150628, 7155760, 7157325, 7152156, 7159091, 945434, 7155570, 949042, 7153975, 7154021, 7150837, 7155151, 945620, 7152065, 916832, 947149, 7156333, 7156334, 947511, 7151304, 7156249, 7151303, 914569, 7152440, 7152588, 7156576, 914745, 946738, 7159047, 949041, 7153049, 7157331, 7149602, 946757, 945294, 7156250, 7151415, 7157944, 7156251, 7156252, 7150750, 917056, 947426, 7151318, 7150949, 7157301, 7152247, 7157486, 913465, 945193, 7157306, 7152271, 945051, 945284, 944769, 7151224, 7151223, 945649, 945511, 7153361, 7152277",106,2876,21998,2.16475975542551,0.0143495247297949,0.00360684833434999,0.0726361715177037
"5","GOTERM_MF_ALL","GO:0043167~ion binding",30,22.2222222222222,6.11447800973879e-05,"948690, 946201, 7149969, 949020, 7151756, 916992, 945184, 945181, 7151226, 947122, 946725, 7157889, 945548, 7149727, 7157212, 7158456, 7155851, 945351, 7152143, 946178, 914072, 7157810, 7157638, 945630, 7157566, 7153314, 7156790, 7151551, 916984, 7152629, 7156441, 947258, 7157115, 7151644, 7158400, 7150628, 7155760, 7157325, 7152156, 7159091, 945434, 7155570, 949042, 7153975, 7154021, 7150837, 7155151, 945620, 7152065, 916832, 947149, 7156333, 7156334, 947511, 7151304, 7156249, 7151303, 914569, 7152440, 7152588, 7156576, 914745, 946738, 7159047, 949041, 7153049, 7157331, 7149602, 946757, 945294, 7156250, 7151415, 7157944, 7156251, 7156252, 7150750, 917056, 947426, 7151318, 7150949, 7157301, 7152247, 7157486, 913465, 945193, 7157306, 7152271, 945051, 945284, 944769, 7151224, 7151223, 945649, 945511, 7153361, 7152277",106,2891,21998,2.15352786461563,0.0157724206798741,0.00317457611820138,0.0798934031326692
"6","GOTERM_MF_ALL","GO:0005506~iron ion binding",14,10.3703703703704,0.000340530657200692,"949042, 916992, 947149, 7156333, 945184, 7156334, 945181, 7151226, 947122, 7151304, 7156249, 7151303, 7149727, 945351, 946178, 914745, 946738, 7149602, 7157810, 7157331, 946757, 7156250, 7151415, 7156251, 7156252, 7157566, 7153314, 916984, 947426, 7151318, 7150949, 7152247, 7157301, 7156441, 945193, 7151644, 7158400, 7152271, 945284, 7150628, 7151224, 7151223, 7157325, 945649, 945511, 7155570, 7152277",106,896,21998,3.24262971698113,0.0847454441124018,0.0146504636709199,0.444196999329138
"7","GOTERM_MF_ALL","GO:0005198~structural molecule activity",5,3.7037037037037,0.00569427769296412,"7152672, 7157726, 7152702, 7149953, 945646, 7152674, 7151355, 947817, 7157435, 947819, 915962, 915965, 945152, 7156387, 912868, 912729, 7156381, 7156954, 945639, 7157728, 913031",106,149,21998,6.96403697606686,0.773439552750471,0.191121220829773,7.19253772085339
"8","GOTERM_MF_ALL","GO:0005488~binding",78,57.7777777777778,0.00696809657616957,"946201, 944885, 7149969, 947165, 7152372, 948520, 7151226, 7158646, 7157127, 945152, 946408, 945548, 945838, 912729, 945351, 945442, 3244885, 945630, 944790, 7152629, 7157115, 915857, 7158921, 945434, 7153111, 946017, 7155570, 7151895, 7156904, 947109, 7150786, 945620, 7157148, 945765, 7151498, 7152739, 7153359, 7153355, 7149647, 945425, 7156576, 914745, 7157537, 7159047, 916157, 914742, 7157944, 913724, 917056, 7152247, 7156158, 7155794, 945747, 7151224, 944769, 947693, 7151223, 7157793, 7153361, 945413, 7151758, 7151756, 7151754, 947122, 7156506, 7153476, 915962, 7154849, 915965, 7155446, 7149727, 945399, 7151135, 914072, 7157810, 7151551, 7151482, 7156441, 7151847, 947258, 7151644, 947393, 947631, 7158196, 7159638, 7154021, 946128, 7155151, 7158561, 947149, 7156333, 7151935, 7156334, 7156249, 914569, 945520, 7154542, 7158999, 7153396, 7153049, 7149602, 7152701, 7156250, 7152702, 7156251, 7156252, 7150883, 7155899, 7156323, 7152923, 7157301, 7156112, 7157306, 948215, 7156523, 945284, 945649, 7158177, 916105, 945511, 948690, 947937, 949020, 945184, 945181, 7152048, 7157889, 7157212, 7158456, 946178, 7154255, 7158454, 7151809, 7157098, 7152051, 7155621, 947546, 7153549, 915401, 7158449, 7157325, 7159091, 946869, 947206, 7157728, 949042, 7153975, 7157726, 7153679, 7150837, 947720, 944827, 7151089, 947817, 947511, 947819, 7151304, 7151303, 7152440, 948183, 7156858, 7151583, 946151, 947053, 946738, 948435, 949041, 7157331, 946373, 946757, 7151414, 7157715, 945493, 7152546, 945294, 7151415, 913187, 946751, 7150593, 947426, 7151318, 7158738, 7157486, 945193, 7153569, 7158005, 7156461, 7156609, 7151573, 7152660, 7156599, 916992, 7156788, 949065, 917717, 946590, 946725, 7156979, 7156393, 7155851, 7152143, 7153853, 7159319, 7155757, 7156792, 7152672, 7157638, 7152098, 7157566, 7153314, 7156790, 7152674, 916984, 917599, 915196, 7151293, 7158400, 913643, 7150628, 7155760, 7152156, 7159329, 945988, 7155764, 946066, 913450, 7159697, 7152065, 916832, 7157435, 7150335, 7152588, 7153643, 7159494, 7153929, 7150752, 7150750, 7150949, 944993, 948989, 913465, 7157755, 7152271, 7152490, 945051, 7155888, 7152277, 7150747",106,13515,21998,1.19772160911356,0.837657447411756,0.203283069276776,8.73469006515637
"9","GOTERM_MF_ALL","GO:0004521~endoribonuclease activity",3,2.22222222222222,0.0073279511608467,"7156687, 7157715, 7152660, 7152701, 944882, 7151660, 949065, 913891, 7157755, 948215, 915401",106,27,21998,23.0587002096436,0.852257213584037,0.191420138454431,9.16604198163846
"10","GOTERM_MF_ALL","GO:0004872~receptor activity",5,3.7037037037037,0.0122003274548771,"7153490, 949042, 7158576, 7156251, 7151415, 7157566, 7152065, 7151318, 7150949, 945843, 7156441, 945193, 7157115, 7151644, 945649, 949041, 7149602",106,186,21998,5.57871779265571,0.958893713684353,0.273240321226249,14.8241603384705
