sampleNum,dataSet,experiment,growthTime_hr,harvestDate,cellTotal,cellsPerTube,batchNumber,carbonSource,Mg_mM,Na_mM,growthPhase,Mg_mM_Levels,Na_mM_Levels,uniqueCondition,uniqueCondition02,doublingTimeMinutes,doublingTimeMinutes.95m,doublingTimeMinutes_95p,rSquared,sizeFactor
21,MURI_021,glucose_time_course,24,2/14/13,7.76e+08,1.55e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.831650577551406
22,MURI_022,glucose_time_course,48,2/15/13,7.04e+08,1.41e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.787699226420184
30,MURI_030,glucose_time_course,24,2/21/13,7.8e+08,1.56e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,1.40204095555645
31,MURI_031,glucose_time_course,48,2/22/13,6.96e+08,1.39e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,1.25280181436255
39,MURI_039,glycerol_time_course,24,7/18/13,2.2e+08,2.2e+07,10,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.930112277810815
40,MURI_040,glycerol_time_course,48,7/19/13,1.94e+08,19400000,10,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,2.04516742824743
48,MURI_048,glycerol_time_course,24,2013-08-07,1.88e+08,18800000,11,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.661294614870278
49,MURI_049,glycerol_time_course,48,2013-08-08,1.76e+08,17600000,11,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.814196816063023
57,MURI_057,glycerol_time_course,24,2013-08-15,3.9e+08,3.9e+07,12,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.789025654622502
58,MURI_058,glycerol_time_course,48,2013-08-16,3.68e+08,36800000,12,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.84242470043566
65,MURI_065,NaCl_stress,28,2013-09-18,6.9e+09,6.9e+08,13,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,0.713617536296352
66,MURI_066,NaCl_stress,28,2013-09-18,2.1e+10,2.1e+09,13,glucose,0.8,100,stationary,baseMg,highNa,unique_condition_26,unique_condition_12,66.03566192,57.17392907,78.14834651,0.926509335,0.720951226795532
67,MURI_067,NaCl_stress,28,2013-09-18,1e+10,1e+09,13,glucose,0.8,200,stationary,baseMg,highNa,unique_condition_27,unique_condition_12,71.7909528,60.80324561,87.62573034,0.875937904,0.51910602668154
68,MURI_068,NaCl_stress,28,2013-11-18,1.8e+10,1.8e+09,13,glucose,0.8,300,stationary,baseMg,highNa,unique_condition_28,unique_condition_12,94.55206746,80.49309685,114.5614333,0.859135365,0.661294614870278
