sampleNum,dataSet,experiment,growthTime_hr,harvestDate,cellTotal,cellsPerTube,batchNumber,carbonSource,Mg_mM,Na_mM,growthPhase,Mg_mM_Levels,Na_mM_Levels,uniqueCondition,uniqueCondition02,doublingTimeMinutes,doublingTimeMinutes.95m,doublingTimeMinutes_95p,rSquared,sizeFactor
21,MURI_021,glucose_time_course,24,2/14/13,7.76e+08,1.55e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.875837249094206
22,MURI_022,glucose_time_course,48,2/15/13,7.04e+08,1.41e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.875837249094206
30,MURI_030,glucose_time_course,24,2/21/13,7.8e+08,1.56e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.863196106507695
31,MURI_031,glucose_time_course,48,2/22/13,6.96e+08,1.39e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.874310871488317
39,MURI_039,glycerol_time_course,24,7/18/13,2.2e+08,2.2e+07,10,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.613043883995754
40,MURI_040,glycerol_time_course,48,7/19/13,1.94e+08,19400000,10,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.585256532586904
48,MURI_048,glycerol_time_course,24,2013-08-07,1.88e+08,18800000,11,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.739632153343876
49,MURI_049,glycerol_time_course,48,2013-08-08,1.76e+08,17600000,11,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.476579552388167
57,MURI_057,glycerol_time_course,24,2013-08-15,3.9e+08,3.9e+07,12,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.883911357633147
58,MURI_058,glycerol_time_course,48,2013-08-16,3.68e+08,36800000,12,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.871824741430617
73,MURI_073,NaCl_stress,29,2013-11-22,4.3e+10,4.3e+09,14,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,1.28424098429614
74,MURI_074,NaCl_stress,29,2013-11-22,3.9e+10,3.9e+09,14,glucose,0.8,100,stationary,baseMg,highNa,unique_condition_26,unique_condition_12,66.03566192,57.17392907,78.14834651,0.926509335,2.61986365852381
75,MURI_075,NaCl_stress,29,2013-11-22,4.2e+10,4.2e+09,14,glucose,0.8,200,stationary,baseMg,highNa,unique_condition_27,unique_condition_12,71.7909528,60.80324561,87.62573034,0.875937904,2.025224980209
76,MURI_076,NaCl_stress,29,2013-11-22,3.6e+10,3.6e+09,14,glucose,0.8,300,stationary,baseMg,highNa,unique_condition_28,unique_condition_12,94.55206746,80.49309685,114.5614333,0.859135365,2.71486213199809
81,MURI_081,NaCl_stress,29,2013-11-15,4.1e+10,4.1e+09,15,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,2.98371703417818
83,MURI_083,NaCl_stress,29,2013-11-15,3.5e+10,3.5e+09,15,glucose,0.8,200,stationary,baseMg,highNa,unique_condition_27,unique_condition_12,71.7909528,60.80324561,87.62573034,0.875937904,3.13549089162633
84,MURI_084,NaCl_stress,29,2013-11-15,3.3e+10,3.3e+09,15,glucose,0.8,300,stationary,baseMg,highNa,unique_condition_28,unique_condition_12,94.55206746,80.49309685,114.5614333,0.859135365,3.21792184425463
86,MURI_086,lactate_growth,29,2013-10-11,1.2e+10,1.2e+09,16,lactate,0.8,5,stationary,baseMg,baseNa,unique_condition_34,unique_condition_16,100.4307315,92.47869035,109.8789863,0.96177919,0.982238295463839
88,MURI_088,lactate_growth,29,2013-10-17,1.1e+10,1.1e+09,17,lactate,0.8,5,stationary,baseMg,baseNa,unique_condition_34,unique_condition_16,100.4307315,92.47869035,109.8789863,0.96177919,1.01591775067328
90,MURI_090,lactate_growth,29,2013-10-19,NA,NA,18,lactate,0.8,5,stationary,baseMg,baseNa,unique_condition_34,unique_condition_16,100.4307315,92.47869035,109.8789863,0.96177919,1.05638796331783
92,MURI_092,gluconate_growth,27,2013-10-11,1.7e+10,1.7e+09,19,gluconate,0.8,5,stationary,baseMg,baseNa,unique_condition_19,unique_condition_10,62.72714551,59.92653397,65.80235831,0.993396867,1.25794094068031
94,MURI_094,gluconate_growth,27,2013-10-17,1.7e+10,1.7e+09,20,gluconate,0.8,5,stationary,baseMg,baseNa,unique_condition_19,unique_condition_10,62.72714551,59.92653397,65.80235831,0.993396867,1.22515316357598
96,MURI_096,gluconate_growth,27,2013-10-19,NA,NA,21,gluconate,0.8,5,stationary,baseMg,baseNa,unique_condition_19,unique_condition_10,62.72714551,59.92653397,65.80235831,0.993396867,1.33376431848356
102,MURI_102,glucose_time_course,24,2013-11-06,3.8e+10,3.8e+09,7,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.821559177731726
103,MURI_103,glucose_time_course,48,2013-11-07,3.4e+10,3.4e+09,7,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.736828257196013
112,MURI_112,MgSO4_stress_high,28,2013-12-12,3.9e+10,3.9e+09,22,glucose,0.08,5,stationary,lowMg,baseNa,unique_condition_24,unique_condition_14,62.16562822,56.5029441,69.08975323,0.970338997,0.827971854967331
113,MURI_113,MgSO4_stress_high,28,2013-12-12,4.1e+10,4.1e+09,22,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,63.60809667,56.92589362,72.06771046,0.959752519,0.823901968511655
