sampleNum,dataSet,experiment,growthTime_hr,harvestDate,cellTotal,cellsPerTube,batchNumber,carbonSource,Mg_mM,Na_mM,growthPhase,Mg_mM_Levels,Na_mM_Levels,uniqueCondition,uniqueCondition02,doublingTimeMinutes,doublingTimeMinutes.95m,doublingTimeMinutes_95p,rSquared,sizeFactor
21,MURI_021,glucose_time_course,24,2/14/13,7.76e+08,1.55e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,1.18374872183422
22,MURI_022,glucose_time_course,48,2/15/13,7.04e+08,1.41e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,1.19640156693773
30,MURI_030,glucose_time_course,24,2/21/13,7.8e+08,1.56e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,1.17368254454987
31,MURI_031,glucose_time_course,48,2/22/13,6.96e+08,1.39e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,1.2255790714892
73,MURI_073,NaCl_stress,29,2013-11-22,4.3e+10,4.3e+09,14,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,1.52082870308519
81,MURI_081,NaCl_stress,29,2013-11-15,4.1e+10,4.1e+09,15,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,3.68675856376346
102,MURI_102,glucose_time_course,24,2013-11-06,3.8e+10,3.8e+09,7,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.898622537563079
103,MURI_103,glucose_time_course,48,2013-11-07,3.4e+10,3.4e+09,7,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.784163622970441
113,MURI_113,MgSO4_stress_high,28,2013-12-12,4.1e+10,4.1e+09,22,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,63.60809667,56.92589362,72.06771046,0.959752519,0.906320607529422
114,MURI_114,MgSO4_stress_high,28,2013-12-12,4.4e+10,4.4e+09,22,glucose,8,5,stationary,highMg,baseNa,unique_condition_29,unique_condition_13,62.36489043,58.11110352,67.29062701,0.983953962,0.816985726355378
116,MURI_116,MgSO4_stress_high,28,2013-12-12,4.4e+10,4.4e+09,22,glucose,200,5,stationary,highMg,baseNa,unique_condition_31,unique_condition_13,54.49592511,50.42775732,59.27807632,0.98381498,0.921689640940865
125,MURI_125,MgSO4_stress_high,28,2014-01-16,3.8e+10,3.8e+09,23,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,63.60809667,56.92589362,72.06771046,0.959752519,0.849511794217701
126,MURI_126,MgSO4_stress_high,28,2014-01-16,4e+10,4e+09,23,glucose,8,5,stationary,highMg,baseNa,unique_condition_29,unique_condition_13,62.36489043,58.11110352,67.29062701,0.983953962,0.790300583619272
128,MURI_128,MgSO4_stress_high,28,2014-01-16,4.3e+10,4.3e+09,23,glucose,200,5,stationary,highMg,baseNa,unique_condition_31,unique_condition_13,54.49592511,50.42775732,59.27807632,0.98381498,0.814096055712822
137,MURI_137,MgSO4_stress_high,28,2014-01-31,4e+10,4e+09,24,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,63.60809667,56.92589362,72.06771046,0.959752519,0.639390047516259
138,MURI_138,MgSO4_stress_high,28,2014-01-31,4e+10,4e+09,24,glucose,8,5,stationary,highMg,baseNa,unique_condition_29,unique_condition_13,62.36489043,58.11110352,67.29062701,0.983953962,0.629357989700935
140,MURI_140,MgSO4_stress_high,28,2014-01-31,4.3e+10,4.3e+09,24,glucose,200,5,stationary,highMg,baseNa,unique_condition_31,unique_condition_13,54.49592511,50.42775732,59.27807632,0.98381498,0.758097783805623
