,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,78.6155500393065,1.21050603434496,0.571193396855381,2.11925775229409,0.034068689956636,0.0845092157592756,thrL,1,mrna,Exp,carbonSource,lactate,glycerol
2,ECB_00002,409.903864124985,1.50646768812457,0.622151486999447,2.42138405131853,0.01546153265053,0.0461393714226362,thrA,1,mrna,Exp,carbonSource,lactate,glycerol
3,ECB_00003,173.328322343708,1.19539280908878,0.596666540625867,2.00345205855667,0.045128788509928,0.104633167691226,thrB,1,mrna,Exp,carbonSource,lactate,glycerol
4,ECB_00004,198.632852578533,1.29937044498419,0.634748818180676,2.04706240920378,0.0406519572498756,0.0964522794018171,thrC,1,mrna,Exp,carbonSource,lactate,glycerol
5,ECB_00005,20.2450957477846,1.53139742701949,0.532158971738738,2.87770667854366,0.00400577412393921,0.0165101073695326,yaaX,1,mrna,Exp,carbonSource,lactate,glycerol
6,ECB_00006,6.98967795647128,0.679705180454795,0.434988017663081,1.56258368703218,0.118150547726129,0.223193027657341,yaaA,1,mrna,Exp,carbonSource,lactate,glycerol
7,ECB_00007,1.05102636365723,0.723071652638236,0.659069701716659,1.09710953295968,0.272593513455724,0.416182705642232,yaaJ,1,mrna,Exp,carbonSource,lactate,glycerol
8,ECB_00008,335.018116907203,0.217074272496694,0.276464438013237,0.78517972892521,0.432348198871398,0.575495674691571,talB,1,mrna,Exp,carbonSource,lactate,glycerol
9,ECB_00009,27.1054050321062,-0.832337480941926,0.329174341182983,-2.52856124189596,0.0114531103249637,0.0368990189664711,mogA,-1,mrna,Exp,carbonSource,lactate,glycerol
10,ECB_00010,9.49391200112258,1.91330777186798,0.399507133322172,4.78917048603747,1.67472155281127e-06,5.47998017672069e-05,yaaH,1,mrna,Exp,carbonSource,lactate,glycerol
11,ECB_00011,1.25142038885034,-0.142639229976921,0.651039824620737,-0.219094477146642,0.826576452863467,0.884926707677603,yaaW,-1,mrna,Exp,carbonSource,lactate,glycerol
12,ECB_00012,0.0758454830749834,-0.0757063151366545,0.814207478005867,-0.0929816013506436,0.925918177887806,NA,htgA,-1,mrna,Exp,carbonSource,lactate,glycerol
13,ECB_00013,0.11874818476432,-0.0792899572246073,0.798697567077526,-0.0992740688002007,0.920920666792385,NA,yaaI,-1,mrna,Exp,carbonSource,lactate,glycerol
14,ECB_00014,523.843141949846,-0.0639092034529247,0.451613417425064,-0.141513075092657,0.887464631556791,0.925077398489808,dnaK,-1,mrna,Exp,carbonSource,lactate,glycerol
