,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,78.6155500393065,0.670400812563737,0.620597663365045,1.08025030086102,0.280030734517756,0.556676012029597,thrL,1,mrna,Exp,carbonSource,lactate,glucose
2,ECB_00002,409.903864124985,0.880227394131613,0.665430521128904,1.322793839751,0.18590394640306,0.441254157827727,thrA,1,mrna,Exp,carbonSource,lactate,glucose
3,ECB_00003,173.328322343708,0.986830113015733,0.639300923434329,1.5436081457766,0.122683290464594,0.362078401090898,thrB,1,mrna,Exp,carbonSource,lactate,glucose
4,ECB_00004,198.632852578533,1.24404946183722,0.674172808620978,1.84529759422057,0.064994260262543,0.250758944527838,thrC,1,mrna,Exp,carbonSource,lactate,glucose
5,ECB_00005,20.2450957477846,1.90957513185608,0.562421008496658,3.39527703092092,0.000685591909689486,0.0127411486582888,yaaX,1,mrna,Exp,carbonSource,lactate,glucose
6,ECB_00006,6.98967795647128,-0.142935542567597,0.475587727808057,-0.300545060795355,0.763761430540856,0.893753245090516,yaaA,-1,mrna,Exp,carbonSource,lactate,glucose
7,ECB_00007,1.05102636365723,0.867793556857602,0.651481983152457,1.3320300166375,0.182850325140568,0.440049008092966,yaaJ,1,mrna,Exp,carbonSource,lactate,glucose
8,ECB_00008,335.018116907203,0.524562996197403,0.319969157740391,1.63941737354264,0.101126365804681,0.321991838194039,talB,1,mrna,Exp,carbonSource,lactate,glucose
9,ECB_00009,27.1054050321062,-0.18417354366847,0.376264012120945,-0.489479561519346,0.624502220925038,0.819392401942324,mogA,-1,mrna,Exp,carbonSource,lactate,glucose
10,ECB_00010,9.49391200112258,0.46051201465727,0.4277982712544,1.07647002244059,0.281717100805209,0.558082320012008,yaaH,1,mrna,Exp,carbonSource,lactate,glucose
11,ECB_00011,1.25142038885034,-0.474931768039448,0.662771142790394,-0.716584862219399,0.473630287699329,0.721301460455692,yaaW,-1,mrna,Exp,carbonSource,lactate,glucose
12,ECB_00012,0.0758454830749834,0.0832840999378747,0.92831870491449,0.0897149863478688,0.928513706584271,NA,htgA,1,mrna,Exp,carbonSource,lactate,glucose
13,ECB_00013,0.11874818476432,-0.139703789099859,0.921575874147915,-0.151592281242203,0.879508521722273,NA,yaaI,-1,mrna,Exp,carbonSource,lactate,glucose
14,ECB_00014,523.843141949846,-1.76560424907873,0.472703561596034,-3.73511941208429,0.000187626136250343,0.00517903320208666,dnaK,-1,mrna,Exp,carbonSource,lactate,glucose
15,ECB_00015,39.0034516651256,-0.0716798330048966,0.486297645917145,-0.147399095197572,0.882817019650289,0.945475225575532,dnaJ,-1,mrna,Exp,carbonSource,lactate,glucose
16,ECB_00016,14.2602925976153,0.0584672856850217,0.540402338447921,0.108192140420681,0.913843279395502,0.959331004152885,insL-1,1,mrna,Exp,carbonSource,lactate,glucose
17,ECB_00017,2.56878729790237,0.241918053677743,0.704733183608203,0.343276092718003,0.731390764558787,0.877993309881591,mokC,1,mrna,Exp,carbonSource,lactate,glucose
18,ECB_00018,42.6375860715154,-0.629961445128476,0.367822168409159,-1.71267938485893,0.0867715397561175,0.295858637824219,nhaA,-1,mrna,Exp,carbonSource,lactate,glucose
19,ECB_00019,6.82894830093266,-0.622948995433446,0.467788902604335,-1.33168827213575,0.182962644658444,0.440049008092966,nhaR,-1,mrna,Exp,carbonSource,lactate,glucose
20,ECB_00020,0.274452809032046,-0.921186908267935,0.911949405202736,-1.01012940302663,0.312433296819777,NA,ECB_00020,-1,mrna,Exp,carbonSource,lactate,glucose
21,ECB_00021,0.142911648280221,0.0652313013735521,0.933317812266792,0.0698918423244509,0.944279746134431,NA,ECB_00021,1,mrna,Exp,carbonSource,lactate,glucose
22,ECB_00022,0.12303718532746,0.0527675779938966,0.893358046569131,0.0590665503003484,0.952899101099561,NA,ECB_00022,1,mrna,Exp,carbonSource,lactate,glucose
23,ECB_00023,0.663724055807189,0.115799941953911,0.763153926709668,0.151738643936724,0.879393076610943,0.944831599770315,insA-1,1,mrna,Exp,carbonSource,lactate,glucose
24,ECB_00024,4.46367102378639,-0.495344215892636,0.595832889040819,-0.831347555671271,0.405777316700415,0.670756515584922,insB-1,-1,mrna,Exp,carbonSource,lactate,glucose
25,ECB_00025,0.0769380380809808,0.00155864267918373,0.829464535889514,0.00187909502063551,0.998500699977091,NA,ECB_00025,1,mrna,Exp,carbonSource,lactate,glucose
26,ECB_00026,2.00242289923848,1.33863223535327,0.624346131484508,2.14405466431001,0.0320285070285306,0.17300002213684,ECB_00026,1,mrna,Exp,carbonSource,lactate,glucose
27,ECB_00027,338.885884707806,0.702567190900789,0.687544281709282,1.02185009691908,0.306851854439618,0.583547042333499,rpsT,1,mrna,Exp,carbonSource,lactate,glucose
28,ECB_00028,0.956560158534212,0.0970732637994917,0.680749329801521,0.142597663412749,0.886607942949215,0.946622928848508,yaaY,1,mrna,Exp,carbonSource,lactate,glucose
29,ECB_00029,46.0996185127604,-0.34364867679996,0.485448981239701,-0.707898646573276,0.479008200269099,0.724542403351387,ribF,-1,mrna,Exp,carbonSource,lactate,glucose
30,ECB_00030,373.281562190475,0.685494396840897,0.59548558006028,1.15115196705772,0.249669721920989,0.520700075606329,ileS,1,mrna,Exp,carbonSource,lactate,glucose
31,ECB_00031,88.6069426478771,0.775269984798655,0.55659588678141,1.39287767518685,0.163656784441039,0.419352343557879,lspA,1,mrna,Exp,carbonSource,lactate,glucose
