,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,78.6155500393065,-0.485151931016961,0.311862857342813,-1.55565794256692,0.119789452502996,0.245196961663246,thrL,-1,mrna,Exp,carbonSource,glycerol,glucose
2,ECB_00002,409.903864124985,-1.01622998071004,0.34437726680233,-2.95092062883858,0.00316828321546861,0.0165041528388035,thrA,-1,mrna,Exp,carbonSource,glycerol,glucose
3,ECB_00003,173.328322343708,-0.813028279286466,0.327540138819618,-2.48222487239714,0.013056485059578,0.0474869197352059,thrB,-1,mrna,Exp,carbonSource,glycerol,glucose
4,ECB_00004,198.632852578533,-0.612191616413997,0.353787644147682,-1.73039286854927,0.0835601071206307,0.188858564495816,thrC,-1,mrna,Exp,carbonSource,glycerol,glucose
5,ECB_00005,20.2450957477846,-0.592110976578274,0.297292784504774,-1.99167624456343,0.0464065917965414,0.12167637605174,yaaX,-1,mrna,Exp,carbonSource,glycerol,glucose
6,ECB_00006,6.98967795647128,-0.508503378719788,0.255845723644031,-1.9875390976919,0.0468626876911266,0.122262272892812,yaaA,-1,mrna,Exp,carbonSource,glycerol,glucose
7,ECB_00007,1.05102636365723,-0.618904477995898,0.456352977964027,-1.35619686488533,0.175036539278287,0.322034438541035,yaaJ,-1,mrna,Exp,carbonSource,glycerol,glucose
8,ECB_00008,335.018116907203,-0.0160266328607553,0.140844210493169,-0.113789788054743,0.909404433962831,0.944808216250857,talB,-1,mrna,Exp,carbonSource,glycerol,glucose
9,ECB_00009,27.1054050321062,0.256662482526356,0.172545827133828,1.48750327254966,0.136881939537136,0.268791107564155,mogA,1,mrna,Exp,carbonSource,glycerol,glucose
10,ECB_00010,9.49391200112258,-0.962198435333341,0.244587364188585,-3.9339662477063,8.35555216810138e-05,0.00131333150231225,yaaH,-1,mrna,Exp,carbonSource,glycerol,glucose
11,ECB_00011,1.25142038885034,-0.0114860165392446,0.420465221772142,-0.0273173997384,0.978206579062755,0.984977042440016,yaaW,-1,mrna,Exp,carbonSource,glycerol,glucose
12,ECB_00012,0.0758454830749834,0.135676594192794,0.884650339011962,0.15336748115004,0.878108487749299,NA,htgA,1,mrna,Exp,carbonSource,glycerol,glucose
13,ECB_00013,0.11874818476432,-0.0707113208125339,0.895064513097874,-0.0790013678095645,0.937031535110937,NA,yaaI,-1,mrna,Exp,carbonSource,glycerol,glucose
14,ECB_00014,523.843141949846,-0.70346815608923,0.236025370148618,-2.98047686842426,0.00287799973034885,0.0154771147416472,dnaK,-1,mrna,Exp,carbonSource,glycerol,glucose
15,ECB_00015,39.0034516651256,-1.31115035503988,0.24865863294804,-5.2728929596981,1.3428989434119e-07,1.09893896869207e-05,dnaJ,-1,mrna,Exp,carbonSource,glycerol,glucose
16,ECB_00016,14.2602925976153,-0.79663882595361,0.274976512101537,-2.8971159022464,0.00376610591330632,0.0186548096184959,insL-1,-1,mrna,Exp,carbonSource,glycerol,glucose
17,ECB_00017,2.56878729790237,0.0788520998384587,0.419890768153652,0.187791934995828,0.851039758232819,0.908658524819493,mokC,1,mrna,Exp,carbonSource,glycerol,glucose
18,ECB_00018,42.6375860715154,-0.375390056125853,0.181886998240237,-2.06386415608462,0.03903059808466,0.106025027162202,nhaA,-1,mrna,Exp,carbonSource,glycerol,glucose
19,ECB_00019,6.82894830093266,-0.905254281302303,0.257971731056091,-3.50912201734799,0.000449588596295043,0.00395074721755465,nhaR,-1,mrna,Exp,carbonSource,glycerol,glucose
20,ECB_00020,0.274452809032046,-0.389472808860307,0.668031957589316,-0.583015235177929,0.559883044183785,NA,ECB_00020,-1,mrna,Exp,carbonSource,glycerol,glucose
21,ECB_00021,0.142911648280221,0.354431503318832,0.875826697892991,0.404682232422809,0.6857111040436,NA,ECB_00021,1,mrna,Exp,carbonSource,glycerol,glucose
22,ECB_00022,0.12303718532746,0.530173596376684,0.914552630936202,0.579708130995107,0.562111459204263,NA,ECB_00022,1,mrna,Exp,carbonSource,glycerol,glucose
23,ECB_00023,0.663724055807189,-0.456738497233393,0.51636036212991,-0.884534388637839,0.376407807251332,0.54679358982368,insA-1,-1,mrna,Exp,carbonSource,glycerol,glucose
24,ECB_00024,4.46367102378639,-0.689237714818763,0.328536598913818,-2.09790238621045,0.0359137691890657,0.0984433254533497,insB-1,-1,mrna,Exp,carbonSource,glycerol,glucose
25,ECB_00025,0.0769380380809808,0.378537379125833,0.905304666687537,0.418132583488034,0.675850183114456,NA,ECB_00025,1,mrna,Exp,carbonSource,glycerol,glucose
26,ECB_00026,2.00242289923848,-0.606344259631249,0.398548109349605,-1.52138285292771,0.128163789336392,0.256066818165488,ECB_00026,-1,mrna,Exp,carbonSource,glycerol,glucose
27,ECB_00027,338.885884707806,-1.4043824149632,0.371455667905413,-3.7807537649979,0.000156354257852266,0.00193741175029559,rpsT,-1,mrna,Exp,carbonSource,glycerol,glucose
28,ECB_00028,0.956560158534212,-0.205673906137234,0.486369536888946,-0.422875798210602,0.672385881334708,0.789340030449113,yaaY,-1,mrna,Exp,carbonSource,glycerol,glucose
29,ECB_00029,46.0996185127604,-0.99591517530592,0.243019712678347,-4.09808391397483,4.16584267950283e-05,0.000790503866912421,ribF,-1,mrna,Exp,carbonSource,glycerol,glucose
