,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,78.506136702022,-0.482333814472645,0.311663845467971,-1.54760913556851,0.121716430572061,0.246541986312363,thrL,-1,mrna,Exp,carbonSource,glycerol,glucose
2,ECB_00002,408.139694282282,-1.01010418677822,0.343395434891683,-2.94151897242559,0.00326606834767641,0.0169782662284069,thrA,-1,mrna,Exp,carbonSource,glycerol,glucose
3,ECB_00003,172.687704835938,-0.806392009503311,0.326543021943398,-2.4694816771895,0.0135308947794277,0.0485031791063208,thrB,-1,mrna,Exp,carbonSource,glycerol,glucose
4,ECB_00004,197.869346301947,-0.605703362768805,0.352840001603621,-1.71665162684488,0.0860428435118624,0.192472144719915,thrC,-1,mrna,Exp,carbonSource,glycerol,glucose
5,ECB_00005,20.1889442996216,-0.584038903187754,0.29658676631118,-1.96920081921315,0.0489300348634977,0.125904137805072,yaaX,-1,mrna,Exp,carbonSource,glycerol,glucose
6,ECB_00006,6.9772608121277,-0.499975212280515,0.255351183436709,-1.95799058203479,0.0502311178148528,0.128465386564102,yaaA,-1,mrna,Exp,carbonSource,glycerol,glucose
7,ECB_00007,1.04997416712263,-0.609870707010452,0.456161559912501,-1.33696207792571,0.181235015606002,0.329767255604309,yaaJ,-1,mrna,Exp,carbonSource,glycerol,glucose
8,ECB_00008,334.664753625052,-0.00481927855609259,0.139575372746869,-0.0345281439071113,0.972456000131411,0.981604768881389,talB,-1,mrna,Exp,carbonSource,glycerol,glucose
9,ECB_00009,27.111669576119,0.266059508768555,0.172708572630178,1.54051130593425,0.123435769069173,0.248939571965682,mogA,1,mrna,Exp,carbonSource,glycerol,glucose
10,ECB_00010,9.47533537552819,-0.954206936592496,0.244306516136009,-3.90577767504684,9.39228364601353e-05,0.00140894164024629,yaaH,-1,mrna,Exp,carbonSource,glycerol,glucose
11,ECB_00013,0.118776045414841,-0.0676351593976251,0.896134019692471,-0.0754743798487147,0.939837281302025,NA,yaaI,-1,mrna,Exp,carbonSource,glycerol,glucose
12,ECB_00014,523.033174361552,-0.695681611037129,0.235160431570158,-2.95832766759308,0.00309313139058046,0.0163574867439696,dnaK,-1,mrna,Exp,carbonSource,glycerol,glucose
13,ECB_00015,38.887081929789,-1.30209009914378,0.247771452439971,-5.25520630533192,1.47858631608325e-07,1.184474863473e-05,dnaJ,-1,mrna,Exp,carbonSource,glycerol,glucose
14,ECB_00016,14.2063622074488,-0.787348679043799,0.273933094114874,-2.87423716213574,0.00405004714785237,0.0197228591827147,insL-1,-1,mrna,Exp,carbonSource,glycerol,glucose
15,ECB_00017,2.5724327537675,0.0840206995375938,0.420577996668583,0.199774358628187,0.841657055922081,0.902278026983925,mokC,1,mrna,Exp,carbonSource,glycerol,glucose
16,ECB_00018,42.6411737966905,-0.365254657432916,0.182565784983881,-2.00067420883472,0.04542751059058,0.118715583985695,nhaA,-1,mrna,Exp,carbonSource,glycerol,glucose
17,ECB_00019,6.81127466441053,-0.897810092718803,0.257509621083877,-3.48651086875843,0.000489365498150426,0.00421708254781978,nhaR,-1,mrna,Exp,carbonSource,glycerol,glucose
18,ECB_00020,0.273315432652161,-0.380661031439581,0.667591201820612,-0.57020079114504,0.568541519568275,NA,ECB_00020,-1,mrna,Exp,carbonSource,glycerol,glucose
19,ECB_00021,0.142986829175289,0.359420195054016,0.876489295793678,0.410067980041393,0.681756080574439,NA,ECB_00021,1,mrna,Exp,carbonSource,glycerol,glucose
20,ECB_00022,0.123474505798685,0.536280569891917,0.916256674551021,0.585295130488083,0.55834928854857,NA,ECB_00022,1,mrna,Exp,carbonSource,glycerol,glucose
21,ECB_00023,0.662668974924224,-0.447490657603614,0.516004949587639,-0.86722163801185,0.385820582661666,0.552073136854657,insA-1,-1,mrna,Exp,carbonSource,glycerol,glucose
22,ECB_00024,4.45590049616533,-0.681051346544711,0.328268625909527,-2.07467693465295,0.0380164864672953,0.1028367316517,insB-1,-1,mrna,Exp,carbonSource,glycerol,glucose
23,ECB_00025,0.0769158846712836,0.383250092674596,0.908347803665939,0.421919986075667,0.67308342143856,NA,ECB_00025,1,mrna,Exp,carbonSource,glycerol,glucose
24,ECB_00026,1.99487839583483,-0.59848208889666,0.397966292607155,-1.5038512055277,0.132619683157304,0.262713771973817,ECB_00026,-1,mrna,Exp,carbonSource,glycerol,glucose
25,ECB_00027,337.15854717512,-1.39826193143028,0.370246897994204,-3.77656622919814,0.000159005293535417,0.00195059997037715,rpsT,-1,mrna,Exp,carbonSource,glycerol,glucose
26,ECB_00028,0.954748746781097,-0.197079167070768,0.485908169517929,-0.405589326201885,0.685044372848779,0.797292213587632,yaaY,-1,mrna,Exp,carbonSource,glycerol,glucose
27,ECB_00029,45.9644201827385,-0.987694834623188,0.241601522495777,-4.08811510962416,4.34892358963623e-05,0.000817173349623354,ribF,-1,mrna,Exp,carbonSource,glycerol,glucose
28,ECB_00030,371.886390810594,-0.880691713112022,0.294576942624446,-2.98968312070103,0.00279266995805877,0.0151417320249678,ileS,-1,mrna,Exp,carbonSource,glycerol,glucose
29,ECB_00031,88.3399951265423,-0.187455221247141,0.266334628453479,-0.703833453184945,0.481536497835405,0.636793129586094,lspA,-1,mrna,Exp,carbonSource,glycerol,glucose
30,ECB_00032,12.3976196297131,-0.549778680222497,0.340604433469747,-1.61412661198178,0.106499966143604,0.223076601188234,fkpB,-1,mrna,Exp,carbonSource,glycerol,glucose
31,ECB_00033,57.5174962405624,-0.975985977658005,0.306064287932726,-3.18882671431607,0.00142851482003731,0.00912543795486517,ispH,-1,mrna,Exp,carbonSource,glycerol,glucose
