,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,0.982705321786088,0.674567206340931,1.45679379689475,0.145173308713407,0.52552693884439,thrL,1,mrna,Sta,carbonSource,gluconate,glycerol
2,ECB_00002,19.0443421347219,0.158085540499912,0.844501815932648,0.187193843183541,0.851508651944709,0.964054365162811,thrA,1,mrna,Sta,carbonSource,gluconate,glycerol
3,ECB_00003,7.22961262413887,0.0236254587349369,0.857425206202324,0.0275539587173766,0.978017903329183,0.991044110648789,thrB,1,mrna,Sta,carbonSource,gluconate,glycerol
4,ECB_00004,6.79295330065092,-0.140340445011495,0.918280180550492,-0.152829656987003,0.878532609567861,0.973699632469896,thrC,-1,mrna,Sta,carbonSource,gluconate,glycerol
5,ECB_00005,1.25219184273585,-0.549958647627304,0.93607847460269,-0.587513400370336,0.55685895330356,NA,yaaX,-1,mrna,Sta,carbonSource,gluconate,glycerol
6,ECB_00006,1.25606523041271,-0.143479213873419,0.916895678923545,-0.156483684209164,0.875651778927539,NA,yaaA,-1,mrna,Sta,carbonSource,gluconate,glycerol
7,ECB_00007,0.292817374780683,-0.74905609939445,0.97263487993739,-0.770130821796837,0.441222294476367,NA,yaaJ,-1,mrna,Sta,carbonSource,gluconate,glycerol
8,ECB_00008,39.821681049958,0.0279043822364125,0.714415856888622,0.0390590185916924,0.968843334444429,0.989995623494946,talB,1,mrna,Sta,carbonSource,gluconate,glycerol
9,ECB_00009,6.51799363100065,1.5083456585784,0.622520887148647,2.42296393537431,0.0153944548956293,0.18900969621856,mogA,1,mrna,Sta,carbonSource,gluconate,glycerol
10,ECB_00010,2.36086976688537,0.368299303499998,0.834185884060922,0.44150747517696,0.658845651058268,NA,yaaH,1,mrna,Sta,carbonSource,gluconate,glycerol
11,ECB_00011,0.623555183238697,0.189424746905017,0.976438799103826,0.193995514187751,0.846179394342153,NA,yaaW,1,mrna,Sta,carbonSource,gluconate,glycerol
12,ECB_00012,0.0813873402055235,0.221682353199477,0.731407709131101,0.303089987201299,0.761821284545365,NA,htgA,1,mrna,Sta,carbonSource,gluconate,glycerol
13,ECB_00013,0.069397353161651,-0.0850666921211556,0.634870376056701,-0.13399064648365,0.893409970762841,NA,yaaI,-1,mrna,Sta,carbonSource,gluconate,glycerol
14,ECB_00014,89.3847777565513,-0.0987391431741704,0.786929990242586,-0.125473859680621,0.90014841842409,0.980432992853576,dnaK,-1,mrna,Sta,carbonSource,gluconate,glycerol
15,ECB_00015,4.37188056454706,-0.102774341253656,0.874534785332112,-0.117518871721754,0.906448890190999,NA,dnaJ,-1,mrna,Sta,carbonSource,gluconate,glycerol
16,ECB_00016,1.66399383901726,0.390353461942067,0.928582733461061,0.420375533461754,0.67421113862476,NA,insL-1,1,mrna,Sta,carbonSource,gluconate,glycerol
17,ECB_00017,0.942714136788686,1.25699164938145,0.904298910107266,1.39001787498821,0.164523449475235,NA,mokC,1,mrna,Sta,carbonSource,gluconate,glycerol
18,ECB_00018,30.8859126855,-0.194077791949483,0.590241184144324,-0.32881099652651,0.742298550818961,0.933457028388773,nhaA,-1,mrna,Sta,carbonSource,gluconate,glycerol
19,ECB_00019,1.9641224052945,-0.0516683546400508,0.867803172647614,-0.0595392552926649,0.952522599716779,NA,nhaR,-1,mrna,Sta,carbonSource,gluconate,glycerol
20,ECB_00020,0.337330023322164,-0.130948688999785,0.961471021060583,-0.136196189101298,0.89166618775379,NA,ECB_00020,-1,mrna,Sta,carbonSource,gluconate,glycerol
21,ECB_00021,0.112747446013336,0,0.791977830185548,0,1,NA,ECB_00021,0,mrna,Sta,carbonSource,gluconate,glycerol
22,ECB_00022,0.085360954929338,0.0753806135392082,0.658356601691182,0.114498150919382,0.908842912112907,NA,ECB_00022,1,mrna,Sta,carbonSource,gluconate,glycerol
23,ECB_00023,0.0830957649116458,-0.153375998364881,0.797464268620995,-0.192329618266289,0.847484019438778,NA,insA-1,-1,mrna,Sta,carbonSource,gluconate,glycerol
24,ECB_00024,0.601476583600354,0.110095496683708,0.982164902208713,0.112094716921897,0.910748306311871,NA,insB-1,1,mrna,Sta,carbonSource,gluconate,glycerol
25,ECB_00025,0.11878883582335,-0.484420657650192,0.80188927841487,-0.60409918263001,0.545777702939539,NA,ECB_00025,-1,mrna,Sta,carbonSource,gluconate,glycerol
26,ECB_00026,0.127579472609492,0.209792647434758,0.857555158527973,0.244640412162963,0.80673487026128,NA,ECB_00026,1,mrna,Sta,carbonSource,gluconate,glycerol
27,ECB_00027,23.0259660728254,0.815510588968683,0.825224601916667,0.988228643540895,0.323040683021759,0.716547685841712,rpsT,1,mrna,Sta,carbonSource,gluconate,glycerol
28,ECB_00028,0.146247484595412,0.219569505348965,0.864957945053362,0.253849920224063,0.799611505505989,NA,yaaY,1,mrna,Sta,carbonSource,gluconate,glycerol
29,ECB_00029,3.82628397808636,1.26053570767637,0.912139921081464,1.38195432361061,0.166985726362295,NA,ribF,1,mrna,Sta,carbonSource,gluconate,glycerol
30,ECB_00030,25.1816207613832,0.298218043093411,0.908700016241532,0.328180959352096,0.742774843553387,0.933457028388773,ileS,1,mrna,Sta,carbonSource,gluconate,glycerol
31,ECB_00031,4.48441792682788,0.0477450428670378,0.958553695277451,0.0498094609642271,0.960274227284019,NA,lspA,1,mrna,Sta,carbonSource,gluconate,glycerol
32,ECB_00032,0.666121041297113,0.636934270620083,0.98512982510604,0.646548560796566,0.517924158777886,NA,fkpB,1,mrna,Sta,carbonSource,gluconate,glycerol
33,ECB_00033,4.68839094638787,0.748220333632845,0.950273214450997,0.787373907055894,0.431063016666495,NA,ispH,1,mrna,Sta,carbonSource,gluconate,glycerol
34,ECB_00034,0.390660905947924,-0.127407239531859,0.978547815644644,-0.130200320817155,0.896407940766055,NA,rihC,-1,mrna,Sta,carbonSource,gluconate,glycerol
35,ECB_00035,2.4646505943806,0.452698555775229,0.923951132170124,0.489959414533057,0.624162618400878,NA,dapB,1,mrna,Sta,carbonSource,gluconate,glycerol
36,ECB_00036,11.8824504611528,-0.676446542383006,0.944022863119298,-0.716557372506689,0.473647254922185,0.828133254254769,carA,-1,mrna,Sta,carbonSource,gluconate,glycerol
37,ECB_00037,27.1339080947425,-0.303066334025473,0.971499269478237,-0.311957346286263,0.755072939512544,0.934328777336351,carB,-1,mrna,Sta,carbonSource,gluconate,glycerol
38,ECB_00038,2.25358426307662,-1.72971929622003,0.879577317700999,-1.96653467683897,0.0492368807626026,NA,caiF,-1,mrna,Sta,carbonSource,gluconate,glycerol
39,ECB_00039,0.301270315706613,0.0371550245959349,0.972440456363321,0.0382080201957919,0.969521826375181,NA,caiE,1,mrna,Sta,carbonSource,gluconate,glycerol
40,ECB_00040,0.0269324640649658,0,0.47297370107972,0,1,NA,caiD,0,mrna,Sta,carbonSource,gluconate,glycerol
