,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,0.196947197260103,0.468654054257416,0.420240037338772,0.674310109177292,0.876482956248197,thrL,1,mrna,Sta,carbonSource,glycerol,glucose
2,ECB_00002,19.0443421347219,-0.36056997316516,0.612843052305471,-0.588356140791222,0.556293270236988,0.818958961137878,thrA,-1,mrna,Sta,carbonSource,glycerol,glucose
3,ECB_00003,7.22961262413887,-0.0932389334800159,0.627588378564536,-0.148567017275365,0.881895300519983,0.961085090069557,thrB,-1,mrna,Sta,carbonSource,glycerol,glucose
4,ECB_00004,6.79295330065092,0.150843134954918,0.699477735131323,0.215651088489039,0.829259729772113,0.941576945491033,thrC,1,mrna,Sta,carbonSource,glycerol,glucose
5,ECB_00005,1.25219184273585,0.0625030537845479,0.723768883616616,0.0863577520385031,0.931182030405679,0.981758715368581,yaaX,1,mrna,Sta,carbonSource,glycerol,glucose
6,ECB_00006,1.25606523041271,0.33224917208409,0.712334676953924,0.466422852674882,0.640912856938622,0.863564003820625,yaaA,1,mrna,Sta,carbonSource,glycerol,glucose
7,ECB_00007,0.292817374780683,0.534170423134749,0.889469843938132,0.60054922241063,0.54814026698193,NA,yaaJ,1,mrna,Sta,carbonSource,glycerol,glucose
8,ECB_00008,39.821681049958,0.481670328774396,0.493992366988546,0.975056217387998,0.329532374795118,0.664384753071504,talB,1,mrna,Sta,carbonSource,glycerol,glucose
9,ECB_00009,6.51799363100065,-0.884750787836315,0.451453505291775,-1.9597827405604,0.0500211893973185,0.322242479232867,mogA,-1,mrna,Sta,carbonSource,glycerol,glucose
10,ECB_00010,2.36086976688537,-0.574511652850633,0.616980900326841,-0.931166025635948,0.351767689140257,0.68547254165245,yaaH,-1,mrna,Sta,carbonSource,glycerol,glucose
11,ECB_00011,0.623555183238697,-0.0619531393056142,0.816346874523282,-0.0758907043550484,0.939506052382516,NA,yaaW,-1,mrna,Sta,carbonSource,glycerol,glucose
12,ECB_00012,0.0813873402055235,-0.0607026368508594,0.936609553234855,-0.0648110374714896,0.948324453297355,NA,htgA,-1,mrna,Sta,carbonSource,glycerol,glucose
13,ECB_00013,0.069397353161651,-0.0304149547038146,0.874605967156476,-0.0347756084979616,0.972258670463149,NA,yaaI,-1,mrna,Sta,carbonSource,glycerol,glucose
14,ECB_00014,89.3847777565513,-0.0494083668426923,0.556544639275927,-0.0887770061121662,0.929259131986539,0.980794880172733,dnaK,-1,mrna,Sta,carbonSource,glycerol,glucose
