,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,0.534907321128665,0.66722316808815,0.801691767780456,0.422731278960185,0.636097224176682,thrL,1,mrna,Sta,carbonSource,lactate,glycerol
2,ECB_00002,19.0443421347219,1.42861462356062,0.83743874201732,1.7059332842892,0.0880205018272359,0.294292846062557,thrA,1,mrna,Sta,carbonSource,lactate,glycerol
3,ECB_00003,7.22961262413887,1.59856080460944,0.844582844714134,1.89272232394266,0.0583948060375485,0.249792709963843,thrB,1,mrna,Sta,carbonSource,lactate,glycerol
4,ECB_00004,6.79295330065092,1.59999866112135,0.912627111477377,1.75317897200232,0.0795712912969939,0.284841074873125,thrC,1,mrna,Sta,carbonSource,lactate,glycerol
5,ECB_00005,1.25219184273585,1.22093209194123,0.895126367360375,1.36397735164658,0.172574693901648,NA,yaaX,1,mrna,Sta,carbonSource,lactate,glycerol
6,ECB_00006,1.25606523041271,-0.364193533180604,0.914127829237469,-0.398405476271738,0.690331321846939,NA,yaaA,-1,mrna,Sta,carbonSource,lactate,glycerol
7,ECB_00007,0.292817374780683,0.453316169558102,0.989964165473314,0.457911695562603,0.647015883973627,NA,yaaJ,1,mrna,Sta,carbonSource,lactate,glycerol
8,ECB_00008,39.821681049958,0.299220598844571,0.706436104742056,0.423563570485723,0.671884127832196,0.812735576439453,talB,1,mrna,Sta,carbonSource,lactate,glycerol
9,ECB_00009,6.51799363100065,0.680269333126082,0.620733168781152,1.0959126519078,0.273117001766079,0.504645996854652,mogA,1,mrna,Sta,carbonSource,lactate,glycerol
10,ECB_00010,2.36086976688537,0.727407296950816,0.808423998209681,0.899784393538189,0.368235001224241,NA,yaaH,1,mrna,Sta,carbonSource,lactate,glycerol
11,ECB_00011,0.623555183238697,-0.708043254508045,0.981232450606423,-0.721585648813855,0.470549265081176,NA,yaaW,-1,mrna,Sta,carbonSource,lactate,glycerol
12,ECB_00012,0.0813873402055235,0,0.737053949877321,0,1,NA,htgA,0,mrna,Sta,carbonSource,lactate,glycerol
13,ECB_00013,0.069397353161651,-0.109140093612645,0.638414630334349,-0.17095487544746,0.864259247346084,NA,yaaI,-1,mrna,Sta,carbonSource,lactate,glycerol
14,ECB_00014,89.3847777565513,0.687472445122755,0.781256742037467,0.879957135896033,0.378882530674266,0.593845456073247,dnaK,1,mrna,Sta,carbonSource,lactate,glycerol
15,ECB_00015,4.37188056454706,1.10525379290374,0.857877532376116,1.28835847914382,0.197621205132843,0.424356761606993,dnaJ,1,mrna,Sta,carbonSource,lactate,glycerol
16,ECB_00016,1.66399383901726,-0.0348359103035287,0.928380422321982,-0.0375233142211253,0.970067751174199,NA,insL-1,-1,mrna,Sta,carbonSource,lactate,glycerol
17,ECB_00017,0.942714136788686,1.0681833810256,0.894936465982006,1.19358571432609,0.232640064859627,NA,mokC,1,mrna,Sta,carbonSource,lactate,glycerol
