,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,-0.957802037974433,0.430947951989889,-2.22254690746716,0.0262463676802861,0.173215601231966,thrL,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
2,ECB_00002,19.0443421347219,-0.11064158407535,0.47524345929879,-0.232810324709358,0.815908695240913,0.907583829537644,thrA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
3,ECB_00003,7.22961262413887,-0.223681361371652,0.487729645605622,-0.458617521790998,0.646508851791611,0.806354673067468,thrB,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
4,ECB_00004,6.79295330065092,0.642504849730491,0.520774592519234,1.23374845654891,0.217296651423153,0.446177717916159,thrC,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
5,ECB_00005,1.25219184273585,0.662570690707764,0.541013862682312,1.22468338874494,0.220694535231667,NA,yaaX,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
6,ECB_00006,1.25606523041271,0.42652696728612,0.539951950701429,0.789935042797858,0.429565704797683,NA,yaaA,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
7,ECB_00007,0.292817374780683,-0.17016918115907,0.631631480938263,-0.269412127632225,0.787612554571763,NA,yaaJ,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
8,ECB_00008,39.821681049958,-0.708416549954946,0.441345442388894,-1.60512941092234,0.108465328003967,0.316342413261979,talB,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
9,ECB_00009,6.51799363100065,-0.580290642676772,0.404403934203996,-1.43492828233479,0.151307535368551,0.366245244036693,mogA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
10,ECB_00010,2.36086976688537,-0.476556239775339,0.497445851932721,-0.958006259221541,0.338059602325287,NA,yaaH,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
11,ECB_00011,0.623555183238697,-0.151745454279426,0.590512272483881,-0.256972566617687,0.797199950762397,NA,yaaW,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
12,ECB_00012,0.0813873402055235,-0.0415225559167622,0.681081304076968,-0.0609656375357937,0.951386575403054,NA,htgA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
13,ECB_00013,0.069397353161651,-0.0454111253942896,0.656134443787189,-0.0692100922673377,0.944822389904935,NA,yaaI,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
14,ECB_00014,89.3847777565513,-0.235628460604745,0.44939140404768,-0.524327921011469,0.600050480154268,0.774311217795066,dnaK,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
15,ECB_00015,4.37188056454706,0.320194170396108,0.492083367693212,0.650690902025634,0.515246037327322,0.714527967717733,dnaJ,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
16,ECB_00016,1.66399383901726,-0.372687167992822,0.546156086256307,-0.682382156623854,0.494997335549284,NA,insL-1,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
17,ECB_00017,0.942714136788686,-0.845243810932585,0.555258719764634,-1.52225220576612,0.127945898657635,NA,mokC,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
18,ECB_00018,30.8859126855,-0.784341642075508,0.376553415636489,-2.0829492165135,0.0372558527789432,0.201063066583969,nhaA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
19,ECB_00019,1.9641224052945,-0.422446556516141,0.526896438802497,-0.80176392438001,0.422689530455754,NA,nhaR,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
20,ECB_00020,0.337330023322164,0.584544092613691,0.639203623057577,0.914488077864099,0.360460439600627,NA,ECB_00020,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
21,ECB_00021,0.112747446013336,0.271703229883969,0.687108829518803,0.395429687716644,0.692525802946516,NA,ECB_00021,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
22,ECB_00022,0.085360954929338,0.0655153007767498,0.664942817512851,0.0985277215592807,0.921513260426715,NA,ECB_00022,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
23,ECB_00023,0.0830957649116458,-0.0136282524335787,0.687149779187608,-0.019833015808709,0.984176580251985,NA,insA-1,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
24,ECB_00024,0.601476583600354,-0.373805875173447,0.596564525008137,-0.626597559029089,0.530923068788997,NA,insB-1,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
25,ECB_00025,0.11878883582335,-0.0168954581378683,0.68713308426274,-0.0245883345232843,0.980383324189827,NA,ECB_00025,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
26,ECB_00026,0.127579472609492,-0.159745625684786,0.682824329054749,-0.233948350823887,0.815025076040694,NA,ECB_00026,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
27,ECB_00027,23.0259660728254,-0.222005419651423,0.470231299825433,-0.47211961375995,0.636841413334694,0.802015122658957,rpsT,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
28,ECB_00028,0.146247484595412,-0.310344167703051,0.681893805107048,-0.455120966606129,0.64902221490485,NA,yaaY,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
29,ECB_00029,3.82628397808636,-0.985374136591208,0.521220113741495,-1.89051441149855,0.0586891950013811,0.242092929380697,ribF,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
30,ECB_00030,25.1816207613832,0.0588781177609334,0.493193364034138,0.119381407080039,0.904973190945086,0.95385427411788,ileS,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
31,ECB_00031,4.48441792682788,0.2420313477697,0.539644981535431,0.44850106283034,0.653791619298714,0.813019306064416,lspA,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
32,ECB_00032,0.666121041297113,-0.305172794557559,0.606661256272348,-0.503036565138022,0.614938564467103,NA,fkpB,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
33,ECB_00033,4.68839094638787,-1.13936724350733,0.550105943519907,-2.07117784661074,0.0383421790700135,0.204358413494065,ispH,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
34,ECB_00034,0.390660905947924,-0.487359239494973,0.623526462320853,-0.781617571900563,0.434439356888215,NA,rihC,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
35,ECB_00035,2.4646505943806,-0.476083263891721,0.529300431363943,-0.899457539954977,0.368409002393221,0.596822583877018,dapB,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
36,ECB_00036,11.8824504611528,-0.894931978150724,0.542074112848914,-1.6509402624806,0.0987507734545865,0.304453076636805,carA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
37,ECB_00037,27.1339080947425,0.304960102184129,0.539828920141541,0.564919904817566,0.572128244224592,0.753567553171556,carB,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
