,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,-0.952900476581468,0.450926813218301,-2.11320429091484,0.0345832862033426,0.153132598831696,thrL,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
2,ECB_00002,19.0443421347219,-0.882520830385259,0.52886217985677,-1.6687160927716,0.0951736583123773,0.239550302242851,thrA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
3,ECB_00003,7.22961262413887,-1.11530954595484,0.548079584247148,-2.03494086992283,0.0418568230090359,0.168324230299956,thrB,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
4,ECB_00004,6.79295330065092,-0.464525008192014,0.587687834191178,-0.790428151080121,0.429277767150205,0.568864113952027,thrC,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
5,ECB_00005,1.25219184273585,0.237684819316571,0.585739437751857,0.405785924589329,0.684899901613089,NA,yaaX,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
6,ECB_00006,1.25606523041271,0.272125770636043,0.581001535991318,0.468373582131303,0.639517456594042,NA,yaaA,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
7,ECB_00007,0.292817374780683,-0.419308056848572,0.676538233575796,-0.61978471583542,0.53539953258447,NA,yaaJ,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
8,ECB_00008,39.821681049958,-0.769702323741923,0.465424812054217,-1.65376297912596,0.0981756807046504,0.243130615210403,talB,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
9,ECB_00009,6.51799363100065,-0.262210963067897,0.431685484261958,-0.607412045638256,0.543577496485874,0.669765129598667,mogA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
10,ECB_00010,2.36086976688537,-0.566457359044725,0.528739467765993,-1.07133549428057,0.284018605675982,0.428976043238509,yaaH,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
