,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,-1.40233277100508,0.415622714130012,-3.3740522914886,0.000740702957330293,0.00730286821992836,thrL,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
2,ECB_00002,19.0443421347219,-0.426117819289806,0.508705498282263,-0.837651294764201,0.402226575170027,0.62339498820082,thrA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
3,ECB_00003,7.22961262413887,-0.568429071405716,0.522048713681848,-1.08884296907229,0.276223139374315,0.498802502140814,thrB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
4,ECB_00004,6.79295330065092,-0.613063653004255,0.597719505697719,-1.02567115036446,0.305046617367614,0.527354563175246,thrC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
5,ECB_00005,1.25219184273585,-0.5008995535305,0.664405711490807,-0.753906152321556,0.45090557607308,0.669068591421784,yaaX,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
6,ECB_00006,1.25606523041271,-0.629364930044199,0.666902876616151,-0.943713023457899,0.345316317015031,0.564128403977953,yaaA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
7,ECB_00007,0.292817374780683,0.278318466383035,0.797041454323329,0.349189449147687,0.726947086641888,NA,yaaJ,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
8,ECB_00008,39.821681049958,-1.60594553390239,0.405855259515329,-3.95694153580813,7.59155012167071e-05,0.00140890239022771,talB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
9,ECB_00009,6.51799363100065,-0.680521622417522,0.393696727595067,-1.72854274551519,0.0838909643345156,0.225496053227175,mogA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
10,ECB_00010,2.36086976688537,-0.605337716427268,0.546418196844179,-1.10782861903827,0.267935837763966,0.490050764142211,yaaH,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
11,ECB_00011,0.623555183238697,-0.142905681110982,0.719426346392862,-0.198638376016528,0.842545632027373,NA,yaaW,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
12,ECB_00012,0.0813873402055235,0.276814358761167,0.859334773882663,0.322126332105077,0.747356990475894,NA,htgA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
13,ECB_00013,0.069397353161651,0.0656208108472053,0.814851699451776,0.0805309860571614,0.935814952947394,NA,yaaI,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
14,ECB_00014,89.3847777565513,-1.28902514068235,0.463589991779482,-2.78052840557331,0.0054270511584829,0.0314893726988755,dnaK,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
15,ECB_00015,4.37188056454706,-0.376755910608101,0.545282553938976,-0.690937034178916,0.489605111470783,0.706554203174531,dnaJ,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
16,ECB_00016,1.66399383901726,0.156439765882365,0.599485837162319,0.260956566752063,0.794126001681868,0.902058518562121,insL-1,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
17,ECB_00017,0.942714136788686,-0.928985324660664,0.647167785345268,-1.43546286712192,0.151155242438462,NA,mokC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
18,ECB_00018,30.8859126855,-0.254249272089409,0.340441136089704,-0.746823004439794,0.455170407513786,0.674207810190608,nhaA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
19,ECB_00019,1.9641224052945,1.0530257952106,0.501300542622757,2.10058778253315,0.035677167447775,0.120709344019014,nhaR,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
20,ECB_00020,0.337330023322164,0.256491557077319,0.816179752160771,0.314258662259482,0.753324591658277,NA,ECB_00020,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
21,ECB_00021,0.112747446013336,0.228871717190389,0.874563364547518,0.261698267350591,0.793554076448319,NA,ECB_00021,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
22,ECB_00022,0.085360954929338,0.0719776399861947,0.828977233898967,0.0868270406506327,0.930808993456742,NA,ECB_00022,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
23,ECB_00023,0.0830957649116458,0.149526744295112,0.875104446629961,0.170867311748834,0.864328100074921,NA,insA-1,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
24,ECB_00024,0.601476583600354,1.20954567571535,0.657300577144168,1.84017132766042,0.0657430880478059,NA,insB-1,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
25,ECB_00025,0.11878883582335,0.0301730320301357,0.875317329672638,0.0344709638519555,0.972501596071942,NA,ECB_00025,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
26,ECB_00026,0.127579472609492,0.349589312452782,0.875428533259033,0.399335067536965,0.689646331422012,NA,ECB_00026,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
27,ECB_00027,23.0259660728254,0.131981289936968,0.478709549071183,0.275702229447993,0.782776783124261,0.896022041090991,rpsT,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
28,ECB_00028,0.146247484595412,0.444852581772479,0.874789818444252,0.508525102136666,0.611085139623309,NA,yaaY,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
29,ECB_00029,3.82628397808636,0.0929330716850693,0.57614714176715,0.161300933299827,0.871856388219108,0.944448722688854,ribF,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
30,ECB_00030,25.1816207613832,-0.134950056032138,0.541766741664749,-0.249092544177706,0.803289196614603,0.907159701232777,ileS,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
31,ECB_00031,4.48441792682788,0.0380114300118954,0.61868660182748,0.0614389092952992,0.951009665736741,0.975751380617696,lspA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
32,ECB_00032,0.666121041297113,0.336908652421016,0.732388310711149,0.460013694229879,0.645506391079362,NA,fkpB,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
33,ECB_00033,4.68839094638787,0.404140892237643,0.610931057344275,0.661516364865208,0.508281223292026,0.720421884597062,ispH,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
34,ECB_00034,0.390660905947924,0.0621411294948007,0.782163350960905,0.0794477642278418,0.936676478316632,NA,rihC,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
35,ECB_00035,2.4646505943806,-0.388949479393623,0.641156600853937,-0.606637253481587,0.544091671641658,0.746351836534536,dapB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
36,ECB_00036,11.8824504611528,-0.99992648077765,0.624289678383952,-1.60170272775625,0.109221361691622,0.270800311306143,carA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
37,ECB_00037,27.1339080947425,0.761785354764076,0.64017283598231,1.18996825848625,0.234058867998069,0.451654879837253,carB,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
38,ECB_00038,2.25358426307662,-2.25649273861665,0.685774906707278,-3.29042768486691,0.0010003521067865,0.00924867662098584,caiF,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
39,ECB_00039,0.301270315706613,0.316747138951037,0.802614101214311,0.394644373269565,0.693105360923907,NA,caiE,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
40,ECB_00040,0.0269324640649658,0.0852362924646319,0.638749137053964,0.133442516819292,0.893843422495082,NA,caiD,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
41,ECB_00041,0.418104471567552,-0.0355738561502735,0.734567273991323,-0.0484283161118524,0.96137489278072,NA,caiC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
42,ECB_00042,0.395508460976371,0.346246535892864,0.746371208401942,0.463906608394252,0.642714657996496,NA,caiB,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
43,ECB_00043,11.1598986508643,-1.82970138724288,0.566390180520616,-3.23046099697748,0.00123590765626435,0.0105386179878757,caiA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
44,ECB_00044,8.48432161633579,2.58965043077222,0.645633855192323,4.01102019348227,6.04569385105349e-05,0.00116483444885947,caiT,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
45,ECB_00045,0.25010663165409,0.0999487224831016,0.82706746381303,0.120847121735762,0.903812125832882,NA,fixA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
46,ECB_00046,0.0558721114054856,0.0690215036644806,0.770101201746884,0.0896265367563555,0.928583995985784,NA,fixB,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
47,ECB_00047,0.061369513135512,0.219568704008523,0.807216189307022,0.272007309710944,0.785616398851976,NA,fixC,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
48,ECB_00048,0.0661166613096134,0.108652783028873,0.812546468440358,0.133718854550468,0.893624895287683,NA,fixX,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
49,ECB_00049,0.0906561950589881,0.276877563810639,0.862767010746501,0.320918116202743,0.748272444745993,NA,yaaU,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
50,ECB_00050,0.899531649381824,-0.53728654088047,0.685212187370865,-0.78411702357779,0.432971447325724,NA,yabF,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
51,ECB_00051,1.81325000150447,-0.840040541736981,0.62215563910646,-1.35020964037784,0.176948746747458,0.376266948300814,kefC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
52,ECB_00052,15.9409778122478,-1.53907796531635,0.474607231858938,-3.2428455826265,0.00118342331672128,0.0102644689051701,folA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
53,ECB_00053,1.03145281204194,-0.0184177704171614,0.686331720471185,-0.0268350855247038,0.978591269085209,NA,apaH,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
54,ECB_00054,1.23170609766307,-1.04262464516962,0.737890709644641,-1.41297976996042,0.157661672410091,0.351846207924906,apaG,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
55,ECB_00055,4.88285495788657,-0.600556951783048,0.500104813310817,-1.20086217088617,0.229804670514132,0.445882180382074,ksgA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
56,ECB_00056,3.86790692332996,0.0559212722868632,0.52870283759489,0.105770705792413,0.915764279771502,0.964686578523903,pdxA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
57,ECB_00057,19.8046367129371,-0.196760224169204,0.535197053400848,-0.367640709004122,0.713141156049535,0.853874894624775,surA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
58,ECB_00058,24.7116767136591,-0.721218620425874,0.511346190613576,-1.41043119840292,0.158412398634095,0.352897523523791,imp,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
59,ECB_00059,1.23779373596131,0.344465117688854,0.558389230365057,0.616890690143958,0.537306827912736,0.741933467190913,djlA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
60,ECB_00060,1.7286605198539,-0.368004272895437,0.577938670528592,-0.636753156799239,0.524285642749178,0.731103294087804,rluA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
61,ECB_00061,3.18063106202105,0.530894575131877,0.614923644251561,0.863350401460074,0.387944840568134,0.610076496943284,hepA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
62,ECB_00062,1.75553005294066,-0.126754976664654,0.536907213622114,-0.236083579152406,0.813367815765304,0.911607622998058,polB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
63,ECB_00063,0.540646400281075,-0.470257615082839,0.796251289110939,-0.590589455255902,0.554795531875953,NA,araD,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
64,ECB_00064,6.49699361246542,-1.26469995010473,0.579279921734673,-2.18322766360958,0.0290190485105998,0.104039884148798,araA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
65,ECB_00065,6.06794947319859,-1.72205771221057,0.56440731304488,-3.051090360471,0.00228011943498126,0.0164429184396935,araB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
66,ECB_00066,6.35189740270914,-1.29051194161521,0.500060979332915,-2.58070914338639,0.00985976131909955,0.0481354691864744,araC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
67,ECB_00067,9.83028443209496,-1.61593300338118,0.545929986531515,-2.95996381083181,0.0030767518205709,0.0205442370241295,yabI,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
68,ECB_00068,0.159089730619959,0.408754333778425,0.866921710626986,0.471500861920738,0.637283104303093,NA,yabJ,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
69,ECB_00069,0.137927798139028,0.217018792908024,0.876843219617304,0.247500109543803,0.80452120673126,NA,thiP,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
70,ECB_00070,1.39139596814088,-0.342111505068253,0.737654178754802,-0.463783050271273,0.642803188247315,0.805178782697877,tbpA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
71,ECB_00071,1.83908591753794,0.121594908560376,0.591512463278157,0.205566097266148,0.837129862355232,0.926717444116055,yabN,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
72,ECB_00072,4.39747879058887,1.13705835406185,0.429925476324233,2.64478012278651,0.00817440151441906,0.0420207523877672,setA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
73,ECB_00073,10.1605889766687,-0.200194702400522,0.578831795764473,-0.345859892053996,0.729448012066288,0.86397314990864,leuD,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
74,ECB_00074,7.62596454472093,-0.23684628564192,0.612832102506315,-0.386478261620571,0.699142499092525,0.843113075828731,leuC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
75,ECB_00075,7.26107122775076,-0.0883345596768088,0.624291468091293,-0.141495702234859,0.887478355006031,0.94794556412832,leuB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
76,ECB_00076,7.79352492145597,-0.297744106219779,0.611550558777111,-0.486867523782766,0.626352214906182,0.796868724380392,leuA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
77,ECB_00077,103.697509643734,-1.3422195993415,0.409330482256149,-3.27906094836489,0.00104153138828476,0.00939156298439254,leuL,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
78,ECB_00078,0.87060564993364,0.533102566109884,0.63003864512042,0.846142645754677,0.397473172880449,NA,leuO,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
79,ECB_00079,4.50268242278023,-0.851728992040919,0.557113992351952,-1.52882355089521,0.126308192340221,0.300848974860979,ilvI,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
80,ECB_00080,7.13092290827585,0.30608846588843,0.512897402653746,0.596783029714559,0.550652249524954,0.748839589332426,ilvH,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
81,ECB_00081,27.4300171947079,-1.70729245368185,0.405755954180513,-4.20768305699912,2.58002382673037e-05,0.000602961123950691,fruR,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
82,ECB_00082,14.2888422175626,-0.875112186005979,0.433699116228443,-2.01778641749648,0.0436135100651429,0.139342404309393,yabB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
83,ECB_00083,14.6537155356263,-1.27526156608187,0.475820397229193,-2.68013219590417,0.00735930903337777,0.0392703932351913,mraW,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
84,ECB_00084,12.5047963526972,-1.90902796061243,0.575986881229669,-3.31436014052414,0.000918531179244416,0.0086506443896004,ftsL,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
85,ECB_00085,15.9353030674539,-0.834038702500627,0.502642325869744,-1.65930853725351,0.0970536358394807,0.248189844841793,ftsI,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
86,ECB_00086,6.45655435940008,-0.106233946228429,0.642934373780907,-0.165232954653985,0.868760627684715,0.943280921277585,murE,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
87,ECB_00087,2.70396284815782,0.0603161677380237,0.639981920805447,0.0942466744406046,0.924913208906177,0.967059212626011,murF,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
88,ECB_00088,5.7294066989403,-0.357940436761771,0.526181489235911,-0.680260412204069,0.496339586193688,0.713011448806414,mraY,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
89,ECB_00089,5.71233328197255,-0.284149537141873,0.563791811615954,-0.503997275745167,0.614263291367889,0.789007912169237,murD,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
90,ECB_00090,2.5170782919223,0.814210059760652,0.570592841609434,1.42695456442121,0.15359299148234,0.346442100537468,ftsW,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
91,ECB_00091,2.62595863059709,0.82264033096238,0.623940674127427,1.31845921427199,0.187349969692531,0.390279135546253,murG,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
92,ECB_00092,5.28141965532049,0.56131080756902,0.632555678317761,0.887369802863501,0.37487983572622,0.599205315316348,murC,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
93,ECB_00093,8.24905571024875,-0.134645914417983,0.498092966131208,-0.270322858529414,0.786911881191634,0.899939097475163,ddl,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
94,ECB_00094,4.27317177684106,-0.668094613062359,0.553091214133142,-1.20792845011914,0.227074785145601,0.443260751916038,ftsQ,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
95,ECB_00095,16.5250984879275,-0.239031147979266,0.425108069847329,-0.562283252033089,0.573923047299132,0.765635185720407,ftsA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
96,ECB_00096,31.4327890010833,-0.784823857005902,0.492897357713378,-1.59226631006263,0.111324879414097,0.27413072745481,ftsZ,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
97,ECB_00097,944.71687711995,-1.64412486972509,0.49940134497936,-3.292191513407,0.000994098911895998,0.00922465313832904,lpxC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
98,ECB_00098,2.47725175241739,-0.0428347355576222,0.53554323080748,-0.0799837120395247,0.936250210372204,0.970548560894113,yacA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
99,ECB_00099,51.6216754446862,-0.12746741387436,0.526384358484684,-0.242156537936088,0.808658870595923,0.910358435328015,secA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
100,ECB_00100,0.784067771425842,-0.220697270796528,0.745720998148084,-0.295951530592011,0.767267097041018,NA,mutT,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
101,ECB_00101,0.54006479429614,-0.741538606660231,0.769941609853406,-0.963110185461229,0.335492230836195,NA,yacG,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
102,ECB_00102,1.46106494051653,-0.584346963922926,0.635265392900023,-0.919846996946188,0.357652720060076,0.580524415068573,yacF,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
103,ECB_00103,1.07191637926981,-1.19412911301226,0.700628566498931,-1.7043682917175,0.0883123038574305,NA,coaE,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
104,ECB_00104,4.76354311824401,-0.665773354635593,0.486127952043993,-1.36954345422076,0.170829461270024,0.369471773989324,guaC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
105,ECB_00105,0.311034431519365,0.501835199138291,0.808095698101559,0.621009615961626,0.534593296283274,NA,hofC,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
106,ECB_00106,0.311427914872989,-0.0205995598134075,0.78580171305472,-0.0262147046400916,0.979086087306662,NA,hofB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
107,ECB_00107,0.00252149758939892,0.0876228222092191,0.638744547198756,0.137179757687941,0.890888710662165,NA,ppdD,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
108,ECB_00108,2.84877904869845,-1.00235379347369,0.550948098590694,-1.81932526137703,0.0688618216170629,0.195925279502935,nadC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
109,ECB_00109,2.56511836441321,-1.15356974016481,0.646553998409075,-1.78418158885925,0.0743941629904169,0.206568610987692,ampD,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
110,ECB_00110,1.35461862660592,-0.922934643947264,0.593424810416293,-1.5552680436462,0.119882244799336,0.28817408178431,ampE,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
111,ECB_00111,30.5448453099071,-1.28286907172968,0.412600061391393,-3.10923141262635,0.00187574740605734,0.0143466256148143,aroP,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
112,ECB_00112,5.323526093305,0.178401952811902,0.553384175841288,0.322383545826342,0.747162147913212,0.872692535347231,pdhR,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
113,ECB_00113,104.988479458857,0.176959432781132,0.572784771615245,0.308945770820876,0.757362778658207,0.880523485242789,aceE,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
114,ECB_00114,40.8025415790514,-0.706912762063745,0.542702343504592,-1.3025791587682,0.19271847682076,0.396054001719278,aceF,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
115,ECB_00115,79.0278118030245,-0.780095807338987,0.50314781749143,-1.55043066911897,0.121038182159542,0.290123809848703,lpdA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
116,ECB_00116,1.2609530670018,-0.761821954535011,0.677228622570322,-1.1249110405931,0.260626733001457,0.482274101243166,yacH,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
117,ECB_00117,74.4320570155547,-0.664906663127239,0.504372409140306,-1.31828516207015,0.187408206133938,0.390279135546253,acnB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
118,ECB_00118,48.6482023476896,-1.84925053915784,0.440256146099132,-4.20039687246398,2.66447512430711e-05,0.000612810664157642,yacL,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
119,ECB_00119,1.78726418795074,0.46086582971753,0.688259304914742,0.669610750521738,0.503105959073525,0.716209498421645,speD,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
120,ECB_00120,2.8369977513518,-0.330751417969246,0.652491305265076,-0.506905479506548,0.612221140776806,0.788797231817201,speE,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
121,ECB_00121,2.12406182767245,-0.0151641138468164,0.546646336996186,-0.0277402642632584,0.977869309811277,0.986878720308437,yacC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
122,ECB_00122,4.89843690731387,-0.810479907165989,0.695619956721121,-1.16511882578279,0.243970897495936,0.464391059788645,cueO,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
123,ECB_00123,28.9689300815253,-0.907741456494768,0.490766482431235,-1.84964028512677,0.0643654124591248,0.186733679364174,gcd,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
124,ECB_00124,5.88196755067296,0.503199708373335,0.583760577867289,0.861996728541906,0.388689318079386,0.610546210837622,hpt,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
125,ECB_00125,5.57136169860824,-0.485865682624902,0.546556259216199,-0.888958226041851,0.374025530909554,0.598381417591351,yadF,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
126,ECB_00126,1.71138197624321,-0.739482985455829,0.648766821721391,-1.13982861129325,0.254357711306676,0.476961436464045,yadG,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
127,ECB_00127,12.2371668727577,-0.849352788267091,0.532776201676109,-1.5942018160628,0.110890839903715,0.273907450839265,yadH,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
128,ECB_00128,1.81191058304955,-1.21298452699385,0.670776608167898,-1.80832860332875,0.0705553726510991,0.198751964923409,yadI,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
