,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,-1.26892427180636,0.404496387253386,-3.13704723155284,0.00170658632800793,0.0123727508780575,thrL,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
2,ECB_00002,19.0443421347219,0.275574470779435,0.5268618099852,0.523048863206039,0.600940249999328,0.750794585021969,thrA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
3,ECB_00003,7.22961262413887,0.205032756781875,0.550256123033439,0.372613312599913,0.709436263260764,0.819863206847283,thrB,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
4,ECB_00004,6.79295330065092,0.0380504924353713,0.627757687129225,0.0606133436762496,0.951667146348154,0.972578572034909,thrC,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
5,ECB_00005,1.25219184273585,-0.301670058409129,0.660908138089543,-0.456447789069678,0.648068007429456,0.778502747716184,yaaX,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
6,ECB_00006,1.25606523041271,-0.464459388825241,0.655446232557401,-0.708615544272834,0.478563087469605,0.659026821571272,yaaA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
7,ECB_00007,0.292817374780683,0.413349612801805,0.7956699611047,0.519498828670011,0.603412929512021,NA,yaaJ,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
8,ECB_00008,39.821681049958,-1.28561261866706,0.402216147660001,-3.1963227387723,0.00139191323437545,0.0105911562458138,talB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
9,ECB_00009,6.51799363100065,-0.921355203063174,0.389996468446405,-2.36247063142263,0.0181535797453609,0.0731185850854815,mogA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
10,ECB_00010,2.36086976688537,-0.429508711008943,0.52898501939452,-0.811948723048077,0.416821055145136,0.609047955502525,yaaH,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
11,ECB_00011,0.623555183238697,-0.485824027465079,0.715847214623583,-0.678669997648231,0.497346980212902,NA,yaaW,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
12,ECB_00012,0.0813873402055235,0.272851435130675,0.886546598891178,0.307768858931878,0.758258219109977,NA,htgA,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
13,ECB_00013,0.069397353161651,0.0587628933984238,0.843594661926617,0.0696577349887681,0.944466082618635,NA,yaaI,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
14,ECB_00014,89.3847777565513,-0.783655548274612,0.466431824857076,-1.68010737370835,0.0929364264955897,0.233886530043039,dnaK,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
15,ECB_00015,4.37188056454706,0.180050720360441,0.554690192238346,0.324596906308873,0.745486168963136,0.842100344937475,dnaJ,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
