,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,1.18609766175763,0.559185496331434,2.12111664114875,0.0339119878686132,1,thrL,1,mrna,Sta,carbonSource,gluconate,glucose
2,ECB_00002,19.0443421347219,-0.13859894277491,0.696697047827134,-0.198937175357888,0.842311888938158,1,thrA,-1,mrna,Sta,carbonSource,gluconate,glucose
3,ECB_00003,7.22961262413887,0.00283606844951294,0.701513770866704,0.00404278371614722,0.996774334076991,1,thrB,1,mrna,Sta,carbonSource,gluconate,glucose
4,ECB_00004,6.79295330065092,0.0353072629860312,0.785587795550333,0.0449437519091003,0.964152143078263,1,thrC,1,mrna,Sta,carbonSource,gluconate,glucose
5,ECB_00005,1.25219184273585,-0.518091299366893,0.8369240729503,-0.619042176120628,0.535888574636549,1,yaaX,-1,mrna,Sta,carbonSource,gluconate,glucose
6,ECB_00006,1.25606523041271,0.183525217479431,0.804309475932787,0.228177365766566,0.819508356832358,1,yaaA,1,mrna,Sta,carbonSource,gluconate,glucose
7,ECB_00007,0.292817374780683,-0.326591510190421,0.958556049317698,-0.340711959851372,0.733320434177433,1,yaaJ,-1,mrna,Sta,carbonSource,gluconate,glucose
8,ECB_00008,39.821681049958,0.511268546247707,0.601025206462364,0.850660738934786,0.394957838534982,1,talB,1,mrna,Sta,carbonSource,gluconate,glucose
9,ECB_00009,6.51799363100065,0.622421715355116,0.482799876491541,1.28919195232234,0.197331362128957,1,mogA,1,mrna,Sta,carbonSource,gluconate,glucose
10,ECB_00010,2.36086976688537,-0.214711100013961,0.703817286404292,-0.305066533831374,0.760315479150593,1,yaaH,-1,mrna,Sta,carbonSource,gluconate,glucose
11,ECB_00011,0.623555183238697,0.312279206645772,0.886872035919711,0.35211303773033,0.72475349105915,1,yaaW,1,mrna,Sta,carbonSource,gluconate,glucose
12,ECB_00012,0.0813873402055235,0.168383538838387,0.854782708687271,0.196989874885258,0.843835461211515,1,htgA,1,mrna,Sta,carbonSource,gluconate,glucose
13,ECB_00013,0.069397353161651,-0.104674641472338,0.775477732668091,-0.1349808473703,0.892627017317433,1,yaaI,-1,mrna,Sta,carbonSource,gluconate,glucose
14,ECB_00014,89.3847777565513,-0.154238250021571,0.66484882065166,-0.231989958063537,0.816545813365533,1,dnaK,-1,mrna,Sta,carbonSource,gluconate,glucose
15,ECB_00015,4.37188056454706,-0.337902741360228,0.724684269063557,-0.46627580559582,0.641018094533213,1,dnaJ,-1,mrna,Sta,carbonSource,gluconate,glucose
16,ECB_00016,1.66399383901726,0.208472810920381,0.763788331111911,0.27294579195376,0.784894885551128,1,insL-1,1,mrna,Sta,carbonSource,gluconate,glucose
17,ECB_00017,0.942714136788686,0.947451352070373,0.724852876789639,1.30709469798426,0.191180551756757,1,mokC,1,mrna,Sta,carbonSource,gluconate,glucose
18,ECB_00018,30.8859126855,0.157896704207166,0.488264939894493,0.323383252218119,0.746405011535265,1,nhaA,1,mrna,Sta,carbonSource,gluconate,glucose
19,ECB_00019,1.9641224052945,-0.501438772287032,0.750763088103277,-0.66790546875961,0.504193936313675,1,nhaR,-1,mrna,Sta,carbonSource,gluconate,glucose
20,ECB_00020,0.337330023322164,-0.239507343444231,0.967035499956865,-0.247671717796207,0.804388416120729,1,ECB_00020,-1,mrna,Sta,carbonSource,gluconate,glucose
21,ECB_00021,0.112747446013336,-0.310352645205842,0.899623698011935,-0.344980513398753,0.730109020530711,1,ECB_00021,-1,mrna,Sta,carbonSource,gluconate,glucose
22,ECB_00022,0.085360954929338,-0.0056542505217751,0.797885976290029,-0.00708653954298828,0.994345806833865,1,ECB_00022,-1,mrna,Sta,carbonSource,gluconate,glucose
23,ECB_00023,0.0830957649116458,-0.214456188188157,0.901402927794702,-0.237913791463744,0.811947958563488,1,insA-1,-1,mrna,Sta,carbonSource,gluconate,glucose
24,ECB_00024,0.601476583600354,-0.977124394983004,0.905093187262986,-1.0795842999745,0.280327335862692,1,insB-1,-1,mrna,Sta,carbonSource,gluconate,glucose
25,ECB_00025,0.11878883582335,-0.0473563009134739,0.905324186379815,-0.052308666471003,0.958282747927352,1,ECB_00025,-1,mrna,Sta,carbonSource,gluconate,glucose
26,ECB_00026,0.127579472609492,0.0215622424147005,0.937687115187597,0.0229951356539508,0.981654153110454,1,ECB_00026,1,mrna,Sta,carbonSource,gluconate,glucose
27,ECB_00027,23.0259660728254,0.180048640952905,0.650988447450005,0.276577321238458,0.78210468065403,1,rpsT,1,mrna,Sta,carbonSource,gluconate,glucose
28,ECB_00028,0.146247484595412,0.511404717474601,0.941976661769977,0.542905931993761,0.587194571471019,1,yaaY,1,mrna,Sta,carbonSource,gluconate,glucose
29,ECB_00029,3.82628397808636,0.274215727774246,0.735317810221608,0.372921373537252,0.709206963875295,1,ribF,1,mrna,Sta,carbonSource,gluconate,glucose
30,ECB_00030,25.1816207613832,-0.062696115021772,0.729689679856412,-0.0859216140128353,0.931528729549395,1,ileS,-1,mrna,Sta,carbonSource,gluconate,glucose
