,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,0.365297582207991,0.516544080511811,0.707195370133834,0.479445075348743,0.679031624866123,thrL,1,mrna,Sta,carbonSource,glycerol,glucose
2,ECB_00002,19.0443421347219,-0.966325591411502,0.630753218529209,-1.53201848682561,0.125517872847988,0.336459544999765,thrA,-1,mrna,Sta,carbonSource,glycerol,glucose
3,ECB_00003,7.22961262413887,-0.749116415093484,0.632824338361643,-1.18376675750638,0.236505404661496,0.463892528661345,thrB,-1,mrna,Sta,carbonSource,glycerol,glucose
4,ECB_00004,6.79295330065092,-0.452277129274607,0.711259738823517,-0.635881808834998,0.524853460244386,0.716429373905417,thrC,-1,mrna,Sta,carbonSource,glycerol,glucose
5,ECB_00005,1.25219184273585,-0.0356299068027988,0.762484436371101,-0.0467287004209195,0.962729455697144,0.982202582085819,yaaX,-1,mrna,Sta,carbonSource,glycerol,glucose
6,ECB_00006,1.25606523041271,0.208763099908107,0.747967988424117,0.279106998078817,0.780162712770387,0.883244016961189,yaaA,1,mrna,Sta,carbonSource,glycerol,glucose
7,ECB_00007,0.292817374780683,0.266576357297702,0.907990466101417,0.293589379239062,0.76907169245367,NA,yaaJ,1,mrna,Sta,carbonSource,glycerol,glucose
8,ECB_00008,39.821681049958,0.514303935593994,0.543586793718167,0.946130298854621,0.344082131580619,0.569091974607705,talB,1,mrna,Sta,carbonSource,glycerol,glucose
9,ECB_00009,6.51799363100065,-0.462637883457543,0.489770760072237,-0.944600864676586,0.34486268542383,0.569424097354412,mogA,-1,mrna,Sta,carbonSource,glycerol,glucose
10,ECB_00010,2.36086976688537,-0.787174771191465,0.656157406672803,-1.19967368071484,0.23026609856702,0.458280205950011,yaaH,-1,mrna,Sta,carbonSource,glycerol,glucose
11,ECB_00011,0.623555183238697,0.647833580149427,0.840372771071342,0.770888351515176,0.440773112142177,NA,yaaW,1,mrna,Sta,carbonSource,glycerol,glucose
12,ECB_00012,0.0813873402055235,-0.0377647031528211,0.909306480733961,-0.0415313251944919,0.966872320496316,NA,htgA,-1,mrna,Sta,carbonSource,glycerol,glucose
13,ECB_00013,0.069397353161651,-0.0119250819183361,0.850002300336681,-0.0140294701715662,0.988806469551434,NA,yaaI,-1,mrna,Sta,carbonSource,glycerol,glucose
14,ECB_00014,89.3847777565513,-0.369474749584119,0.601461264070747,-0.614295170205107,0.539020293542322,0.728841393593771,dnaK,-1,mrna,Sta,carbonSource,glycerol,glucose
15,ECB_00015,4.37188056454706,-0.838473136469961,0.659521756087468,-1.27133506776804,0.203609471838891,0.427895292797393,dnaJ,-1,mrna,Sta,carbonSource,glycerol,glucose
16,ECB_00016,1.66399383901726,-1.02838519043185,0.697218549558013,-1.47498254468958,0.14021723633285,0.351550812243142,insL-1,-1,mrna,Sta,carbonSource,glycerol,glucose
17,ECB_00017,0.942714136788686,0.0493908623577414,0.757528860953383,0.0651999744215433,0.948014781495942,NA,mokC,1,mrna,Sta,carbonSource,glycerol,glucose
18,ECB_00018,30.8859126855,0.430982945978369,0.443682698706451,0.971376497742401,0.331360827594155,0.557268330279783,nhaA,1,mrna,Sta,carbonSource,glycerol,glucose
19,ECB_00019,1.9641224052945,-0.841502243642314,0.657334206334474,-1.28017412684915,0.200483903215353,0.426018478614674,nhaR,-1,mrna,Sta,carbonSource,glycerol,glucose
20,ECB_00020,0.337330023322164,-0.0824398266049962,0.925632486683068,-0.0890632381545001,0.929031652954199,NA,ECB_00020,-1,mrna,Sta,carbonSource,glycerol,glucose
21,ECB_00021,0.112747446013336,-0.261093389677646,0.935709206952576,-0.279032617973245,0.780219792963518,NA,ECB_00021,-1,mrna,Sta,carbonSource,glycerol,glucose
22,ECB_00022,0.085360954929338,-0.0595717822198427,0.868029294478939,-0.0686287693269643,0.945285118237525,NA,ECB_00022,-1,mrna,Sta,carbonSource,glycerol,glucose
23,ECB_00023,0.0830957649116458,-0.0595644808022755,0.936595836380195,-0.0635967815450509,0.949291294511275,NA,insA-1,-1,mrna,Sta,carbonSource,glycerol,glucose
24,ECB_00024,0.601476583600354,-1.46640354660918,0.831738128824555,-1.76305918388227,0.0778905082856848,NA,insB-1,-1,mrna,Sta,carbonSource,glycerol,glucose
25,ECB_00025,0.11878883582335,0.435420353197136,0.938813803600833,0.463798414048744,0.642792179718135,NA,ECB_00025,1,mrna,Sta,carbonSource,glycerol,glucose
26,ECB_00026,0.127579472609492,-0.211298662267129,0.950701210374056,-0.222255594040943,0.824114918382284,NA,ECB_00026,-1,mrna,Sta,carbonSource,glycerol,glucose
27,ECB_00027,23.0259660728254,-1.46960272987114,0.593538934510185,-2.4760005526578,0.0132863372541659,0.0977266131767264,rpsT,-1,mrna,Sta,carbonSource,glycerol,glucose
28,ECB_00028,0.146247484595412,0.24656823603509,0.951456943096314,0.259148075826412,0.79552099227249,NA,yaaY,1,mrna,Sta,carbonSource,glycerol,glucose
29,ECB_00029,3.82628397808636,-1.79959052120345,0.699513213940883,-2.57263263272041,0.0100928275699413,0.0844064552253308,ribF,-1,mrna,Sta,carbonSource,glycerol,glucose
30,ECB_00030,25.1816207613832,-1.33909194127833,0.660089500094029,-2.02865208594831,0.042493739368122,0.185482833634506,ileS,-1,mrna,Sta,carbonSource,glycerol,glucose
31,ECB_00031,4.48441792682788,-0.485351260151314,0.731604097159014,-0.663406973848348,0.507069940662511,0.699189607621599,lspA,-1,mrna,Sta,carbonSource,glycerol,glucose
32,ECB_00032,0.666121041297113,-0.954250357683096,0.874736874870159,-1.0908998866942,0.275316936995775,NA,fkpB,-1,mrna,Sta,carbonSource,glycerol,glucose
33,ECB_00033,4.68839094638787,-2.26500462770376,0.723948518905778,-3.12868190009869,0.00175592288818456,0.0330336836883337,ispH,-1,mrna,Sta,carbonSource,glycerol,glucose
34,ECB_00034,0.390660905947924,0.581401100590014,0.891311992330975,0.652298079227594,0.514208898909715,NA,rihC,1,mrna,Sta,carbonSource,glycerol,glucose
35,ECB_00035,2.4646505943806,-0.365406346357706,0.757371033324247,-0.482466757084526,0.629474408053764,0.783873791161291,dapB,-1,mrna,Sta,carbonSource,glycerol,glucose
36,ECB_00036,11.8824504611528,-0.179502486238785,0.745646769460507,-0.240733942116666,0.809761330446104,0.895909108709049,carA,-1,mrna,Sta,carbonSource,glycerol,glucose
37,ECB_00037,27.1339080947425,-2.05721019008971,0.758417996893159,-2.71250181102904,0.00667774164859586,0.0700765481127815,carB,-1,mrna,Sta,carbonSource,glycerol,glucose
38,ECB_00038,2.25358426307662,2.68572929333344,0.66669157470914,4.02844342904011,5.61473672514203e-05,0.00380866307855468,caiF,1,mrna,Sta,carbonSource,glycerol,glucose
39,ECB_00039,0.301270315706613,0.421937854631551,0.914898926607981,0.461185211131355,0.644665731027376,NA,caiE,1,mrna,Sta,carbonSource,glycerol,glucose
40,ECB_00040,0.0269324640649658,-0.0465977319517881,0.712466359494279,-0.0654034135518538,0.947852806279888,NA,caiD,-1,mrna,Sta,carbonSource,glycerol,glucose
41,ECB_00041,0.418104471567552,-0.223600733473935,0.862777897608012,-0.259163724631625,0.795508918659498,NA,caiC,-1,mrna,Sta,carbonSource,glycerol,glucose
42,ECB_00042,0.395508460976371,0.0305767145446436,0.8733515404389,0.0350107753050706,0.972071148690876,NA,caiB,1,mrna,Sta,carbonSource,glycerol,glucose
43,ECB_00043,11.1598986508643,2.50032520870119,0.631654501797018,3.95837471527223,7.54615058835711e-05,0.00455656816059099,caiA,1,mrna,Sta,carbonSource,glycerol,glucose
44,ECB_00044,8.48432161633579,-2.03919811079711,0.802285092054402,-2.54173750826574,0.0110302976568535,0.0888976464621659,caiT,-1,mrna,Sta,carbonSource,glycerol,glucose
45,ECB_00045,0.25010663165409,0.484328439692277,0.931007462413982,0.520219718149709,0.60291044358305,NA,fixA,1,mrna,Sta,carbonSource,glycerol,glucose
46,ECB_00046,0.0558721114054856,0.081111451776133,0.795725499773517,0.101933960642482,0.918809093654173,NA,fixB,1,mrna,Sta,carbonSource,glycerol,glucose
47,ECB_00047,0.061369513135512,-0.116453260688989,0.840360157485579,-0.138575418707885,0.889785668895985,NA,fixC,-1,mrna,Sta,carbonSource,glycerol,glucose
48,ECB_00048,0.0661166613096134,-0.101386320234804,0.84679528864229,-0.119729433541561,0.904697483476044,NA,fixX,-1,mrna,Sta,carbonSource,glycerol,glucose
49,ECB_00049,0.0906561950589881,-0.163045329563866,0.913850848439075,-0.178415689871449,0.858396528252039,NA,yaaU,-1,mrna,Sta,carbonSource,glycerol,glucose
50,ECB_00050,0.899531649381824,-0.893438812009877,0.815676200432336,-1.09533514835461,0.273369834308003,NA,yabF,-1,mrna,Sta,carbonSource,glycerol,glucose
51,ECB_00051,1.81325000150447,0.0560129136465566,0.700505890893278,0.0799606603952031,0.936268544202002,0.969401777232503,kefC,1,mrna,Sta,carbonSource,glycerol,glucose
52,ECB_00052,15.9409778122478,-0.157354972737873,0.592128211690934,-0.26574476545969,0.790435784697544,0.886014787181326,folA,-1,mrna,Sta,carbonSource,glycerol,glucose
53,ECB_00053,1.03145281204194,-0.288723141551105,0.790591399667251,-0.365198940530626,0.714962909094993,NA,apaH,-1,mrna,Sta,carbonSource,glycerol,glucose
54,ECB_00054,1.23170609766307,-1.03531784081153,0.840815487490051,-1.23132584522449,0.218201019242288,0.444409415337504,apaG,-1,mrna,Sta,carbonSource,glycerol,glucose
55,ECB_00055,4.88285495788657,-0.658153897495788,0.611737393023324,-1.07587651989535,0.281982484238279,0.513881512320803,ksgA,-1,mrna,Sta,carbonSource,glycerol,glucose
56,ECB_00056,3.86790692332996,-1.86429979808261,0.661355290225901,-2.81890812039292,0.00481873092026136,0.0593626730698757,pdxA,-1,mrna,Sta,carbonSource,glycerol,glucose
57,ECB_00057,19.8046367129371,-1.64026272637699,0.655700992772858,-2.50154070903656,0.0123654225385137,0.0940696630500012,surA,-1,mrna,Sta,carbonSource,glycerol,glucose
58,ECB_00058,24.7116767136591,-1.47402155178577,0.623783209660369,-2.3630349918978,0.0181259580515568,0.115873271104455,imp,-1,mrna,Sta,carbonSource,glycerol,glucose
59,ECB_00059,1.23779373596131,-1.66597762646082,0.757517616869623,-2.19925925068956,0.0278594934293799,0.145360731032099,djlA,-1,mrna,Sta,carbonSource,glycerol,glucose
60,ECB_00060,1.7286605198539,-0.682395534106656,0.695083332998375,-0.981746362933222,0.326224818441767,0.553399155766911,rluA,-1,mrna,Sta,carbonSource,glycerol,glucose
61,ECB_00061,3.18063106202105,-2.48792290884622,0.765515944192854,-3.24999489262035,0.00115407081119108,0.0270984703935443,hepA,-1,mrna,Sta,carbonSource,glycerol,glucose
62,ECB_00062,1.75553005294066,-0.255123947134916,0.64194509046863,-0.397423316920566,0.691055323913883,0.827639578713929,polB,-1,mrna,Sta,carbonSource,glycerol,glucose
63,ECB_00063,0.540646400281075,-0.0201787404548466,0.903057313768938,-0.0223449167037139,0.982172819466607,NA,araD,-1,mrna,Sta,carbonSource,glycerol,glucose
64,ECB_00064,6.49699361246542,-0.52690161536204,0.682325166617333,-0.772214834129869,0.43998719705514,0.644153917990798,araA,-1,mrna,Sta,carbonSource,glycerol,glucose
65,ECB_00065,6.06794947319859,1.18444921330306,0.624961676292061,1.89523495317421,0.0580612813885221,0.218467872343253,araB,1,mrna,Sta,carbonSource,glycerol,glucose
