,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1428298694748,-0.93105546001746,0.432013501221497,-2.15515361761831,0.0311498151175423,0.416806917246885,thrL,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
2,ECB_00002,18.8565850789338,0.587891216570627,0.519840560088704,1.13090678509255,0.258094327189545,0.782615188036796,thrA,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
3,ECB_00003,7.16033149296168,0.12916984260589,0.536345547729186,0.240833252280694,0.809684356407869,0.985480051873611,thrB,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
4,ECB_00004,6.72580820709594,0.125915599646982,0.600941005859972,0.209530716691219,0.834033959069089,0.987374431395227,thrC,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
5,ECB_00005,1.24864738700942,-0.0814268084417675,0.59675136512285,-0.136450141886151,0.891465436819798,0.994320776687452,yaaX,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
6,ECB_00006,1.25204958985479,0.465791991649597,0.575672997480477,0.809126003283476,0.41844267247116,0.872800507494828,yaaA,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
7,ECB_00007,0.292141894424653,-0.407984595035155,0.717145175175797,-0.568900982893937,0.569423338310108,NA,yaaJ,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
8,ECB_00008,39.6899009536366,-0.351566902738998,0.448615005079579,-0.783671742492506,0.433232747326991,0.878820118744286,talB,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
9,ECB_00009,6.50524862726978,0.097286172225271,0.398925906328366,0.243870279372612,0.807331287950312,0.985480051873611,mogA,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
10,ECB_00010,2.35366320879242,-0.127557764339478,0.5002196847492,-0.255003487924376,0.798720405297374,0.984202127037208,yaaH,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
11,ECB_00013,0.069215263113572,-0.130294453358117,0.725529317952625,-0.179585373235909,0.857478088453267,NA,yaaI,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
12,ECB_00014,88.806503441466,0.974879555603335,0.467630501487158,2.08472191720391,0.0370945499978661,0.436644104091813,dnaK,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
13,ECB_00015,4.33702690484307,0.579758961758048,0.533993302070221,1.08570455754857,0.277609723683848,0.795672993885446,dnaJ,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
14,ECB_00016,1.65341319721119,-0.0563086267034259,0.583027180851783,-0.0965797625784118,0.923060128474506,0.99603594199404,insL-1,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
15,ECB_00017,0.941377456397593,-0.574601932201924,0.574355156943783,-1.00042965620689,0.317102624084435,0.820205266445135,mokC,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
16,ECB_00018,30.8664030683216,-0.635989503474137,0.365296649477731,-1.74102200056699,0.0816797221873312,0.56164175944408,nhaA,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
17,ECB_00019,1.96084489626861,0.40907775000433,0.514238709817865,0.795501665265959,0.426321742662177,0.876643779646459,nhaR,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
18,ECB_00020,0.338575285565431,-0.456211825479438,0.729626465176003,-0.625267650302938,0.531795408026116,NA,ECB_00020,-1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
19,ECB_00021,0.112651174995201,0.179485968168811,0.773080352305117,0.232169874235754,0.816406075380329,NA,ECB_00021,1,mrna,Sta,Mg_mM_Levels,highMg,baseMg
