,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1428298694748,-0.944275900830168,0.449172699113094,-2.102255775328,0.03553087633492,0.155406218614339,thrL,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
2,ECB_00002,18.8565850789338,-0.860698843072947,0.525562986345935,-1.63767020401703,0.10149050941779,0.249982784843785,thrA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
3,ECB_00003,7.16033149296168,-1.09552530441591,0.544771078790377,-2.0109828643041,0.0443272667216162,0.174816770765571,thrB,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
4,ECB_00004,6.72580820709594,-0.443565254412657,0.584230858147589,-0.759229418006201,0.447715331121357,0.588169170784177,thrC,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
5,ECB_00005,1.24864738700942,0.250915737901737,0.582402242354479,0.4308289351486,0.666592758737949,NA,yaaX,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
6,ECB_00006,1.25204958985479,0.281102694486515,0.577635154524138,0.486644021377283,0.626510621519852,NA,yaaA,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
7,ECB_00007,0.292141894424653,-0.41368246245476,0.67157450142796,-0.615988935814497,0.537901822153306,NA,yaaJ,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
8,ECB_00008,39.6899009536366,-0.759514477775508,0.463294248144326,-1.63937817233359,0.101134524658601,0.249846800540242,talB,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
9,ECB_00009,6.50524862726978,-0.253618943290669,0.430031018458276,-0.589768952481452,0.555345560419739,0.682112996037754,mogA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
10,ECB_00010,2.35366320879242,-0.557994707118882,0.526132648155682,-1.06055898464938,0.288890370601286,0.434441568040525,yaaH,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
11,ECB_00013,0.069215263113572,-0.0301562019452993,0.731775743262541,-0.0412096222414413,0.967128782751043,NA,yaaI,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
12,ECB_00014,88.806503441466,-0.585665284854714,0.478995601844981,-1.22269449364225,0.221445107511758,0.371335685862373,dnaK,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
13,ECB_00015,4.33702690484307,-0.351590348181654,0.543473413416508,-0.646932010843742,0.517675947204147,0.650489801861128,dnaJ,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
14,ECB_00016,1.65341319721119,-0.764618706779358,0.592743790760752,-1.28996493712404,0.197062832362927,NA,insL-1,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
15,ECB_00017,0.941377456397593,-0.763843132157778,0.593996498481636,-1.28593877928624,0.198464428421173,NA,mokC,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
16,ECB_00018,30.8664030683216,-0.75284976050729,0.386390127480676,-1.94841872750732,0.0513648807755875,0.182754756962416,nhaA,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
17,ECB_00019,1.96084489626861,-0.54299784850216,0.56164690780354,-0.966795758968367,0.333646144996288,0.480059361738249,nhaR,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
18,ECB_00020,0.338575285565431,0.661107884207799,0.679124025440718,0.973471500700882,0.330319017801727,NA,ECB_00020,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
19,ECB_00021,0.112651174995201,0.302144931745039,0.744376683467457,0.405903272436727,0.684813673496198,NA,ECB_00021,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
20,ECB_00022,0.0854228640476604,0.103811867294288,0.737636074737422,0.140735887044627,0.888078593474074,NA,ECB_00022,1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
21,ECB_00023,0.0826168944208389,-0.0140133578032832,0.743374759484586,-0.0188510002855077,0.98495996869323,NA,insA-1,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
22,ECB_00024,0.597693468799706,-0.71369313752708,0.649843809610434,-1.09825334483823,0.272093878319508,NA,insB-1,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
23,ECB_00025,0.118852391884599,-0.0129432946434534,0.743650702787206,-0.0174050728318307,0.986113462234703,NA,ECB_00025,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
24,ECB_00026,0.126446066249043,-0.212406422579094,0.731513954840114,-0.290365510013435,0.771536626616099,NA,ECB_00026,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
25,ECB_00027,22.8001507859546,-0.973259701026554,0.521020433785602,-1.86798758343333,0.0617638016527275,0.196603089863787,rpsT,-1,mrna,Sta,Mg_mM_Levels,lowMg,baseMg
