,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1428298694748,-1.39853148901337,0.415306778064486,-3.36746608261764,0.000758623573726392,0.00736906114556969,thrL,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
2,ECB_00002,18.8565850789338,-0.435026854332314,0.506705202696808,-0.858540334729141,0.390594168220887,0.613897052463919,thrA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
3,ECB_00003,7.16033149296168,-0.575129572644548,0.520170565650647,-1.10565574183375,0.268875553135922,0.488990268074653,thrB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
4,ECB_00004,6.72580820709594,-0.62183564399164,0.596641867837168,-1.04222596085287,0.297306929562914,0.520030654989217,thrC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
5,ECB_00005,1.24864738700942,-0.506068219468115,0.66381411528993,-0.762364354435401,0.445842574602103,0.664871798488506,yaaX,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
6,ECB_00006,1.25204958985479,-0.633967726754447,0.665960527487116,-0.951959914421073,0.34111731177399,0.559567934612035,yaaA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
7,ECB_00007,0.292141894424653,0.282957706235684,0.795212141955071,0.355826692409421,0.721970358000938,NA,yaaJ,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
8,ECB_00008,39.6899009536366,-1.61582120666935,0.404472853608029,-3.9948817139536,6.47265602640266e-05,0.00119647529682085,talB,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
9,ECB_00009,6.50524862726978,-0.684480785252074,0.393097231442612,-1.74125058764755,0.0816396633987875,0.219805919824779,mogA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
10,ECB_00010,2.35366320879242,-0.602988018525586,0.545769866592241,-1.10483933876858,0.269229211288633,0.489022039314972,yaaH,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
11,ECB_00013,0.069215263113572,0.0679260042482118,0.81604415416339,0.083238148207617,0.933662180090357,NA,yaaI,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
12,ECB_00014,88.806503441466,-1.29877790824952,0.4614087948865,-2.81480960623866,0.00488061397306188,0.0289910810821925,dnaK,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
13,ECB_00015,4.33702690484307,-0.382597289069266,0.543743389317426,-0.703635752794255,0.481659640081213,0.69729452278268,dnaJ,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
14,ECB_00016,1.65341319721119,0.154798313769977,0.598358766668955,0.258704847982313,0.795862978731238,0.903046016806042,insL-1,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
15,ECB_00017,0.941377456397593,-0.926901683671887,0.646168999049123,-1.43445706159825,0.151441874007039,NA,mokC,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
16,ECB_00018,30.8664030683216,-0.250339720639941,0.340570075177209,-0.735060825616231,0.462302450920808,0.679209158873481,nhaA,-1,mrna,Sta,Na_mM_Levels,highNa,baseNa
17,ECB_00019,1.96084489626861,1.059309646412,0.500315364123991,2.11728386208318,0.0342357636859754,0.116167105000221,nhaR,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
18,ECB_00020,0.338575285565431,0.26088381233134,0.814006764292305,0.320493420663589,0.748594317109199,NA,ECB_00020,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
19,ECB_00021,0.112651174995201,0.234494924182506,0.873787478677232,0.268366084322348,0.78841754306114,NA,ECB_00021,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
20,ECB_00022,0.0854228640476604,0.0750831891743565,0.830068283691638,0.0904542320788745,0.927926262309354,NA,ECB_00022,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
21,ECB_00023,0.0826168944208389,0.150991393865459,0.87422139653506,0.172715280664494,0.862875232070347,NA,insA-1,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
22,ECB_00024,0.597693468799706,1.20979215953831,0.655538253741574,1.84549437448274,0.0649656560737772,NA,insB-1,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
23,ECB_00025,0.118852391884599,0.0321652995818492,0.874494173619712,0.0367816053578841,0.970659140921177,NA,ECB_00025,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
24,ECB_00026,0.126446066249043,0.351167523689545,0.873975983309855,0.401804546573043,0.68782787583788,NA,ECB_00026,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
25,ECB_00027,22.8001507859546,0.122440630115159,0.476762057749555,0.256817060260859,0.797319999497301,0.903046016806042,rpsT,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
26,ECB_00028,0.145498423405883,0.447257983066521,0.873288404189336,0.512153809578756,0.608543367383831,NA,yaaY,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
27,ECB_00029,3.78928680124873,0.0884730590196759,0.574243447734924,0.154068904693042,0.87755540596159,0.946735514184172,ribF,1,mrna,Sta,Na_mM_Levels,highNa,baseNa
