,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1428298694748,1.18566800057173,0.558164659349693,2.12422621301951,0.0336512323130682,1,thrL,1,mrna,Sta,carbonSource,gluconate,glucose
2,ECB_00002,18.8565850789338,-0.133404730882011,0.694197480979075,-0.192171153795979,0.847608140693316,1,thrA,-1,mrna,Sta,carbonSource,gluconate,glucose
3,ECB_00003,7.16033149296168,0.00724275829139336,0.698808464521155,0.0103644398416901,0.991730521522663,1,thrB,1,mrna,Sta,carbonSource,gluconate,glucose
4,ECB_00004,6.72580820709594,0.0396616723056828,0.783715278954998,0.0506072464971813,0.959638488356881,1,thrC,1,mrna,Sta,carbonSource,gluconate,glucose
5,ECB_00005,1.24864738700942,-0.515934596978021,0.83527806576649,-0.61768004946302,0.536786265575357,1,yaaX,-1,mrna,Sta,carbonSource,gluconate,glucose
6,ECB_00006,1.25204958985479,0.186002784431626,0.802155261523496,0.231878781270299,0.816632165501211,1,yaaA,1,mrna,Sta,carbonSource,gluconate,glucose
7,ECB_00007,0.292141894424653,-0.328798879900067,0.956770709615833,-0.343654834534062,0.731105881399568,1,yaaJ,-1,mrna,Sta,carbonSource,gluconate,glucose
8,ECB_00008,39.6899009536366,0.513958843673954,0.599156405363143,0.857804137740041,0.391000624585472,1,talB,1,mrna,Sta,carbonSource,gluconate,glucose
9,ECB_00009,6.50524862726978,0.623534584105608,0.480813789509642,1.29683174174667,0.194689086560685,1,mogA,1,mrna,Sta,carbonSource,gluconate,glucose
10,ECB_00010,2.35366320879242,-0.213901893439825,0.702195009291198,-0.304618931506989,0.760656399633922,1,yaaH,-1,mrna,Sta,carbonSource,gluconate,glucose
11,ECB_00013,0.069215263113572,-0.106696673755592,0.777787901428374,-0.137179652138646,0.890888794089633,1,yaaI,-1,mrna,Sta,carbonSource,gluconate,glucose
12,ECB_00014,88.806503441466,-0.14858819665165,0.662392748989521,-0.224320385267382,0.82250801520279,1,dnaK,-1,mrna,Sta,carbonSource,gluconate,glucose
13,ECB_00015,4.33702690484307,-0.334254064419181,0.721998335606168,-0.462956835126983,0.643395307454421,1,dnaJ,-1,mrna,Sta,carbonSource,gluconate,glucose
14,ECB_00016,1.65341319721119,0.210996698570405,0.761683736658228,0.277013527289057,0.78176971918365,1,insL-1,1,mrna,Sta,carbonSource,gluconate,glucose
15,ECB_00017,0.941377456397593,0.947983318171744,0.723352600325278,1.31054110781582,0.190012847194158,1,mokC,1,mrna,Sta,carbonSource,gluconate,glucose
16,ECB_00018,30.8664030683216,0.156103288071004,0.488055653533296,0.319847310323912,0.749084081477254,1,nhaA,1,mrna,Sta,carbonSource,gluconate,glucose
17,ECB_00019,1.96084489626861,-0.501144712903162,0.749464320772085,-0.668670541096462,0.503705663354318,1,nhaR,-1,mrna,Sta,carbonSource,gluconate,glucose
18,ECB_00020,0.338575285565431,-0.241740475681211,0.965357770437129,-0.250415424295748,0.802266102665132,1,ECB_00020,-1,mrna,Sta,carbonSource,gluconate,glucose
19,ECB_00021,0.112651174995201,-0.313453240192388,0.900367153266159,-0.34813935521227,0.727735529611248,1,ECB_00021,-1,mrna,Sta,carbonSource,gluconate,glucose
20,ECB_00022,0.0854228640476604,-0.00625457693642432,0.800320865638287,-0.00781508667956076,0.993764526469634,1,ECB_00022,-1,mrna,Sta,carbonSource,gluconate,glucose
21,ECB_00023,0.0826168944208389,-0.21627876146865,0.901794827433963,-0.239831450446512,0.81046092446146,1,insA-1,-1,mrna,Sta,carbonSource,gluconate,glucose
22,ECB_00024,0.597693468799706,-0.975185460571999,0.903162639768318,-1.07974512854313,0.280255691841476,1,insB-1,-1,mrna,Sta,carbonSource,gluconate,glucose
23,ECB_00025,0.118852391884599,-0.0490758646879916,0.906063162573544,-0.0541638449891269,0.956804625898658,1,ECB_00025,-1,mrna,Sta,carbonSource,gluconate,glucose
24,ECB_00026,0.126446066249043,0.0213752078760105,0.937320287007526,0.0228045932348831,0.981806144107024,1,ECB_00026,1,mrna,Sta,carbonSource,gluconate,glucose
25,ECB_00027,22.8001507859546,0.184570630187837,0.648597357145345,0.284568890320773,0.775974448118726,1,rpsT,1,mrna,Sta,carbonSource,gluconate,glucose
26,ECB_00028,0.145498423405883,0.513154311502886,0.941648471811125,0.544953161253379,0.585785732209171,1,yaaY,1,mrna,Sta,carbonSource,gluconate,glucose
27,ECB_00029,3.78928680124873,0.279520457964647,0.732318578788431,0.381692430126644,0.702689515629726,1,ribF,1,mrna,Sta,carbonSource,gluconate,glucose
28,ECB_00030,24.8366754375236,-0.055325921333181,0.727277539171793,-0.0760726385090689,0.939361308352917,1,ileS,-1,mrna,Sta,carbonSource,gluconate,glucose
29,ECB_00031,4.43145238949103,0.42248084931026,0.806686218741409,0.523723895977067,0.600470592726589,1,lspA,1,mrna,Sta,carbonSource,gluconate,glucose
30,ECB_00032,0.657328959749413,0.230776756083831,0.926613763779546,0.249053883187015,0.803319101474741,1,fkpB,1,mrna,Sta,carbonSource,gluconate,glucose
31,ECB_00033,4.62839609010693,-0.469642103497823,0.792490176104578,-0.592615678602239,0.55343838395963,1,ispH,-1,mrna,Sta,carbonSource,gluconate,glucose
32,ECB_00034,0.388198759173351,0.675168794190098,0.948013426790244,0.712193282405361,0.476345096179263,1,rihC,1,mrna,Sta,carbonSource,gluconate,glucose
33,ECB_00035,2.44848295552748,0.307733374907132,0.801163412976071,0.384108123165534,0.700898311042124,1,dapB,1,mrna,Sta,carbonSource,gluconate,glucose
34,ECB_00036,11.7758505628172,-0.151346255979537,0.826197138462243,-0.183184192892788,0.854653496750071,1,carA,-1,mrna,Sta,carbonSource,gluconate,glucose
35,ECB_00037,26.6505803621878,-1.98282115102939,0.845787911064531,-2.34434794478648,0.0190603806831358,1,carB,-1,mrna,Sta,carbonSource,gluconate,glucose
36,ECB_00038,2.25348414654781,0.0873429923903768,0.751228077204575,0.116266943476597,0.907440983183033,1,caiF,1,mrna,Sta,carbonSource,gluconate,glucose
37,ECB_00039,0.301636065496474,0.413608993160573,0.961669802904505,0.430094604105652,0.667126824990988,1,caiE,1,mrna,Sta,carbonSource,gluconate,glucose
38,ECB_00040,0.0268734117950795,-0.0621292212282376,0.62472534363892,-0.0994504574863976,0.920780622013491,1,caiD,-1,mrna,Sta,carbonSource,gluconate,glucose
39,ECB_00041,0.41781416996595,-0.497193856422965,0.927493727741184,-0.536061691364566,0.59191591491295,1,caiC,-1,mrna,Sta,carbonSource,gluconate,glucose
