id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,vs
ECB_00001,115.418414070611,0.186035384314729,0.374214265405838,0.497136003388253,0.619093147091328,0.827156305687876,thrL,1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00002,917.260420225379,-1.54542263601954,0.52064898811081,-2.9682620562217,0.00299488877966885,0.0494686717455921,thrA,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00003,355.993531483875,-1.64109158142786,0.469240230399852,-3.4973377709525,0.000469926430251235,0.0142571469752738,thrB,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00004,395.321033951983,-1.63219664194862,0.512226687341421,-3.18647325936903,0.001440188004207,0.0310764267034955,thrC,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00005,37.6335449329779,-1.83529955486438,0.427839784189186,-4.28968885710927,1.78923608191852e-05,0.0013096506458435,yaaX,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00006,12.5078754594589,0.00935635898402048,0.363232285053209,0.0257586105889511,0.979449874850425,0.990429001344352,yaaA,1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00007,1.98585328934606,-0.807566453347612,0.592503795494202,-1.36297262479817,0.172891138332629,0.468539870152472,yaaJ,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00008,536.359049775616,-0.780365509591736,0.231557405513018,-3.37007364486067,0.000751480969559346,0.0197554821082045,talB,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00009,40.2382098474989,-0.502272445325382,0.292940422223268,-1.71458906733796,0.0864205945592241,0.336751648736517,mogA,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00010,19.2111882798271,-0.347655280509802,0.293895375105296,-1.18292191697554,0.236840094630505,0.537134916923253,yaaH,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00011,1.89961107645286,-0.295172930649124,0.564397725597531,-0.522987455940974,0.600982982629511,0.816400827567673,yaaW,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00012,0.103433736421542,-0.507508305306,0.662946409984155,-0.76553443485444,0.443953369630617,NA,htgA,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00013,0.295794335648317,-0.881718146782547,0.689412573763683,-1.27894120347852,0.200917761579522,NA,yaaI,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00014,965.897881083987,0.452534777627622,0.333750456535258,1.35590759133483,0.175128571855043,0.471737953109385,dnaK,1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00015,81.5227990505943,0.126755184727641,0.389992375380791,0.325019648406912,0.74516620104723,0.902857977445411,dnaJ,1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00016,31.3016309232955,-0.502795867811204,0.43936133305295,-1.14437896552587,0.252466507688335,0.551223667325504,insL-1,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00017,3.93272258080207,-0.132696541678057,0.566683595264417,-0.234163372271506,0.814858149247551,0.933266385513189,mokC,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00018,81.974863623258,0.784464762199272,0.224857183865272,3.48872448153269,0.000485331114247291,0.0144939283958811,nhaA,1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00019,13.9003847488797,0.0215487576112067,0.305858060602576,0.0704534566417936,0.943832744665798,0.977140125779078,nhaR,1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00020,0.639652342270756,-0.0869165994181312,0.697834342168734,-0.124551908907222,0.900878302946315,NA,ECB_00020,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00021,0.279934416723886,-0.434908624031545,0.640699601110443,-0.678802707661707,0.497262877945555,NA,ECB_00021,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00022,0.00685567333415263,0.0450643076816347,0.450218668435769,0.100094267166231,0.920269486615238,NA,ECB_00022,1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00023,1.29507751795118,-0.0889633914836225,0.600565741353361,-0.148132644534711,0.8822380870248,0.954506004151729,insA-1,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
ECB_00024,8.20752952952638,-0.0512808966997668,0.480225784185635,-0.106784971545684,0.914959570266142,0.963482166493186,insB-1,-1,mrna,Exp,Na_mM_Levels,baseNahighNa
