id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,vs
ECB_00001,10.8821734640772,-1.23626436942317,0.396054364562088,-3.12145119468659,0.00179962074940894,0.023041298142005,thrL,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00002,7.26235408586201,-0.588088096339564,0.363525871423393,-1.61773381915541,0.1057199743443,0.256420026498879,thrA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00003,2.99913656311808,-0.58323164242433,0.412255554653108,-1.41473325426771,0.157146720366498,0.318546396629247,thrB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00004,2.14489770608191,0.113867877858964,0.508802585784115,0.223795792396538,0.82291620412037,0.890386211316256,thrC,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00005,0.597444213281442,0.0577795292776313,0.619543365532681,0.0932614769071939,0.925695835629871,NA,yaaX,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00006,0.968751120149209,0.747239527079815,0.619467561344693,1.20626094683274,0.227716890660371,NA,yaaA,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00007,0.213751399173823,-0.202947389165728,0.719313127645715,-0.282140532913624,0.777835754393937,NA,yaaJ,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00008,29.6398503230809,-1.03672698506622,0.400647152196123,-2.58763098497883,0.00966384460099562,0.0649989955452158,talB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00009,5.38169370720997,-0.711472515109472,0.378986705727231,-1.87730203819219,0.0604767090425455,0.187954585364591,mogA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00010,2.12072605502205,-0.556251102842378,0.478851305488794,-1.16163639206241,0.24538319313008,0.418355155540644,yaaH,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00011,0.423886462986317,-0.331711522147426,0.687040533878521,-0.482812157056919,0.629229118023706,NA,yaaW,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00012,0,NA,NA,NA,NA,NA,htgA,NA,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00013,0.0653596364592233,-0.465413562550228,0.618244841785445,-0.752798132866176,0.451571228948122,NA,yaaI,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00014,46.3116633784602,0.0015910434812546,0.394963376931651,0.00402833167372359,0.996785865044617,0.99745172066589,dnaK,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00015,2.24623375524134,0.501526437424707,0.449671327675372,1.11531780337743,0.264714258842626,0.439138382886216,dnaJ,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00016,1.29014005799061,-0.231146057106085,0.561372717515965,-0.411751497523589,0.680521575072649,NA,insL-1,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00017,0.812801608529399,-0.547020886661348,0.578343257087132,-0.945841211007557,0.344229582406115,NA,mokC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00018,25.9130695884672,-0.731744509381697,0.339067000475289,-2.15811184325213,0.0309191371792489,0.123841891696564,nhaA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00019,1.28146382551043,-0.862590917059022,0.551742211147186,-1.56339482394417,0.117959756869025,NA,nhaR,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00020,0.145139360893504,-1.08428347053977,0.698329781205096,-1.55268112533971,0.120499333725655,NA,ECB_00020,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00021,0.115204650011024,0.547990538021171,0.688592938915787,0.795812020500821,0.426141303927444,NA,ECB_00021,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00022,0.0790275389568557,-0.136436600063852,0.65326195356589,-0.208854349038851,0.834561942374083,NA,ECB_00022,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00023,0.0513134347328395,0.0025048838026685,0.598169146219554,0.00418758442908572,0.996658800802112,NA,insA-1,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00024,0.369330949659088,-0.952278054841778,0.69257298004928,-1.37498586036957,0.169135828377576,NA,insB-1,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00025,0.0223195315250152,-0.0953250713383091,0.529415477999076,-0.18005720516255,0.857107658774842,NA,ECB_00025,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00026,0.089267959106374,-0.279857400148503,0.676425928031141,-0.413729557888295,0.679072177661875,NA,ECB_00026,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00027,11.3662082696723,-0.346883668444187,0.386603238883551,-0.897260119821893,0.369580131486425,0.537499509450862,rpsT,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00028,0.0685885269375562,-0.481399576294896,0.6220761352136,-0.773859579309532,0.439013835028358,NA,yaaY,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00029,2.01514513075401,-1.00770682280958,0.465385175059434,-2.16531784168003,0.0303633529526213,0.123001188351304,ribF,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00030,7.65372548886628,0.00337252193927976,0.430144513837618,0.00784043927281823,0.993744298646626,0.995666238957202,ileS,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00031,1.90776958165751,1.12067437474065,0.596311777801109,1.87934301561697,0.0601976717520728,NA,lspA,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00032,0.201178648184258,0.330771861443463,0.719432311114685,0.459767870212789,0.645682847649019,NA,fkpB,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00033,1.36291642876552,-0.880190313879556,0.570185463855181,-1.54369125429531,0.122663146017788,NA,ispH,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00034,0.139135226447953,-0.102686820241954,0.696487785205784,-0.147435206220614,0.882788518600956,NA,rihC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00035,1.29465571902368,0.253685970939838,0.573531560938554,0.442322599517792,0.658255779484279,NA,dapB,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00036,2.86291221459512,-0.811249279150711,0.502971321531866,-1.61291358855202,0.106763282559945,0.257953866572254,carA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00037,3.92664853587509,-0.221858491749129,0.489255748527802,-0.45346118551844,0.650216686710642,0.763342160417353,carB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00038,1.84555322866283,0.917180675650145,0.568921610281333,1.6121389292922,0.106931711086899,NA,caiF,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00039,0.317292825549519,0.759551311570654,0.711540973304997,1.06747375072816,0.285757960741107,NA,caiE,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00040,0.035037315579924,-0.095325071338309,0.529415477999076,-0.18005720516255,0.857107658774843,NA,caiD,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00041,0.319875477895825,0.239234794230509,0.692735782844021,0.345347822582995,0.729832898350903,NA,caiC,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00042,0.278769527649251,0.922563026477595,0.718941754293308,1.28322360047712,0.199413749922484,NA,caiB,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00043,7.66689804958533,-0.443979873103516,0.463335321381055,-0.958225830442095,0.337948894766776,0.50906263977673,caiA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00044,5.29381371904982,0.046675745980574,0.563543930162106,0.0828253903243134,0.93399037992835,0.967156157460189,caiT,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00045,0.109522304696515,-0.382791126173028,0.68488790209461,-0.55891062610732,0.576222717003236,NA,fixA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00046,0.0179739358766705,-0.0953250713383095,0.529415477999076,-0.180057205162551,0.857107658774842,NA,fixB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00047,0.0591884641330353,0.0537250994501009,0.611780413354341,0.0878176193244413,0.930021633672188,NA,fixC,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00048,0.0888410561641055,0.711577215184858,0.641768048714937,1.10877631974622,0.267526688426548,NA,fixX,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00049,0.127250915635898,0.353109270376841,0.693001234210336,0.509536279223519,0.610376375446398,NA,yaaU,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00050,0.859292715093762,-0.711258387880569,0.601637178434111,-1.18220484600332,0.237124430278923,NA,yabF,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00051,1.31083557612838,-0.64518581549697,0.588484343008664,-1.09635170954322,0.27292488824314,NA,kefC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00052,14.9913936344279,-0.482352635163212,0.40207236771923,-1.19966621406831,0.230268999552874,0.404387996870111,folA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00053,0.34363262489338,0.103630280871475,0.702113889830377,0.147597537055577,0.882660398956423,NA,apaH,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00054,0.444885513062547,-0.336585336011447,0.678596076630429,-0.496002478650868,0.619892662172268,NA,apaG,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00055,2.80795448982137,-0.482252866432777,0.435472037602522,-1.10742556304604,0.268109978753071,0.443788672013371,ksgA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00056,1.86216519387374,-0.592730807604634,0.490086196897941,-1.20944195399992,0.226493098772252,NA,pdxA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00057,8.01387061318285,-0.60567450425435,0.386841602482281,-1.56569122960887,0.117420920496271,0.271027024504489,surA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00058,14.5860230505631,-1.24479721910957,0.38567547450128,-3.22757681369091,0.00124843517117929,0.0192799575920266,imp,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00059,0.7630906020141,-0.466719748865425,0.574420772017368,-0.812504999125125,0.416501919217171,NA,djlA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00060,1.41463057610441,-1.3446577124128,0.560136593315393,-2.40058894287535,0.0163687122861097,NA,rluA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00061,1.44024165738823,0.110287691859721,0.537674345648628,0.205119869958969,0.837478472505009,NA,hepA,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00062,1.35879240477484,-0.502257559758711,0.537620680222123,-0.934222916334242,0.350188917035036,NA,polB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00063,0.599249922379498,-1.48377884907694,0.689022243422289,-2.15345565871313,0.0312828853446741,NA,araD,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00064,4.81285723176358,-0.39017909971075,0.404882483627167,-0.963684810998255,0.335203971696763,0.507930257869219,araA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00065,5.44819605430392,-1.40868463567058,0.498841941844368,-2.82390977483217,0.00474417378839364,0.0403878648019997,araB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00066,4.90429567100044,-0.59437213888522,0.390982365985243,-1.52020190830717,0.128460237956156,0.282990347732827,araC,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00067,6.37278604848434,-0.770277871098792,0.462439256760646,-1.66568443279347,0.0957762841886349,0.241536824435311,yabI,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00068,0.088027290452667,-0.276193103331208,0.675838714030047,-0.408667182861218,0.682783920211618,NA,yabJ,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00069,0.0671581390842933,-0.367357980746347,0.621526303416143,-0.591057818031528,0.5544816817664,NA,thiP,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00070,1.73324669375265,3.18890971263817,0.664362382580557,4.79995525973583,1.58701080115002e-06,NA,tbpA,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00071,1.61535081826885,-0.70741792947205,0.562743774437185,-1.25708708226858,0.208722104219602,NA,yabN,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00072,3.11859307853849,-0.779690697576338,0.456776597403797,-1.70694099042706,0.0878330209686612,0.230427084782933,setA,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00073,3.6709985571109,-0.141601510795053,0.450166442990617,-0.31455367897781,0.753100553799256,0.840018339234018,leuD,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00074,2.33203089019792,0.642871658774302,0.462129448658752,1.39110731990814,0.164192885529439,0.325776082812052,leuC,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00075,1.72123323541026,0.219739448853919,0.509016697256416,0.431693989683065,0.665963836294301,NA,leuB,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00076,2.62133564737842,0.574511304906813,0.478456613965249,1.20075945893088,0.229844522166175,0.404205463974722,leuA,1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00077,93.4293040339705,-0.740819654305839,0.385812621681966,-1.92015401434044,0.0548384482515106,0.179978292459587,leuL,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00078,0.620291129955179,-0.448485850093955,0.626810456595863,-0.715504735721275,0.474297215628429,NA,leuO,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00079,2.04386842029154,-0.0949934700575184,0.471457358402389,-0.20148899654344,0.840316232492454,0.901714696471129,ilvI,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00080,5.78011230544572,-1.45618055275699,0.475805659875971,-3.06045235598201,0.00221002919589919,0.0271362601266967,ilvH,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00081,21.2405121807512,-0.924680082246786,0.425129645117628,-2.17505434604763,0.0296260440812045,0.121668634002517,fruR,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00082,11.7283758993626,-1.3748630107469,0.369904530238131,-3.71680500874593,0.000201758035274985,0.0075558384210482,yabB,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00083,11.9270433346724,-1.59990459808151,0.440760885116206,-3.6298697368749,0.000283564285857827,0.00837716670667977,mraW,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
ECB_00084,7.6332167155017,-0.618886192286593,0.476049529603176,-1.30004580154187,0.19358527174707,0.360684996364565,ftsL,-1,mrna,Sta,Mg_mM_Levels,baseMglowMg
