,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.0166402594609766,-0.0789843449450719,0.616732285637889,-0.128069093810093,0.898094294169933,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,glucoselactate
2,YP_003043231.1,277.327115996464,-0.1381466280743,0.36389265145207,-0.379635663218375,0.70421588388797,0.835658885035415,thrA,ECB_00002,b0002,-1,protein,Exp,carbonSource,glucoselactate
3,YP_003043232.1,68.4138450466412,-0.045644724389093,0.453826294728884,-0.100577522543865,0.919885840620797,0.962221962865633,thrB,ECB_00003,b0003,-1,protein,Exp,carbonSource,glucoselactate
4,YP_003043233.1,326.133246742307,-0.670219999336753,0.455102522557181,-1.47267915715089,0.140837569300934,0.336086391165633,thrC,ECB_00004,b0004,-1,protein,Exp,carbonSource,glucoselactate
5,YP_003043234.1,0.0304808161289834,-0.120171349846907,0.616879583255213,-0.194805198792242,0.845545452216103,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,glucoselactate
6,YP_003043235.1,36.5849277825272,0.109438462357764,0.370011706320901,0.29577027020559,0.767405528650096,0.877277386906792,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,glucoselactate
7,YP_003043236.1,0.190509734003198,-0.323787627712832,0.702009239808512,-0.461229866149841,0.644633696344762,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,carbonSource,glucoselactate
8,YP_003043237.1,212.582188227701,0.249220533324815,0.414386782843628,0.601420082982861,0.547560225723049,0.740519057433655,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,glucoselactate
9,YP_003043238.1,11.7294803650224,0.319872589443995,0.515542573033854,0.620458146766844,0.53495620064884,0.731094156651461,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,glucoselactate
10,YP_003043239.1,0.0152404080644917,-0.0752885843711658,0.61671811075455,-0.122079412065669,0.902836126701793,NA,yaaH,ECB_00010,b0010,-1,protein,Exp,carbonSource,glucoselactate
11,YP_003043242.1,0.332526910545974,-0.428092723364735,0.766734402705404,-0.558332483653036,0.576617367247855,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,glucoselactate
