,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.0145837701612361,-0.0395051049933612,0.585578970835715,-0.0674633259746009,0.946212857116055,NA,thrL,ECB_00001,b0001,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
2,YP_003043231.1,260.217943893143,-0.240584507197804,0.300551694032812,-0.800476297337183,0.423434891115522,0.611602537588579,thrA,ECB_00002,b0002,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
3,YP_003043232.1,59.9819041774677,-0.816415447371393,0.376038175980162,-2.17109724363322,0.0299238223644821,0.134347285310109,thrB,ECB_00003,b0003,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
4,YP_003043233.1,299.143711303716,-0.843576714941902,0.368098566685021,-2.29171420725402,0.02192214005441,0.114383316375518,thrC,ECB_00004,b0004,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
5,YP_003043234.1,0.0251844521440976,-0.0821714360408854,0.585737628285822,-0.140287104793596,0.888433152453148,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
6,YP_003043235.1,32.278359325849,-0.576139126211121,0.340934033666762,-1.68988446244195,0.0910500607064579,0.251467901428228,yaaA,ECB_00006,b0006,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
7,YP_003043236.1,0.16806785684597,-0.372512371773903,0.646224810893746,-0.576443933278742,0.564315156221669,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
8,YP_003043237.1,185.88741728986,-0.531210809358367,0.338346890917926,-1.57001829665763,0.116410854711308,0.285238400287162,talB,ECB_00008,b0008,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
9,YP_003043238.1,9.68482071365865,-1.03141647980586,0.48278284429142,-2.13639836626686,0.0326469571140163,0.140716409572911,mogA,ECB_00009,b0009,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
10,YP_003043239.1,0.0125922260720488,-0.0324347694313244,0.585550863304284,-0.0553918907202935,0.955826256188174,NA,yaaH,ECB_00010,b0010,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
11,YP_003043242.1,0.338430980051739,-0.153078390323075,0.758218981259346,-0.201892057712435,0.840001111256435,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
12,YP_003043243.1,657.303386672049,-0.288880303439369,0.331130132459971,-0.872407175068222,0.382986287633668,0.575794412004579,dnaK,ECB_00014,b0014,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
13,YP_003043244.1,64.61189856991,-0.634157824564932,0.375426976077266,-1.68916424491142,0.0911879589032782,0.251467901428228,dnaJ,ECB_00015,b0015,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
14,YP_003043245.1,0.394616776412305,-0.581610422326174,0.734467514585044,-0.791880390591229,0.428430421915478,NA,insL-1,ECB_00016,b0016,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
15,YP_003043246.1,0.0271759962332849,-0.0876187469978734,0.585756554548058,-0.149582187886017,0.881094262065937,NA,mokC,ECB_00017,b0018,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Exp,Mg_mM_Levels,baseMghighMg
17,YP_003043248.1,0.0764442125153953,0.32284902051314,0.585967720903033,0.550967244433871,0.581656129043856,NA,nhaA,ECB_00018,b0019,1,protein,Exp,Mg_mM_Levels,baseMghighMg
18,YP_003043249.1,0.897246516760587,-1.66648453349463,0.850512098172555,-1.95938956903177,0.0500671813156629,0.179649148273936,nhaR,ECB_00019,b0020,-1,protein,Exp,Mg_mM_Levels,baseMghighMg
